#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,29236798.00,0.00,-29236797.94,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,28642516.00,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,20542.52,27976860.00,0.00,0.00,20750.27,20750.27,10375.13,10375.13
CPTY_A,2016-11-07,0.754098,50513.16,28271134.00,0.00,0.00,51287.86,51287.86,24309.18,24309.18
CPTY_A,2017-02-06,1.003002,72363.65,26938982.00,0.00,0.00,73839.38,73839.38,36600.52,36600.52
CPTY_A,2017-05-05,1.244098,4731.64,26252924.00,0.00,0.00,4851.73,73839.38,30447.86,43817.10
CPTY_A,2017-08-07,1.501632,15583.88,25088390.00,0.00,0.00,16062.44,73839.38,27980.72,48966.01
CPTY_A,2017-11-06,1.750947,87419.84,25634316.00,0.00,0.00,90555.45,90555.45,36890.66,54887.88
CPTY_A,2018-02-05,2.000262,1751584.63,22876272.00,3912622.34,0.00,1823447.67,1823447.67,259569.28,275323.30
CPTY_A,2018-05-08,2.252317,731916.75,23569202.00,0.00,0.00,765808.41,1823447.67,316222.05,448572.54
CPTY_A,2018-08-06,2.498892,440356.03,22924556.00,1316156.42,0.00,463033.24,1823447.67,330708.48,584236.78
CPTY_A,2018-11-05,2.748207,679064.13,23165390.00,0.00,0.00,717616.92,1823447.67,365808.49,696656.96
CPTY_A,2019-02-05,3.000262,278887.03,22193968.00,2235459.98,0.00,296215.47,1823447.67,359961.92,791319.70
CPTY_A,2019-05-07,3.249577,725051.81,22201616.00,8324137.74,0.00,773966.46,1823447.67,391725.30,870506.94
CPTY_A,2019-08-05,3.496152,493294.63,21541692.00,3305252.27,0.00,529187.14,1823447.67,401420.16,937715.59
CPTY_A,2019-11-05,3.748207,515396.69,21036350.00,3552877.45,0.00,555702.20,1823447.67,411795.13,997278.21
CPTY_A,2020-02-05,4.000000,1067589.63,20215016.00,6803217.82,0.00,1156917.57,1823447.67,458699.25,1049284.09
CPTY_A,2020-05-05,4.245902,1032384.06,20542576.00,6056349.95,0.00,1124317.90,1823447.67,497248.59,1094119.82
CPTY_A,2020-08-05,4.497268,1246168.88,20610078.00,7595584.32,0.00,1364024.69,1823447.67,545695.37,1134884.19
CPTY_A,2020-11-05,4.748634,1440884.25,21223914.00,11023325.18,0.00,1585155.87,1823447.67,600718.59,1171332.89
CPTY_A,2021-02-05,5.000262,2013551.50,21145222.00,19421188.68,0.00,2226399.60,2226399.60,682527.72,1224427.00
CPTY_A,2021-05-05,5.244098,2452618.50,21148530.00,21287976.78,0.00,2725186.57,2725186.57,777505.54,1294208.05
CPTY_A,2021-08-05,5.496152,2190387.25,20999856.00,18355812.08,0.00,2446158.85,2725186.57,854030.36,1359833.05
CPTY_A,2021-11-05,5.748207,2166586.50,21215124.00,15055603.29,0.00,2431852.94,2725186.57,923216.76,1419702.83
CPTY_A,2022-02-07,6.005741,1895957.63,20707506.00,14571994.99,0.00,2139120.33,2725186.57,975356.33,1475683.72
CPTY_A,2022-05-05,6.244098,2145422.25,20653910.00,15458112.19,0.00,2432189.63,2725186.57,1030968.08,1523381.04
CPTY_A,2022-08-05,6.496152,2241400.75,19872074.00,13837936.20,0.00,2553887.29,2725186.57,1090058.31,1570011.85
CPTY_A,2022-11-07,6.753687,2746577.25,20149298.00,22534959.24,0.00,3145714.43,3145714.43,1168445.40,1630097.16
CPTY_A,2023-02-06,7.003002,2823420.50,19787070.00,21209532.78,0.00,3249950.12,3249950.12,1242549.40,1687765.83
CPTY_A,2023-05-05,7.244098,2800729.50,19660222.00,23882256.92,0.00,3239472.39,3249950.12,1309010.40,1739757.98
CPTY_A,2023-08-07,7.501632,3037876.50,19021934.00,22488942.25,0.00,3531982.33,3531982.33,1385325.98,1801285.81
CPTY_A,2023-11-06,7.750947,2994421.25,18949878.00,17786246.94,0.00,3498927.35,3531982.33,1453311.57,1856954.97
CPTY_A,2024-02-05,8.000000,2874274.75,18862754.00,18831192.50,0.00,3375389.81,3531982.33,1513149.00,1909101.31
CPTY_A,2024-05-07,8.251366,2849944.00,18457846.00,21579152.05,0.00,3363794.06,3531982.33,1569526.27,1958540.07
CPTY_A,2024-08-05,8.497268,3021517.00,18082476.00,18359703.83,0.00,3583998.02,3583998.02,1627822.88,2005579.05
CPTY_A,2024-11-05,8.748634,3083620.50,18418584.00,17220939.47,0.00,3676216.11,3676216.11,1686677.40,2053579.86
CPTY_A,2025-02-05,9.000262,3380508.00,17823484.00,23865534.29,0.00,4050601.22,4050601.22,1752767.67,2109412.32
CPTY_A,2025-05-06,9.246837,3959428.25,17723550.00,32257383.09,0.00,4767819.32,4767819.32,1833166.76,2180301.16
CPTY_A,2025-08-05,9.496152,4499534.50,17487326.00,26713804.30,0.00,5445384.87,5445384.87,1928003.11,2266023.73
CPTY_A,2025-11-05,9.748207,4850476.50,17712612.00,32652872.70,0.00,5899877.39,5899877.39,2030701.99,2359982.57
CPTY_A,2026-02-05,10.000262,1714573.88,1040903.13,4828610.12,0.00,2096101.76,5899877.39,2032350.38,2449204.98
CPTY_A,2026-05-05,10.244098,1532317.38,988821.38,4718177.49,0.00,1882481.73,5899877.39,2028783.12,2531339.77
CPTY_A,2026-08-05,10.496152,1512685.75,1007307.06,4704839.11,0.00,1867790.91,5899877.39,2024917.05,2612231.89
CPTY_A,2026-11-05,10.748207,1333213.00,999285.38,4454163.13,0.00,1654537.52,5899877.39,2016231.33,2689330.04
CPTY_A,2027-02-05,11.000262,1347045.63,1060981.50,4430255.52,0.00,1680184.27,5899877.39,2008531.31,2762895.00
CPTY_A,2027-05-05,11.244098,1446341.13,941316.38,4369117.81,0.00,1812888.91,5899877.39,2004288.68,2830922.51
CPTY_A,2027-08-05,11.496152,1428901.88,944320.69,4459893.34,0.00,1800115.51,5899877.39,1999812.15,2898209.79
CPTY_A,2027-11-05,11.748207,1247769.88,960729.38,4268263.39,0.00,1579901.46,5899877.39,1990803.07,2962609.81
CPTY_A,2028-02-07,12.005464,1233877.38,996998.31,4082969.38,0.00,1570409.10,5899877.39,1981794.72,3025550.60
CPTY_A,2028-05-05,12.245902,1322486.63,830885.56,4131075.73,0.00,1691352.11,5899877.39,1976092.15,3081985.40
CPTY_A,2028-08-07,12.502732,1290878.13,837677.31,4143186.08,0.00,1659484.58,5899877.39,1969588.41,3139870.42
CPTY_A,2028-11-06,12.751366,1140733.38,905773.69,4016173.24,0.00,1473824.30,5899877.39,1959921.70,3193686.71
CPTY_A,2029-02-05,13.000262,1129254.63,936736.69,3711131.52,0.00,1466314.26,5899877.39,1950471.36,3245497.95
CPTY_A,2029-05-08,13.252317,1234170.88,795527.13,3855557.30,0.00,1610675.03,5899877.39,1944008.55,3295983.39
CPTY_A,2029-08-06,13.498892,1227859.50,828678.88,3562237.34,0.00,1610389.96,5899877.39,1937914.55,3343547.00
CPTY_A,2029-11-05,13.748207,1020705.81,842172.81,3194153.41,0.00,1345415.90,5899877.39,1927169.97,3389904.44
CPTY_A,2030-02-05,14.000262,985545.00,842513.69,3249204.23,0.00,1305659.42,5899877.39,1915980.55,3435092.93
CPTY_A,2030-05-07,14.249577,1044717.31,693040.69,3329289.48,0.00,1390995.82,5899877.39,1906795.25,3478217.57
CPTY_A,2030-08-05,14.496152,1021655.25,694199.31,3181012.00,0.00,1367039.66,5899877.39,1897614.17,3519409.30
CPTY_A,2030-11-05,14.748207,842184.00,715676.19,3027381.86,0.00,1132612.16,5899877.39,1884539.87,3560092.78
CPTY_A,2031-02-05,15.000262,830850.00,744932.63,2921382.25,0.00,1123037.70,5899877.39,1871744.08,3599409.03
CPTY_A,2031-05-06,15.246837,905166.19,593997.88,2960072.77,0.00,1229560.04,5899877.39,1861358.53,3636612.73
CPTY_A,2031-08-05,15.496152,866785.00,599785.88,2803211.23,0.00,1183331.49,5899877.39,1850449.86,3673026.02
CPTY_A,2031-11-05,15.748207,682003.56,621003.38,2637575.48,0.00,935791.71,5899877.39,1835810.49,3708667.45
CPTY_A,2032-02-05,16.000000,650322.00,616736.25,2529013.59,0.00,896847.30,5899877.39,1821033.98,3743150.63
CPTY_A,2032-05-05,16.245902,697324.38,459453.25,2575226.44,0.00,966439.37,5899877.39,1808098.64,3775795.33
CPTY_A,2032-08-05,16.497268,677922.75,469745.31,2428909.33,0.00,944316.25,5899877.39,1794937.33,3808159.62
CPTY_A,2032-11-05,16.748634,505925.06,485997.97,2020603.15,0.00,708306.06,5899877.39,1778629.00,3839552.45
CPTY_A,2033-02-07,17.005741,462510.59,486196.69,1797165.11,0.00,650881.17,5899877.39,1761578.73,3870702.23
CPTY_A,2033-05-05,17.244098,523386.66,339331.56,1732073.39,0.00,740083.54,5899877.39,1747459.13,3898750.46
CPTY_A,2033-08-05,17.496152,496574.78,347650.81,1692128.72,0.00,705732.72,5899877.39,1732451.71,3927579.29
CPTY_A,2033-11-07,17.753687,316342.06,363851.25,1312545.89,0.00,451916.12,5899877.39,1713876.31,3956189.36
CPTY_A,2034-02-06,18.003002,301749.59,380493.88,1258941.15,0.00,433232.66,5899877.39,1696141.28,3983106.58
CPTY_A,2034-05-05,18.244098,354997.47,235488.56,1344575.29,0.00,512155.33,5899877.39,1680494.90,4008436.72
CPTY_A,2034-08-07,18.501632,328669.72,243447.84,1320325.23,0.00,476630.05,5899877.39,1663737.65,4034764.71
CPTY_A,2034-11-06,18.750947,163300.81,266729.09,761058.09,0.00,238003.68,5899877.39,1644780.91,4059563.50
CPTY_A,2035-02-05,19.000262,144605.02,277562.53,661966.43,0.00,211812.85,5899877.39,1625977.98,4083711.48
CPTY_A,2035-05-08,19.252317,177769.70,117002.21,684035.93,0.00,261712.33,5899877.39,1608116.77,4107489.05
CPTY_A,2035-08-06,19.498892,153023.84,125544.88,625682.20,0.00,226399.40,5899877.39,1590644.11,4130154.89
CPTY_A,2035-11-05,19.748207,16222.82,174426.08,144006.42,0.00,24122.16,5899877.39,1570867.25,4152497.09
CPTY_A,2036-02-05,20.000000,7550.61,196776.56,82683.70,0.00,11284.17,5899877.39,1551232.66,4174495.98
CPTY_A,2036-05-06,20.248634,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,5899877.39,0.00,0.00
