#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
FXSwap,2016-02-05,0.000000,1088,0,0,0,1088,1088,1088,1088.33,1088.33
FXSwap,2016-05-06,0.248634,16560,16663,0,0,50696,16644,16644,16643.57,16643.57
FXSwap,2016-08-05,0.497268,22665,24833,0,0,106583,22894,22894,19768.99,19768.99
FXSwap,2016-11-07,0.754098,30260,65362,0,0,171627,30724,30724,23500.02,23500.02
FXSwap,2017-02-06,1.003002,39937,72419,0,0,169848,40751,40751,27781.05,27781.05
FXSwap,2017-05-05,1.244098,57051,85741,0,0,274889,58499,58499,33733.99,33733.99
FXSwap,2017-08-07,1.501632,49315,80772,0,0,236481,50829,58499,36665.85,37981.30
FXSwap,2017-11-06,1.750947,48558,84926,0,0,211114,50299,58499,38607.09,40902.82
FXSwap,2018-02-05,2.000262,64163,76481,0,0,300494,66795,66795,42120.51,44130.10
FXSwap,2018-05-08,2.252317,51348,83533,0,0,217226,53726,66795,43419.24,46666.55
FXSwap,2018-08-06,2.498892,56100,94355,0,0,253557,58989,66795,44955.56,48652.74
FXSwap,2018-11-05,2.748207,57546,94205,0,0,270560,60813,66795,46394.12,50298.62
FXSwap,2019-02-05,3.000262,63145,99888,0,0,254698,67068,67068,48130.98,51707.46
FXSwap,2019-05-07,3.249577,56653,94349,0,0,228265,60475,67068,49078.03,52885.99
FXSwap,2019-08-05,3.496152,53522,101343,0,0,280849,57417,67068,49666.13,53886.24
FXSwap,2019-11-05,3.748207,58039,100486,0,0,309372,62578,67068,50534.40,54772.69
FXSwap,2020-02-05,4.000000,67257,106896,0,0,358993,72884,72884,51941.27,55912.77
FXSwap,2020-05-05,4.245902,55579,101956,0,0,286650,60529,72884,52438.60,56895.66
FXSwap,2020-08-05,4.497268,59364,111058,0,0,368692,64979,72884,53139.51,57789.31
FXSwap,2020-11-05,4.748634,59094,113476,0,0,309925,65011,72884,53767.92,58588.34
FXSwap,2021-02-05,5.000262,65904,123397,0,0,424357,72870,72884,54729.21,59307.74
FXSwap,2021-05-05,5.244098,67936,126284,0,0,393775,75486,75486,55694.35,60059.99
FXSwap,2021-08-05,5.496152,64660,130507,0,0,402545,72211,75486,56451.79,60767.44
FXSwap,2021-11-05,5.748207,67513,131795,0,0,283872,75779,75779,57299.28,61425.69
FXSwap,2022-02-07,6.005741,60158,129985,0,0,264573,67874,75779,57752.73,62041.19
FXSwap,2022-05-05,6.244098,55360,126504,0,0,205638,62759,75779,57943.85,62565.61
FXSwap,2022-08-05,6.496152,60894,128353,0,0,290037,69384,75779,58387.72,63078.30
FXSwap,2022-11-07,6.753687,68471,131696,0,0,342189,78421,78421,59151.63,63663.35
FXSwap,2023-02-06,7.003002,70082,134290,0,0,389775,80669,80669,59917.68,64268.78
FXSwap,2023-05-05,7.244098,75561,140421,0,0,370452,87397,87397,60832.25,65038.53
FXSwap,2023-08-07,7.501632,78133,140202,0,0,356761,90841,90841,61862.47,65924.35
FXSwap,2023-11-06,7.750947,74217,136283,0,0,311744,86721,90841,62662.07,66725.82
FXSwap,2024-02-05,8.000000,74088,143201,0,0,387963,87005,90841,63419.91,67476.57
FXSwap,2024-05-07,8.251366,73335,141201,0,0,395343,86558,90841,64124.78,68188.33
FXSwap,2024-08-05,8.497268,71964,139706,0,0,365739,85361,90841,64739.32,68843.88
FXSwap,2024-11-05,8.748634,73789,143420,0,0,378178,87969,90841,65406.77,69475.91
FXSwap,2025-02-05,9.000262,74162,142599,0,0,449154,88863,90841,66062.55,70073.24
FXSwap,2025-05-06,9.246837,87004,147242,0,0,462194,104768,104768,67094.66,70998.40
FXSwap,2025-08-05,9.496152,91771,149012,0,0,437179,111062,111062,68249.00,72050.25
FXSwap,2025-11-05,9.748207,96626,149477,0,0,532633,117532,117532,69523.28,73226.24
FXSwap,2026-02-05,10.000262,93648,150171,0,0,423954,114487,117532,70656.58,74342.95
FXSwap,2026-05-05,10.244098,92727,151529,0,0,415760,113916,117532,71686.28,75370.95
FXSwap,2026-08-05,10.496152,91305,149199,0,0,405719,112739,117532,72672.11,76383.40
FXSwap,2026-11-05,10.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2027-02-05,11.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2027-05-05,11.244098,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2027-08-05,11.496152,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2027-11-05,11.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2028-02-07,12.005464,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2028-05-05,12.245902,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2028-08-07,12.502732,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2028-11-06,12.751366,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2029-02-05,13.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2029-05-08,13.252317,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2029-08-06,13.498892,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2029-11-05,13.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2030-02-05,14.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2030-05-07,14.249577,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2030-08-05,14.496152,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2030-11-05,14.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2031-02-05,15.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2031-05-06,15.246837,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2031-08-05,15.496152,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2031-11-05,15.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2032-02-05,16.000000,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2032-05-05,16.245902,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2032-08-05,16.497268,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2032-11-05,16.748634,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2033-02-07,17.005741,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2033-05-05,17.244098,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2033-08-05,17.496152,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2033-11-07,17.753687,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2034-02-06,18.003002,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2034-05-05,18.244098,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2034-08-07,18.501632,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2034-11-06,18.750947,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2035-02-05,19.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2035-05-08,19.252317,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2035-08-06,19.498892,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2035-11-05,19.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2036-02-05,20.000000,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2036-05-06,20.248634,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2036-08-05,20.497268,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2036-11-05,20.748634,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2037-02-05,21.000262,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2037-05-05,21.244098,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2037-08-05,21.496152,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2037-11-05,21.748207,0,0,0,0,0,0,117532,0.00,0.00
FXSwap,2038-02-05,22.000262,0,0,0,0,0,0,117532,0.00,0.00
