#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
portfolio_10_trade_1,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-32.06,0.00,#N/A
portfolio_10_trade_1,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-32.06,0.00,#N/A
portfolio_10_trade_1,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-32.06,0.00,#N/A
portfolio_10_trade_1,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-32.06,0.50,#N/A
portfolio_10_trade_1,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-32.06,-0.07,#N/A
portfolio_10_trade_1,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-32.06,-2.13,#N/A
portfolio_10_trade_10,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-721980.79,6.23,#N/A
portfolio_10_trade_10,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-721980.79,13.99,#N/A
portfolio_10_trade_10,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-721980.79,7.12,#N/A
portfolio_10_trade_10,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-721980.79,-39.75,#N/A
portfolio_10_trade_10,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-721980.79,-1182.63,#N/A
portfolio_10_trade_10,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-721980.79,-1281.99,#N/A
portfolio_10_trade_11,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-201083.13,1.74,#N/A
portfolio_10_trade_11,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-201083.13,3.90,#N/A
portfolio_10_trade_11,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-201083.13,1.98,#N/A
portfolio_10_trade_11,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-201083.13,-11.07,#N/A
portfolio_10_trade_11,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-201083.13,-329.38,#N/A
portfolio_10_trade_11,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-201083.13,-357.05,#N/A
portfolio_10_trade_12,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-1028.91,0.00,#N/A
portfolio_10_trade_12,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-1028.91,0.03,#N/A
portfolio_10_trade_12,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-1028.91,0.03,#N/A
portfolio_10_trade_12,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-1028.91,17.18,#N/A
portfolio_10_trade_12,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-1028.91,-8.22,#N/A
portfolio_10_trade_12,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-1028.91,-63.83,#N/A
portfolio_10_trade_13,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-815943.25,7.04,#N/A
portfolio_10_trade_13,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-815943.25,15.81,#N/A
portfolio_10_trade_13,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-815943.25,8.04,#N/A
portfolio_10_trade_13,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-815943.25,-44.92,#N/A
portfolio_10_trade_13,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-815943.25,-1336.54,#N/A
portfolio_10_trade_13,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-815943.25,-1448.84,#N/A
portfolio_10_trade_14,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-459998.10,4.45,#N/A
portfolio_10_trade_14,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-459998.10,8.52,#N/A
portfolio_10_trade_14,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-459998.10,2.50,#N/A
portfolio_10_trade_14,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-459998.10,-63.83,#N/A
portfolio_10_trade_14,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-459998.10,-1818.64,#N/A
portfolio_10_trade_14,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-459998.10,-777.62,#N/A
portfolio_10_trade_15,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-23476.67,0.22,#N/A
portfolio_10_trade_15,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-23476.67,0.44,#N/A
portfolio_10_trade_15,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-23476.67,0.13,#N/A
portfolio_10_trade_15,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-23476.67,-1.90,#N/A
portfolio_10_trade_15,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-23476.67,-67.77,#N/A
portfolio_10_trade_15,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-23476.67,-30.45,#N/A
portfolio_10_trade_16,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-28697.65,0.42,#N/A
portfolio_10_trade_16,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-28697.65,0.30,#N/A
portfolio_10_trade_16,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-28697.65,-379.51,#N/A
portfolio_10_trade_16,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-28697.65,-292.73,#N/A
portfolio_10_trade_16,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-28697.65,0.36,#N/A
portfolio_10_trade_17,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-774379.10,509.19,#N/A
portfolio_10_trade_17,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-774379.10,-234.03,#N/A
portfolio_10_trade_17,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-774379.10,-9344.43,#N/A
portfolio_10_trade_17,true,DiscountCurve/USD/3/2Y,0.000100,,0.000000,USD,-774379.10,-49058.86,#N/A
portfolio_10_trade_17,true,IndexCurve/USD-SOFR-1M/0/3M,0.000100,,0.000000,USD,-774379.10,603.36,#N/A
portfolio_10_trade_17,true,IndexCurve/USD-SOFR-1M/1/6M,0.000100,,0.000000,USD,-774379.10,27.76,#N/A
portfolio_10_trade_17,true,IndexCurve/USD-SOFR-1M/2/1Y,0.000100,,0.000000,USD,-774379.10,-10089.38,#N/A
portfolio_10_trade_17,true,IndexCurve/USD-SOFR-1M/3/2Y,0.000100,,0.000000,USD,-774379.10,-50921.43,#N/A
portfolio_10_trade_18,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,211699.11,-0.14,#N/A
portfolio_10_trade_18,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,211699.11,-0.26,#N/A
portfolio_10_trade_18,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,211699.11,-6.44,#N/A
portfolio_10_trade_18,true,DiscountCurve/USD/3/2Y,0.000100,,0.000000,USD,211699.11,-25.49,#N/A
portfolio_10_trade_18,true,DiscountCurve/USD/4/3Y,0.000100,,0.000000,USD,211699.11,-1.72,#N/A
portfolio_10_trade_18,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,211699.11,-83.25,#N/A
portfolio_10_trade_18,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,211699.11,-221.17,#N/A
portfolio_10_trade_18,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,211699.11,-1328.44,#N/A
portfolio_10_trade_18,true,IndexCurve/USD-SOFR/3/2Y,0.000100,,0.000000,USD,211699.11,4284.37,#N/A
portfolio_10_trade_18,true,IndexCurve/USD-SOFR/4/3Y,0.000100,,0.000000,USD,211699.11,824.47,#N/A
portfolio_10_trade_19,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,105512.82,-1.40,#N/A
portfolio_10_trade_19,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,105512.82,-1.18,#N/A
portfolio_10_trade_19,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,105512.82,768.71,#N/A
portfolio_10_trade_19,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,105512.82,870.56,#N/A
portfolio_10_trade_2,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,-55.16,0.00,#N/A
portfolio_10_trade_2,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,-55.16,0.00,#N/A
portfolio_10_trade_2,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,-55.16,0.00,#N/A
portfolio_10_trade_2,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,-55.16,0.76,#N/A
portfolio_10_trade_2,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,-55.16,0.29,#N/A
portfolio_10_trade_2,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,-55.16,-3.99,#N/A
portfolio_10_trade_20,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,593318.47,-6.30,#N/A
portfolio_10_trade_20,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,593318.47,-9.14,#N/A
portfolio_10_trade_20,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,593318.47,-0.47,#N/A
portfolio_10_trade_20,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,593318.47,1316.60,#N/A
portfolio_10_trade_20,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,593318.47,7218.30,#N/A
portfolio_10_trade_20,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,593318.47,388.47,#N/A
portfolio_10_trade_21,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,264690.48,-2.16,#N/A
portfolio_10_trade_21,true,DiscountCurve/USD/1/6M,0.000100,,0.000000,USD,264690.48,-4.63,#N/A
portfolio_10_trade_21,true,DiscountCurve/USD/2/1Y,0.000100,,0.000000,USD,264690.48,-4.41,#N/A
portfolio_10_trade_21,true,IndexCurve/USD-SOFR/0/3M,0.000100,,0.000000,USD,264690.48,399.98,#N/A
portfolio_10_trade_21,true,IndexCurve/USD-SOFR/1/6M,0.000100,,0.000000,USD,264690.48,1334.15,#N/A
portfolio_10_trade_21,true,IndexCurve/USD-SOFR/2/1Y,0.000100,,0.000000,USD,264690.48,2900.94,#N/A
portfolio_10_trade_22,true,DiscountCurve/USD/0/3M,0.000100,,0.000000,USD,291024.89,-0.69,#N/A
