#TradeId,NettingSetId,CounterpartyId,Period,Date,Currency,Time,EE,ECE,PE (Quantile 0.90),DeltaCVA,CVA,DeltaDVA,DVA,EEE,Max[NPV],Min[NPV],Discount,CVA2,DVA2,BCVA,PDLGD_US,PDLGD_THEM,SP_US,SP_THEM
627291AI,CUST_A,CUST_A,0,20160301,EUR,0.00,0.00,46690.90,0.00,0.00,0.00,0.00,0.00,0.00,-46690.90,-46690.90,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
627291AI,CUST_A,CUST_A,1,20160401,EUR,0.084699,3306.691895,50700.742188,10867.000000,1.679907,1.679907,0.000000,0.000000,3306.691895,99359.937500,-201723.171875,1.000100,0.000000,0.000000,0.000000,0.000000,0.000508,0.000000,0.999153
627291AI,CUST_A,CUST_A,2,20160502,EUR,0.169399,17636.648438,35349.250000,63084.000000,8.953439,10.633345,0.000000,0.000000,17636.648438,197591.484375,-249853.453125,1.000210,0.000000,0.000000,0.000000,0.000000,0.000508,0.000000,0.998307
627291AI,CUST_A,CUST_A,3,20160601,EUR,0.251366,23018.755859,40965.062500,81947.000000,11.300279,21.933624,0.000000,0.000000,23018.755859,290838.125000,-363635.687500,1.000310,0.000000,0.000000,0.000000,0.000000,0.000491,0.000000,0.997490
627291AI,CUST_A,CUST_A,4,20160701,EUR,0.333333,28091.970703,46291.175781,97556.000000,13.781052,35.714676,0.000000,0.000000,28091.970703,277779.843750,-346819.125000,1.000410,0.000000,0.000000,0.000000,0.000000,0.000490,0.000000,0.996672
627291AI,CUST_A,CUST_A,5,20160801,EUR,0.418033,32294.912109,50004.820312,108841.000000,16.358994,52.073669,0.000000,0.000000,32294.912109,299900.875000,-372929.093750,1.000510,0.000000,0.000000,0.000000,0.000000,0.000506,0.000000,0.995828
627291AI,CUST_A,CUST_A,6,20160901,EUR,0.502732,35897.617188,54062.453125,120799.000000,18.170462,70.244133,0.000000,0.000000,35897.617188,346465.218750,-433872.500000,1.000610,0.000000,0.000000,0.000000,0.000000,0.000506,0.000000,0.994985
627291AI,CUST_A,CUST_A,7,20161003,EUR,0.590164,39187.425781,57605.167969,133046.000000,20.461613,90.705742,0.000000,0.000000,39187.425781,364858.656250,-458172.250000,1.000800,0.000000,0.000000,0.000000,0.000000,0.000522,0.000000,0.994116
627291AI,CUST_A,CUST_A,8,20161101,EUR,0.669399,42076.785156,60656.660156,141059.000000,19.897480,110.603226,0.000000,0.000000,42076.785156,405975.468750,-514274.500000,1.000980,0.000000,0.000000,0.000000,0.000000,0.000472,0.000000,0.993328
627291AI,CUST_A,CUST_A,9,20161201,EUR,0.751366,45626.578125,64431.421875,154622.000000,22.306530,132.909760,0.000000,0.000000,45626.578125,446341.625000,-571283.625000,1.001170,0.000000,0.000000,0.000000,0.000000,0.000488,0.000000,0.992514
627291AI,CUST_A,CUST_A,10,20170102,EUR,0.838805,48664.515625,67647.125000,164867.000000,25.363705,158.273453,0.000000,0.000000,48664.515625,499889.906250,-650207.562500,1.001370,0.000000,0.000000,0.000000,0.000000,0.000520,0.000000,0.991647
627291AI,CUST_A,CUST_A,11,20170201,EUR,0.920997,50206.386719,65826.156250,167951.000000,24.580774,182.854233,0.000000,0.000000,50206.386719,461769.250000,-592516.875000,1.001560,0.000000,0.000000,0.000000,0.000000,0.000489,0.000000,0.990832
627291AI,CUST_A,CUST_A,12,20170301,EUR,0.997709,52248.562500,67977.609375,174201.000000,23.860281,206.714508,0.000000,0.000000,52248.562500,483090.312500,-624445.437500,1.001730,0.000000,0.000000,0.000000,0.000000,0.000456,0.000000,0.990072
627291AI,CUST_A,CUST_A,13,20170403,EUR,1.088120,58472.054688,74260.695312,193059.000000,31.450214,238.164734,0.000000,0.000000,58472.054688,516346.781250,-674143.312500,1.001940,0.000000,0.000000,0.000000,0.000000,0.000537,0.000000,0.989178
627291AI,CUST_A,CUST_A,14,20170502,EUR,1.167572,78327.398438,64062.238281,239825.000000,36.998672,275.163391,0.000000,0.000000,78327.398438,650145.375000,-815667.562500,1.002120,0.000000,0.000000,0.000000,0.000000,0.000471,0.000000,0.988392
627291AI,CUST_A,CUST_A,15,20170601,EUR,1.249764,82551.125000,68155.164062,252396.000000,40.316776,315.480194,0.000000,0.000000,82551.125000,584382.812500,-701262.187500,1.002310,0.000000,0.000000,0.000000,0.000000,0.000487,0.000000,0.987580
627291AI,CUST_A,CUST_A,16,20170703,EUR,1.337435,87836.382812,73505.195312,268293.000000,45.722637,361.202820,0.000000,0.000000,87836.382812,622415.375000,-762601.312500,1.002510,0.000000,0.000000,0.000000,0.000000,0.000519,0.000000,0.986715
627291AI,CUST_A,CUST_A,17,20170801,EUR,1.416888,91144.554688,73404.171875,274493.000000,42.973278,404.176086,0.000000,0.000000,91144.554688,658460.500000,-832842.312500,1.002690,0.000000,0.000000,0.000000,0.000000,0.000470,0.000000,0.985931
