#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,0.0000,#N/A,-352956.7993
CPTY_A,2016-02-19,0.0383,1201390.1881,0.0000,0.0000,-119.6226,-119.6226
CPTY_A,2016-03-04,0.0765,1130854.1975,0.0000,0.0000,-154.2910,-273.9137
CPTY_A,2016-03-18,0.1148,1226882.7092,0.0000,0.0000,-198.1819,-472.0955
CPTY_A,2016-04-01,0.1530,1526008.4144,0.0000,0.0000,-223.6255,-695.7211
CPTY_A,2016-04-15,0.1913,1511531.2805,0.0000,0.0000,-289.6944,-985.4155
CPTY_A,2016-04-29,0.2295,1519259.8422,0.0000,0.0000,-378.5493,-1363.9648
CPTY_A,2016-05-13,0.2678,1278704.3490,0.0000,0.0000,-395.1360,-1759.1007
CPTY_A,2016-05-27,0.3060,1287832.6127,0.0000,0.0000,-432.1533,-2191.2540
CPTY_A,2016-06-10,0.3443,1233709.9779,0.0000,0.0000,-488.0992,-2679.3532
CPTY_A,2016-06-24,0.3825,1248578.2472,0.0000,0.0000,-486.3538,-3165.7070
CPTY_A,2016-07-08,0.4208,1292915.3872,0.0000,0.0000,-536.2620,-3701.9690
CPTY_A,2016-07-22,0.4590,1306091.0411,0.0000,0.0000,-535.5688,-4237.5378
CPTY_A,2016-08-05,0.4973,1156870.9292,0.0000,0.0000,-480.1689,-4717.7067
CPTY_A,2016-08-19,0.5355,1162935.9131,0.0000,0.0000,-467.6570,-5185.3636
CPTY_A,2016-09-02,0.5738,1161418.8498,0.0000,0.0000,-434.1019,-5619.4655
CPTY_A,2016-09-16,0.6120,1120577.6005,0.0000,0.0000,-502.3580,-6121.8235
CPTY_A,2016-09-30,0.6503,1038151.3393,0.0000,0.0000,-430.2706,-6552.0942
CPTY_A,2016-10-14,0.6885,995426.8954,0.0000,0.0000,-508.4178,-7060.5119
CPTY_A,2016-10-28,0.7268,971884.2516,0.0000,0.0000,-557.1214,-7617.6333
CPTY_A,2016-11-14,0.7732,868008.1443,0.0000,0.0000,-807.0564,-8424.6897
CPTY_A,2016-11-25,0.8033,867974.2983,0.0000,0.0000,-497.9377,-8922.6274
CPTY_A,2016-12-09,0.8415,894666.6282,0.0000,0.0000,-704.0487,-9626.6761
CPTY_A,2016-12-23,0.8798,856112.8149,0.0000,0.0000,-768.3261,-10395.0022
CPTY_A,2017-01-06,0.9181,865100.9910,0.0000,0.0000,-871.8225,-11266.8247
CPTY_A,2017-01-20,0.9564,851754.8992,0.0000,0.0000,-823.2301,-12090.0548
CPTY_A,2017-02-03,0.9948,793010.0756,0.0000,0.0000,-898.2825,-12988.3373
CPTY_A,2017-02-17,1.0331,667239.6585,0.0000,0.0000,-833.6645,-13822.0018
CPTY_A,2017-03-03,1.0715,637015.5564,0.0000,0.0000,-920.6344,-14742.6362
CPTY_A,2017-03-17,1.1099,465902.1593,0.0000,0.0000,-1024.8608,-15767.4971
CPTY_A,2017-03-31,1.1482,657685.4782,0.0000,0.0000,-1193.6180,-16961.1150
CPTY_A,2017-04-18,1.1975,622262.7582,0.0000,0.0000,-1583.1033,-18544.2183
CPTY_A,2017-04-28,1.2249,622320.9394,0.0000,0.0000,-861.2588,-19405.4771
CPTY_A,2017-05-12,1.2633,498972.8627,0.0000,0.0000,-1007.4744,-20412.9516
CPTY_A,2017-05-26,1.3016,509002.7796,0.0000,0.0000,-1065.4656,-21478.4172
CPTY_A,2017-06-09,1.3400,522106.6940,0.0000,0.0000,-979.4007,-22457.8179
CPTY_A,2017-06-23,1.3783,600175.1539,0.0000,0.0000,-824.1935,-23282.0114
CPTY_A,2017-07-07,1.4167,607647.8833,0.0000,0.0000,-982.1949,-24264.2063
CPTY_A,2017-07-21,1.4551,593353.8577,0.0000,0.0000,-1101.7014,-25365.9077
CPTY_A,2017-08-04,1.4934,680768.3111,0.0000,0.0000,-1099.8415,-26465.7492
CPTY_A,2017-08-18,1.5318,606916.1815,0.0000,0.0000,-1267.3452,-27733.0944
CPTY_A,2017-09-01,1.5701,536427.7133,0.0000,0.0000,-1412.7194,-29145.8138
CPTY_A,2017-09-15,1.6085,570404.9523,0.0000,0.0000,-1518.6483,-30664.4622
CPTY_A,2017-09-29,1.6468,547713.3000,0.0000,0.0000,-1598.6147,-32263.0769
CPTY_A,2017-10-13,1.6852,606283.2016,0.0000,0.0000,-1768.9965,-34032.0735
CPTY_A,2017-10-27,1.7235,592541.7721,0.0000,0.0000,-1890.5963,-35922.6697
CPTY_A,2017-11-13,1.7701,394636.8118,0.0000,0.0000,-2208.1053,-38130.7750
CPTY_A,2017-11-24,1.8003,394839.2349,0.0000,0.0000,-1371.2409,-39502.0159
CPTY_A,2017-12-08,1.8386,349079.5857,0.0000,0.0000,-1657.7688,-41159.7848
CPTY_A,2017-12-22,1.8770,357474.3483,0.0000,0.0000,-1416.3825,-42576.1673
CPTY_A,2018-01-05,1.9153,228111.4592,0.0000,0.0000,-1513.8778,-44090.0451
CPTY_A,2018-01-19,1.9537,239540.3423,0.0000,0.0000,-1653.1322,-45743.1772
CPTY_A,2018-02-02,1.9920,317312.6821,0.0000,0.0000,-1798.7756,-47541.9528
CPTY_A,2018-02-16,2.0304,212185.1841,0.0000,0.0000,-1942.0428,-49483.9956
CPTY_A,2018-03-02,2.0688,211528.3465,0.0000,0.0000,-1885.5608,-51369.5564
CPTY_A,2018-03-16,2.1071,106880.0914,0.0000,0.0000,-1751.9484,-53121.5048
CPTY_A,2018-04-03,2.1564,243172.5769,0.0000,0.0000,-2441.8466,-55563.3514
CPTY_A,2018-04-13,2.1838,243160.7599,0.0000,0.0000,-1360.3748,-56923.7262
CPTY_A,2018-04-27,2.2222,329599.8841,0.0000,0.0000,-1886.1834,-58809.9096
CPTY_A,2018-05-11,2.2605,222537.0554,0.0000,0.0000,-1607.9033,-60417.8129
CPTY_A,2018-05-25,2.2989,206689.3716,0.0000,0.0000,-1679.4055,-62097.2184
CPTY_A,2018-06-08,2.3372,295209.1497,0.0000,0.0000,-1994.4920,-64091.7105
CPTY_A,2018-06-22,2.3756,379738.6219,0.0000,0.0000,-1956.6090,-66048.3195
CPTY_A,2018-07-06,2.4140,392183.7914,0.0000,0.0000,-2038.4366,-68086.7561
CPTY_A,2018-07-20,2.4523,513740.1117,0.0000,0.0000,-2255.2316,-70341.9876
CPTY_A,2018-08-03,2.4907,462999.1816,0.0000,0.0000,-2249.1052,-72591.0928
CPTY_A,2018-08-17,2.5290,340951.6773,0.0000,0.0000,-2232.2696,-74823.3624
CPTY_A,2018-08-31,2.5674,280486.5894,0.0000,0.0000,-2205.1031,-77028.4655
CPTY_A,2018-09-14,2.6057,345369.0563,0.0000,0.0000,-2284.8511,-79313.3166
CPTY_A,2018-09-28,2.6441,292053.9773,0.0000,0.0000,-2144.3454,-81457.6620
CPTY_A,2018-10-12,2.6825,356362.2958,0.0000,0.0000,-2256.0644,-83713.7265
CPTY_A,2018-10-26,2.7208,380203.8655,0.0000,0.0000,-2185.0689,-85898.7954
CPTY_A,2018-11-09,2.7592,263548.6164,0.0000,0.0000,-2006.3153,-87905.1107
CPTY_A,2018-11-23,2.7975,213584.3423,0.0000,0.0000,-1802.9315,-89708.0422
CPTY_A,2018-12-07,2.8359,144348.6057,0.0000,0.0000,-1676.2448,-91384.2870
CPTY_A,2018-12-21,2.8742,60223.3375,0.0000,0.0000,-1672.8667,-93057.1537
CPTY_A,2019-01-04,2.9126,83300.9720,0.0000,0.0000,-1835.9081,-94893.0618
CPTY_A,2019-01-18,2.9509,74798.4770,0.0000,0.0000,-1552.9766,-96446.0385
CPTY_A,2019-02-01,2.9893,-9105.1078,0.0000,0.0000,-1552.6013,-97998.6398
CPTY_A,2019-02-15,3.0277,-72948.8632,0.0000,0.0000,-1390.8818,-99389.5216
CPTY_A,2019-03-01,3.0660,-119104.1931,0.0000,0.0000,-1263.5093,-100653.0309
CPTY_A,2019-03-15,3.1044,-169224.2748,0.0000,0.0000,-1331.3803,-101984.4113
CPTY_A,2019-03-29,3.1427,-15355.2033,0.0000,0.0000,-1502.6283,-103487.0396
CPTY_A,2019-04-12,3.1811,-1928.8880,0.0000,0.0000,-1451.5098,-104938.5494
CPTY_A,2019-04-26,3.2194,-41049.7144,0.0000,0.0000,-1317.5341,-106256.0835
CPTY_A,2019-05-10,3.2578,23887.6484,0.0000,0.0000,-1330.6544,-107586.7380
