#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201499.88,0.00,1201499.88,-1201499.88,1201499.88,1201499.88
CPTY_A,2016-02-19,0.038251,475899.36,546298.15,1688881.64,1201390.19,475877.42,1201499.88
CPTY_A,2016-03-04,0.076503,475136.14,378931.41,2176871.13,1130854.20,475076.75,1201499.88
CPTY_A,2016-03-18,0.114754,709036.95,409723.57,2123216.14,1226882.71,708883.25,1201499.88
CPTY_A,2016-04-01,0.153005,466324.30,480552.82,2384801.30,1526008.41,466181.03,1201499.88
CPTY_A,2016-04-15,0.191257,445381.85,437324.96,1506145.22,1511531.28,445202.47,1201499.88
CPTY_A,2016-04-29,0.229508,360497.65,600634.37,1605637.57,1519259.84,360311.32,1201499.88
CPTY_A,2016-05-13,0.267760,396617.02,387067.25,1473770.69,1278704.35,396367.29,1201499.88
CPTY_A,2016-05-27,0.306011,470321.05,523939.55,2198893.65,1287832.61,469974.08,1201499.88
CPTY_A,2016-06-10,0.344262,505047.16,489632.43,1973965.86,1233709.98,504619.99,1201499.88
CPTY_A,2016-06-24,0.382514,516284.65,471383.33,2151219.14,1248578.25,515775.39,1201499.88
CPTY_A,2016-07-08,0.420765,389821.03,376089.72,1549344.20,1292915.39,389381.70,1201499.88
CPTY_A,2016-07-22,0.459016,446412.01,595127.58,2073687.14,1306091.04,445867.18,1201499.88
CPTY_A,2016-08-05,0.497268,427384.62,420783.43,1873674.25,1156870.93,426831.12,1201499.88
CPTY_A,2016-08-19,0.535519,392503.59,393522.38,1574744.53,1162935.91,391943.95,1201499.88
CPTY_A,2016-09-02,0.573770,438449.26,478704.04,1793150.39,1161418.85,437753.12,1201499.88
CPTY_A,2016-09-16,0.612022,446273.71,528212.66,1886619.70,1120577.60,445498.84,1201499.88
CPTY_A,2016-09-30,0.650273,341422.36,383524.75,1469807.57,1038151.34,340790.15,1201499.88
CPTY_A,2016-10-14,0.688525,520598.55,543481.97,2433994.57,995426.90,519565.88,1201499.88
CPTY_A,2016-10-28,0.726776,337522.71,440211.33,1831747.22,971884.25,336788.13,1201499.88
CPTY_A,2016-11-14,0.773224,1151.27,437.81,4534.08,868008.14,1148.51,1201499.88
CPTY_A,2016-11-25,0.803279,410780.58,383346.05,2430327.00,867974.30,409752.29,1201499.88
CPTY_A,2016-12-09,0.841530,436766.34,474377.71,1689613.55,894666.63,435612.70,1201499.88
CPTY_A,2016-12-23,0.879781,439642.43,429558.16,2085825.55,856112.81,438422.33,1201499.88
CPTY_A,2017-01-06,0.918070,423034.36,435374.59,2021406.98,865100.99,421804.21,1201499.88
CPTY_A,2017-01-20,0.956426,435261.22,492844.84,1396023.12,851754.90,433942.31,1201499.88
CPTY_A,2017-02-03,0.994783,313175.61,437819.64,1165503.51,793010.08,312189.67,1201499.88
CPTY_A,2017-02-17,1.033139,400466.24,429514.83,2480803.22,667239.66,399150.23,1201499.88
CPTY_A,2017-03-03,1.071495,381653.04,551459.22,1689492.91,637015.56,380338.60,1201499.88
CPTY_A,2017-03-17,1.109851,519782.05,326605.94,1516959.72,465902.16,517909.83,1201499.88
CPTY_A,2017-03-31,1.148207,526185.92,481369.79,1846160.37,657685.48,524207.58,1201499.88
CPTY_A,2017-04-18,1.197522,1813.92,428.86,12582.85,622262.76,1806.73,1201499.88
CPTY_A,2017-04-28,1.224920,313746.70,435939.13,1272536.12,622320.94,312468.06,1201499.88
CPTY_A,2017-05-12,1.263276,415787.10,404618.47,2008107.92,498972.86,414028.60,1201499.88
CPTY_A,2017-05-26,1.301632,383457.41,369254.36,1665589.96,509002.78,381785.43,1201499.88
CPTY_A,2017-06-09,1.339988,545120.00,466145.02,1693191.19,522106.69,542671.77,1201499.88
CPTY_A,2017-06-23,1.378344,406079.90,397574.13,1516014.20,600175.15,404202.97,1201499.88
CPTY_A,2017-07-07,1.416700,412458.98,425563.99,1801787.79,607647.88,410498.57,1201499.88
CPTY_A,2017-07-21,1.455057,400641.24,312091.38,1802129.78,593353.86,398684.57,1201499.88
CPTY_A,2017-08-04,1.493413,389488.59,461945.00,2080674.92,680768.31,387535.43,1201499.88
CPTY_A,2017-08-18,1.531769,467600.49,536475.97,1750362.42,606916.18,465192.83,1201499.88
CPTY_A,2017-09-01,1.570125,495654.23,459884.05,1747057.90,536427.71,493034.28,1201499.88
CPTY_A,2017-09-15,1.608481,411769.20,432657.22,1496101.35,570404.95,409536.30,1201499.88
CPTY_A,2017-09-29,1.646837,407807.57,347267.72,1701076.22,547713.30,405540.34,1201499.88
CPTY_A,2017-10-13,1.685194,449927.70,461559.63,1885502.90,606283.20,447364.75,1201499.88
CPTY_A,2017-10-27,1.723550,384615.42,510951.15,1640965.33,592541.77,382371.90,1201499.88
CPTY_A,2017-11-13,1.770125,2945.81,854.96,11316.45,394636.81,2928.12,1201499.88
CPTY_A,2017-11-24,1.800262,404708.40,448590.87,2152931.29,394839.23,402225.98,1201499.88
CPTY_A,2017-12-08,1.838618,404497.13,394329.01,1672171.56,349079.59,401949.73,1201499.88
CPTY_A,2017-12-22,1.876974,295331.17,422805.28,1372896.82,357474.35,293422.87,1201499.88
CPTY_A,2018-01-05,1.915330,406284.52,392860.02,1664004.53,228111.46,403592.73,1201499.88
CPTY_A,2018-01-19,1.953687,468919.90,388939.01,1673537.87,239540.34,465736.32,1201499.88
CPTY_A,2018-02-02,1.992043,365802.59,468546.10,1733070.15,317312.68,363259.18,1201499.88
CPTY_A,2018-02-16,2.030399,333121.18,331447.97,1400609.70,212185.18,330757.41,1201499.88
CPTY_A,2018-03-02,2.068755,293410.01,395896.89,1394982.30,211528.35,291301.42,1201499.88
CPTY_A,2018-03-16,2.107111,571938.86,388759.85,2467398.23,106880.09,567776.76,1201499.88
CPTY_A,2018-04-03,2.156426,3141.54,808.57,14179.35,243172.58,3118.31,1201499.88
CPTY_A,2018-04-13,2.183824,374250.20,285607.62,1311338.16,243160.76,371458.86,1201499.88
CPTY_A,2018-04-27,2.222180,312834.62,417879.97,1570109.36,329599.88,310472.99,1201499.88
CPTY_A,2018-05-11,2.260536,408551.85,422345.14,1574214.77,222537.06,405430.60,1201499.88
CPTY_A,2018-05-25,2.298892,386765.95,295755.63,1421751.69,206689.37,383776.09,1201499.88
CPTY_A,2018-06-08,2.337248,381097.18,294090.58,1469452.88,295209.15,378116.61,1201499.88
CPTY_A,2018-06-22,2.375604,305151.59,290145.83,1781718.14,379738.62,302737.34,1201499.88
CPTY_A,2018-07-06,2.413961,494871.89,370468.92,1860516.45,392183.79,490911.79,1201499.88
CPTY_A,2018-07-20,2.452317,291366.04,339239.44,1508997.17,513740.11,289008.06,1201499.88
CPTY_A,2018-08-03,2.490673,300152.49,419319.55,1264777.54,462999.18,297696.21,1201499.88
CPTY_A,2018-08-17,2.529029,334219.10,391804.88,1614955.30,340951.68,331453.76,1201499.88
CPTY_A,2018-08-31,2.567385,401651.73,333812.08,1724866.91,280486.59,398292.07,1201499.88
CPTY_A,2018-09-14,2.605741,406272.90,456642.99,2489272.35,345369.06,402837.79,1201499.88
CPTY_A,2018-09-28,2.644098,416504.88,349249.83,1534882.79,292053.98,412945.54,1201499.88
CPTY_A,2018-10-12,2.682454,343086.13,316432.56,1174607.46,356362.30,340123.14,1201499.88
CPTY_A,2018-10-26,2.720810,239851.20,353869.73,1272513.59,380203.87,237758.07,1201499.88
CPTY_A,2018-11-09,2.759166,289630.57,337150.42,1328020.55,263548.62,287076.79,1201499.88
CPTY_A,2018-11-23,2.797522,242108.73,308946.91,1162170.93,213584.34,239952.06,1201499.88
CPTY_A,2018-12-07,2.835878,278368.92,360168.12,1086502.51,144348.61,275864.04,1201499.88
CPTY_A,2018-12-21,2.874235,329806.18,304267.45,1425945.33,60223.34,326808.61,1201499.88
CPTY_A,2019-01-04,2.912591,349017.61,355326.86,1128429.71,83300.97,345813.83,1201499.88
CPTY_A,2019-01-18,2.950947,323971.82,405713.96,968818.69,74798.48,320968.64,1201499.88
CPTY_A,2019-02-01,2.989303,314022.31,375844.23,1247976.38,-9105.11,311082.94,1201499.88
CPTY_A,2019-02-15,3.027659,303457.82,347691.17,1274484.03,-72948.86,300594.18,1201499.88
CPTY_A,2019-03-01,3.066015,362452.24,410663.27,1481863.30,-119104.19,359023.03,1201499.88
CPTY_A,2019-03-15,3.104372,440205.80,284241.98,1644583.16,-169224.27,436030.18,1201499.88
CPTY_A,2019-03-29,3.142728,399172.59,383663.50,1538583.84,-15355.20,395376.43,1201499.88
CPTY_A,2019-04-12,3.181084,208308.24,245478.77,1216054.03,-1928.89,206322.11,1201499.88
CPTY_A,2019-04-26,3.219440,365062.08,298138.65,1380303.99,-41049.71,361572.46,1201499.88
CPTY_A,2019-05-10,3.257796,292470.84,320406.62,1099509.46,23887.65,289667.97,1201499.88
