#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_2,2016-02-05,0.000000,1317065,0,0,0,1317065,1317065,1317065
Swap_2,2016-02-19,0.038251,1284240,7803,330260,-1403748,2281220,1284180,1317065
Swap_2,2016-03-04,0.076503,1286216,13517,172845,124190,2858735,1286056,1317065
Swap_2,2016-03-18,0.114754,1267262,18179,356593,504278,2988516,1266988,1317065
Swap_2,2016-04-01,0.153005,1298020,59445,448728,-802507,3033442,1297621,1317065
Swap_2,2016-04-15,0.191257,1366668,125039,115785,220200,3467009,1366117,1366117
Swap_2,2016-04-29,0.229508,1400646,184207,239393,285523,4258303,1399922,1399922
Swap_2,2016-05-13,0.267760,1423388,218637,100101,980780,4408812,1422492,1422492
Swap_2,2016-05-27,0.306011,1446481,272305,-9782,-280275,3904179,1445414,1445414
Swap_2,2016-06-10,0.344262,1447283,317791,1069967,357272,3930778,1446059,1446059
Swap_2,2016-06-24,0.382514,1467569,358847,50680,89209,4024369,1466121,1466121
Swap_2,2016-07-08,0.420765,1518147,405096,-34541,-564699,4131913,1516436,1516436
Swap_2,2016-07-22,0.459016,1543211,410084,156828,-59833,5457470,1541328,1541328
Swap_2,2016-08-05,0.497268,1537471,394325,152764,-5424706,5191290,1535480,1541328
Swap_2,2016-08-19,0.535519,1501277,401448,20956,-23289315,4921229,1499137,1541328
Swap_2,2016-09-02,0.573770,1575721,460461,-279709,-93528,4823905,1573219,1573219
Swap_2,2016-09-16,0.612022,1372280,560917,1831441,-443826,5399992,1369897,1573219
Swap_2,2016-09-30,0.650273,1452129,625552,348250,-292754,4577862,1449440,1573219
Swap_2,2016-10-14,0.688525,1468373,683058,285356,-228304,5045645,1465460,1573219
Swap_2,2016-10-28,0.726776,1488896,689837,60331,105237,5539047,1485656,1573219
Swap_2,2016-11-14,0.773224,1546946,791061,714,-412,5618614,1543241,1573219
Swap_2,2016-11-25,0.803279,1563653,787816,-315117,89822,5028728,1559738,1573219
Swap_2,2016-12-09,0.841530,1613146,829830,596094,40378,5302455,1608885,1608885
Swap_2,2016-12-23,0.879781,1595708,808687,235049,130588,5897458,1591279,1608885
Swap_2,2017-01-06,0.918070,1624635,861103,-144500,-126133,6370571,1619911,1619911
Swap_2,2017-01-20,0.956426,1558618,832521,30736,19660,5763290,1553896,1619911
Swap_2,2017-02-03,0.994783,1660459,903153,-271717,-194553,5607979,1655231,1655231
Swap_2,2017-02-17,1.033139,1685462,968227,295907,273084,5553212,1679923,1679923
Swap_2,2017-03-03,1.071495,1618872,932797,-6499,33581,5501016,1613296,1679923
Swap_2,2017-03-17,1.109851,1608408,903969,56210,3066163,5982457,1602615,1679923
Swap_2,2017-03-31,1.148207,1622106,919326,-237446,225347,6217245,1616007,1679923
Swap_2,2017-04-18,1.197522,1574264,903676,989,-300,6248465,1568026,1679923
Swap_2,2017-04-28,1.224920,1545664,885785,209199,295134,6481926,1539365,1679923
Swap_2,2017-05-12,1.263276,1529376,868365,-171510,853443,6039920,1522908,1679923
Swap_2,2017-05-26,1.301632,1566133,909696,747412,-196195,5988723,1559304,1679923
Swap_2,2017-06-09,1.339988,1523624,856576,-133365,158169,4827806,1516781,1679923
Swap_2,2017-06-23,1.378344,1544770,870548,-61526,526283,5181564,1537629,1679923
Swap_2,2017-07-07,1.416700,1543500,896240,-324364,-2036,5844045,1536164,1679923
Swap_2,2017-07-21,1.455057,1604387,930302,-85204,-53838,5833286,1596551,1679923
Swap_2,2017-08-04,1.493413,1594586,920593,502809,-260991,5173828,1586589,1679923
Swap_2,2017-08-18,1.531769,1692036,983470,246793,755212,5893171,1683324,1683324
Swap_2,2017-09-01,1.570125,1785775,1026093,95618,313200,6261594,1776335,1776335
Swap_2,2017-09-15,1.608481,1605149,1152258,851232,-313750,5829091,1596445,1776335
Swap_2,2017-09-29,1.646837,1628548,1160384,-681934,12623,5813967,1619494,1776335
Swap_2,2017-10-13,1.685194,1658256,1171226,388163,497850,5989935,1648810,1776335
Swap_2,2017-10-27,1.723550,1708315,1176315,563075,-327021,7108051,1698350,1776335
Swap_2,2017-11-13,1.770125,1681402,1146966,1646,-381,6569498,1671306,1776335
Swap_2,2017-11-24,1.800262,1658538,1165503,125479,285307,6304808,1648365,1776335
Swap_2,2017-12-08,1.838618,1639507,1138253,59870,1138503,6590075,1629182,1776335
Swap_2,2017-12-22,1.876974,1702626,1202689,-572854,1836588,6275915,1691625,1776335
Swap_2,2018-01-05,1.915330,1748262,1220202,175894,367602,6845145,1736679,1776335
Swap_2,2018-01-19,1.953687,1764170,1218197,-153981,-97267,7009834,1752193,1776335
Swap_2,2018-02-02,1.992043,1869520,1302705,42807,77712,6927977,1856522,1856522
Swap_2,2018-02-16,2.030399,1836563,1278508,-55808,-563367,6493383,1823531,1856522
Swap_2,2018-03-02,2.068755,1822610,1253450,246295,50895,6466868,1809512,1856522
Swap_2,2018-03-16,2.107111,1799053,1265185,-91791,418399,6570527,1785961,1856522
Swap_2,2018-04-03,2.156426,1853328,1318239,1975,-125,7055100,1839625,1856522
Swap_2,2018-04-13,2.183824,1889185,1344302,4679876,-87522,7189098,1875094,1875094
Swap_2,2018-04-27,2.222180,1851147,1314088,159581,342577,6866311,1837172,1875094
Swap_2,2018-05-11,2.260536,1818482,1316596,686933,323227,6926632,1804589,1875094
Swap_2,2018-05-25,2.298892,1820493,1317087,126671,340974,6643518,1806420,1875094
Swap_2,2018-06-08,2.337248,1775486,1274614,-1197014,-796628,7328641,1761599,1875094
Swap_2,2018-06-22,2.375604,1743083,1259408,-967336,-248447,6799308,1729292,1875094
Swap_2,2018-07-06,2.413961,1740960,1281311,158595,352783,6994703,1727029,1875094
Swap_2,2018-07-20,2.452317,1737945,1264923,776509,105735,7134580,1723880,1875094
Swap_2,2018-08-03,2.490673,1761164,1268092,42262,307368,6920356,1746752,1875094
Swap_2,2018-08-17,2.529029,1823093,1299614,1465762,122244,7698714,1808009,1875094
Swap_2,2018-08-31,2.567385,1852860,1349896,-92032,96189,7355930,1837362,1875094
Swap_2,2018-09-14,2.605741,1589266,1393304,111601,2022,6087604,1575828,1875094
Swap_2,2018-09-28,2.644098,1527141,1363725,368510,108712,4958124,1514091,1875094
Swap_2,2018-10-12,2.682454,1491547,1330667,48667,84874,5664027,1478666,1875094
Swap_2,2018-10-26,2.720810,1430329,1282020,49928,108677,5417676,1417847,1875094
Swap_2,2018-11-09,2.759166,1403273,1288347,40793,15364,4911300,1390900,1875094
Swap_2,2018-11-23,2.797522,1411508,1312735,77142,76219,4907535,1398935,1875094
Swap_2,2018-12-07,2.835878,1416176,1292439,28435,79531,5050998,1403433,1875094
Swap_2,2018-12-21,2.874235,1391934,1288433,123449,65953,5016938,1379283,1875094
Swap_2,2019-01-04,2.912591,1438568,1296670,242864,-113995,5037403,1425363,1875094
Swap_2,2019-01-18,2.950947,1362879,1259978,-6780,19409,4501736,1350245,1875094
Swap_2,2019-02-01,2.989303,1300832,1228354,29934,1528913,4524966,1288656,1875094
Swap_2,2019-02-15,3.027659,1259667,1226491,219712,72369,4313066,1247780,1875094
Swap_2,2019-03-01,3.066015,1273523,1250348,-356408,54303,3852693,1261474,1875094
Swap_2,2019-03-15,3.104372,1224312,1199506,289263,62223,3948190,1212699,1875094
Swap_2,2019-03-29,3.142728,1223629,1201895,-3394,-9368,4076034,1211992,1875094
Swap_2,2019-04-12,3.181084,1195768,1211943,101085,59785,4453161,1184367,1875094
Swap_2,2019-04-26,3.219440,1173381,1210813,7996,-28456,4126267,1162165,1875094
Swap_2,2019-05-10,3.257796,1192813,1229095,-194549,-24318,4252896,1181382,1875094
