#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,0.0000,#N/A,-352553.5842
CPTY_A,2016-02-19,0.0383,1201367.9401,0.0000,0.0000,-119.6204,-119.6204
CPTY_A,2016-03-04,0.0765,1129659.5962,0.0000,0.0000,-154.2747,-273.8951
CPTY_A,2016-03-18,0.1148,1227019.5450,0.0000,0.0000,-198.3716,-472.2667
CPTY_A,2016-04-01,0.1530,1527096.9094,0.0000,0.0000,-223.7757,-696.0424
CPTY_A,2016-04-15,0.1913,1508665.9638,0.0000,0.0000,-288.8387,-984.8811
CPTY_A,2016-04-29,0.2295,1520920.1423,0.0000,0.0000,-378.8387,-1363.7198
CPTY_A,2016-05-13,0.2678,1278281.9304,0.0000,0.0000,-395.0793,-1758.7991
CPTY_A,2016-05-27,0.3060,1288210.3392,0.0000,0.0000,-432.2876,-2191.0866
CPTY_A,2016-06-10,0.3443,1231083.7605,0.0000,0.0000,-486.9025,-2677.9891
CPTY_A,2016-06-24,0.3825,1247503.6723,0.0000,0.0000,-485.8533,-3163.8424
CPTY_A,2016-07-08,0.4208,1292981.2392,0.0000,0.0000,-536.2037,-3700.0461
CPTY_A,2016-07-22,0.4590,1306828.1946,0.0000,0.0000,-535.2565,-4235.3026
CPTY_A,2016-08-05,0.4973,1158752.9285,0.0000,0.0000,-479.9632,-4715.2658
CPTY_A,2016-08-19,0.5355,1159753.3583,0.0000,0.0000,-467.3451,-5182.6109
CPTY_A,2016-09-02,0.5738,1161447.8878,0.0000,0.0000,-434.1164,-5616.7273
CPTY_A,2016-09-16,0.6120,1120454.4153,0.0000,0.0000,-501.9495,-6118.6768
CPTY_A,2016-09-30,0.6503,1038227.3189,0.0000,0.0000,-430.1295,-6548.8062
CPTY_A,2016-10-14,0.6885,998104.8016,0.0000,0.0000,-508.9984,-7057.8046
CPTY_A,2016-10-28,0.7268,973124.2218,0.0000,0.0000,-556.2968,-7614.1014
CPTY_A,2016-11-14,0.7732,866618.7726,0.0000,0.0000,-806.3207,-8420.4221
CPTY_A,2016-11-25,0.8033,866037.6454,0.0000,0.0000,-497.3516,-8917.7737
CPTY_A,2016-12-09,0.8415,896730.8886,0.0000,0.0000,-703.6285,-9621.4022
CPTY_A,2016-12-23,0.8798,853124.3740,0.0000,0.0000,-767.8080,-10389.2102
CPTY_A,2017-01-06,0.9181,862824.7934,0.0000,0.0000,-871.2678,-11260.4780
CPTY_A,2017-01-20,0.9564,852163.6407,0.0000,0.0000,-822.5719,-12083.0499
CPTY_A,2017-02-03,0.9948,790529.1155,0.0000,0.0000,-896.8431,-12979.8929
CPTY_A,2017-02-17,1.0331,664055.0048,0.0000,0.0000,-832.0052,-13811.8981
CPTY_A,2017-03-03,1.0715,632917.4942,0.0000,0.0000,-919.0292,-14730.9274
CPTY_A,2017-03-17,1.1099,462914.8777,0.0000,0.0000,-1023.6154,-15754.5427
CPTY_A,2017-03-31,1.1482,653636.7062,0.0000,0.0000,-1191.3317,-16945.8744
CPTY_A,2017-04-18,1.1975,625356.2969,0.0000,0.0000,-1584.6712,-18530.5457
CPTY_A,2017-04-28,1.2249,624426.7516,0.0000,0.0000,-861.5575,-19392.1032
CPTY_A,2017-05-12,1.2633,498297.8168,0.0000,0.0000,-1006.4639,-20398.5670
CPTY_A,2017-05-26,1.3016,504749.8800,0.0000,0.0000,-1064.1534,-21462.7204
CPTY_A,2017-06-09,1.3400,517720.6082,0.0000,0.0000,-976.9521,-22439.6726
CPTY_A,2017-06-23,1.3783,598021.4869,0.0000,0.0000,-824.1606,-23263.8332
CPTY_A,2017-07-07,1.4167,608345.4794,0.0000,0.0000,-981.9825,-24245.8156
CPTY_A,2017-07-21,1.4551,592301.1934,0.0000,0.0000,-1100.8996,-25346.7153
CPTY_A,2017-08-04,1.4934,679227.7982,0.0000,0.0000,-1098.3612,-26445.0764
CPTY_A,2017-08-18,1.5318,609218.9295,0.0000,0.0000,-1266.7796,-27711.8561
CPTY_A,2017-09-01,1.5701,534564.7938,0.0000,0.0000,-1410.7832,-29122.6392
CPTY_A,2017-09-15,1.6085,567033.0830,0.0000,0.0000,-1515.3894,-30638.0286
