#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201507.38,0.00,1201507.38,-1201507.38,1201507.38,1201507.38
CPTY_A,2016-02-19,0.038251,475839.38,546256.86,1688597.95,1201397.69,475817.44,1201507.38
CPTY_A,2016-03-04,0.076503,476123.72,378820.03,2176955.31,1129727.51,476064.20,1201507.38
CPTY_A,2016-03-18,0.114754,708634.48,409609.21,2122714.96,1227086.60,708480.87,1201507.38
CPTY_A,2016-04-01,0.153005,464968.78,480452.17,2384674.83,1527171.37,464825.92,1201507.38
CPTY_A,2016-04-15,0.191257,446620.56,435867.01,1507967.37,1508738.91,446440.67,1201507.38
CPTY_A,2016-04-29,0.229508,360575.17,602537.32,1605462.80,1520993.54,360388.80,1201507.38
CPTY_A,2016-05-13,0.267760,396763.00,386942.43,1474244.66,1278335.91,396513.17,1201507.38
CPTY_A,2016-05-27,0.306011,470746.79,524962.32,2198366.64,1288263.82,470399.51,1201507.38
CPTY_A,2016-06-10,0.344262,504705.12,486875.24,1974207.01,1231136.16,504278.24,1201507.38
CPTY_A,2016-06-24,0.382514,516278.46,470576.61,2150602.53,1247552.34,515769.20,1201507.38
CPTY_A,2016-07-08,0.420765,389335.44,375886.26,1549553.66,1293034.22,388896.67,1201507.38
CPTY_A,2016-07-22,0.459016,446674.18,596361.35,2072307.04,1306879.24,446129.04,1201507.38
CPTY_A,2016-08-05,0.497268,425809.03,421248.51,1873139.11,1158784.80,425257.57,1201507.38
CPTY_A,2016-08-19,0.535519,394600.93,392558.44,1574470.93,1159782.77,394038.29,1201507.38
CPTY_A,2016-09-02,0.573770,438718.91,479106.99,1792843.28,1161498.14,438022.35,1201507.38
CPTY_A,2016-09-16,0.612022,446787.94,528794.66,1885668.26,1120504.94,446012.18,1201507.38
CPTY_A,2016-09-30,0.650273,342181.59,384586.60,1471060.46,1038294.42,341547.99,1201507.38
CPTY_A,2016-10-14,0.688525,519726.62,545523.15,2431087.29,998167.67,518695.68,1201507.38
CPTY_A,2016-10-28,0.726776,336437.34,440555.68,1830387.46,973183.10,335705.12,1201507.38
CPTY_A,2016-11-14,0.773224,3844.04,1881.27,14620.21,866672.42,3834.83,1201507.38
CPTY_A,2016-11-25,0.803279,409681.22,380585.76,2429915.59,866091.28,408655.68,1201507.38
CPTY_A,2016-12-09,0.841530,435978.16,475956.65,1689517.01,896783.84,434826.60,1201507.38
CPTY_A,2016-12-23,0.879781,440449.07,427930.04,2082200.51,853171.78,439226.74,1201507.38
CPTY_A,2017-01-06,0.918070,423966.32,434414.66,2021743.90,862875.38,422733.45,1201507.38
CPTY_A,2017-01-20,0.956426,434048.04,492410.87,1396236.15,852214.19,432732.80,1201507.38
CPTY_A,2017-02-03,0.994783,315045.23,437596.32,1168514.88,790575.18,314053.41,1201507.38
CPTY_A,2017-02-17,1.033139,402288.86,428531.72,2482481.48,664085.99,400966.87,1201507.38
CPTY_A,2017-03-03,1.071495,382946.50,549083.19,1693071.65,632955.65,381627.61,1201507.38
CPTY_A,2017-03-17,1.109851,522319.43,326656.48,1524272.63,462950.77,520438.07,1201507.38
CPTY_A,2017-03-31,1.148207,529396.40,481059.65,1844944.91,653676.30,527405.99,1201507.38
CPTY_A,2017-04-18,1.197522,2179.43,4177.61,15246.78,625395.12,2170.79,1201507.38
CPTY_A,2017-04-28,1.224920,311957.48,437013.38,1272145.84,624465.58,310686.13,1201507.38
CPTY_A,2017-05-12,1.263276,415076.91,403849.20,2008355.38,498325.59,413321.41,1201507.38
CPTY_A,2017-05-26,1.301632,386362.41,368637.83,1681239.04,504777.78,384677.77,1201507.38
CPTY_A,2017-06-09,1.339988,546831.89,463973.49,1709024.67,517745.17,544375.97,1201507.38
CPTY_A,2017-06-23,1.378344,408145.31,397948.16,1518189.44,598040.95,406258.83,1201507.38
CPTY_A,2017-07-07,1.416700,413069.20,427296.61,1802730.06,608366.25,411105.89,1201507.38
CPTY_A,2017-07-21,1.455057,401199.53,311985.68,1800834.10,592318.92,399240.14,1201507.38
CPTY_A,2017-08-04,1.493413,392073.18,463485.00,2076976.84,679245.52,390107.05,1201507.38
CPTY_A,2017-08-18,1.531769,467120.17,538836.99,1752524.55,609226.64,464714.98,1201507.38
CPTY_A,2017-09-01,1.570125,496176.90,459063.29,1749525.24,534574.64,493554.18,1201507.38
CPTY_A,2017-09-15,1.608481,412626.24,430733.97,1496105.09,567042.42,410388.69,1201507.38
CPTY_A,2017-09-29,1.646837,408961.18,347050.11,1699807.82,545757.69,406687.54,1201507.38
CPTY_A,2017-10-13,1.685194,449464.32,463133.07,1889238.29,607797.21,446904.01,1201507.38
CPTY_A,2017-10-27,1.723550,384615.62,511803.68,1649432.97,592824.21,382372.09,1201507.38
CPTY_A,2017-11-13,1.770125,4296.62,1501.14,25055.01,393646.95,4270.82,1201507.38
CPTY_A,2017-11-24,1.800262,405162.74,446938.59,2148825.26,392188.39,402677.54,1201507.38
CPTY_A,2017-12-08,1.838618,404150.48,393962.32,1675741.74,348548.63,401605.26,1201507.38
CPTY_A,2017-12-22,1.876974,294870.88,422771.61,1376326.14,357123.11,292965.56,1201507.38
CPTY_A,2018-01-05,1.915330,408385.49,393150.95,1664979.19,225712.59,405679.78,1201507.38
CPTY_A,2018-01-19,1.953687,470287.68,388540.72,1671443.34,237139.27,467094.81,1201507.38
CPTY_A,2018-02-02,1.992043,366415.41,470618.13,1734571.23,318218.59,363867.74,1201507.38
CPTY_A,2018-02-16,2.030399,329348.37,328707.76,1401228.57,212737.25,327011.37,1201507.38
CPTY_A,2018-03-02,2.068755,290945.87,397342.31,1395412.07,214843.21,288854.98,1201507.38
CPTY_A,2018-03-16,2.107111,572999.76,389131.58,2471589.86,105641.32,568829.94,1201507.38
CPTY_A,2018-04-03,2.156426,11168.49,4258.47,75197.26,238308.17,11085.91,1201507.38
CPTY_A,2018-04-13,2.183824,375427.54,280884.79,1311580.76,236634.75,372627.41,1201507.38
CPTY_A,2018-04-27,2.222180,312326.37,415685.45,1572578.55,327261.42,309968.57,1201507.38
CPTY_A,2018-05-11,2.260536,407552.69,420877.49,1576233.51,221573.34,404439.08,1201507.38
CPTY_A,2018-05-25,2.298892,386114.94,298717.00,1420347.86,209667.89,383130.12,1201507.38
CPTY_A,2018-06-08,2.337248,381203.33,293550.97,1469847.15,294118.55,378221.92,1201507.38
CPTY_A,2018-06-22,2.375604,305888.20,289340.14,1781882.25,377720.82,303468.12,1201507.38
CPTY_A,2018-07-06,2.413961,493884.19,369632.14,1869079.52,391831.60,489932.00,1201507.38
CPTY_A,2018-07-20,2.452317,291812.47,337488.83,1524528.14,511040.66,289450.87,1201507.38
CPTY_A,2018-08-03,2.490673,304789.82,416600.92,1266754.78,455115.53,302295.59,1201507.38
CPTY_A,2018-08-17,2.529029,337329.98,392908.33,1615337.83,338364.38,334538.90,1201507.38
CPTY_A,2018-08-31,2.567385,401166.81,336492.38,1716349.01,283174.74,397811.21,1201507.38
CPTY_A,2018-09-14,2.605741,406735.49,451742.23,2497848.69,339485.11,403296.47,1201507.38
CPTY_A,2018-09-28,2.644098,419671.17,349523.04,1534077.70,288724.38,416084.77,1201507.38
CPTY_A,2018-10-12,2.682454,347542.97,314155.88,1198834.20,349191.39,344541.49,1201507.38
CPTY_A,2018-10-26,2.720810,240913.70,351988.06,1273393.87,376910.30,238811.29,1201507.38
CPTY_A,2018-11-09,2.759166,292639.58,335943.82,1326445.31,259115.47,290059.27,1201507.38
CPTY_A,2018-11-23,2.797522,244134.95,309985.36,1161643.13,212216.82,241960.23,1201507.38
CPTY_A,2018-12-07,2.835878,282105.63,358505.73,1087394.91,138518.26,279567.13,1201507.38
CPTY_A,2018-12-21,2.874235,331442.97,306473.73,1521182.94,60276.67,328430.52,1201507.38
CPTY_A,2019-01-04,2.912591,350602.83,357123.64,1114112.10,83198.55,347384.50,1201507.38
CPTY_A,2019-01-18,2.950947,325291.28,406552.71,972285.70,73995.37,322275.87,1201507.38
CPTY_A,2019-02-01,2.989303,316020.77,374776.39,1246692.93,-12589.98,313062.69,1201507.38
CPTY_A,2019-02-15,3.027659,304976.65,347000.43,1278741.07,-75322.33,302098.68,1201507.38
CPTY_A,2019-03-01,3.066015,364612.43,409346.64,1481368.11,-122838.30,361162.77,1201507.38
CPTY_A,2019-03-15,3.104372,442634.18,282586.56,1651326.90,-173558.53,438435.52,1201507.38
CPTY_A,2019-03-29,3.142728,400652.86,381245.20,1538312.14,-19621.95,396842.62,1201507.38
CPTY_A,2019-04-12,3.181084,208002.59,242124.25,1219382.78,-5340.24,206019.39,1201507.38
CPTY_A,2019-04-26,3.219440,367082.99,294430.31,1382536.08,-47092.14,363574.05,1201507.38
CPTY_A,2019-05-10,3.257796,293490.64,319846.93,1099675.22,21917.00,290677.99,1201507.38
CPTY_A,2019-05-24,3.296152,318514.28,329790.09,1216517.80,-5153.71,315454.03,1201507.38
CPTY_A,2019-06-07,3.334509,296060.08,289839.28,1167379.37,-18465.96,293208.33,1201507.38
CPTY_A,2019-06-21,3.372865,241538.22,274507.27,822105.67,-20326.60,239205.73,1201507.38
CPTY_A,2019-07-05,3.411221,292549.25,247470.65,1151094.25,-55761.02,289717.01,1201507.38
CPTY_A,2019-07-19,3.449577,313424.45,351096.21,1511127.09,-13051.52,310382.45,1201507.38
CPTY_A,2019-08-02,3.487933,232430.42,388898.74,1040886.92,-59686.67,230168.84,1201507.38
CPTY_A,2019-08-16,3.526289,306032.45,301384.11,1262463.96,-223288.54,303047.23,1201507.38
CPTY_A,2019-08-30,3.564646,323028.69,332346.01,1133047.86,-218165.72,319869.78,1201507.38
CPTY_A,2019-09-13,3.603002,313502.12,435940.87,1332151.43,-230400.78,310428.70,1201507.38
CPTY_A,2019-09-27,3.641358,282308.42,194619.09,1326950.97,-357629.78,279533.91,1201507.38
CPTY_A,2019-10-11,3.679714,292915.70,321179.58,932696.25,-272582.10,290029.78,1201507.38
