#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201507.38,0.00,1201507.38,-1201507.38,1201507.38,1201507.38
CPTY_A,2016-02-19,0.038251,1243492.74,112512.53,2890068.94,0.00,1243435.40,1243435.40
CPTY_A,2016-03-04,0.076503,1394777.46,167746.25,3319276.19,0.00,1394603.10,1394603.10
CPTY_A,2016-03-18,0.114754,1804788.37,278676.50,4590783.13,0.00,1804397.13,1804397.13
CPTY_A,2016-04-01,0.153005,1926880.20,415192.23,4823716.63,0.00,1926288.18,1926288.18
CPTY_A,2016-04-15,0.191257,1976767.00,457274.55,6185891.38,0.00,1975970.84,1975970.84
CPTY_A,2016-04-29,0.229508,1881383.03,602351.65,5187555.38,0.00,1880410.63,1975970.84
CPTY_A,2016-05-13,0.267760,1943142.39,654985.92,6415219.41,0.00,1941918.89,1975970.84
CPTY_A,2016-05-27,0.306011,2015878.35,781830.06,6995029.50,0.00,2014391.17,2014391.17
CPTY_A,2016-06-10,0.344262,2085306.86,836340.83,6399673.06,0.00,2083543.11,2083543.11
CPTY_A,2016-06-24,0.382514,2298864.08,1005609.90,7308556.00,0.00,2296596.48,2296596.48
CPTY_A,2016-07-08,0.420765,2245735.65,939252.24,7057733.63,0.00,2243204.73,2296596.48
CPTY_A,2016-07-22,0.459016,2391721.61,1234529.54,6679588.50,0.00,2388802.61,2388802.61
CPTY_A,2016-08-05,0.497268,2377714.99,1214369.68,7737002.19,0.00,2374635.64,2388802.61
CPTY_A,2016-08-19,0.535519,2384733.24,1222907.97,7611306.44,0.00,2381333.02,2388802.61
CPTY_A,2016-09-02,0.573770,2553442.42,1432332.36,8555290.13,0.00,2549388.27,2549388.27
CPTY_A,2016-09-16,0.612022,2545066.05,1506567.82,9564863.75,0.00,2540647.04,2549388.27
CPTY_A,2016-09-30,0.650273,2568240.75,1572351.34,9022754.50,0.00,2563485.20,2563485.20
CPTY_A,2016-10-14,0.688525,2649181.28,1676810.14,9702496.75,0.00,2643926.30,2643926.30
CPTY_A,2016-10-28,0.726776,2662030.94,1792966.18,10303376.50,0.00,2656237.35,2656237.35
CPTY_A,2016-11-14,0.773224,2694462.20,1825827.01,10309964.38,0.00,2688009.54,2688009.54
CPTY_A,2016-11-25,0.803279,2776034.40,1880847.65,9594316.63,0.00,2769085.23,2769085.23
