#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_1,2016-02-05,0.000000,0,1744739,0,0,0,0,0
Swap_1,2016-02-19,0.038251,36916,1781554,-1220360,524278,219901,36914,36914
Swap_1,2016-03-04,0.076503,130399,1874271,-942476,801396,1006204,130382,130382
Swap_1,2016-03-18,0.114754,288079,1772022,-680827,803116,1869186,288016,288016
Swap_1,2016-04-01,0.153005,377748,1862975,-574618,910609,2328753,377632,377632
Swap_1,2016-04-15,0.191257,458512,1945797,-494272,993013,2716129,458328,458328
Swap_1,2016-04-29,0.229508,536192,2027024,-354978,1135854,3058796,535915,535915
Swap_1,2016-05-13,0.267760,605181,2100019,-289921,1204916,3382961,604800,604800
Swap_1,2016-05-27,0.306011,674639,2164973,-213554,1276780,3727101,674141,674141
Swap_1,2016-06-10,0.344262,747140,2230033,-163514,1319379,4001875,746508,746508
Swap_1,2016-06-24,0.382514,804501,2286090,-126361,1355228,4235857,803707,803707
Swap_1,2016-07-08,0.420765,872527,2356544,-65303,1418713,4553796,871544,871544
Swap_1,2016-07-22,0.459016,934654,2422211,1506,1489063,4829140,933513,933513
Swap_1,2016-08-05,0.497268,988762,2480121,44050,1535410,5067239,987481,987481
Swap_1,2016-08-19,0.535519,1047152,2535896,103981,1592725,5319289,1045659,1045659
Swap_1,2016-09-02,0.573770,1106510,2589261,150696,1633448,5478958,1104753,1104753
Swap_1,2016-09-16,0.612022,1234761,2479068,314819,1559126,5865788,1232617,1232617
Swap_1,2016-09-30,0.650273,1278665,2521292,366652,1609280,6042596,1276297,1276297
Swap_1,2016-10-14,0.688525,1331231,2576084,395295,1640148,6235661,1328590,1328590
Swap_1,2016-10-28,0.726776,1377282,2625975,466292,1714985,6501174,1374284,1374284
Swap_1,2016-11-14,0.773224,1426686,2677646,496384,1747344,6718804,1423269,1423269
Swap_1,2016-11-25,0.803279,1455135,2707243,489121,1741229,6742939,1451492,1451492
Swap_1,2016-12-09,0.841530,1503931,2753660,538006,1787736,6928772,1499958,1499958
Swap_1,2016-12-23,0.879781,1549242,2797978,557915,1806650,7184212,1544943,1544943
Swap_1,2017-01-06,0.918070,1586782,2833981,597362,1844561,7367940,1582168,1582168
Swap_1,2017-01-20,0.956426,1625156,2870778,597775,1843397,7399953,1620231,1620231
Swap_1,2017-02-03,0.994783,1663148,2908940,680477,1926269,7568288,1657912,1657912
Swap_1,2017-02-17,1.033139,1698837,2947875,697748,1946786,7518570,1693254,1693254
Swap_1,2017-03-03,1.071495,1735230,2985888,721016,1971675,7845687,1729253,1729253
Swap_1,2017-03-17,1.109851,1781087,2810547,772763,1802223,8045528,1774672,1774672
Swap_1,2017-03-31,1.148207,1818825,2847390,823480,1852045,8123839,1811986,1811986
