#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-3388.7133,#N/A,-325924.3027
CPTY_A,2016-02-19,0.0383,201451.5047,-7.8345,-7.8345,-27.2003,-27.2003
CPTY_A,2016-03-04,0.0765,576261.9824,-22.4141,-30.2486,-101.7413,-128.9417
CPTY_A,2016-03-18,0.1148,720906.8988,-28.0465,-58.2951,-155.6269,-284.5686
CPTY_A,2016-04-01,0.1530,966596.7292,-37.6049,-95.9000,-186.8724,-471.4410
CPTY_A,2016-04-15,0.1913,1028396.3673,-40.0219,-135.9219,-244.7757,-716.2167
CPTY_A,2016-04-29,0.2295,1067115.3082,-41.5522,-177.4740,-320.5677,-1036.7844
CPTY_A,2016-05-13,0.2678,935420.6660,-36.4539,-213.9279,-323.1555,-1359.9399
CPTY_A,2016-05-27,0.3060,932983.3456,-36.3753,-250.3032,-364.2789,-1724.2188
CPTY_A,2016-06-10,0.3443,924628.3820,-36.0958,-286.3991,-437.7229,-2161.9417
CPTY_A,2016-06-24,0.3825,994985.4762,-38.8562,-325.2552,-438.5219,-2600.4637
CPTY_A,2016-07-08,0.4208,1026204.6065,-40.1055,-365.3608,-487.5159,-3087.9796
CPTY_A,2016-07-22,0.4590,1055855.7931,-41.2670,-406.6278,-489.0157,-3576.9953
CPTY_A,2016-08-05,0.4973,909965.0550,-35.5778,-442.2055,-436.5178,-4013.5131
CPTY_A,2016-08-19,0.5355,962731.8180,-37.6570,-479.8625,-435.9448,-4449.4579
CPTY_A,2016-09-02,0.5738,1091563.5537,-42.6718,-522.5343,-429.9523,-4879.4102
CPTY_A,2016-09-16,0.6120,976660.2498,-38.2678,-560.8021,-470.1361,-5349.5463
CPTY_A,2016-09-30,0.6503,944928.2332,-36.9913,-597.7934,-407.9687,-5757.5150
CPTY_A,2016-10-14,0.6885,927112.2954,-36.4016,-634.1951,-499.2024,-6256.7174
CPTY_A,2016-10-28,0.7268,923418.4790,-36.3095,-670.5046,-514.1120,-6770.8294
CPTY_A,2016-11-14,0.7732,843707.5079,-40.5115,-711.0161,-778.0378,-7548.8672
CPTY_A,2016-11-25,0.8033,843174.6844,-26.1749,-737.1910,-478.1912,-8027.0584
CPTY_A,2016-12-09,0.8415,880785.8186,-34.8480,-772.0390,-683.4026,-8710.4610
CPTY_A,2016-12-23,0.8798,807791.2661,-32.1708,-804.2099,-723.3659,-9433.8268
CPTY_A,2017-01-06,0.9181,792041.2165,-31.7215,-835.9314,-828.5420,-10262.3688
