#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,1201507.38,0.00,1201507.38,-1201507.38,1201507.38,1201507.38
CPTY_A,2016-02-19,0.038251,1086339.64,156840.68,2688575.39,201481.25,1086289.55,1201507.38
CPTY_A,2016-03-04,0.076503,856342.82,205618.21,2935305.40,576306.59,856235.78,1201507.38
CPTY_A,2016-03-18,0.114754,1129590.52,324430.06,3122797.48,720951.40,1129345.65,1201507.38
CPTY_A,2016-04-01,0.153005,909441.41,364409.71,3384503.32,966656.28,909161.99,1201507.38
CPTY_A,2016-04-15,0.191257,800531.59,309495.73,2329185.57,1028456.60,800209.16,1201507.38
CPTY_A,2016-04-29,0.229508,712677.77,500818.57,2503204.02,1067172.19,712309.42,1201507.38
CPTY_A,2016-05-13,0.267760,788327.60,435634.42,2474039.60,935463.30,787831.22,1201507.38
CPTY_A,2016-05-27,0.306011,816649.73,515624.76,3118578.33,933023.33,816047.26,1201507.38
CPTY_A,2016-06-10,0.344262,794762.62,470472.48,2814964.91,924675.90,794090.41,1201507.38
CPTY_A,2016-06-24,0.382514,860417.92,562188.39,2470294.95,995024.66,859569.20,1201507.38
CPTY_A,2016-07-08,0.420765,580048.05,299814.63,2169990.65,1026249.98,579394.34,1201507.38
CPTY_A,2016-07-22,0.459016,777867.77,676577.73,3023996.42,1055902.04,776918.41,1201507.38
CPTY_A,2016-08-05,0.497268,688142.09,434793.41,2868841.75,909996.64,687250.88,1201507.38
CPTY_A,2016-08-19,0.535519,605692.96,406626.40,2060474.80,962758.70,604829.35,1201507.38
CPTY_A,2016-09-02,0.573770,701346.16,671844.68,2485486.69,1091608.58,700232.62,1201507.38
CPTY_A,2016-09-16,0.612022,706954.28,645165.20,2670254.72,976709.16,705726.79,1201507.38
CPTY_A,2016-09-30,0.650273,564434.71,513539.61,2070325.05,944994.31,563389.56,1201507.38
CPTY_A,2016-10-14,0.688525,720994.67,675803.72,2702264.50,927180.20,719564.48,1201507.38
CPTY_A,2016-10-28,0.726776,553221.18,607630.59,2711596.81,923474.17,552017.16,1201507.38
CPTY_A,2016-11-14,0.773224,499287.05,474409.23,1011613.71,843757.37,498091.36,1201507.38
CPTY_A,2016-11-25,0.803279,649869.03,597906.82,3430270.22,843224.54,648242.23,1201507.38
CPTY_A,2016-12-09,0.841530,623478.43,647508.20,2433802.67,880835.12,621831.62,1201507.38
CPTY_A,2016-12-23,0.879781,623329.20,565473.48,2331506.07,807835.10,621599.33,1201507.38
CPTY_A,2017-01-06,0.918070,713069.61,652732.45,3021983.82,792089.89,710996.06,1201507.38
CPTY_A,2017-01-20,0.956426,590841.63,626805.16,2143358.08,829814.89,589051.28,1201507.38
CPTY_A,2017-02-03,0.994783,528516.57,645151.81,1936713.37,784659.33,526852.69,1201507.38
CPTY_A,2017-02-17,1.033139,568028.60,592976.73,2656884.43,662791.26,566161.96,1201507.38
CPTY_A,2017-03-03,1.071495,456061.37,630943.17,2134322.89,641700.76,454490.66,1201507.38
CPTY_A,2017-03-17,1.109851,704757.60,527660.42,2319375.88,481516.54,702219.11,1201507.38
CPTY_A,2017-03-31,1.148207,564768.19,518025.52,2526286.11,655270.37,562644.79,1201507.38
CPTY_A,2017-04-18,1.197522,481323.40,448037.64,1014537.42,590111.18,479416.07,1201507.38
CPTY_A,2017-04-28,1.224920,480541.21,570377.36,2030743.53,589245.83,478582.81,1201507.38
CPTY_A,2017-05-12,1.263276,650246.19,630067.76,3008244.73,489374.86,647496.09,1201507.38
CPTY_A,2017-05-26,1.301632,502244.02,546712.74,1866938.58,566971.07,500054.10,1201507.38
CPTY_A,2017-06-09,1.339988,658334.66,539848.65,2549564.10,482117.56,655377.96,1201507.38
CPTY_A,2017-06-23,1.378344,509175.13,454912.83,2430485.71,553975.80,506821.68,1201507.38
CPTY_A,2017-07-07,1.416700,594182.48,581736.25,2234360.60,581692.60,591358.35,1201507.38
CPTY_A,2017-07-21,1.455057,585377.13,530687.79,2059403.92,626843.43,582518.24,1201507.38
CPTY_A,2017-08-04,1.493413,497845.80,556360.99,2938720.01,666348.88,495349.26,1201507.38
CPTY_A,2017-08-18,1.531769,611631.11,641139.63,2674621.65,567018.35,608481.83,1201507.38
CPTY_A,2017-09-01,1.570125,694875.98,668149.28,2499392.47,544961.55,691202.97,1201507.38
CPTY_A,2017-09-15,1.608481,509000.28,542688.76,2496123.52,582623.17,506240.12,1201507.38
CPTY_A,2017-09-29,1.646837,559581.24,463936.82,1731570.51,512024.35,556470.22,1201507.38
CPTY_A,2017-10-13,1.685194,651936.36,588977.28,2447539.12,531169.38,648222.70,1201507.38
CPTY_A,2017-10-27,1.723550,576339.65,609039.94,2136665.74,498336.43,572977.77,1201507.38
CPTY_A,2017-11-13,1.770125,524837.88,393621.45,1025011.87,265226.00,521686.20,1201507.38
CPTY_A,2017-11-24,1.800262,602778.67,516245.39,2733938.38,263879.27,599081.33,1201507.38
CPTY_A,2017-12-08,1.838618,578259.05,473080.50,2674322.71,253558.23,574617.35,1201507.38
CPTY_A,2017-12-22,1.876974,559112.31,622220.28,2005241.37,292330.35,555499.57,1201507.38
CPTY_A,2018-01-05,1.915330,693030.70,590306.64,2315370.59,138223.07,688439.11,1201507.38
CPTY_A,2018-01-19,1.953687,746999.49,618015.75,2534495.61,189902.50,741927.97,1201507.38
CPTY_A,2018-02-02,1.992043,549990.63,603401.08,2197792.66,267426.32,546166.58,1201507.38
CPTY_A,2018-02-16,2.030399,589115.14,547447.25,2170669.34,171709.97,584934.89,1201507.38
CPTY_A,2018-03-02,2.068755,499054.82,552863.28,1642217.83,162255.23,495468.37,1201507.38
CPTY_A,2018-03-16,2.107111,591102.09,388985.78,2319346.19,87393.19,586800.54,1201507.38
CPTY_A,2018-04-03,2.156426,476424.19,486039.69,1053981.44,254833.69,472901.63,1201507.38
CPTY_A,2018-04-13,2.183824,605565.45,527754.93,2013919.09,253366.98,601048.84,1201507.38
CPTY_A,2018-04-27,2.222180,346997.02,455685.95,1120407.91,332591.27,344377.49,1201507.38
CPTY_A,2018-05-11,2.260536,560279.30,571530.36,2416889.89,219499.61,555998.89,1201507.38
CPTY_A,2018-05-25,2.298892,581986.89,434639.37,2006373.13,149718.30,577487.89,1201507.38
CPTY_A,2018-06-08,2.337248,594056.74,489182.42,2157995.51,276896.58,589410.60,1201507.38
CPTY_A,2018-06-22,2.375604,615527.88,511215.44,2260917.91,289956.44,610658.04,1201507.38
CPTY_A,2018-07-06,2.413961,801394.89,543551.87,2781312.70,258240.63,794981.92,1201507.38
CPTY_A,2018-07-20,2.452317,523306.15,512427.83,2523493.78,454485.97,519071.11,1201507.38
CPTY_A,2018-08-03,2.490673,625825.72,664333.16,2265055.18,381811.88,620704.31,1201507.38
CPTY_A,2018-08-17,2.529029,596258.37,618648.74,2464218.74,305176.41,591324.91,1201507.38
CPTY_A,2018-08-31,2.567385,671201.02,556145.72,2472576.97,232793.87,665586.68,1201507.38
CPTY_A,2018-09-14,2.605741,502682.72,520533.36,1937453.41,312329.00,498432.45,1201507.38
CPTY_A,2018-09-28,2.644098,555390.39,473825.99,2315128.62,277308.11,550644.17,1201507.38
CPTY_A,2018-10-12,2.682454,539357.66,469933.57,1891886.31,313154.39,534699.62,1201507.38
CPTY_A,2018-10-26,2.720810,494468.39,578672.80,2203215.22,350040.35,490153.25,1201507.38
CPTY_A,2018-11-09,2.759166,517509.96,533894.16,2200645.05,232195.43,512946.89,1201507.38
CPTY_A,2018-11-23,2.797522,491370.02,530077.61,1611482.41,185073.99,486992.96,1201507.38
CPTY_A,2018-12-07,2.835878,528699.15,580356.77,2086128.18,113775.78,523941.71,1201507.38
CPTY_A,2018-12-21,2.874235,553682.30,499470.77,2521360.39,31034.38,548649.94,1201507.38
CPTY_A,2019-01-04,2.912591,517018.66,496550.66,2039250.50,56209.73,512272.74,1201507.38
CPTY_A,2019-01-18,2.950947,568403.25,579677.26,1913385.25,4007.96,563134.21,1201507.38
CPTY_A,2019-02-01,2.989303,486558.16,487182.61,2127087.50,-70721.15,482003.79,1201507.38
CPTY_A,2019-02-15,3.027659,507548.50,469081.13,1773752.80,-155813.48,502758.92,1201507.38
CPTY_A,2019-03-01,3.066015,540857.87,466060.80,2106404.29,-242369.59,535740.72,1201507.38
CPTY_A,2019-03-15,3.104372,629972.11,335989.64,2251276.81,-307493.39,623996.44,1201507.38
CPTY_A,2019-03-29,3.142728,626111.48,469977.78,1971411.27,-156347.98,620157.11,1201507.38
CPTY_A,2019-04-12,3.181084,456491.88,335395.88,1313553.18,-160557.90,452139.44,1201507.38
CPTY_A,2019-04-26,3.219440,589965.91,383260.26,2136352.40,-181145.11,584326.43,1201507.38
CPTY_A,2019-05-10,3.257796,618870.44,533134.41,2099528.39,-90175.32,612939.54,1201507.38
CPTY_A,2019-05-24,3.296152,607288.42,514687.05,2111049.92,-109030.89,601453.66,1201507.38
CPTY_A,2019-06-07,3.334509,554828.10,463714.11,2166360.65,-103359.15,549483.81,1201507.38
CPTY_A,2019-06-21,3.372865,461768.20,422399.94,1655449.81,-92663.91,457309.00,1201507.38
CPTY_A,2019-07-05,3.411221,599339.28,467285.94,1857863.87,-142735.77,593536.93,1201507.38
CPTY_A,2019-07-19,3.449577,630515.36,587949.19,2427235.48,-93289.45,624395.77,1201507.38
CPTY_A,2019-08-02,3.487933,429804.73,542516.63,1571176.85,-103443.09,425622.67,1201507.38
CPTY_A,2019-08-16,3.526289,575749.38,501384.22,2229319.27,-293005.36,570133.17,1201507.38
CPTY_A,2019-08-30,3.564646,542137.49,437149.25,1916649.60,-332471.28,536835.90,1201507.38
CPTY_A,2019-09-13,3.603002,454686.12,469510.66,2007909.73,-338014.99,450228.60,1201507.38
CPTY_A,2019-09-27,3.641358,543411.63,347121.95,2154066.52,-466230.12,538071.01,1201507.38
CPTY_A,2019-10-11,3.679714,511597.54,469243.79,1822271.56,-343199.73,506557.08,1201507.38
CPTY_A,2019-10-25,3.718070,380800.46,395922.33,1365652.26,-371222.15,377039.35,1201507.38
CPTY_A,2019-11-08,3.756426,498179.26,423189.69,1748121.18,-498355.77,493246.65,1201507.38
CPTY_A,2019-11-22,3.794783,445556.63,538422.63,2278318.14,-467097.99,441134.16,1201507.38
CPTY_A,2019-12-06,3.833139,431694.89,505268.41,1537165.22,-574646.21,427399.45,1201507.38
CPTY_A,2019-12-20,3.871495,427353.99,402149.16,1874075.63,-659982.92,423091.30,1201507.38
CPTY_A,2020-01-03,3.909836,583236.90,558894.55,2152919.40,-608717.82,577405.08,1201507.38
CPTY_A,2020-01-17,3.948087,601201.45,514195.19,2023914.02,-579355.93,595175.30,1201507.38
CPTY_A,2020-01-31,3.986339,378028.22,358008.98,1776746.83,-512172.64,374229.81,1201507.38
CPTY_A,2020-02-14,4.024590,503635.13,595665.65,1798825.77,-450192.05,498569.97,1201507.38
CPTY_A,2020-02-28,4.062842,539394.25,523197.97,2123743.40,-519479.08,533994.53,1201507.38
CPTY_A,2020-03-13,4.101093,567676.59,348116.02,2018606.02,-475696.45,562020.12,1201507.38
CPTY_A,2020-03-27,4.139344,544331.88,475737.43,1700376.06,-278970.37,538933.33,1201507.38
CPTY_A,2020-04-14,4.188525,474497.22,445376.61,1012595.05,-210920.77,469819.62,1201507.38
CPTY_A,2020-04-24,4.215847,448508.70,365324.75,1713782.09,-212979.03,444102.20,1201507.38
CPTY_A,2020-05-11,4.262295,485114.43,452681.78,1005072.24,-121232.80,480375.66,1201507.38
CPTY_A,2020-05-22,4.292350,526932.58,472029.58,1825725.13,-123481.14,521804.57,1201507.38
CPTY_A,2020-06-05,4.330601,456722.45,538761.43,1748892.40,-86663.66,452298.94,1201507.38
CPTY_A,2020-06-19,4.368852,544294.42,568619.22,1619553.16,-158574.33,539048.05,1201507.38
CPTY_A,2020-07-06,4.415301,460820.20,493538.20,1009435.38,-186948.82,456404.45,1201507.38
CPTY_A,2020-07-17,4.445355,444814.21,557834.73,1555240.98,-189143.14,440568.07,1201507.38
CPTY_A,2020-07-31,4.483607,481785.21,463435.14,1924990.45,-275871.31,477208.57,1201507.38
CPTY_A,2020-08-14,4.521858,466418.74,442287.26,1637104.13,-239741.38,462009.75,1201507.38
CPTY_A,2020-08-28,4.560109,497164.80,566272.04,2016828.47,-157948.21,492488.29,1201507.38
CPTY_A,2020-09-11,4.598361,339739.49,447137.25,1469892.83,-189401.71,336559.58,1201507.38
CPTY_A,2020-09-25,4.636612,493286.71,451185.20,2137430.36,-270452.33,488692.56,1201507.38
CPTY_A,2020-10-09,4.674863,435004.46,468245.54,1566028.52,-176531.08,430973.35,1201507.38
CPTY_A,2020-10-23,4.713115,394973.64,469668.50,1652002.66,-195216.05,391331.86,1201507.38
CPTY_A,2020-11-06,4.751366,435534.61,455080.91,1694820.77,-236585.84,431539.10,1201507.38
CPTY_A,2020-11-20,4.789617,378139.95,462408.47,1566482.66,-223572.12,374688.55,1201507.38
CPTY_A,2020-12-04,4.827869,419922.30,545632.21,1754344.54,-253264.04,416109.08,1201507.38
CPTY_A,2020-12-18,4.866120,398294.69,480384.67,1697845.82,-337179.19,394696.39,1201507.38
CPTY_A,2021-01-04,4.912591,460401.78,446915.63,1009361.88,-466986.13,456268.41,1201507.38
CPTY_A,2021-01-15,4.942728,466846.98,427002.08,1628403.35,-469116.13,462672.81,1201507.38
CPTY_A,2021-01-29,4.981084,475253.60,515842.62,2022139.06,-430130.64,471026.37,1201507.38
CPTY_A,2021-02-12,5.019440,384486.87,534227.45,1551028.88,-400235.94,381092.42,1201507.38
CPTY_A,2021-02-26,5.057796,471915.86,527752.42,1614435.14,-454279.67,467836.34,1201507.38
CPTY_A,2021-03-12,5.096152,426639.50,307889.77,1382193.12,-447291.72,423029.86,1201507.38
CPTY_A,2021-03-26,5.134509,493850.02,515676.22,1751018.87,-271106.26,489762.60,1201507.38
CPTY_A,2021-04-09,5.172865,484646.15,508598.23,1656912.71,-229511.22,480724.10,1201507.38
CPTY_A,2021-04-23,5.211221,338247.66,445292.04,1437044.57,-199092.42,335572.61,1201507.38
CPTY_A,2021-05-07,5.249577,391000.96,417061.78,1345865.29,-264837.13,387980.70,1201507.38
CPTY_A,2021-05-21,5.287933,419352.44,537229.78,1434614.73,-253351.82,416190.40,1201507.38
CPTY_A,2021-06-04,5.326289,461416.34,510751.05,1775280.66,-292262.35,458022.10,1201507.38
CPTY_A,2021-06-18,5.364646,431858.77,518934.95,1823926.76,-218976.45,428761.51,1201507.38
CPTY_A,2021-07-02,5.403002,432614.92,529403.74,1642609.14,-183215.47,429591.94,1201507.38
CPTY_A,2021-07-16,5.441358,457351.85,543717.61,1336914.38,-163799.95,454240.29,1201507.38
CPTY_A,2021-07-30,5.479714,331112.34,446653.29,1247186.74,-126902.57,328920.67,1201507.38
CPTY_A,2021-08-13,5.518070,486777.23,588145.98,1718628.78,-113399.03,483644.93,1201507.38
CPTY_A,2021-08-27,5.556426,451866.37,470634.86,1558085.30,-140822.44,449042.02,1201507.38
CPTY_A,2021-09-10,5.594783,319862.15,526073.47,1718139.77,-83061.35,317921.87,1201507.38
CPTY_A,2021-09-24,5.633139,435750.54,571909.84,1625169.96,-175043.03,433187.65,1201507.38
CPTY_A,2021-10-08,5.671495,355325.27,508997.11,1036373.02,-208577.03,353300.95,1201507.38
CPTY_A,2021-10-22,5.709851,469966.29,520215.24,1883163.63,-258037.42,467375.56,1201507.38
CPTY_A,2021-11-05,5.748207,422830.74,565559.93,1587378.53,-234482.00,420577.89,1201507.38
CPTY_A,2021-11-19,5.786563,424302.68,510445.27,1783831.21,-299868.50,422120.30,1201507.38
CPTY_A,2021-12-03,5.824920,431183.12,538250.91,1578078.65,-299273.92,429044.95,1201507.38
CPTY_A,2021-12-17,5.863276,409481.26,507029.92,1443536.05,-296700.58,407526.32,1201507.38
CPTY_A,2022-01-04,5.912591,438418.09,483372.48,1015667.59,-356054.82,436429.10,1201507.38
CPTY_A,2022-01-14,5.939988,472732.10,488516.33,1601952.83,-355968.02,470649.82,1201507.38
CPTY_A,2022-01-28,5.978344,326367.40,390265.82,1318024.73,-318820.33,324990.11,1201507.38
CPTY_A,2022-02-11,6.016700,418530.79,472828.60,1489047.38,-352180.01,416845.16,1201507.38
CPTY_A,2022-02-25,6.055057,449987.30,481863.22,1436396.36,-382296.92,448307.13,1201507.38
CPTY_A,2022-03-11,6.093413,435667.01,283349.18,1461678.91,-380949.91,434168.29,1201507.38
CPTY_A,2022-03-25,6.131769,426489.92,485273.47,1344247.45,-153303.51,425148.09,1201507.38
CPTY_A,2022-04-08,6.170125,431454.33,572756.05,1523458.83,-116407.06,430223.70,1201507.38
CPTY_A,2022-04-22,6.208481,408229.16,483041.41,1537800.85,-152571.31,407184.80,1201507.38
CPTY_A,2022-05-06,6.246837,421740.93,488468.30,1551663.53,-141904.79,420786.05,1201507.38
CPTY_A,2022-05-20,6.285194,387285.14,494498.89,1367387.00,-126447.68,386522.21,1201507.38
CPTY_A,2022-06-03,6.323550,391191.49,490177.66,1302465.60,-166959.66,390535.97,1201507.38
CPTY_A,2022-06-17,6.361906,401233.64,378316.86,1430863.70,-201111.83,400679.41,1201507.38
CPTY_A,2022-07-01,6.400262,407566.46,464682.32,1531562.43,-141742.15,407123.49,1201507.38
CPTY_A,2022-07-15,6.438618,423737.42,447623.53,1431061.62,-154603.72,423401.68,1201507.38
CPTY_A,2022-07-29,6.476974,440164.90,430806.44,1777616.62,-134336.66,439945.83,1201507.38
CPTY_A,2022-08-12,6.515330,388306.13,486260.84,1370522.44,-75602.93,388227.31,1201507.38
CPTY_A,2022-08-26,6.553687,372152.17,459479.75,1244327.43,-134106.84,372186.34,1201507.38
CPTY_A,2022-09-09,6.592043,245109.12,494239.62,1156720.83,-180427.92,245203.90,1201507.38
CPTY_A,2022-09-23,6.630399,378052.00,494485.09,1500419.20,-298873.46,378309.71,1201507.38
CPTY_A,2022-10-07,6.668755,341816.97,489678.04,1219160.02,-279116.98,342150.83,1201507.38
CPTY_A,2022-10-21,6.707111,342272.53,495545.55,1171868.77,-299994.51,342707.86,1201507.38
CPTY_A,2022-11-04,6.745467,418645.85,489600.87,1304868.87,-337017.68,419301.92,1201507.38
CPTY_A,2022-11-18,6.783824,445106.63,479828.21,1697870.56,-347092.85,445935.61,1201507.38
CPTY_A,2022-12-02,6.822180,421296.82,488859.64,1432815.59,-283640.58,422205.91,1201507.38
CPTY_A,2022-12-16,6.860536,456251.42,447132.01,1454583.49,-279175.04,457370.76,1201507.38
CPTY_A,2022-12-30,6.898892,503650.42,472635.19,1627160.09,-223725.45,505034.92,1201507.38
CPTY_A,2023-01-13,6.937248,420009.27,483502.56,1257236.41,-162537.48,421288.03,1201507.38
CPTY_A,2023-01-27,6.975604,409750.80,419968.06,1364504.62,-197968.69,411119.51,1201507.38
CPTY_A,2023-02-10,7.013961,503513.08,459652.77,1408698.47,-219496.08,505343.96,1201507.38
CPTY_A,2023-02-24,7.052317,484291.88,479413.68,1633802.05,-184251.92,486240.48,1201507.38
CPTY_A,2023-03-10,7.090673,427430.41,323049.04,1474757.31,-168587.45,429315.87,1201507.38
CPTY_A,2023-03-24,7.129029,509159.13,499757.31,1570490.82,-31604.63,511602.53,1201507.38
CPTY_A,2023-04-11,7.178344,430608.10,454973.80,1008828.18,26616.49,432889.28,1201507.38
CPTY_A,2023-04-21,7.205741,450376.29,511962.70,1404259.57,24989.73,452887.02,1201507.38
CPTY_A,2023-05-05,7.244098,387234.68,369895.67,1366276.49,16790.83,389543.72,1201507.38
CPTY_A,2023-05-19,7.282454,526036.94,474184.64,2024616.52,46143.92,529377.91,1201507.38
CPTY_A,2023-06-02,7.320810,454206.27,522763.86,1346860.38,137257.55,457267.46,1201507.38
CPTY_A,2023-06-16,7.359166,479454.82,434016.10,1487525.45,110598.48,482872.49,1201507.38
CPTY_A,2023-06-30,7.397522,489639.79,452424.23,1540375.28,169020.06,493320.42,1201507.38
CPTY_A,2023-07-14,7.435878,489352.78,501376.86,1568634.38,239226.15,493221.56,1201507.38
CPTY_A,2023-07-28,7.474235,416238.03,436938.60,1351271.67,258050.03,419690.71,1201507.38
CPTY_A,2023-08-11,7.512591,387714.66,440907.78,1253357.45,255069.43,391081.64,1201507.38
CPTY_A,2023-08-25,7.550947,398568.34,456887.91,1448096.54,195478.80,402184.76,1201507.38
CPTY_A,2023-09-08,7.589303,200000.48,464297.63,823429.45,159843.80,201893.09,1201507.38
CPTY_A,2023-09-22,7.627659,435543.13,485545.30,1648448.59,-2115.47,439834.41,1201507.38
CPTY_A,2023-10-06,7.666015,373149.67,526036.80,1390296.51,81852.68,376971.66,1201507.38
CPTY_A,2023-10-20,7.704372,375730.94,538385.91,1463034.86,75910.50,379725.89,1201507.38
CPTY_A,2023-11-03,7.742728,295482.53,511407.02,1313600.58,80296.04,298739.50,1201507.38
CPTY_A,2023-11-17,7.781084,343187.47,443079.44,1203899.05,-8452.21,347104.21,1201507.38
CPTY_A,2023-12-01,7.819440,376367.33,447571.61,1214202.36,19765.50,380809.68,1201507.38
CPTY_A,2023-12-15,7.857796,384638.63,367125.06,1252301.63,62600.54,389328.84,1201507.38
CPTY_A,2023-12-29,7.896152,368180.58,475882.12,1218866.61,147046.69,372813.95,1201507.38
CPTY_A,2024-01-12,7.934426,368470.25,423469.03,1038008.13,115085.76,373251.29,1201507.38
CPTY_A,2024-01-26,7.972678,353730.39,368907.36,1232353.08,99603.75,358458.48,1201507.38
CPTY_A,2024-02-09,8.010929,384429.42,377960.06,1169831.95,60200.87,389718.22,1201507.38
CPTY_A,2024-02-23,8.049180,378971.49,376604.76,1204784.56,60740.91,384357.28,1201507.38
CPTY_A,2024-03-08,8.087432,328453.39,244493.73,1398116.97,79072.60,333276.07,1201507.38
