#NettingSet,Date,Time,CollateralBalance,COLVA Increment,COLVA,CollateralFloor Increment,CollateralFloor
CPTY_A,#N/A,#N/A,#N/A,#N/A,-1489.8485,#N/A,-15196.9429
CPTY_A,2016-02-19,0.0383,201450.3839,-7.8345,-7.8345,-28.3817,-28.3817
CPTY_A,2016-03-04,0.0765,602630.7016,-23.4411,-31.2757,-122.3866,-150.7683
CPTY_A,2016-03-18,0.1148,736372.0483,-28.6507,-59.9264,-181.9459,-332.7142
CPTY_A,2016-04-01,0.1530,994837.8919,-38.7160,-98.6424,-259.2576,-591.9719
CPTY_A,2016-04-15,0.1913,1033629.5274,-40.2416,-138.8840,-314.3536,-906.3255
CPTY_A,2016-04-29,0.2295,1063069.0914,-41.4060,-180.2900,-344.7667,-1251.0922
CPTY_A,2016-05-13,0.2678,969846.9621,-37.8002,-218.0902,-352.5043,-1603.5965
CPTY_A,2016-05-27,0.3060,1013605.2518,-39.5303,-257.6204,-403.3236,-2006.9201
CPTY_A,2016-06-10,0.3443,1019899.9538,-39.8046,-297.4250,-450.8351,-2457.7551
CPTY_A,2016-06-24,0.3825,1048572.2936,-40.9605,-338.3855,-502.0074,-2959.7625
CPTY_A,2016-07-08,0.4208,1024235.8260,-40.0601,-378.4456,-545.1146,-3504.8771
CPTY_A,2016-07-22,0.4590,1058156.6898,-41.4083,-419.8539,-589.3290,-4094.2061
CPTY_A,2016-08-05,0.4973,945449.1192,-37.0454,-456.8993,-597.4804,-4691.6865
CPTY_A,2016-08-19,0.5355,947936.1395,-37.1873,-494.0865,-636.0500,-5327.7365
CPTY_A,2016-09-02,0.5738,944177.8392,-37.0880,-531.1745,-640.7055,-5968.4420
CPTY_A,2016-09-16,0.6120,956291.2419,-37.6043,-568.7788,-645.6502,-6614.0922
CPTY_A,2016-09-30,0.6503,890332.7036,-35.0778,-603.8566,-654.0715,-7268.1636
CPTY_A,2016-10-14,0.6885,900772.7620,-35.5374,-639.3939,-692.8435,-7961.0072
CPTY_A,2016-10-28,0.7268,918622.1604,-36.3024,-675.6964,-728.7942,-8689.8014
CPTY_A,2016-11-14,0.7732,799862.1747,-38.5734,-714.2698,-887.6949,-9577.4963
CPTY_A,2016-11-25,0.8033,799177.1989,-24.9570,-739.2268,-580.3196,-10157.8159
CPTY_A,2016-12-09,0.8415,801240.8901,-31.9024,-771.1292,-747.2120,-10905.0278
CPTY_A,2016-12-23,0.8798,803701.2237,-32.0421,-803.1713,-739.9398,-11644.9676
CPTY_A,2017-01-06,0.9181,813272.3541,-32.4762,-835.6475,-747.0781,-12392.0457
CPTY_A,2017-01-20,0.9564,799147.2571,-32.0091,-867.6566,-783.2092,-13175.2549
CPTY_A,2017-02-03,0.9948,800191.5043,-32.1440,-899.8005,-829.3059,-14004.5608
CPTY_A,2017-02-17,1.0331,734591.6144,-29.6478,-929.4483,-841.8494,-14846.4101
CPTY_A,2017-03-03,1.0715,708703.8462,-28.7091,-958.1574,-886.8028,-15733.2129
CPTY_A,2017-03-17,1.1099,705053.8453,-28.6633,-986.8206,-916.2088,-16649.4217
CPTY_A,2017-03-31,1.1482,889633.2584,-35.9446,-1022.7652,-983.5463,-17632.9680
CPTY_A,2017-04-18,1.1975,878035.4974,-45.8286,-1068.5939,-1346.8136,-18979.7816
CPTY_A,2017-04-28,1.2249,877152.9533,-25.4632,-1094.0570,-748.4566,-19728.2382
CPTY_A,2017-05-12,1.2633,773853.1704,-31.6920,-1125.7491,-1030.1513,-20758.3896
CPTY_A,2017-05-26,1.3016,801370.0458,-32.8474,-1158.5965,-1057.1562,-21815.5458
CPTY_A,2017-06-09,1.3400,775192.9031,-31.9092,-1190.5057,-1070.6576,-22886.2034
CPTY_A,2017-06-23,1.3783,785104.3604,-32.3151,-1222.8208,-1055.9813,-23942.1847
CPTY_A,2017-07-07,1.4167,780787.2649,-32.2654,-1255.0862,-1088.2332,-25030.4178
CPTY_A,2017-07-21,1.4551,797197.5674,-33.0297,-1288.1159,-1123.3238,-26153.7417
CPTY_A,2017-08-04,1.4934,794116.7102,-33.0336,-1321.1495,-1161.8799,-27315.6216
CPTY_A,2017-08-18,1.5318,696983.4357,-29.3078,-1350.4573,-1138.5035,-28454.1251
CPTY_A,2017-09-01,1.5701,702584.8663,-29.6980,-1380.1553,-1176.1984,-29630.3235
CPTY_A,2017-09-15,1.6085,711769.8971,-30.1820,-1410.3372,-1228.6528,-30858.9763
CPTY_A,2017-09-29,1.6468,62468.2487,-1.9649,-1412.3021,149.5992,-30709.3771
CPTY_A,2017-10-13,1.6852,75307.8591,-2.4766,-1414.7788,145.3011,-30564.0760
CPTY_A,2017-10-27,1.7235,78795.7302,-2.6259,-1417.4047,133.9229,-30430.1531
CPTY_A,2017-11-13,1.7701,-30553.6917,2.1198,-1415.2848,266.0623,-30164.0909
CPTY_A,2017-11-24,1.8003,-30412.8958,1.3789,-1413.9059,169.5701,-29994.5208
CPTY_A,2017-12-08,1.8386,-22646.5378,1.4384,-1412.4675,190.4379,-29804.0829
CPTY_A,2017-12-22,1.8770,-17239.9228,1.2804,-1411.1872,203.1578,-29600.9251
CPTY_A,2018-01-05,1.9153,-12713.5215,1.1188,-1410.0684,185.0724,-29415.8527
CPTY_A,2018-01-19,1.9537,-189.8339,0.6392,-1409.4292,172.2930,-29243.5597
CPTY_A,2018-02-02,1.9920,-6639.3168,0.8881,-1408.5411,170.9558,-29072.6039
CPTY_A,2018-02-16,2.0304,-97801.7197,4.5526,-1403.9886,227.5489,-28845.0550
CPTY_A,2018-03-02,2.0688,-97352.2102,4.6102,-1399.3784,262.1677,-28582.8872
CPTY_A,2018-03-16,2.1071,-107671.0806,5.0399,-1394.3385,263.1012,-28319.7861
CPTY_A,2018-04-03,2.1564,90504.5360,-3.6453,-1397.9838,212.8166,-28106.9695
CPTY_A,2018-04-13,2.1838,90717.0808,-2.0321,-1400.0159,113.5694,-27993.4000
CPTY_A,2018-04-27,2.2222,104373.1386,-3.3254,-1403.3413,148.2449,-27845.1552
CPTY_A,2018-05-11,2.2605,20491.7230,0.0717,-1403.2696,209.8143,-27635.3409
CPTY_A,2018-05-25,2.2989,38528.6293,-0.6134,-1403.8830,210.7705,-27424.5704
CPTY_A,2018-06-08,2.3372,21605.3147,0.1113,-1403.7717,237.4485,-27187.1219
CPTY_A,2018-06-22,2.3756,23697.0823,0.0746,-1403.6971,275.1581,-26911.9638
CPTY_A,2018-07-06,2.4140,28552.0680,-0.0653,-1403.7624,263.6181,-26648.3456
CPTY_A,2018-07-20,2.4523,33438.3346,-0.2131,-1403.9755,261.8843,-26386.4613
CPTY_A,2018-08-03,2.4907,32613.9705,-0.1552,-1404.1307,257.0294,-26129.4319
CPTY_A,2018-08-17,2.5290,-50400.0946,3.2333,-1400.8974,315.6445,-25813.7874
CPTY_A,2018-08-31,2.5674,-60459.3799,3.6422,-1397.2552,312.5920,-25501.1955
CPTY_A,2018-09-14,2.6057,-59752.2170,3.7267,-1393.5285,325.3412,-25175.8543
CPTY_A,2018-09-28,2.6441,126254.3124,-3.8261,-1397.3546,202.8736,-24972.9806
CPTY_A,2018-10-12,2.6825,122207.5854,-3.5974,-1400.9520,219.4181,-24753.5625
CPTY_A,2018-10-26,2.7208,130680.8126,-3.8921,-1404.8441,226.7919,-24526.7706
CPTY_A,2018-11-09,2.7592,47211.7481,-0.4492,-1405.2933,261.7679,-24265.0027
CPTY_A,2018-11-23,2.7975,39847.4467,-0.1320,-1405.4253,264.9080,-24000.0947
CPTY_A,2018-12-07,2.8359,73381.8616,-1.3231,-1406.7484,269.6290,-23730.4657
CPTY_A,2018-12-21,2.8742,48122.2481,-0.2959,-1407.0443,283.2855,-23447.1802
CPTY_A,2019-01-04,2.9126,52972.6622,-0.5296,-1407.5739,266.5342,-23180.6459
CPTY_A,2019-01-18,2.9509,64387.7816,-0.8396,-1408.4135,297.5360,-22883.1100
CPTY_A,2019-02-01,2.9893,60760.4839,-0.5578,-1408.9713,302.1208,-22580.9892
CPTY_A,2019-02-15,3.0277,-9503.2151,2.2305,-1406.7408,312.4933,-22268.4959
CPTY_A,2019-03-01,3.0660,976.8082,1.8482,-1404.8926,313.6147,-21954.8812
CPTY_A,2019-03-15,3.1044,-7034.4801,2.1782,-1402.7144,314.4011,-21640.4801
CPTY_A,2019-03-29,3.1427,162047.5595,-4.7320,-1407.4464,201.2283,-21439.2518
CPTY_A,2019-04-12,3.1811,163421.6561,-4.7874,-1412.2338,194.2389,-21245.0129
CPTY_A,2019-04-26,3.2194,171217.8708,-5.0194,-1417.2532,200.2382,-21044.7747
CPTY_A,2019-05-10,3.2578,105510.0698,-2.2171,-1419.4703,274.8779,-20769.8968
CPTY_A,2019-05-24,3.2962,100656.7531,-1.9160,-1421.3863,280.6426,-20489.2541
CPTY_A,2019-06-07,3.3345,111050.1191,-2.2836,-1423.6699,278.9214,-20210.3328
CPTY_A,2019-06-21,3.3729,98084.2229,-1.7189,-1425.3888,288.7169,-19921.6159
CPTY_A,2019-07-05,3.4112,98758.1055,-1.7391,-1427.1279,285.9075,-19635.7084
CPTY_A,2019-07-19,3.4496,100812.7480,-1.6939,-1428.8218,309.8604,-19325.8480
CPTY_A,2019-08-02,3.4879,102803.2992,-1.7486,-1430.5704,321.9345,-19003.9135
CPTY_A,2019-08-16,3.5263,39486.9496,0.8943,-1429.6761,360.6822,-18643.2313
CPTY_A,2019-08-30,3.5646,45867.9826,0.7007,-1428.9754,371.6762,-18271.5551
CPTY_A,2019-09-13,3.6030,43526.7515,0.8151,-1428.1603,379.0972,-17892.4579
CPTY_A,2019-09-27,3.6414,191743.6251,-5.5225,-1433.6828,251.3645,-17641.0934
CPTY_A,2019-10-11,3.6797,195916.8379,-5.7004,-1439.3832,225.7985,-17415.2950
CPTY_A,2019-10-25,3.7181,178899.6326,-4.9581,-1444.3413,241.7522,-17173.5428
CPTY_A,2019-11-08,3.7564,128026.2720,-2.7827,-1447.1240,285.7444,-16887.7984
CPTY_A,2019-11-22,3.7948,124364.0452,-2.5935,-1449.7175,303.8322,-16583.9661
CPTY_A,2019-12-06,3.8331,120809.1937,-2.4067,-1452.1242,307.2740,-16276.6921
CPTY_A,2019-12-20,3.8715,110884.5600,-2.0062,-1454.1304,319.9281,-15956.7640
CPTY_A,2020-01-03,3.9098,132336.8213,-2.8560,-1456.9864,293.3599,-15663.4041
CPTY_A,2020-01-17,3.9481,126880.9553,-2.5601,-1459.5465,298.0433,-15365.3608
CPTY_A,2020-01-31,3.9863,130838.9590,-2.6163,-1462.1628,327.3808,-15037.9800
CPTY_A,2020-02-14,4.0246,70429.3301,0.0147,-1462.1481,387.2922,-14650.6878
CPTY_A,2020-02-28,4.0628,76221.5018,-0.1765,-1462.3246,370.6809,-14280.0068
CPTY_A,2020-03-13,4.1011,74932.4387,-0.1231,-1462.4476,370.7261,-13909.2808
CPTY_A,2020-03-27,4.1393,173130.4448,-10.0315,-1472.4791,-439.2253,-14348.5061
CPTY_A,2020-04-14,4.1885,173737.8745,-13.1461,-1485.6252,-563.6644,-14912.1705
CPTY_A,2020-04-24,4.2158,173414.7166,-7.3319,-1492.9571,-322.8561,-15235.0266
CPTY_A,2020-05-11,4.2623,-346.5636,0.0163,-1492.9408,0.3638,-15234.6628
