#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_2,2016-02-05,0.000000,1317065,0,0,0,1317065,1317065,1317065
Swap_2,2016-02-19,0.038251,1284240,7803,874235,-475516,2281220,1284180,1317065
Swap_2,2016-03-04,0.076503,1286216,13517,643854,-299775,2858735,1286056,1317065
Swap_2,2016-03-18,0.114754,1267262,18179,583730,66205,2988516,1266988,1317065
Swap_2,2016-04-01,0.153005,1298020,59445,571024,-303498,3033442,1297621,1317065
Swap_2,2016-04-15,0.191257,1366668,125039,533651,-129972,3467009,1366117,1366117
Swap_2,2016-04-29,0.229508,1400646,184207,496794,-49544,4258303,1399922,1399922
Swap_2,2016-05-13,0.267760,1423388,218637,528009,369981,4408812,1422492,1422492
Swap_2,2016-05-27,0.306011,1446481,272305,330931,-187005,3904179,1445414,1445414
Swap_2,2016-06-10,0.344262,1447283,317791,241610,42304,3930778,1446059,1446059
Swap_2,2016-06-24,0.382514,1467569,358847,312483,-72449,4024369,1466121,1466121
Swap_2,2016-07-08,0.420765,1518147,405096,112277,-221906,4131913,1516436,1516436
Swap_2,2016-07-22,0.459016,1543211,410084,286576,-125122,5457470,1541328,1541328
Swap_2,2016-08-05,0.497268,1537471,394325,318419,-301176,5191290,1535480,1541328
Swap_2,2016-08-19,0.535519,1501277,401448,199929,-63909,4921229,1499137,1541328
Swap_2,2016-09-02,0.573770,1575721,460461,198477,-44906,4823905,1573219,1573219
Swap_2,2016-09-16,0.612022,1372280,560917,775730,555664,5399992,1369897,1573219
Swap_2,2016-09-30,0.650273,1452129,625552,347000,-229060,4577862,1449440,1573219
Swap_2,2016-10-14,0.688525,1468373,683058,239325,-102504,5045645,1465460,1573219
Swap_2,2016-10-28,0.726776,1488896,689837,241667,-68829,5539047,1485656,1573219
Swap_2,2016-11-14,0.773224,1546946,791061,181972,-119756,5618614,1543241,1573219
Swap_2,2016-11-25,0.803279,1563653,787816,130178,15399,5028728,1559738,1573219
Swap_2,2016-12-09,0.841530,1613146,829830,522799,-72508,5302455,1608885,1608885
Swap_2,2016-12-23,0.879781,1595708,808687,246981,36426,5897458,1591279,1608885
Swap_2,2017-01-06,0.918070,1624635,861103,161594,-197484,6370571,1619911,1619911
Swap_2,2017-01-20,0.956426,1558618,832521,188098,3974,5763290,1553896,1619911
Swap_2,2017-02-03,0.994783,1660459,903153,34645,-156005,5607979,1655231,1655231
Swap_2,2017-02-17,1.033139,1685462,968227,166995,152102,5553212,1679923,1679923
Swap_2,2017-03-03,1.071495,1618872,932797,51221,-93102,5501016,1613296,1679923
Swap_2,2017-03-17,1.109851,1608408,903969,154962,-53288,5982457,1602615,1679923
Swap_2,2017-03-31,1.148207,1622106,919326,193518,245394,6217245,1616007,1679923
Swap_2,2017-04-18,1.197522,1574264,903676,32161,-103680,6248465,1568026,1679923
Swap_2,2017-04-28,1.224920,1545664,885785,77364,-85109,6481926,1539365,1679923
Swap_2,2017-05-12,1.263276,1529376,868365,-39457,188398,6039920,1522908,1679923
Swap_2,2017-05-26,1.301632,1566133,909696,178788,-61728,5988723,1559304,1679923
Swap_2,2017-06-09,1.339988,1523624,856576,-26108,17787,4827806,1516781,1679923
Swap_2,2017-06-23,1.378344,1544770,870548,78310,-81658,5181564,1537629,1679923
Swap_2,2017-07-07,1.416700,1543500,896240,-116061,-3542,5844045,1536164,1679923
Swap_2,2017-07-21,1.455057,1604387,930302,-216492,-115934,5833286,1596551,1679923
Swap_2,2017-08-04,1.493413,1594586,920593,282958,-106554,5173828,1586589,1679923
Swap_2,2017-08-18,1.531769,1692036,983470,198038,42863,5893171,1683324,1683324
Swap_2,2017-09-01,1.570125,1785775,1026093,268002,191916,6261594,1776335,1776335
Swap_2,2017-09-15,1.608481,0,0,-237150,66433,0,0,1776335
Swap_2,2017-09-29,1.646837,0,0,-165617,-98953,0,0,1776335
Swap_2,2017-10-13,1.685194,0,0,-101650,165986,0,0,1776335
Swap_2,2017-10-27,1.723550,0,0,229114,129184,0,0,1776335
Swap_2,2017-11-13,1.770125,0,0,-61352,16645,0,0,1776335
Swap_2,2017-11-24,1.800262,0,0,67077,139069,0,0,1776335
Swap_2,2017-12-08,1.838618,0,0,111868,63947,0,0,1776335
Swap_2,2017-12-22,1.876974,0,0,-23039,-43078,0,0,1776335
Swap_2,2018-01-05,1.915330,0,0,111843,-233691,0,0,1776335
Swap_2,2018-01-19,1.953687,0,0,29082,20001,0,0,1776335
Swap_2,2018-02-02,1.992043,0,0,73846,17849,0,0,1776335
Swap_2,2018-02-16,2.030399,0,0,167556,226326,0,0,1776335
Swap_2,2018-03-02,2.068755,0,0,143423,-50305,0,0,1776335
Swap_2,2018-03-16,2.107111,0,0,114758,91992,0,0,1776335
Swap_2,2018-04-03,2.156426,0,0,14072,51170,0,0,1776335
Swap_2,2018-04-13,2.183824,0,0,109046,116603,0,0,1776335
Swap_2,2018-04-27,2.222180,0,0,-125325,96587,0,0,1776335
Swap_2,2018-05-11,2.260536,0,0,-60581,242264,0,0,1776335
Swap_2,2018-05-25,2.298892,0,0,208061,194931,0,0,1776335
Swap_2,2018-06-08,2.337248,0,0,24530,101343,0,0,1776335
Swap_2,2018-06-22,2.375604,0,0,213961,74079,0,0,1776335
Swap_2,2018-07-06,2.413961,0,0,282845,125905,0,0,1776335
Swap_2,2018-07-20,2.452317,0,0,-107819,-10386,0,0,1776335
Swap_2,2018-08-03,2.490673,0,0,-199838,29574,0,0,1776335
Swap_2,2018-08-17,2.529029,0,0,-136728,-343818,0,0,1776335
Swap_2,2018-08-31,2.567385,0,0,56498,-74163,0,0,1776335
