#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,2637823.402957,2636074.256236,0.000000,3321917.030757,CPTY_A,0.038251
1,2016-03-04,14,3072294.516461,2971132.774504,-250244.029453,2564605.404466,CPTY_A,0.076503
2,2016-03-18,14,2885309.700081,2812919.481847,0.000000,3130601.933005,CPTY_A,0.114754
3,2016-04-01,14,2550614.019097,2520016.459796,0.000000,3224961.555406,CPTY_A,0.153005
4,2016-04-15,14,2787447.784454,2747798.296249,153916.437188,2707678.185232,CPTY_A,0.191257
5,2016-04-29,14,2500815.390268,2339452.293467,0.000000,3045456.488759,CPTY_A,0.229508
6,2016-05-13,14,2953174.856376,2936567.820014,0.000000,2327047.678778,CPTY_A,0.267760
7,2016-05-27,14,2908159.056308,2836743.683924,7471.402045,3566940.377432,CPTY_A,0.306011
8,2016-06-10,14,3113403.482925,3067314.743882,0.000000,2681759.565273,CPTY_A,0.344262
9,2016-06-24,14,2256860.541099,2075021.182065,0.000000,3176985.629199,CPTY_A,0.382514
10,2016-07-08,14,3017239.233600,2869916.679427,136726.677227,3834274.245657,CPTY_A,0.420765
11,2016-07-22,14,2490473.657700,2369571.383348,0.000000,2333641.449367,CPTY_A,0.459016
12,2016-08-05,14,2197877.175810,2173816.079078,0.000000,1794532.856546,CPTY_A,0.497268
13,2016-08-19,14,2771054.222353,2592790.435296,0.000000,2093744.750557,CPTY_A,0.535519
14,2016-09-02,14,2800420.783575,2799197.638336,81482.373398,2523927.510776,CPTY_A,0.573770
15,2016-09-16,14,2144419.458601,2139043.880305,0.000000,2416697.681678,CPTY_A,0.612022
16,2016-09-30,14,3158966.463510,3105392.866797,0.000000,3323988.401671,CPTY_A,0.650273
17,2016-10-14,14,2267981.462391,2215694.250414,130548.684624,2483416.996951,CPTY_A,0.688525
18,2016-10-28,17,2423808.539146,2380003.552671,0.000000,2173600.894224,CPTY_A,0.726776
19,2016-11-14,11,2792315.308026,2665502.088814,0.000000,2860461.152030,CPTY_A,0.773224
20,2016-11-25,14,2682532.768329,2643823.781838,6278.451752,2563486.146804,CPTY_A,0.803279
21,2016-12-09,14,2617814.394715,2581478.813769,0.000000,2872930.035557,CPTY_A,0.841530
22,2016-12-23,14,2504282.145673,2379390.127562,0.000000,2939979.242840,CPTY_A,0.879781
23,2017-01-06,14,2615050.984552,2516643.137176,0.000000,2756183.742839,CPTY_A,0.918070
24,2017-01-20,14,2346433.347208,2194595.664615,120630.251374,1899433.646336,CPTY_A,0.956426
25,2017-02-03,14,2569815.707209,2420444.962501,0.000000,2824317.502255,CPTY_A,0.994783
26,2017-02-17,14,2507738.081051,2455284.489622,0.000000,2006650.262442,CPTY_A,1.033139
27,2017-03-03,14,2573843.481942,2383125.410459,-206299.733823,1974982.870405,CPTY_A,1.071495
28,2017-03-17,14,2816583.065562,2762410.195599,0.000000,3202291.702609,CPTY_A,1.109851
29,2017-03-31,18,2541785.667681,2440257.518727,0.000000,2896153.354885,CPTY_A,1.148207
30,2017-04-18,10,2452336.348427,2438767.572115,113890.055015,2382890.100129,CPTY_A,1.197522
31,2017-04-28,14,2454414.094119,2425635.870106,0.000000,2270741.692040,CPTY_A,1.224920
32,2017-05-12,14,2220879.976484,2131264.897663,0.000000,2503106.123591,CPTY_A,1.263276
33,2017-05-26,14,2916840.961358,2806260.452544,7953.218184,2341353.863678,CPTY_A,1.301632
34,2017-06-09,14,2286642.038747,2225697.470663,0.000000,2296229.954514,CPTY_A,1.339988
35,2017-06-23,14,2449829.611982,2340638.503048,0.000000,1866493.385818,CPTY_A,1.378344
36,2017-07-07,14,2106568.021298,2082732.798970,0.000000,2151755.810694,CPTY_A,1.416700
37,2017-07-21,14,2586104.530556,2333354.467424,111866.984912,2878687.643605,CPTY_A,1.455057
38,2017-08-04,14,2781711.960657,2652200.551251,0.000000,2633578.841345,CPTY_A,1.493413
39,2017-08-18,14,2762160.137029,2614417.970076,0.000000,3485705.179629,CPTY_A,1.531769
40,2017-09-01,14,2459555.385926,2306521.333488,66743.274155,2912078.219411,CPTY_A,1.570125
41,2017-09-15,14,2113455.356664,2038022.770185,0.000000,2206360.388824,CPTY_A,1.608481
42,2017-09-29,14,2683818.355676,2525812.087828,0.000000,3189097.114445,CPTY_A,1.646837
43,2017-10-13,14,2686789.330355,2501084.216322,114556.166592,3431039.368825,CPTY_A,1.685194
44,2017-10-27,17,2052238.603853,2023564.955253,0.000000,1861733.343431,CPTY_A,1.723550
45,2017-11-13,11,2797035.740296,2744912.188038,0.000000,2793340.758650,CPTY_A,1.770125
46,2017-11-24,14,2259178.621937,2196545.108868,11011.617466,1887726.068816,CPTY_A,1.800262
47,2017-12-08,14,2168810.648115,2117560.476373,0.000000,1937313.588212,CPTY_A,1.838618
48,2017-12-22,14,2440026.739386,2177286.951493,0.000000,1742505.477854,CPTY_A,1.876974
49,2018-01-05,14,2429944.248654,2420782.661688,0.000000,2157109.346456,CPTY_A,1.915330
50,2018-01-19,14,2445753.757129,2368290.719736,114105.332300,2384128.648049,CPTY_A,1.953687
51,2018-02-02,14,2043975.647708,2013109.680250,0.000000,2038629.238051,CPTY_A,1.992043
52,2018-02-16,14,2032375.546174,1882381.695811,0.000000,1786034.955945,CPTY_A,2.030399
53,2018-03-02,14,2215944.354667,2122893.310164,-244962.702002,1964299.707152,CPTY_A,2.068755
54,2018-03-16,18,2251244.077985,2183985.701619,0.000000,2119916.648720,CPTY_A,2.107111
55,2018-04-03,10,2181598.583481,2097139.628334,0.000000,1982122.711633,CPTY_A,2.156426
56,2018-04-13,14,2066764.780515,1884542.613597,97449.129375,2052088.835533,CPTY_A,2.183824
57,2018-04-27,14,2381704.636250,2246722.198760,0.000000,2241937.830847,CPTY_A,2.222180
58,2018-05-11,14,1886224.865653,1803487.148530,0.000000,1564889.644353,CPTY_A,2.260536
59,2018-05-25,14,2002713.149938,1856318.967639,4867.415743,2087431.088329,CPTY_A,2.298892
60,2018-06-08,14,1878212.117964,1708535.644836,0.000000,2046930.563424,CPTY_A,2.337248
61,2018-06-22,14,2447472.966005,2310758.097174,0.000000,2474326.240840,CPTY_A,2.375604
62,2018-07-06,14,1895153.023089,1785606.033913,0.000000,2566181.271799,CPTY_A,2.413961
63,2018-07-20,14,1934371.713248,1910941.888432,91125.353535,1595010.551338,CPTY_A,2.452317
64,2018-08-03,14,2203708.074564,1978311.447340,0.000000,2783312.893825,CPTY_A,2.490673
65,2018-08-17,14,2154827.797065,2135408.894896,0.000000,2004806.740110,CPTY_A,2.529029
66,2018-08-31,14,2216923.344953,2149039.056972,75379.437695,2723048.144004,CPTY_A,2.567385
67,2018-09-14,14,2189834.887208,2170240.414324,0.000000,1670924.658981,CPTY_A,2.605741
68,2018-09-28,14,1992953.756087,1874710.964767,0.000000,3125926.053988,CPTY_A,2.644098
69,2018-10-12,14,1768677.315400,1696098.770303,88750.282144,1666449.059850,CPTY_A,2.682454
70,2018-10-26,14,1869961.952349,1821258.191097,0.000000,2184562.574207,CPTY_A,2.720810
71,2018-11-09,14,1722913.800849,1564103.952035,0.000000,2101340.299243,CPTY_A,2.759166
