#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_1,2016-02-05,0.000000,0,1744677,0,0,0,0,0
Swap_1,2016-02-19,0.038251,647,1748586,-846662,1337949,0,647,647
Swap_1,2016-03-04,0.076503,78606,1757446,-624372,843880,531507,78597,78597
Swap_1,2016-03-18,0.114754,267383,1613608,-473376,-30168,1664663,267325,267325
Swap_1,2016-04-01,0.153005,326075,1727749,-363423,754411,2503008,325974,325974
Swap_1,2016-04-15,0.191257,414666,1800208,-758797,358917,2739466,414499,414499
Swap_1,2016-04-29,0.229508,529020,1962735,-230402,615903,3342379,528746,528746
Swap_1,2016-05-13,0.267760,548265,1961150,-287118,184765,3662786,547919,547919
Swap_1,2016-05-27,0.306011,643918,2031107,-35111,973156,4410349,643443,643443
Swap_1,2016-06-10,0.344262,774770,2067318,113488,325485,4656792,774114,774114
Swap_1,2016-06-24,0.382514,875187,2145800,45300,797659,4535843,874324,874324
Swap_1,2016-07-08,0.420765,928139,2200893,-26835,668415,5038538,927093,927093
Swap_1,2016-07-22,0.459016,974914,2306946,-66957,871921,5684150,973724,973724
Swap_1,2016-08-05,0.497268,990848,2347775,-44106,924513,6047967,989565,989565
Swap_1,2016-08-19,0.535519,919965,2233141,98557,477441,6528379,918653,989565
Swap_1,2016-09-02,0.573770,960458,2331224,140377,613694,6234284,958933,989565
Swap_1,2016-09-16,0.612022,1161450,2362778,-152991,20841,7170157,1159434,1159434
Swap_1,2016-09-30,0.650273,1185648,2395593,-111543,683790,6687530,1183452,1183452
Swap_1,2016-10-14,0.688525,1170832,2342479,162004,809441,7893573,1168510,1183452
Swap_1,2016-10-28,0.726776,1201585,2382012,147403,717425,7551632,1198970,1198970
Swap_1,2016-11-14,0.773224,1264466,2373474,109179,706027,7054610,1261438,1261438
Swap_1,2016-11-25,0.803279,1335964,2414223,389831,493274,6941461,1332620,1332620
Swap_1,2016-12-09,0.841530,1447348,2517909,-141146,685208,6633407,1443525,1443525
Swap_1,2016-12-23,0.879781,1486393,2623136,-24554,407308,7189655,1482268,1482268
Swap_1,2017-01-06,0.918070,1492008,2620406,116325,885043,8098500,1487669,1487669
Swap_1,2017-01-20,0.956426,1470751,2603698,172123,531266,6018812,1466294,1487669
Swap_1,2017-02-03,0.994783,1550141,2702332,441508,665762,7694338,1545261,1545261
Swap_1,2017-02-17,1.033139,1456431,2583106,262963,332821,7958756,1451645,1545261
Swap_1,2017-03-03,1.071495,1500516,2685531,253173,663462,7852747,1495348,1545261
Swap_1,2017-03-17,1.109851,1671505,2681670,87222,692455,7359030,1665485,1665485
Swap_1,2017-03-31,1.148207,1676326,2711303,156303,131414,7096070,1670023,1670023
Swap_1,2017-04-18,1.197522,1660958,2762192,237030,644356,6898045,1654376,1670023
Swap_1,2017-04-28,1.224920,1799350,2940080,188580,856733,7703786,1792017,1792017
Swap_1,2017-05-12,1.263276,1812545,2925062,484953,542921,6978204,1804879,1804879
Swap_1,2017-05-26,1.301632,1707090,2840477,149175,648126,7998927,1699646,1804879
Swap_1,2017-06-09,1.339988,1607355,2715960,452621,463650,8460624,1600137,1804879
Swap_1,2017-06-23,1.378344,1644190,2768403,235159,514633,7859650,1636590,1804879
Swap_1,2017-07-07,1.416700,1619286,2730842,572786,721683,6873217,1611590,1804879
Swap_1,2017-07-21,1.455057,1632353,2722151,702800,602728,7114289,1624380,1804879
Swap_1,2017-08-04,1.493413,1719190,2788187,-252898,734305,7687492,1710569,1804879
Swap_1,2017-08-18,1.531769,1805168,2936585,316047,792371,6625894,1795874,1804879
Swap_1,2017-09-01,1.570125,1810550,3018028,54164,584475,6730652,1800980,1804879
Swap_1,2017-09-15,1.608481,1902596,2824096,195802,611824,6550850,1892279,1892279
Swap_1,2017-09-29,1.646837,1861176,2806311,1035098,472002,6537909,1850829,1892279
Swap_1,2017-10-13,1.685194,1802029,2720068,-114242,264114,7107831,1791764,1892279
Swap_1,2017-10-27,1.723550,1846333,2816938,434905,441792,7526700,1835563,1892279
Swap_1,2017-11-13,1.770125,1925194,2986286,75059,155856,8088703,1913633,1913633
Swap_1,2017-11-24,1.800262,1936957,2987531,34347,229117,7380202,1925076,1925076
Swap_1,2017-12-08,1.838618,1886067,2916045,118489,231301,7047579,1874189,1925076
Swap_1,2017-12-22,1.876974,1962494,3075477,459740,342650,8403898,1949813,1949813
Swap_1,2018-01-05,1.915330,2086497,3229322,270710,196421,8932162,2072673,2072673
Swap_1,2018-01-19,1.953687,2206199,3308048,546493,346901,10589718,2191221,2191221
Swap_1,2018-02-02,1.992043,2172877,3278664,398532,33916,10045761,2157769,2191221
Swap_1,2018-02-16,2.030399,2108385,3277410,481299,86988,9877180,2093425,2191221
Swap_1,2018-03-02,2.068755,2143103,3414681,459550,137487,10355087,2127701,2191221
Swap_1,2018-03-16,2.107111,2074094,3104965,286208,-197108,9330629,2059001,2191221
Swap_1,2018-04-03,2.156426,2159944,3219010,202994,-127248,10690427,2143974,2191221
Swap_1,2018-04-13,2.183824,2247919,3262662,-2564293,-15899,10555122,2231153,2231153
Swap_1,2018-04-27,2.222180,2164618,3179338,467309,-129236,10106255,2148277,2231153
Swap_1,2018-05-11,2.260536,2126048,3133628,74792,66092,10440246,2109806,2231153
Swap_1,2018-05-25,2.298892,2200859,3129577,204288,-349154,10116002,2183845,2231153
Swap_1,2018-06-08,2.337248,2219712,3038305,821845,1078847,10388216,2202352,2231153
Swap_1,2018-06-22,2.375604,2206453,2991449,771773,253904,9601686,2188996,2231153
Swap_1,2018-07-06,2.413961,2258171,2935965,289333,3248,9281046,2240101,2240101
Swap_1,2018-07-20,2.452317,2252370,2990769,310527,276,9087880,2234142,2240101
Swap_1,2018-08-03,2.490673,2277077,3031794,757834,117202,9285327,2258443,2258443
Swap_1,2018-08-17,2.529029,2312964,3153996,487012,45442,9346766,2293826,2293826
Swap_1,2018-08-31,2.567385,2372465,3119157,446993,64081,9742850,2352620,2352620
Swap_1,2018-09-14,2.605741,2240834,2705018,488756,122874,8498810,2221887,2352620
Swap_1,2018-09-28,2.644098,2174335,2573494,438220,142727,8673059,2155754,2352620
Swap_1,2018-10-12,2.682454,2172251,2541193,587313,180356,8979673,2153490,2352620
Swap_1,2018-10-26,2.720810,2117194,2506351,541921,153274,9085196,2098718,2352620
Swap_1,2018-11-09,2.759166,2110396,2517870,483883,245576,9043161,2091788,2352620
Swap_1,2018-11-23,2.797522,2151534,2626122,516305,214003,9725832,2132369,2352620
Swap_1,2018-12-07,2.835878,2193335,2778060,696732,285149,10032754,2173599,2352620
Swap_1,2018-12-21,2.874235,2101993,2614428,357919,164784,9594933,2082888,2352620
Swap_1,2019-01-04,2.912591,2078404,2639359,294679,340562,9459256,2059326,2352620
Swap_1,2019-01-18,2.950947,2202231,2799818,556471,428657,10245351,2181816,2352620
Swap_1,2019-02-01,2.989303,2157057,2670234,662539,283567,10081547,2136866,2352620
Swap_1,2019-02-15,3.027659,2154628,2643602,595331,261686,9962967,2134296,2352620
Swap_1,2019-03-01,3.066015,2069733,2600931,579577,196681,9727687,2050151,2352620
Swap_1,2019-03-15,3.104372,2070441,2379495,379539,140046,9748238,2050802,2352620
Swap_1,2019-03-29,3.142728,2137611,2468946,513741,301977,9497256,2117282,2352620
Swap_1,2019-04-12,3.181084,2178127,2459612,578373,185212,9573743,2157360,2352620
Swap_1,2019-04-26,3.219440,2183050,2285781,614861,156246,8511894,2162182,2352620
Swap_1,2019-05-10,3.257796,2244681,2403905,667880,232711,8485326,2223169,2352620
Swap_1,2019-05-24,3.296152,2192976,2416237,559156,292501,8358905,2171906,2352620
Swap_1,2019-06-07,3.334509,2134662,2368348,422755,234230,7760717,2114100,2352620
Swap_1,2019-06-21,3.372865,2115154,2405497,428192,171203,7862810,2094728,2352620
Swap_1,2019-07-05,3.411221,2150751,2386773,452122,167105,8473108,2129929,2352620
Swap_1,2019-07-19,3.449577,2145035,2400338,295933,281009,8713599,2124216,2352620
Swap_1,2019-08-02,3.487933,2111918,2495909,441772,326460,9036802,2091369,2352620
Swap_1,2019-08-16,3.526289,2141735,2493541,420449,231820,9186173,2120843,2352620
Swap_1,2019-08-30,3.564646,2206649,2571763,587813,171179,8867310,2185070,2352620
Swap_1,2019-09-13,3.603002,2125037,2355621,535292,207622,8276659,2104205,2352620
Swap_1,2019-09-27,3.641358,2085416,2243643,532465,118671,8149366,2064921,2352620
Swap_1,2019-10-11,3.679714,2131451,2328156,566765,247602,7817072,2110451,2352620
Swap_1,2019-10-25,3.718070,2146366,2390681,500064,151404,7912178,2125167,2352620
Swap_1,2019-11-08,3.756426,2146192,2390038,431692,6931,8320060,2124942,2352620
Swap_1,2019-11-22,3.794783,2110741,2477447,483025,120807,8598005,2089790,2352620
Swap_1,2019-12-06,3.833139,2055753,2507889,261254,-154372,8889217,2035298,2352620
Swap_1,2019-12-20,3.871495,2107677,2546300,334394,-189363,9031622,2086654,2352620
Swap_1,2020-01-03,3.909836,2102535,2512696,474689,-105569,8845153,2081512,2352620
Swap_1,2020-01-17,3.948087,2102375,2436864,419445,-202467,8736472,2081302,2352620
Swap_1,2020-01-31,3.986339,2069275,2321359,351249,-251141,8905552,2048483,2352620
Swap_1,2020-02-14,4.024590,2109965,2406859,312218,8961,8701535,2088745,2352620
Swap_1,2020-02-28,4.062842,2199198,2486446,391926,152578,8817187,2177183,2352620
Swap_1,2020-03-13,4.101093,2140144,2204926,317078,7915,7649052,2118820,2352620
Swap_1,2020-03-27,4.139344,2181390,2225653,390138,16640,8057517,2159755,2352620
Swap_1,2020-04-14,4.188525,2224133,2271795,431840,42822,8436665,2202207,2352620
Swap_1,2020-04-24,4.215847,2274946,2284812,494736,-25280,8201586,2252595,2352620
Swap_1,2020-05-11,4.262295,2264574,2202609,61961,19648,8508093,2242453,2352620
Swap_1,2020-05-22,4.292350,2177712,2107935,287164,-133818,8705941,2156519,2352620
Swap_1,2020-06-05,4.330601,2168471,2192741,359721,114881,9264367,2147469,2352620
Swap_1,2020-06-19,4.368852,2156809,2179849,332594,1149,9548898,2136020,2352620
Swap_1,2020-07-06,4.415301,2125340,2160956,260057,2131,9803353,2104974,2352620
Swap_1,2020-07-17,4.445355,2205886,2293092,278071,118029,9985117,2184829,2352620
Swap_1,2020-07-31,4.483607,2191381,2269468,484718,117911,10572876,2170564,2352620
Swap_1,2020-08-14,4.521858,2123187,2178283,502526,51929,10961143,2103116,2352620
Swap_1,2020-08-28,4.560109,2165675,2241247,539408,285535,10887102,2145304,2352620
Swap_1,2020-09-11,4.598361,2033324,1939534,181618,-197006,10622906,2014293,2352620
Swap_1,2020-09-25,4.636612,2044543,1881036,363631,-77299,10352152,2025501,2352620
Swap_1,2020-10-09,4.674863,2015317,1860257,194923,-166554,10303072,1996641,2352620
Swap_1,2020-10-23,4.713115,2019553,1902326,281099,-25876,10299369,2000932,2352620
Swap_1,2020-11-06,4.751366,2010116,1833030,479367,-50628,10135851,1991676,2352620
Swap_1,2020-11-20,4.789617,2000011,1882226,480096,157341,10143406,1981756,2352620
Swap_1,2020-12-04,4.827869,2026011,1934751,404048,141585,9866707,2007613,2352620
Swap_1,2020-12-18,4.866120,1964095,1953879,503589,207643,9290421,1946350,2352620
Swap_1,2021-01-04,4.912591,1990322,2069214,459633,-181697,9535172,1972454,2352620
Swap_1,2021-01-15,4.942728,1993035,2053495,538973,-135057,9901641,1975214,2352620
Swap_1,2021-01-29,4.981084,2001859,2089438,591309,-21049,10416090,1984053,2352620
Swap_1,2021-02-12,5.019440,2059057,2208741,368887,-39703,10305574,2040879,2352620
Swap_1,2021-02-26,5.057796,2091294,2180958,403515,12110,10645042,2073216,2352620
Swap_1,2021-03-12,5.096152,1986798,1917392,351987,-241489,9654546,1969988,2352620
Swap_1,2021-03-26,5.134509,2009259,1906995,530722,-67481,9535278,1992629,2352620
