#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,3098444.231026,3096914.533117,0.000000,3036802.715491,CPTY_A,0.038251
1,2016-03-04,14,3115798.665227,3110036.072922,-250688.910203,3032852.606139,CPTY_A,0.076503
2,2016-03-18,14,3030653.497478,3025866.457966,0.000000,3291603.899500,CPTY_A,0.114754
3,2016-04-01,14,3062928.951050,3059323.724451,0.000000,3225066.213861,CPTY_A,0.153005
4,2016-04-15,14,3030192.921831,3025263.915321,153650.689289,2971667.567231,CPTY_A,0.191257
5,2016-04-29,14,2983748.810061,2977329.343623,0.000000,3163814.367517,CPTY_A,0.229508
6,2016-05-13,14,3011532.138004,3005450.591269,0.000000,2940113.841354,CPTY_A,0.267760
7,2016-05-27,14,3102173.536080,3093670.830781,8677.495508,3070189.093177,CPTY_A,0.306011
8,2016-06-10,14,3064467.684879,3053047.923062,0.000000,2975753.827378,CPTY_A,0.344262
9,2016-06-24,14,3046912.907531,3017595.493411,0.000000,3294291.177871,CPTY_A,0.382514
10,2016-07-08,14,3077352.197274,3060589.771219,134468.331005,2980822.169717,CPTY_A,0.420765
11,2016-07-22,14,2815016.189079,2806722.603185,0.000000,2714448.666749,CPTY_A,0.459016
12,2016-08-05,14,2945151.094733,2937513.509758,0.000000,2814417.055013,CPTY_A,0.497268
13,2016-08-19,14,3021011.915809,3009396.135911,0.000000,3032118.695274,CPTY_A,0.535519
14,2016-09-02,14,3013486.467725,3000259.664310,79929.489068,2845100.193727,CPTY_A,0.573770
15,2016-09-16,14,2543911.089665,2529531.414704,0.000000,2889567.249116,CPTY_A,0.612022
16,2016-09-30,14,3240913.741076,3231529.104893,0.000000,3169891.453235,CPTY_A,0.650273
17,2016-10-14,14,2851974.416796,2837207.875438,129414.708753,2909328.388801,CPTY_A,0.688525
18,2016-10-28,17,2815873.693665,2803091.113766,0.000000,2733436.936474,CPTY_A,0.726776
19,2016-11-14,11,2816158.301018,2805983.253337,0.000000,2750443.517148,CPTY_A,0.773224
20,2016-11-25,14,2842340.316791,2828039.515294,11121.289442,2820710.871027,CPTY_A,0.803279
21,2016-12-09,14,2871225.510017,2857123.068984,0.000000,2745367.536610,CPTY_A,0.841530
22,2016-12-23,14,2861677.847326,2829718.600166,0.000000,2825846.055547,CPTY_A,0.879781
23,2017-01-06,14,2843217.276842,2817210.694683,0.000000,2929685.123201,CPTY_A,0.918070
24,2017-01-20,14,2818545.172801,2784117.143144,118151.772260,2802168.731120,CPTY_A,0.956426
25,2017-02-03,14,2747201.766362,2728501.681608,0.000000,2836154.194222,CPTY_A,0.994783
26,2017-02-17,14,2795126.820864,2780233.629607,0.000000,2727695.291763,CPTY_A,1.033139
27,2017-03-03,14,2754357.433818,2738450.925565,-200257.328500,2717245.352101,CPTY_A,1.071495
28,2017-03-17,14,2713517.024473,2684373.640315,0.000000,2716533.226062,CPTY_A,1.109851
29,2017-03-31,18,2633629.727569,2607210.366389,0.000000,2564606.045510,CPTY_A,1.148207
30,2017-04-18,10,2669093.913090,2649514.543398,115693.614109,2777949.397273,CPTY_A,1.197522
31,2017-04-28,14,2624881.905170,2609758.808531,0.000000,2491501.597193,CPTY_A,1.224920
32,2017-05-12,14,2656498.507092,2635886.432065,0.000000,2697326.885878,CPTY_A,1.263276
33,2017-05-26,14,2645740.386925,2629085.071048,16166.839585,2577277.815196,CPTY_A,1.301632
34,2017-06-09,14,2655653.634508,2636509.123053,0.000000,2682780.637987,CPTY_A,1.339988
35,2017-06-23,14,2673579.618505,2642480.247090,0.000000,2638375.512281,CPTY_A,1.378344
36,2017-07-07,14,2663677.160792,2648173.249063,0.000000,2659576.708521,CPTY_A,1.416700
37,2017-07-21,14,2664509.322118,2620819.908513,111128.672919,2787797.699352,CPTY_A,1.455057
38,2017-08-04,14,2646243.205685,2603174.996927,0.000000,2687864.304964,CPTY_A,1.493413
39,2017-08-18,14,2664198.580341,2637544.684592,0.000000,2730484.396155,CPTY_A,1.531769
40,2017-09-01,14,2600426.909076,2579159.859767,73211.151640,2571544.747733,CPTY_A,1.570125
41,2017-09-15,14,2396148.550092,2375702.181881,0.000000,2476076.641308,CPTY_A,1.608481
42,2017-09-29,14,2539753.399203,2508725.248510,0.000000,2369650.922066,CPTY_A,1.646837
43,2017-10-13,14,2567767.436413,2527528.223142,109780.655450,2679431.244533,CPTY_A,1.685194
44,2017-10-27,17,2550154.233603,2490404.731971,0.000000,2450373.459812,CPTY_A,1.723550
