#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.851008,1.231455,0.001727,0.009416,0.007474,2943175.577136,2638214.750954,2636074.256236,2637823.402957,568292.527857,3321917.030757
1,0.851908,1.222150,-0.000630,0.000607,0.002947,3234341.239073,2638181.291636,2636074.256236,2637823.402957,-867734.414247,3321917.030757
2,0.852192,1.179683,0.000396,0.006883,0.008365,3106094.608904,2638170.756685,2636074.256236,2637823.402957,1390189.902454,3321917.030757
3,0.855748,1.183485,0.001862,0.007624,0.004561,3110505.669268,2638038.764837,2636074.256236,2637823.402957,3274191.922156,3321917.030757
4,0.856475,1.227446,-0.002587,0.009318,0.008482,2616478.627113,2638011.815435,2636074.256236,2637823.402957,-1576102.530417,3321917.030757
5,0.857444,1.239097,-0.000944,0.011016,0.008493,2601368.919524,2637975.918019,2636074.256236,2637823.402957,-933298.130702,3321917.030757
6,0.858717,1.247832,-0.004169,0.006346,0.008228,2604766.543907,2637928.775033,2636074.256236,2637823.402957,-598847.437675,3321917.030757
7,0.859354,1.231283,-0.003374,0.004681,0.005914,2785530.509752,2637905.195295,2636074.256236,2637823.402957,581895.046931,3321917.030757
8,0.859386,1.235273,-0.001715,0.008586,0.007920,2682466.258969,2637903.992390,2636074.256236,2637823.402957,-168546.537289,3321917.030757
9,0.860301,1.218813,0.002354,0.012570,0.010386,2801477.108167,2637870.126461,2636074.256236,2637823.402957,-1254064.538310,3321917.030757
10,0.864129,1.241279,-0.000985,0.014656,0.007342,2294495.550809,2637728.704322,2636074.256236,2637823.402957,1129852.954235,3321917.030757
11,0.864501,1.232579,-0.000441,0.011726,0.008664,2565185.701564,2637714.974520,2636074.256236,2637823.402957,726146.990376,3321917.030757
12,0.868264,1.213819,-0.002179,0.008519,0.004252,2619967.664845,2637576.242578,2636074.256236,2637823.402957,-1042180.951710,3321917.030757
13,0.870725,1.210389,0.004641,0.011035,0.007560,2981729.173178,2637485.659809,2636074.256236,2637823.402957,1220293.199361,3321917.030757
14,0.870928,1.238296,-0.001528,0.010334,0.005223,2478496.164656,2637478.200116,2636074.256236,2637823.402957,-345785.343721,3321917.030757
15,0.872291,1.243904,-0.004007,0.006626,0.007152,2505166.559681,2637428.110863,2636074.256236,2637823.402957,534517.401014,3321917.030757
16,0.874411,1.233401,-0.000615,0.010644,0.011000,2563064.167927,2637350.231400,2636074.256236,2637823.402957,-216938.587747,3321917.030757
17,0.875053,1.221925,0.002352,0.009573,0.008015,2851902.462233,2637326.669542,2636074.256236,2637823.402957,-263545.614249,3321917.030757
18,0.877934,1.220428,-0.001040,0.008720,0.006071,2623018.315474,2637221.074675,2636074.256236,2637823.402957,-369425.270175,3321917.030757
19,0.878301,1.247152,0.000284,0.009715,0.003681,2572935.019761,2637207.630287,2636074.256236,2637823.402957,-210333.697769,3321917.030757
20,0.879772,1.214432,-0.000870,0.009881,0.005826,2565782.859304,2637153.782487,2636074.256236,2637823.402957,-1302831.576744,3321917.030757
21,0.880996,1.267445,0.001770,0.010490,0.010220,2614508.541404,2637108.970282,2636074.256236,2637823.402957,16886.145504,3321917.030757
22,0.881564,1.239051,-0.001266,0.007433,0.008766,2628751.277269,2637088.206920,2636074.256236,2637823.402957,-2740873.718040,3321917.030757
23,0.882557,1.230827,-0.000535,0.008151,0.006995,2643154.619451,2637051.915562,2636074.256236,2637823.402957,4480.796830,3321917.030757
24,0.884621,1.233899,-0.003370,0.008561,0.008641,2377926.234016,2636976.560778,2636074.256236,2637823.402957,625472.280514,3321917.030757
25,0.884910,1.271007,0.000741,0.005912,0.003026,2724591.932254,2636966.005474,2636074.256236,2637823.402957,-77924.698517,3321917.030757
26,0.885129,1.198953,-0.002308,0.005755,0.008447,2728203.895641,2636958.013330,2636074.256236,2637823.402957,-877125.328926,3321917.030757
27,0.885202,1.200500,-0.002160,0.004858,0.006781,2775431.735483,2636955.361312,2636074.256236,2637823.402957,2173236.823759,3321917.030757
28,0.885502,1.195411,-0.000236,0.003908,0.000112,2931357.890691,2636944.413097,2636074.256236,2637823.402957,460611.538735,3321917.030757
29,0.887149,1.274427,-0.000756,0.011362,0.007234,2258630.519628,2636884.337829,2636074.256236,2637823.402957,7743.607920,3321917.030757
30,0.887205,1.241314,-0.000031,0.007581,0.007920,2662740.465530,2636882.299651,2636074.256236,2637823.402957,384681.738586,3321917.030757
31,0.890954,1.203473,0.002667,0.008906,0.005273,2836074.861263,2636745.798298,2636074.256236,2637823.402957,397853.982402,3321917.030757
32,0.893333,1.214665,0.001663,0.006615,0.007567,2866386.494184,2636659.342991,2636074.256236,2637823.402957,402293.031752,3321917.030757
33,0.893606,1.284085,-0.000588,0.007445,0.001993,2419793.212188,2636649.410470,2636074.256236,2637823.402957,-924782.801732,3321917.030757
34,0.895737,1.204158,-0.003453,0.006227,0.004781,2495866.030486,2636572.074131,2636074.256236,2637823.402957,-20612.416324,3321917.030757
35,0.895914,1.186379,0.000104,0.008979,0.004518,2648355.720909,2636565.677670,2636074.256236,2637823.402957,1306315.725194,3321917.030757
36,0.897437,1.263982,0.001194,0.004960,0.009534,2791673.562146,2636510.438784,2636074.256236,2637823.402957,-755788.683914,3321917.030757
37,0.898577,1.209090,-0.000717,0.006566,0.004377,2652637.280154,2636469.130433,2636074.256236,2637823.402957,-234185.529704,3321917.030757
38,0.899834,1.263885,-0.002169,0.008348,0.004959,2256643.319471,2636423.625121,2636074.256236,2637823.402957,-1314971.720351,3321917.030757
39,0.900056,1.217179,-0.001897,0.006124,0.006691,2573338.655093,2636415.616261,2636074.256236,2637823.402957,976601.870560,3321917.030757
40,0.900596,1.275630,0.000863,0.007851,0.010292,2546325.053972,2636396.057737,2636074.256236,2637823.402957,-669344.738004,3321917.030757
41,0.900918,1.189651,-0.001666,0.009988,0.010333,2442450.833901,2636384.417831,2636074.256236,2637823.402957,-440198.010370,3321917.030757
42,0.901438,1.275976,-0.001350,0.008909,0.007413,2260087.445313,2636365.600390,2636074.256236,2637823.402957,3321782.334992,3321917.030757
43,0.902715,1.258793,-0.000094,0.005790,0.006694,2603770.707414,2636319.437876,2636074.256236,2637823.402957,1198514.738911,3321917.030757
44,0.905694,1.199069,0.003392,0.008326,0.006529,2844082.439767,2636211.893958,2636074.256236,2637823.402957,-451836.900001,3321917.030757
45,0.906267,1.240224,-0.004161,0.011251,0.010624,1914286.412410,2636191.237999,2636074.256236,2637823.402957,-509425.371637,3321917.030757
46,0.911020,1.252566,0.005500,0.006766,0.008209,2926027.579706,2636020.033673,2636074.256236,2637823.402957,1712381.057675,3321917.030757
47,0.914191,1.215870,0.001794,0.010526,0.009733,2512628.976516,2635906.115105,2636074.256236,2637823.402957,-234067.383226,3321917.030757
48,0.915381,1.256241,-0.001278,0.006414,0.006967,2383703.504101,2635863.386176,2636074.256236,2637823.402957,-545936.285939,3321917.030757
49,0.922470,1.216783,0.000023,0.009071,0.006433,2371537.013157,2635609.530724,2636074.256236,2637823.402957,1328109.818357,3321917.030757
