TradeID	PortfolioID	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	AmountCurrency	Amount
1255826569A	9534	RatesFX	Risk_FX	BRL				USD	-103790.5329
1255826569A	9534	RatesFX	Risk_FX	USD				USD	74456.70647
1255826569A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	77.46729621
1255826569A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	159.481451
1255826569A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	149.6905148
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-10.91990744
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	79.50043825
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	26.64638123
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-131.7556549
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-5300.113887
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-48.38642981
1255826569A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	25.38740991
1264239555A	9534	RatesFX	Risk_FX	BRL				USD	-79680.95654
1264239555A	9534	RatesFX	Risk_FX	USD				USD	88594.50567
1264239555A	9534	RatesFX	Risk_IRCurve	BRL	1	3m	Libor1m	USD	396.5855027
1264239555A	9534	RatesFX	Risk_IRCurve	BRL	1	6m	Libor1m	USD	13.1154367
1264239555A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-1.445807222
1264239555A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-419.5702825
1264239555A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	0.502743342
1266156065A	9534	RatesFX	Risk_FX	KRW				USD	122174.5145
1266156065A	9534	RatesFX	Risk_FX	USD				USD	-121109.275
1266156065A	9534	RatesFX	Risk_FXVol	KRWUSD		3m		USD	-5097.00063
1266156065A	9534	RatesFX	Risk_FXVol	KRWUSD		6m		USD	-5426.869778
1266156065A	9534	RatesFX	Risk_IRCurve	KRW	1	1y	Libor3m	USD	7.77737342
1266156065A	9534	RatesFX	Risk_IRCurve	KRW	1	3m	Libor3m	USD	-30.98133286
1266156065A	9534	RatesFX	Risk_IRCurve	KRW	1	6m	Libor3m	USD	-484.550631
1266156065A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	0.512203995
1266156065A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	248.9983221
1266156065A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-1.621347733
1266926748A	9534	RatesFX	Risk_FX	PEN				USD	6159.811002
1266926748A	9534	RatesFX	Risk_FX	USD				USD	-9619.73997
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	10y	Libor1m	USD	-11.53490754
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	1y	Libor1m	USD	2.845451841
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	2y	Libor1m	USD	6.402454996
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	3m	Libor1m	USD	0.114018257
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	3y	Libor1m	USD	25.4481326
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	5y	Libor1m	USD	-239.1053344
1266926748A	9534	RatesFX	Risk_IRCurve	PEN	1	6m	Libor1m	USD	1.022586067
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	2.096676296
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-0.279781486
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-0.324249488
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-6.700628432
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-35.20581071
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	662.8667511
1266926748A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-0.037550165
1267226577A	9534	RatesFX	Risk_FX	BRL				USD	-12701.43469
1267226577A	9534	RatesFX	Risk_FX	USD				USD	43159.12622
1267226577A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	1376.366449
1267226577A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	313.8787885
1267226577A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	6.932629335
1267226577A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-892.537815
1267226577A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-778.2619174
1267226577A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-957.3002129
1267226577A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-1946.107483
