#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_50y,2016-02-05,0.000000,1128,0,0,0,1128,1128,1128
Swap_50y,2016-08-05,0.497268,343077,408090,0,0,1457835,346546,346546
Swap_50y,2017-02-06,1.003002,545918,584555,0,0,3487753,556957,556957
Swap_50y,2017-08-07,1.501632,652452,824965,0,0,2738744,672196,672196
Swap_50y,2018-02-05,2.000262,749898,830339,0,0,4125800,780193,780193
Swap_50y,2018-08-06,2.498892,885458,1024809,0,0,4781740,930369,930369
Swap_50y,2019-02-05,3.000262,930737,1052909,0,0,4773613,987703,987703
Swap_50y,2019-08-05,3.496152,1026904,1197688,0,0,4696744,1100508,1100508
Swap_50y,2020-02-05,4.000000,1122861,1221890,0,0,5532990,1215415,1215415
Swap_50y,2020-08-05,4.497268,1076760,1305949,0,0,5046036,1177047,1215415
Swap_50y,2021-02-05,5.000262,1089276,1303667,0,0,5520195,1202641,1215415
Swap_50y,2021-08-05,5.496152,865739,1312782,0,0,4497434,965271,1215415
Swap_50y,2022-02-07,6.005741,833904,1222073,0,0,3439915,939206,1215415
Swap_50y,2022-08-05,6.496152,1023326,1374121,0,0,3643498,1163793,1215415
Swap_50y,2023-02-06,7.003002,1343926,1409229,0,0,8231584,1543817,1543817
Swap_50y,2023-08-07,7.501632,1595447,1493113,0,0,7369776,1850918,1850918
Swap_50y,2024-02-05,8.000000,1335367,1327558,0,0,6215821,1564551,1850918
Swap_50y,2024-08-05,8.497268,1328795,1420284,0,0,5505727,1572284,1850918
Swap_50y,2025-02-05,9.000262,1420645,1366710,0,0,6607676,1697812,1850918
Swap_50y,2025-08-05,9.496152,1400079,1416654,0,0,6131794,1689729,1850918
Swap_50y,2026-02-05,10.000262,1345178,1371762,0,0,6652176,1639743,1850918
Swap_50y,2026-08-05,10.496152,1195799,1453783,0,0,5477854,1472036,1850918
Swap_50y,2027-02-05,11.000262,1116026,1430703,0,0,6398827,1387617,1850918
Swap_50y,2027-08-05,11.496152,1309292,1462162,0,0,7251022,1643980,1850918
Swap_50y,2028-02-07,12.005464,1067546,1451867,0,0,5344093,1354031,1850918
Swap_50y,2028-08-07,12.502732,559972,1478368,0,0,2694332,717286,1850918
Swap_50y,2029-02-05,13.000262,809945,1382856,0,0,3146751,1047769,1850918
Swap_50y,2029-08-06,13.498892,515539,1437226,0,0,2435035,673528,1850918
Swap_50y,2030-02-05,14.000262,458615,1478034,0,0,800749,605132,1850918
Swap_50y,2030-08-05,14.496152,390812,1592959,0,0,1709812,520751,1850918
Swap_50y,2031-02-05,15.000262,604029,1568772,0,0,2642474,812926,1850918
Swap_50y,2031-08-05,15.496152,530775,1592607,0,0,3585961,721382,1850918
Swap_50y,2032-02-05,16.000000,638163,1539362,0,0,1310108,876032,1850918
Swap_50y,2032-08-05,16.497268,766134,1604194,0,0,2293730,1062132,1850918
Swap_50y,2033-02-07,17.005741,619346,1527737,0,0,2560517,867335,1850918
Swap_50y,2033-08-05,17.496152,567244,1540936,0,0,2751422,802118,1850918
Swap_50y,2034-02-06,18.003002,736288,1410979,0,0,3240724,1051652,1850918
Swap_50y,2034-08-07,18.501632,907801,1510689,0,0,1515317,1309486,1850918
Swap_50y,2035-02-05,19.000262,661174,1415927,0,0,1289036,963189,1850918
Swap_50y,2035-08-06,19.498892,884986,1492924,0,0,304221,1302021,1850918
Swap_50y,2036-02-05,20.000000,601080,1465183,0,0,0,893147,1850918
Swap_50y,2036-08-05,20.497268,712706,1517265,0,0,0,1069509,1850918
Swap_50y,2037-02-05,21.000262,486701,1478487,0,0,0,737677,1850918
