#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,528507.034840,525048.340760,0.000000,495264.381927,CPTY_A,0.038251
1,2016-03-04,14,524436.144141,522573.320479,-24380.551328,366913.102429,CPTY_A,0.076503
2,2016-03-18,14,458984.896926,456867.606741,0.000000,478203.208169,CPTY_A,0.114754
3,2016-04-01,14,619708.239378,619398.613082,0.000000,546549.392043,CPTY_A,0.153005
4,2016-04-15,14,566937.126450,566997.070488,0.000000,441881.923986,CPTY_A,0.191257
5,2016-04-29,14,430743.190699,423412.111552,0.000000,475393.216113,CPTY_A,0.229508
6,2016-05-13,14,501361.125267,502219.017544,0.000000,469876.241775,CPTY_A,0.267760
7,2016-05-27,14,464791.441518,456282.891797,0.000000,376955.422661,CPTY_A,0.306011
8,2016-06-10,14,544423.009401,537193.513128,0.000000,572621.209410,CPTY_A,0.344262
9,2016-06-24,14,523496.390718,517914.068515,0.000000,481706.473799,CPTY_A,0.382514
10,2016-07-08,14,518492.898968,516404.590430,0.000000,470059.901052,CPTY_A,0.420765
11,2016-07-22,14,488250.041274,485412.457745,0.000000,447252.870801,CPTY_A,0.459016
12,2016-08-05,14,563583.648959,563584.667182,0.000000,484004.645638,CPTY_A,0.497268
13,2016-08-19,14,476989.078793,476555.448412,0.000000,515099.691173,CPTY_A,0.535519
14,2016-09-02,14,510188.560536,500114.885606,287345.556563,440035.822168,CPTY_A,0.573770
15,2016-09-16,14,460059.832538,456901.698481,0.000000,420491.774777,CPTY_A,0.612022
16,2016-09-30,14,486143.668273,481258.520958,0.000000,499461.551305,CPTY_A,0.650273
17,2016-10-14,14,439500.224764,436831.622544,0.000000,438297.734149,CPTY_A,0.688525
18,2016-10-28,17,509666.689889,498662.203964,0.000000,477686.931964,CPTY_A,0.726776
19,2016-11-14,11,499701.736886,490049.148558,0.000000,423161.309413,CPTY_A,0.773224
20,2016-11-25,14,407078.926921,406527.479550,0.000000,368111.376297,CPTY_A,0.803279
21,2016-12-09,14,466970.794680,465014.612770,0.000000,450738.641493,CPTY_A,0.841530
22,2016-12-23,14,477201.936653,475317.063175,0.000000,526399.443786,CPTY_A,0.879781
23,2017-01-06,14,494988.568604,486813.122897,0.000000,612347.028460,CPTY_A,0.918070
24,2017-01-20,14,484687.063350,479829.244359,0.000000,577046.933357,CPTY_A,0.956426
25,2017-02-03,14,517644.275801,512342.449886,0.000000,592309.068380,CPTY_A,0.994783
26,2017-02-17,14,452108.355406,452403.316697,0.000000,430887.829104,CPTY_A,1.033139
27,2017-03-03,14,436739.704253,429332.556929,-290944.552813,448037.434595,CPTY_A,1.071495
28,2017-03-17,14,455039.379340,454011.668747,0.000000,489387.555458,CPTY_A,1.109851
29,2017-03-31,18,343451.640065,339953.081290,0.000000,281479.414310,CPTY_A,1.148207
30,2017-04-18,10,524613.898507,522804.833337,0.000000,472939.510797,CPTY_A,1.197522
31,2017-04-28,14,472351.487096,468464.621722,0.000000,478762.572851,CPTY_A,1.224920
32,2017-05-12,14,449651.483735,432794.915799,0.000000,467490.010254,CPTY_A,1.263276
33,2017-05-26,14,486895.169965,480113.804778,0.000000,461398.785657,CPTY_A,1.301632
34,2017-06-09,14,450098.707450,448627.549633,0.000000,498636.068519,CPTY_A,1.339988
35,2017-06-23,14,488059.729756,480521.452839,0.000000,396333.039187,CPTY_A,1.378344
36,2017-07-07,14,493164.432939,493898.169596,0.000000,437852.455518,CPTY_A,1.416700
37,2017-07-21,14,437837.909304,433658.598030,0.000000,377134.619561,CPTY_A,1.455057
38,2017-08-04,14,458689.461559,451835.050887,0.000000,470876.685728,CPTY_A,1.493413
39,2017-08-18,14,462808.144979,463024.322321,0.000000,473747.926352,CPTY_A,1.531769
40,2017-09-01,14,394676.761103,391456.628643,285131.585938,331352.134843,CPTY_A,1.570125
41,2017-09-15,14,466103.604933,453855.345178,0.000000,454467.525917,CPTY_A,1.608481
42,2017-09-29,14,417452.167474,414764.282119,0.000000,435750.023520,CPTY_A,1.646837
43,2017-10-13,14,447914.376633,447471.008284,0.000000,407479.253179,CPTY_A,1.685194
44,2017-10-27,17,433678.012620,426939.539500,0.000000,414309.997290,CPTY_A,1.723550
45,2017-11-13,11,416281.517962,415056.852011,0.000000,301319.996263,CPTY_A,1.770125
46,2017-11-24,14,443751.908238,443774.216389,0.000000,404498.188448,CPTY_A,1.800262
47,2017-12-08,14,403654.032091,401182.729009,0.000000,469714.121326,CPTY_A,1.838618
48,2017-12-22,14,412405.830018,410812.889705,0.000000,375005.135573,CPTY_A,1.876974
49,2018-01-05,14,402821.061146,400993.759190,0.000000,332081.632097,CPTY_A,1.915330
50,2018-01-19,14,441353.036297,441010.375004,0.000000,465879.845858,CPTY_A,1.953687
51,2018-02-02,14,302311.187049,299211.476326,0.000000,262632.991415,CPTY_A,1.992043
52,2018-02-16,14,486271.632456,482221.186764,0.000000,446301.604526,CPTY_A,2.030399
53,2018-03-02,14,425588.757688,402653.532631,-282178.129180,302963.759338,CPTY_A,2.068755
54,2018-03-16,18,351781.556750,350624.263944,0.000000,257034.792754,CPTY_A,2.107111
55,2018-04-03,10,406500.123709,404432.503245,0.000000,452589.691781,CPTY_A,2.156426
56,2018-04-13,14,398653.155358,395380.652966,0.000000,398657.179682,CPTY_A,2.183824
57,2018-04-27,14,333837.829250,331912.816973,0.000000,269763.097041,CPTY_A,2.222180
58,2018-05-11,14,410233.550162,409211.079299,0.000000,379032.619826,CPTY_A,2.260536
59,2018-05-25,14,382394.147144,382467.825494,0.000000,463812.998204,CPTY_A,2.298892
60,2018-06-08,14,369280.178877,363119.606266,0.000000,264209.431554,CPTY_A,2.337248
61,2018-06-22,14,377832.925520,378091.758365,0.000000,462310.658741,CPTY_A,2.375604
62,2018-07-06,14,440180.978387,440371.315100,0.000000,366004.300154,CPTY_A,2.413961
63,2018-07-20,14,408036.976854,403597.675246,0.000000,367289.390521,CPTY_A,2.452317
64,2018-08-03,14,312941.507242,313367.151856,0.000000,336825.862008,CPTY_A,2.490673
65,2018-08-17,14,461306.865076,461252.008563,0.000000,381872.577278,CPTY_A,2.529029
66,2018-08-31,14,400525.088722,394302.986145,278880.991406,414986.959701,CPTY_A,2.567385
67,2018-09-14,14,390850.842766,384385.398162,0.000000,267232.896370,CPTY_A,2.605741
68,2018-09-28,14,373186.198186,367649.942846,0.000000,406793.314074,CPTY_A,2.644098
69,2018-10-12,14,383478.703326,380794.571686,0.000000,382170.298255,CPTY_A,2.682454
70,2018-10-26,14,419167.575546,416242.050639,0.000000,319271.654528,CPTY_A,2.720810
71,2018-11-09,14,304429.242320,300164.903625,0.000000,300492.223866,CPTY_A,2.759166
72,2018-11-23,14,352148.492360,352839.834022,0.000000,290390.702085,CPTY_A,2.797522
73,2018-12-07,14,354038.125727,346553.972075,0.000000,330164.529575,CPTY_A,2.835878
74,2018-12-21,14,359452.867706,354368.687650,0.000000,340672.277202,CPTY_A,2.874235
75,2019-01-04,14,366241.265691,364964.714420,0.000000,337746.930969,CPTY_A,2.912591
76,2019-01-18,14,347967.107043,347463.802025,0.000000,334956.322518,CPTY_A,2.950947
77,2019-02-01,14,332113.980576,330094.862117,0.000000,373469.845015,CPTY_A,2.989303
78,2019-02-15,14,376153.116865,375404.319344,0.000000,412221.985190,CPTY_A,3.027659
79,2019-03-01,14,398443.508089,396062.360908,-279118.815078,381188.084066,CPTY_A,3.066015
80,2019-03-15,14,318000.548417,309090.843017,0.000000,316958.936809,CPTY_A,3.104372
81,2019-03-29,14,302438.728097,300539.235925,0.000000,225514.789072,CPTY_A,3.142728
82,2019-04-12,14,298133.165608,298368.692146,0.000000,280498.530325,CPTY_A,3.181084
83,2019-04-26,14,334007.071825,330570.430326,0.000000,288784.640452,CPTY_A,3.219440
84,2019-05-10,14,317752.642436,317362.664047,0.000000,268353.224162,CPTY_A,3.257796
85,2019-05-24,14,340212.569735,332859.130059,0.000000,409960.077851,CPTY_A,3.296152
86,2019-06-07,14,311636.120765,309235.744387,0.000000,424120.790084,CPTY_A,3.334509
87,2019-06-21,14,336580.875183,335538.490120,0.000000,288093.153760,CPTY_A,3.372865
