#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.020823,398478.736603,304024.044983,279681.390474,281101.300661,-13135.392431,355985.911170
1,-0.011103,363155.572073,303966.474335,279681.390474,281101.300661,-38424.488717,355985.911170
2,-0.008760,354115.287471,303952.597645,279681.390474,281101.300661,-247553.894562,355985.911170
3,-0.007296,348346.757360,303943.925702,279681.390474,281101.300661,-156168.804516,355985.911170
4,-0.006944,346942.846235,303941.836707,279681.390474,281101.300661,302695.217560,355985.911170
5,-0.006227,344070.545296,303937.589037,279681.390474,281101.300661,270561.520290,355985.911170
6,-0.005844,342529.375788,303935.324442,279681.390474,281101.300661,222031.955319,355985.911170
7,-0.005186,339857.794891,303931.422886,279681.390474,281101.300661,-37527.821931,355985.911170
8,-0.004742,338047.409790,303928.796366,279681.390474,281101.300661,-104182.541310,355985.911170
9,-0.004144,335589.545303,303925.252912,279681.390474,281101.300661,-34152.380990,355985.911170
10,-0.004009,335033.878307,303924.455399,279681.390474,281101.300661,-147164.363184,355985.911170
11,-0.003249,331877.929880,303919.950922,279681.390474,281101.300661,-36129.651045,355985.911170
12,-0.003072,331137.690080,303918.900547,279681.390474,281101.300661,46350.395549,355985.911170
13,-0.002723,329676.304149,303916.833772,279681.390474,281101.300661,-48340.226422,355985.911170
14,-0.002633,329300.392705,303916.303614,279681.390474,281101.300661,-114084.490584,355985.911170
15,-0.002018,326703.059511,303912.657039,279681.390474,281101.300661,10193.547657,355985.911170
16,-0.001981,326546.002113,303912.437460,279681.390474,281101.300661,-200192.169511,355985.911170
17,-0.001874,326092.856407,303911.804519,279681.390474,281101.300661,-52017.318759,355985.911170
18,-0.000319,319425.120142,303902.592753,279681.390474,281101.300661,384841.381727,355985.911170
19,0.000050,317824.528512,303900.409772,279681.390474,281101.300661,37.279654,355985.911170
20,0.000471,315983.925749,303897.912996,279681.390474,281101.300661,170500.538339,355985.911170
21,0.000592,315454.772844,303897.197883,279681.390474,281101.300661,83342.898891,355985.911170
22,0.001023,313557.212547,303894.643311,279681.390474,281101.300661,154970.446610,355985.911170
23,0.001672,310681.391937,303890.801128,279681.390474,281101.300661,-103139.873665,355985.911170
24,0.001676,310663.516369,303890.777357,279681.390474,281101.300661,-5682.670424,355985.911170
25,0.001917,309587.800118,303889.349342,279681.390474,281101.300661,-82061.441082,355985.911170
26,0.001938,309494.934442,303889.226295,279681.390474,281101.300661,-45417.726374,355985.911170
27,0.002074,308884.853423,303888.418853,279681.390474,281101.300661,-61125.778044,355985.911170
28,0.002474,307086.124854,303886.047507,279681.390474,281101.300661,-18142.149443,355985.911170
29,0.002848,305395.784060,303883.831668,279681.390474,281101.300661,-1299.783685,355985.911170
30,0.002856,305362.521530,303883.788187,279681.390474,281101.300661,173414.989323,355985.911170
31,0.002865,305322.627289,303883.736044,279681.390474,281101.300661,125159.046896,355985.911170
32,0.006828,286793.796488,303860.254102,279681.390474,281101.300661,-1344.047236,355985.911170
33,0.007100,285480.224828,303858.645144,279681.390474,281101.300661,29718.243871,355985.911170
34,0.008738,277424.863480,303848.939810,279681.390474,281101.300661,22030.172188,355985.911170
35,0.010393,269045.237606,303839.138427,279681.390474,281101.300661,12951.001215,355985.911170
36,0.010454,268731.759297,303838.777591,279681.390474,281101.300661,92471.764638,355985.911170
37,0.011287,264405.199752,303833.840371,279681.390474,281101.300661,-69504.620877,355985.911170
38,0.011588,262824.075380,303832.056068,279681.390474,281101.300661,-83770.312579,355985.911170
39,0.011612,262698.590525,303831.914916,279681.390474,281101.300661,-64429.603498,355985.911170
40,0.011767,261880.792184,303830.996665,279681.390474,281101.300661,91918.730371,355985.911170
41,0.012304,259028.844119,303827.816796,279681.390474,281101.300661,-222060.225353,355985.911170
42,0.012356,258749.371650,303827.507062,279681.390474,281101.300661,-6699.297529,355985.911170
43,0.013728,251307.152886,303819.381947,279681.390474,281101.300661,-116579.299247,355985.911170
44,0.014273,248286.942872,303816.152215,279681.390474,281101.300661,78742.439749,355985.911170
45,0.016961,232821.848286,303800.225960,279681.390474,281101.300661,52191.437529,355985.911170
46,0.017069,232179.596201,303799.586692,279681.390474,281101.300661,-13374.197835,355985.911170
47,0.017129,231820.073932,303799.229612,279681.390474,281101.300661,93438.994866,355985.911170
48,0.021493,204111.868448,303773.373840,279681.390474,281101.300661,-185707.950294,355985.911170
49,0.024306,184054.170533,303756.707472,279681.390474,281101.300661,-166788.358582,355985.911170
