#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,91767.992045,91889.055297,0.000000,78514.655215,CPTY_A,0.038251
1,2016-03-04,14,92556.463048,92616.941483,0.000000,107387.498888,CPTY_A,0.076503
2,2016-03-18,14,87364.684315,87484.117735,0.000000,97183.701760,CPTY_A,0.114754
3,2016-04-01,14,102710.440406,102776.049706,0.000000,117157.411462,CPTY_A,0.153005
4,2016-04-15,14,79361.276912,79632.804457,0.000000,78794.972619,CPTY_A,0.191257
5,2016-04-29,14,87382.155310,87388.448420,0.000000,106576.781451,CPTY_A,0.229508
6,2016-05-13,14,82472.407237,82522.500325,0.000000,72781.613269,CPTY_A,0.267760
7,2016-05-27,14,94175.543029,94178.906874,0.000000,91583.921578,CPTY_A,0.306011
8,2016-06-10,14,105486.640658,105829.279625,0.000000,157527.991119,CPTY_A,0.344262
9,2016-06-24,14,87998.365272,88103.240489,0.000000,91960.352189,CPTY_A,0.382514
10,2016-07-08,14,101990.105303,102077.781675,0.000000,127613.184368,CPTY_A,0.420765
11,2016-07-22,14,78669.705978,78689.017006,0.000000,67191.904867,CPTY_A,0.459016
12,2016-08-05,14,87427.830033,87608.431756,0.000000,77742.906693,CPTY_A,0.497268
13,2016-08-19,14,94059.137851,94150.661844,0.000000,122479.503109,CPTY_A,0.535519
14,2016-09-02,14,86284.398278,86642.338442,0.000000,96009.702865,CPTY_A,0.573770
15,2016-09-16,14,81798.488703,81997.880113,0.000000,85203.832779,CPTY_A,0.612022
16,2016-09-30,14,86918.774803,86923.497257,0.000000,80116.354507,CPTY_A,0.650273
17,2016-10-14,14,96016.945755,96704.784854,0.000000,102117.635679,CPTY_A,0.688525
18,2016-10-28,17,89717.339806,90117.075957,0.000000,63700.775394,CPTY_A,0.726776
19,2016-11-14,11,82861.158279,82863.324546,0.000000,112534.489598,CPTY_A,0.773224
20,2016-11-25,14,100037.948450,100175.792919,0.000000,136098.740367,CPTY_A,0.803279
21,2016-12-09,14,86163.328933,86167.244212,0.000000,88842.617620,CPTY_A,0.841530
22,2016-12-23,14,102955.307130,102957.603192,0.000000,136837.417562,CPTY_A,0.879781
