#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.027284,187702.369267,102943.049897,87382.381858,95046.642439,127794.575519,118344.368143
1,-0.020322,172094.686087,102862.106674,87382.381858,95046.642439,-19153.629144,118344.368143
2,-0.016131,161975.226233,102813.384487,87382.381858,95046.642439,20414.714247,118344.368143
3,-0.015567,160564.367283,102806.826413,87382.381858,95046.642439,-157272.116557,118344.368143
4,-0.015048,159255.973580,102800.795971,87382.381858,95046.642439,-7298.728203,118344.368143
5,-0.011695,150524.447204,102761.816992,87382.381858,95046.642439,17830.810339,118344.368143
6,-0.011242,149305.796782,102756.551694,87382.381858,95046.642439,64387.851830,118344.368143
7,-0.010983,148603.637897,102753.537407,87382.381858,95046.642439,6810.796346,118344.368143
8,-0.010212,146497.566883,102744.581612,87382.381858,95046.642439,-104921.093587,118344.368143
9,-0.010068,146101.847845,102742.913151,87382.381858,95046.642439,-10781.021442,118344.368143
10,-0.009650,144941.516606,102738.046919,87382.381858,95046.642439,48006.797081,118344.368143
11,-0.009296,143953.290405,102733.933096,87382.381858,95046.642439,-44195.290403,118344.368143
12,-0.007999,140271.853601,102718.855867,87382.381858,95046.642439,15063.795166,118344.368143
13,-0.006051,134555.165779,102696.218276,87382.381858,95046.642439,64380.117831,118344.368143
14,-0.005364,132479.083947,102688.230512,87382.381858,95046.642439,-80012.659408,118344.368143
15,-0.004514,129866.873950,102678.356606,87382.381858,95046.642439,-3644.181483,118344.368143
16,-0.004056,128435.912552,102673.031143,87382.381858,95046.642439,-72904.037013,118344.368143
17,-0.002436,123244.270232,102654.205742,87382.381858,95046.642439,-16832.178747,118344.368143
18,-0.001153,118971.832206,102639.296505,87382.381858,95046.642439,20421.033764,118344.368143
19,-0.001131,118895.945776,102639.036447,87382.381858,95046.642439,-14460.756188,118344.368143
20,0.001652,109048.123694,102606.697521,87382.381858,95046.642439,-5981.594133,118344.368143
21,0.001961,107898.856580,102603.105681,87382.381858,95046.642439,62052.801346,118344.368143
22,0.002478,105951.530702,102597.106568,87382.381858,95046.642439,6201.502248,118344.368143
23,0.002484,105926.098115,102597.028941,87382.381858,95046.642439,24597.275703,118344.368143
24,0.002703,105088.820072,102594.483765,87382.381858,95046.642439,35796.098516,118344.368143
25,0.003141,103395.298073,102589.397540,87382.381858,95046.642439,-63627.586949,118344.368143
26,0.003242,103001.765341,102588.227466,87382.381858,95046.642439,-1486.451991,118344.368143
27,0.003282,102844.451809,102587.760981,87382.381858,95046.642439,-17778.666462,118344.368143
28,0.003908,100360.720675,102580.490475,87382.381858,95046.642439,33747.200177,118344.368143
29,0.004155,99360.117972,102577.611710,87382.381858,95046.642439,60423.121738,118344.368143
30,0.004285,98834.343548,102576.110607,87382.381858,95046.642439,17021.879119,118344.368143
31,0.004435,98220.162309,102574.367192,87382.381858,95046.642439,-15421.285447,118344.368143
32,0.006211,90631.966333,102553.724361,87382.381858,95046.642439,-32621.403874,118344.368143
33,0.009343,75421.110098,102517.342414,87382.381858,95046.642439,30209.373472,118344.368143
34,0.009736,73287.812867,102512.773038,87382.381858,95046.642439,70.810563,118344.368143
35,0.010471,69126.646559,102504.237473,87382.381858,95046.642439,-24133.112057,118344.368143
36,0.014849,35312.954871,102453.375130,87382.381858,95046.642439,8263.531073,118344.368143
37,0.015288,29876.967670,102448.271557,87382.381858,95046.642439,2492.622320,118344.368143
38,0.015393,28419.710414,102447.048088,87382.381858,95046.642439,-10855.498507,118344.368143
39,0.015827,21400.391369,102442.011809,87382.381858,95046.642439,-9020.658002,118344.368143
40,0.017518,0.000000,102422.373403,87382.381858,95046.642439,-1658.132351,118344.368143
41,0.017922,0.000000,102417.675240,87382.381858,95046.642439,-7338.260823,118344.368143
42,0.020408,0.000000,102388.797928,87382.381858,95046.642439,745.942318,118344.368143
43,0.021799,0.000000,102372.637611,87382.381858,95046.642439,-2980.686445,118344.368143
44,0.021978,0.000000,102370.568234,87382.381858,95046.642439,10452.056795,118344.368143
45,0.022093,0.000000,102369.223750,87382.381858,95046.642439,4528.855329,118344.368143
46,0.023902,0.000000,102348.213590,87382.381858,95046.642439,1976.477242,118344.368143
47,0.024601,0.000000,102340.095225,87382.381858,95046.642439,-5799.952171,118344.368143
48,0.027691,0.000000,102304.212433,87382.381858,95046.642439,-60.337713,118344.368143
49,0.033900,0.000000,102232.108886,87382.381858,95046.642439,-204.531949,118344.368143
