#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.027304,187866.095920,103021.412506,87450.093711,95118.480996,127921.405033,118461.755299
1,-0.020338,172243.898335,102940.272957,87450.093711,95118.480996,-19173.040875,118461.755299
2,-0.016144,162114.608317,102891.430876,87450.093711,95118.480996,20433.866406,118461.755299
3,-0.015579,160700.952675,102884.850080,87450.093711,95118.480996,-157416.073032,118461.755299
4,-0.015061,159394.188335,102878.818215,87450.093711,95118.480996,-7305.997182,118461.755299
5,-0.011704,150651.969182,102839.733680,87450.093711,95118.480996,17846.436525,118461.755299
6,-0.011252,149434.840259,102834.467177,87450.093711,95118.480996,64447.357949,118461.755299
7,-0.010991,148729.262742,102831.433736,87450.093711,95118.480996,6816.651738,118461.755299
8,-0.010219,146618.717181,102822.445812,87450.093711,95118.480996,-105005.839758,118461.755299
9,-0.010075,146220.615989,102820.764884,87450.093711,95118.480996,-10789.656033,118461.755299
10,-0.009657,145062.706686,102815.901778,87450.093711,95118.480996,48047.341495,118461.755299
11,-0.009304,144075.860801,102811.787673,87450.093711,95118.480996,-44233.413799,118461.755299
12,-0.008005,140387.063681,102796.658243,87450.093711,95118.480996,15075.567900,118461.755299
13,-0.006054,134660.713408,102773.950041,87450.093711,95118.480996,64424.017798,118461.755299
14,-0.005367,132585.370842,102765.953810,87450.093711,95118.480996,-80065.785955,118461.755299
15,-0.004518,129973.756560,102756.067983,87450.093711,95118.480996,-3646.840570,118461.755299
16,-0.004061,128545.407544,102750.744477,87450.093711,95118.480996,-72958.614294,118461.755299
17,-0.002439,123343.579049,102731.854737,87450.093711,95118.480996,-16842.708913,118461.755299
18,-0.001156,119070.827758,102716.922909,87450.093711,95118.480996,20434.663463,118461.755299
19,-0.001132,118989.747106,102716.644653,87450.093711,95118.480996,-14468.814614,118461.755299
20,0.001654,109127.741399,102684.214340,87450.093711,95118.480996,-5983.804475,118461.755299
21,0.001962,107980.374553,102680.623543,87450.093711,95118.480996,62080.711311,118461.755299
22,0.002477,106036.191556,102674.625727,87450.093711,95118.480996,6204.416332,118461.755299
23,0.002485,106007.435749,102674.537833,87450.093711,95118.480996,24607.791180,118461.755299
24,0.002704,105168.980893,102671.985542,87450.093711,95118.480996,35811.160503,118461.755299
25,0.003143,103470.545823,102666.877583,87450.093711,95118.480996,-63642.112399,118461.755299
26,0.003243,103080.203389,102665.715407,87450.093711,95118.480996,-1487.045663,118461.755299
27,0.003282,102925.817877,102665.256965,87450.093711,95118.480996,-17785.844536,118461.755299
28,0.003911,100429.661637,102657.940132,87450.093711,95118.480996,33755.354024,118461.755299
29,0.004155,99441.844582,102655.094239,87450.093711,95118.480996,60453.709271,118461.755299
30,0.004286,98908.383769,102653.569046,87450.093711,95118.480996,17027.379646,118461.755299
31,0.004438,98289.270016,102651.809258,87450.093711,95118.480996,-15424.433858,118461.755299
32,0.006215,90694.099015,102631.120232,87450.093711,95118.480996,-32623.728908,118461.755299
33,0.009346,75476.704350,102594.674187,87450.093711,95118.480996,30213.702586,118461.755299
34,0.009743,73326.757400,102590.063355,87450.093711,95118.480996,70.702155,118461.755299
35,0.010478,69158.783631,102581.504241,87450.093711,95118.480996,-24124.520375,118461.755299
36,0.014858,35296.122602,102530.529106,87450.093711,95118.480996,8258.766765,118461.755299
37,0.015298,29846.574180,102525.413330,87450.093711,95118.480996,2490.942429,118461.755299
38,0.015402,28395.065473,102524.195081,87450.093711,95118.480996,-10848.292027,118461.755299
39,0.015838,21323.347041,102519.128416,87450.093711,95118.480996,-9012.789534,118461.755299
40,0.017529,0.000000,102499.451340,87450.093711,95118.480996,-1656.633201,118461.755299
41,0.017933,0.000000,102494.745077,87450.093711,95118.480996,-7330.867414,118461.755299
42,0.020421,0.000000,102465.789918,87450.093711,95118.480996,744.896072,118461.755299
43,0.021813,0.000000,102449.593963,87450.093711,95118.480996,-2976.108159,118461.755299
44,0.021991,0.000000,102447.524152,87450.093711,95118.480996,10438.402260,118461.755299
45,0.022106,0.000000,102446.187940,87450.093711,95118.480996,4523.039788,118461.755299
46,0.023918,0.000000,102425.100947,87450.093711,95118.480996,1972.737427,118461.755299
47,0.024618,0.000000,102416.961520,87450.093711,95118.480996,-5786.964718,118461.755299
48,0.027708,0.000000,102381.008810,87450.093711,95118.480996,-60.216358,118461.755299
49,0.033923,0.000000,102308.707205,87450.093711,95118.480996,-203.745316,118461.755299
