#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.021261,346428.959327,149492.817167,110326.218932,116440.917851,-16158.423477,164752.392370
1,-0.019557,337650.029926,149444.504744,110326.218932,116440.917851,209965.606753,164752.392370
2,-0.006595,270655.343032,149076.999453,110326.218932,116440.917851,-30976.471389,164752.392370
3,-0.002228,247970.903878,148953.208673,110326.218932,116440.917851,-161262.889929,164752.392370
4,-0.002104,247322.766931,148949.678178,110326.218932,116440.917851,19231.664386,164752.392370
5,-0.000846,240773.856169,148914.027721,110326.218932,116440.917851,101036.024079,164752.392370
6,0.001211,230044.479147,148855.714455,110326.218932,116440.917851,-30634.204853,164752.392370
7,0.002553,223033.370000,148817.679491,110326.218932,116440.917851,125227.915470,164752.392370
8,0.003785,216587.009557,148782.762028,110326.218932,116440.917851,10041.551456,164752.392370
9,0.003789,216570.489502,148782.672616,110326.218932,116440.917851,-179337.499317,164752.392370
10,0.004856,210974.959111,148752.409163,110326.218932,116440.917851,-158385.882691,164752.392370
11,0.007032,199547.963311,148690.751121,110326.218932,116440.917851,-40950.256382,164752.392370
12,0.007302,198129.263441,148683.110815,110326.218932,116440.917851,-130142.630110,164752.392370
13,0.009739,185273.413313,148614.043995,110326.218932,116440.917851,0.000000,164752.392370
14,0.013134,167254.253821,148517.834663,110326.218932,116440.917851,0.000000,164752.392370
15,0.014080,162206.619124,148491.033916,110326.218932,116440.917851,0.000000,164752.392370
16,0.014353,160743.595926,148483.279859,110326.218932,116440.917851,-18687.079454,164752.392370
17,0.014597,159440.014724,148476.376369,110326.218932,116440.917851,0.000000,164752.392370
18,0.015408,155090.869785,148453.383388,110326.218932,116440.917851,-60950.671262,164752.392370
19,0.017286,144979.380543,148400.181643,110326.218932,116440.917851,0.000000,164752.392370
20,0.017414,144288.168437,148396.559082,110326.218932,116440.917851,0.000000,164752.392370
21,0.019670,132025.467230,148332.641367,110326.218932,116440.917851,0.000000,164752.392370
22,0.019819,131212.569880,148328.429775,110326.218932,116440.917851,160400.821556,164752.392370
23,0.021808,120263.362911,148272.064352,110326.218932,116440.917851,0.000000,164752.392370
24,0.022501,116415.019445,148252.431641,110326.218932,116440.917851,0.000000,164752.392370
25,0.023415,111306.218211,148226.533055,110326.218932,116440.917851,0.000000,164752.392370
26,0.025777,97900.610301,148159.630207,110326.218932,116440.917851,0.000000,164752.392370
27,0.026623,93006.972858,148135.663748,110326.218932,116440.917851,0.000000,164752.392370
28,0.027050,90514.605431,148123.567752,110326.218932,116440.917851,0.000000,164752.392370
29,0.029641,74968.821855,148050.168377,110326.218932,116440.917851,0.000000,164752.392370
30,0.031049,66095.787795,148010.286254,110326.218932,116440.917851,0.000000,164752.392370
31,0.034453,42046.577925,147913.870722,110326.218932,116440.917851,0.000000,164752.392370
32,0.035504,32964.728324,147884.110784,110326.218932,116440.917851,0.000000,164752.392370
33,0.035933,28718.394860,147871.947608,110326.218932,116440.917851,0.000000,164752.392370
34,0.037027,14176.556792,147840.973152,110326.218932,116440.917851,0.000000,164752.392370
35,0.037624,0.000000,147824.082769,110326.218932,116440.917851,0.000000,164752.392370
36,0.039867,0.000000,147760.551202,110326.218932,116440.917851,0.000000,164752.392370
37,0.041430,0.000000,147716.277284,110326.218932,116440.917851,0.000000,164752.392370
38,0.043149,0.000000,147667.616837,110326.218932,116440.917851,0.000000,164752.392370
39,0.043315,0.000000,147662.921518,110326.218932,116440.917851,0.000000,164752.392370
40,0.043416,0.000000,147660.048619,110326.218932,116440.917851,0.000000,164752.392370
41,0.047128,0.000000,147554.952441,110326.218932,116440.917851,0.000000,164752.392370
42,0.048432,0.000000,147518.012139,110326.218932,116440.917851,0.000000,164752.392370
43,0.050296,0.000000,147465.254646,110326.218932,116440.917851,0.000000,164752.392370
44,0.051445,0.000000,147432.731684,110326.218932,116440.917851,0.000000,164752.392370
45,0.053575,0.000000,147372.421405,110326.218932,116440.917851,0.000000,164752.392370
46,0.053713,0.000000,147368.503601,110326.218932,116440.917851,0.000000,164752.392370
47,0.054817,0.000000,147337.269371,110326.218932,116440.917851,0.000000,164752.392370
48,0.055658,0.000000,147313.445838,110326.218932,116440.917851,0.000000,164752.392370
49,0.059388,32657.899398,147207.879554,110326.218932,116440.917851,0.000000,164752.392370
