#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,1475617.068256,1474835.558649,0.000000,1411735.333971,CPTY_A,0.038251
1,2016-03-04,14,1495658.832147,1493626.945119,0.000000,1464348.805038,CPTY_A,0.076503
2,2016-03-18,14,1515227.637644,1503400.652386,0.000000,1563940.652670,CPTY_A,0.114754
3,2016-04-01,14,1486318.568229,1485041.591916,0.000000,1601383.141213,CPTY_A,0.153005
4,2016-04-15,14,1505158.418118,1501659.681658,153632.411555,1617635.143272,CPTY_A,0.191257
5,2016-04-29,14,1354938.124815,1350848.247965,0.000000,1358842.027570,CPTY_A,0.229508
6,2016-05-13,14,1563795.295957,1555343.659909,0.000000,1427705.986718,CPTY_A,0.267760
7,2016-05-27,14,1460980.355685,1456814.694032,0.000000,1446616.813696,CPTY_A,0.306011
8,2016-06-10,14,1502516.721338,1483035.475120,0.000000,1608664.646702,CPTY_A,0.344262
9,2016-06-24,14,1434001.777822,1425241.377945,0.000000,1403811.220604,CPTY_A,0.382514
10,2016-07-08,14,1437384.924357,1423047.446698,134574.567412,1319858.869972,CPTY_A,0.420765
11,2016-07-22,14,1394076.510272,1383554.791181,0.000000,1355793.500226,CPTY_A,0.459016
12,2016-08-05,14,1452466.040161,1432314.313915,0.000000,1482405.816004,CPTY_A,0.497268
13,2016-08-19,14,1445544.958963,1428620.445171,0.000000,1596315.750630,CPTY_A,0.535519
14,2016-09-02,14,1397009.779795,1390279.863608,0.000000,1435596.526781,CPTY_A,0.573770
15,2016-09-16,14,1419188.197548,1404214.069222,0.000000,1380743.691889,CPTY_A,0.612022
16,2016-09-30,14,1449151.237055,1434250.322535,0.000000,1538784.218665,CPTY_A,0.650273
17,2016-10-14,14,1421463.572445,1411979.414740,129386.898371,1445723.894195,CPTY_A,0.688525
18,2016-10-28,17,1370305.386714,1357784.071855,0.000000,1537023.419532,CPTY_A,0.726776
19,2016-11-14,11,1395192.837414,1380063.873127,0.000000,1457812.228775,CPTY_A,0.773224
20,2016-11-25,14,1377939.257827,1361873.245977,0.000000,1402897.767160,CPTY_A,0.803279
21,2016-12-09,14,1395942.057742,1367982.630018,0.000000,1438963.687637,CPTY_A,0.841530
22,2016-12-23,14,1353989.493962,1341802.715709,0.000000,1406478.740090,CPTY_A,0.879781
23,2017-01-06,14,1407269.579390,1392874.206595,0.000000,1480618.297215,CPTY_A,0.918070
24,2017-01-20,14,1355194.342876,1337189.801162,118552.509696,1394934.389811,CPTY_A,0.956426
25,2017-02-03,14,1295822.071857,1268887.072793,0.000000,1215108.377621,CPTY_A,0.994783
26,2017-02-17,14,1232076.161731,1213992.853290,0.000000,1272854.095976,CPTY_A,1.033139
27,2017-03-03,14,1244667.671804,1234732.501101,0.000000,1313532.115351,CPTY_A,1.071495
28,2017-03-17,14,1251074.079342,1235189.976657,0.000000,1296391.389912,CPTY_A,1.109851
29,2017-03-31,18,1251534.392772,1237596.805072,0.000000,1225824.460561,CPTY_A,1.148207
30,2017-04-18,10,1229521.522624,1215960.908763,116297.137158,1184970.113914,CPTY_A,1.197522
31,2017-04-28,14,1203750.611121,1190261.138501,0.000000,1311967.448235,CPTY_A,1.224920
