#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606083,0.017584,0.000000,508259.840988,546103.561350,583109.061204,77791.258092,518784.168494
1,0.618568,0.024091,33709.316020,512027.633421,546103.561350,583109.061204,-137456.799859,518784.168494
2,0.650524,-0.019395,0.000000,522065.575883,546103.561350,583109.061204,-75275.758363,518784.168494
3,0.656892,0.039014,0.000000,524133.661019,546103.561350,583109.061204,80334.389229,518784.168494
4,0.675996,0.025413,340383.278253,530470.981628,546103.561350,583109.061204,68099.273161,518784.168494
5,0.681395,0.020033,377544.953682,532298.316155,546103.561350,583109.061204,-204948.179698,518784.168494
6,0.682945,0.009225,375247.582452,532825.825355,546103.561350,583109.061204,405507.242573,518784.168494
7,0.713870,0.025105,434201.874008,543617.251281,546103.561350,583109.061204,-66592.852563,518784.168494
8,0.717591,-0.001655,408697.331697,544949.371170,546103.561350,583109.061204,-153091.456813,518784.168494
9,0.723284,0.005320,465239.660940,547001.098478,546103.561350,583109.061204,280357.347689,518784.168494
10,0.726198,0.014530,487929.915304,548057.423904,546103.561350,583109.061204,72041.029997,518784.168494
11,0.742204,0.010742,517983.076973,553935.365335,546103.561350,583109.061204,81735.098562,518784.168494
12,0.754628,0.020286,529560.757201,558582.242167,546103.561350,583109.061204,122764.435809,518784.168494
13,0.758114,0.036511,417920.608398,559898.789678,546103.561350,583109.061204,162072.647723,518784.168494
14,0.762084,0.020689,540326.810711,561404.983496,546103.561350,583109.061204,14028.077054,518784.168494
15,0.763916,0.034030,455684.125668,562102.357252,546103.561350,583109.061204,252866.619770,518784.168494
16,0.772735,0.023788,544089.201102,565479.612902,546103.561350,583109.061204,-196928.198012,518784.168494
17,0.781287,-0.004065,539613.733167,568786.389851,546103.561350,583109.061204,47556.345380,518784.168494
18,0.813065,0.024299,595928.265151,581320.458825,546103.561350,583109.061204,7714.083547,518784.168494
19,0.828964,0.033780,545200.710073,587720.326197,546103.561350,583109.061204,-502438.106845,518784.168494
20,0.835547,0.013395,658015.792585,590391.692149,546103.561350,583109.061204,-29393.732085,518784.168494
21,0.837360,0.028498,598197.159910,591129.121699,546103.561350,583109.061204,2901.752704,518784.168494
22,0.841819,0.015436,661686.230485,592947.130082,546103.561350,583109.061204,-425422.580229,518784.168494
23,0.849578,0.007686,678151.967972,596122.239245,546103.561350,583109.061204,87193.415957,518784.168494
24,0.855077,-0.007759,643362.340282,598380.257567,546103.561350,583109.061204,-191985.314501,518784.168494
25,0.869029,0.006037,700252.021366,604135.538590,546103.561350,583109.061204,102172.231481,518784.168494
26,0.879077,0.047019,404742.104060,608299.711730,546103.561350,583109.061204,-101590.053765,518784.168494
27,0.885195,0.016254,704837.391584,610841.243666,546103.561350,583109.061204,-2512.080527,518784.168494
28,0.940420,0.012991,760938.628415,633847.230973,546103.561350,583109.061204,-348393.913743,518784.168494
29,0.944841,0.043343,521454.673922,635683.190863,546103.561350,583109.061204,-221922.497565,518784.168494
30,0.946485,-0.009874,748182.890935,636365.342413,546103.561350,583109.061204,422601.403721,518784.168494
31,0.951594,-0.004373,770901.355387,638482.870794,546103.561350,583109.061204,-134100.308381,518784.168494
32,1.002174,0.042604,559847.563823,659159.634784,546103.561350,583109.061204,206502.985150,518784.168494
33,1.004626,-0.006637,812379.068851,660144.110996,546103.561350,583109.061204,392830.832487,518784.168494
34,1.014461,0.017977,791288.627110,664072.290137,546103.561350,583109.061204,-697691.439179,518784.168494
35,1.023181,0.020494,783080.915473,667525.513169,546103.561350,583109.061204,-57292.991927,518784.168494
36,1.035587,0.011769,825450.479234,672385.975861,546103.561350,583109.061204,-40352.940284,518784.168494
37,1.039790,0.008405,836233.527315,674017.685802,546103.561350,583109.061204,319117.348999,518784.168494
38,1.091344,0.013846,842458.504603,693338.923747,546103.561350,583109.061204,560835.902932,518784.168494
39,1.099117,0.041714,593046.336900,696129.821779,546103.561350,583109.061204,99791.631932,518784.168494
40,1.106870,0.021964,803998.388396,698878.861126,546103.561350,583109.061204,190842.277662,518784.168494
41,1.148066,0.051451,367671.266328,712887.986345,546103.561350,583109.061204,235291.905416,518784.168494
42,1.149950,0.012478,865510.468888,713503.733711,546103.561350,583109.061204,420973.571790,518784.168494
43,1.152249,0.003957,893028.964761,714252.570571,546103.561350,583109.061204,351465.543275,518784.168494
44,1.158944,0.020744,821965.930247,716413.694867,546103.561350,583109.061204,409666.927208,518784.168494
45,1.242688,-0.001560,925220.053878,741114.682080,546103.561350,583109.061204,-569024.320818,518784.168494
46,1.249605,0.036020,659018.719668,742966.949416,546103.561350,583109.061204,83803.711987,518784.168494
47,1.252396,0.016406,855211.288994,743706.320738,546103.561350,583109.061204,-388081.567822,518784.168494
48,1.326564,-0.006367,941792.427442,761795.590723,546103.561350,583109.061204,154670.705605,518784.168494
49,1.676536,-0.005631,826390.410588,768258.909005,546103.561350,583109.061204,-352360.916725,518784.168494
