#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,1671933.880538,1638695.415755,0.000000,2049367.750211,CPTY_A,0.038251
1,2016-03-04,14,1562286.298743,1546626.071089,9854.283965,1832800.683932,CPTY_A,0.076503
2,2016-03-18,14,1597790.554190,1586339.558920,0.000000,1823968.318774,CPTY_A,0.114754
3,2016-04-01,14,1533316.466010,1500415.450942,0.000000,1452283.912033,CPTY_A,0.153005
4,2016-04-15,14,1753963.389567,1716333.643326,0.000000,1914197.530665,CPTY_A,0.191257
5,2016-04-29,14,1538315.118072,1445210.658275,0.000000,1565114.494693,CPTY_A,0.229508
6,2016-05-13,14,1441049.049873,1395712.464063,0.000000,1332011.595246,CPTY_A,0.267760
7,2016-05-27,14,1369082.294428,1347521.742960,63143.521885,1292001.610422,CPTY_A,0.306011
8,2016-06-10,14,1616420.836533,1607981.020988,0.000000,1395073.882460,CPTY_A,0.344262
9,2016-06-24,14,1450416.677657,1429365.256926,0.000000,1199918.065317,CPTY_A,0.382514
10,2016-07-08,14,1623300.999960,1585863.613372,0.000000,1662829.885350,CPTY_A,0.420765
11,2016-07-22,14,1554028.025012,1550858.157569,0.000000,1535550.419513,CPTY_A,0.459016
12,2016-08-05,14,1538891.855158,1531284.895106,0.000000,1840156.054483,CPTY_A,0.497268
13,2016-08-19,14,1461755.376568,1455819.230066,0.000000,1580893.458323,CPTY_A,0.535519
14,2016-09-02,14,1565012.183545,1436710.891964,-238255.507813,1809295.738812,CPTY_A,0.573770
15,2016-09-16,14,1696520.663271,1695598.740278,0.000000,1460447.655531,CPTY_A,0.612022
16,2016-09-30,14,1498392.167248,1478457.365945,0.000000,1413072.112504,CPTY_A,0.650273
17,2016-10-14,14,1614780.053812,1589411.702415,0.000000,1452948.204113,CPTY_A,0.688525
18,2016-10-28,17,1355438.747112,1357262.211168,0.000000,1211439.223364,CPTY_A,0.726776
19,2016-11-14,11,1545598.526201,1463597.996701,0.000000,1858409.333159,CPTY_A,0.773224
20,2016-11-25,14,1456935.265597,1454531.027361,65820.046133,1348393.814388,CPTY_A,0.803279
21,2016-12-09,14,1720921.271727,1702936.377989,0.000000,1716688.774855,CPTY_A,0.841530
22,2016-12-23,14,1156376.128828,1148736.604604,0.000000,952678.081104,CPTY_A,0.879781
23,2017-01-06,14,1573480.791227,1459098.509642,0.000000,1327760.679979,CPTY_A,0.918070
24,2017-01-20,14,1540379.435973,1514547.206098,0.000000,1744535.727717,CPTY_A,0.956426
25,2017-02-03,14,1394384.467209,1385773.153009,0.000000,1303684.219826,CPTY_A,0.994783
26,2017-02-17,14,1573719.042523,1481015.222678,0.000000,1349108.697657,CPTY_A,1.033139
27,2017-03-03,14,1569557.271189,1481922.731057,-220927.751875,2498322.231031,CPTY_A,1.071495
28,2017-03-17,14,1565056.985842,1541027.550522,0.000000,1655789.163770,CPTY_A,1.109851
29,2017-03-31,18,1476321.972163,1457116.140487,0.000000,1463175.436509,CPTY_A,1.148207
30,2017-04-18,10,1444961.945552,1425813.784398,0.000000,1306873.752944,CPTY_A,1.197522
31,2017-04-28,14,1655855.997351,1554205.285805,0.000000,2726536.422549,CPTY_A,1.224920
32,2017-05-12,14,1395787.302285,1346955.766073,0.000000,1169567.642575,CPTY_A,1.263276
33,2017-05-26,14,1637437.477563,1616597.445792,73934.433540,1693587.807618,CPTY_A,1.301632
34,2017-06-09,14,1719079.610049,1684297.375277,0.000000,1608966.317158,CPTY_A,1.339988
35,2017-06-23,14,1449654.351584,1394165.821290,0.000000,1419671.993394,CPTY_A,1.378344
36,2017-07-07,14,1516329.452026,1453395.942791,0.000000,2030535.644745,CPTY_A,1.416700
37,2017-07-21,14,1535471.173748,1445664.134299,0.000000,1521174.933777,CPTY_A,1.455057
38,2017-08-04,14,1481425.396783,1416322.743792,0.000000,1299397.978743,CPTY_A,1.493413
39,2017-08-18,14,1594352.122017,1565618.510586,0.000000,2356649.697886,CPTY_A,1.531769
40,2017-09-01,14,1514327.788202,1502262.588952,-223009.661172,1401668.228185,CPTY_A,1.570125
41,2017-09-15,14,1356353.697662,1311919.620840,0.000000,1675572.966097,CPTY_A,1.608481
42,2017-09-29,14,1466075.901543,1446783.316109,0.000000,1403690.329439,CPTY_A,1.646837
43,2017-10-13,14,1453422.930910,1442560.535431,0.000000,1218149.486003,CPTY_A,1.685194
44,2017-10-27,17,1598912.702725,1543269.889650,0.000000,1414028.730185,CPTY_A,1.723550
45,2017-11-13,11,1770638.286212,1611946.875448,0.000000,2407384.332615,CPTY_A,1.770125
46,2017-11-24,14,1469728.931493,1367618.145870,71255.392842,1900483.263604,CPTY_A,1.800262
47,2017-12-08,14,1503380.028503,1495000.006629,0.000000,1749104.925620,CPTY_A,1.838618
48,2017-12-22,14,1490016.178767,1477433.391787,0.000000,1165625.420535,CPTY_A,1.876974
49,2018-01-05,14,1733738.965814,1595879.338183,0.000000,1560221.334677,CPTY_A,1.915330
50,2018-01-19,14,1273397.514638,1262596.152658,0.000000,1294917.043549,CPTY_A,1.953687
51,2018-02-02,14,1427497.798063,1391521.236528,0.000000,1316620.658318,CPTY_A,1.992043
52,2018-02-16,14,1400502.963578,1374598.524871,0.000000,1327858.344333,CPTY_A,2.030399
53,2018-03-02,14,1508715.712978,1391710.741400,-207067.023984,1901201.822535,CPTY_A,2.068755
54,2018-03-16,18,1309486.429469,1307576.336840,0.000000,1288528.326452,CPTY_A,2.107111
55,2018-04-03,10,1557764.976904,1510799.904917,0.000000,1423346.908903,CPTY_A,2.156426
56,2018-04-13,14,1543318.813657,1527194.202317,0.000000,1606342.647373,CPTY_A,2.183824
57,2018-04-27,14,1677938.009050,1603171.834819,0.000000,2546875.935336,CPTY_A,2.222180
58,2018-05-11,14,1952198.562627,1919112.082855,0.000000,1601140.131928,CPTY_A,2.260536
59,2018-05-25,14,1624361.478893,1478122.266715,88928.555308,2030588.361169,CPTY_A,2.298892
60,2018-06-08,14,1364763.061955,1236068.920648,0.000000,1905711.281897,CPTY_A,2.337248
61,2018-06-22,14,1536312.813683,1535884.070732,0.000000,1760975.215899,CPTY_A,2.375604
