#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436324,0.000175,0.009921,296311.911225,1548036.096503,1784027.818359,1852580.809479,-248248.956878,2096519.677726
1,0.447154,0.004998,0.006315,311786.587129,0.000000,1784027.818359,1852580.809479,489277.732279,2096519.677726
2,0.452281,-0.001419,0.004199,407843.376144,0.000000,1784027.818359,1852580.809479,-294077.332649,2096519.677726
3,0.457696,0.002518,0.036542,516250.250002,0.000000,1784027.818359,1852580.809479,-52691.033271,2096519.677726
4,0.459985,-0.006463,0.013658,646517.578636,1561669.743592,1784027.818359,1852580.809479,-39472.473013,2096519.677726
5,0.461522,0.015785,0.037421,709000.256672,0.000000,1784027.818359,1852580.809479,40586.084338,2096519.677726
6,0.475069,-0.018573,0.011123,1063904.474269,0.000000,1784027.818359,1852580.809479,-50063.665662,2096519.677726
7,0.478657,-0.000474,0.022809,659385.688582,0.000000,1784027.818359,1852580.809479,-1137148.236410,2096519.677726
8,0.482118,-0.000989,0.046401,642512.465785,0.000000,1784027.818359,1852580.809479,69868.535811,2096519.677726
9,0.482655,0.007741,0.021015,660604.570234,0.000000,1784027.818359,1852580.809479,337751.874629,2096519.677726
10,0.494709,-0.013788,0.012529,986729.511860,0.000000,1784027.818359,1852580.809479,421288.742645,2096519.677726
11,0.494870,0.005606,0.009280,656464.723904,0.000000,1784027.818359,1852580.809479,413661.141495,2096519.677726
12,0.499521,0.012095,0.046769,774356.446049,0.000000,1784027.818359,1852580.809479,260418.114790,2096519.677726
13,0.508324,0.001867,0.017041,764588.562229,0.000000,1784027.818359,1852580.809479,333939.959041,2096519.677726
14,0.517967,-0.014667,0.011680,1087478.189603,0.000000,1784027.818359,1852580.809479,-869418.502928,2096519.677726
15,0.518760,-0.002945,0.037432,863627.055593,0.000000,1784027.818359,1852580.809479,46371.698612,2096519.677726
16,0.518791,0.000626,-0.005350,676748.930596,0.000000,1784027.818359,1852580.809479,4357.303225,2096519.677726
17,0.521047,0.014518,0.028901,920320.424345,0.000000,1784027.818359,1852580.809479,-225008.596655,2096519.677726
18,0.522705,0.002014,0.011121,802201.568980,0.000000,1784027.818359,1852580.809479,416811.074994,2096519.677726
19,0.524086,-0.006999,0.018993,947006.613849,0.000000,1784027.818359,1852580.809479,-257087.314634,2096519.677726
20,0.533361,0.013857,0.022541,944292.646747,0.000000,1784027.818359,1852580.809479,-623768.769210,2096519.677726
21,0.534184,0.007203,0.075303,645020.750783,0.000000,1784027.818359,1852580.809479,-164329.976923,2096519.677726
22,0.534214,0.007933,0.019158,878996.635445,0.000000,1784027.818359,1852580.809479,-411366.554963,2096519.677726
23,0.536182,0.003739,0.039082,886087.530342,0.000000,1784027.818359,1852580.809479,331636.651280,2096519.677726
24,0.539143,0.002255,0.022364,902240.110925,1608841.594147,1784027.818359,1852580.809479,372364.480010,2096519.677726
25,0.540001,-0.001283,0.003984,864356.540100,1609368.417126,1784027.818359,1852580.809479,580333.623045,2096519.677726
26,0.541240,-0.002775,0.022387,951265.416379,0.000000,1784027.818359,1852580.809479,-113170.881672,2096519.677726
27,0.542772,0.002034,0.037208,918741.244443,0.000000,1784027.818359,1852580.809479,-181488.765452,2096519.677726
28,0.546993,0.007396,0.047872,913035.106584,0.000000,1784027.818359,1852580.809479,-334773.219316,2096519.677726
29,0.548789,-0.001627,-0.019777,681518.435573,0.000000,1784027.818359,1852580.809479,992166.514572,2096519.677726
30,0.550212,0.008283,0.023417,950253.718357,0.000000,1784027.818359,1852580.809479,524042.460240,2096519.677726
31,0.550424,0.003159,0.028748,948524.144001,0.000000,1784027.818359,1852580.809479,-304725.751464,2096519.677726
32,0.552612,0.003655,-0.003975,821914.855967,0.000000,1784027.818359,1852580.809479,460126.783843,2096519.677726
33,0.554163,0.003301,0.038625,955959.344333,0.000000,1784027.818359,1852580.809479,-16155.315061,2096519.677726
34,0.556140,-0.017853,0.004445,1269821.396418,0.000000,1784027.818359,1852580.809479,-518230.243817,2096519.677726
35,0.558480,0.010653,0.043948,991712.909447,0.000000,1784027.818359,1852580.809479,323998.380860,2096519.677726
36,0.559490,-0.003043,0.005038,966314.571553,0.000000,1784027.818359,1852580.809479,-344252.161928,2096519.677726
37,0.560164,-0.005808,0.014831,1045478.663417,0.000000,1784027.818359,1852580.809479,-15511.185508,2096519.677726
38,0.560814,0.007366,0.019800,976542.334339,0.000000,1784027.818359,1852580.809479,877799.296253,2096519.677726
39,0.563327,-0.001617,0.024583,1020977.661662,0.000000,1784027.818359,1852580.809479,-696795.461656,2096519.677726
40,0.564056,-0.002231,0.007606,984827.274740,0.000000,1784027.818359,1852580.809479,-324961.751079,2096519.677726
41,0.567739,0.001346,0.033149,1017180.708340,0.000000,1784027.818359,1852580.809479,433343.324314,2096519.677726
42,0.568506,0.008566,0.025074,1018859.704410,0.000000,1784027.818359,1852580.809479,-236977.615849,2096519.677726
43,0.570676,0.006635,0.012374,986085.203233,0.000000,1784027.818359,1852580.809479,1131690.917907,2096519.677726
44,0.571149,-0.017810,0.009633,1326271.484433,0.000000,1784027.818359,1852580.809479,-278307.302616,2096519.677726
45,0.571569,0.004520,0.008326,971199.293295,1629025.468632,1784027.818359,1852580.809479,258058.978310,2096519.677726
46,0.572063,0.009381,0.017461,1019704.193977,0.000000,1784027.818359,1852580.809479,-515425.785804,2096519.677726
47,0.574648,0.011887,0.037441,1069052.124540,0.000000,1784027.818359,1852580.809479,173096.345572,2096519.677726
48,0.575853,0.006480,0.041800,1030439.778578,0.000000,1784027.818359,1852580.809479,336309.381747,2096519.677726
49,0.579546,0.006674,0.026373,1050407.031460,0.000000,1784027.818359,1852580.809479,-708041.524790,2096519.677726
50,0.580843,-0.007102,0.033655,1149325.592892,0.000000,1784027.818359,1852580.809479,300450.399064,2096519.677726
51,0.580873,0.016783,0.032629,1154451.107347,0.000000,1784027.818359,1852580.809479,-404125.740189,2096519.677726
52,0.580959,0.023150,0.048348,1263478.280119,0.000000,1784027.818359,1852580.809479,175451.639334,2096519.677726
53,0.581502,0.001489,0.032406,1064416.410176,0.000000,1784027.818359,1852580.809479,722543.643196,2096519.677726
54,0.583826,0.015231,0.041242,1135740.148586,0.000000,1784027.818359,1852580.809479,-88286.324384,2096519.677726
55,0.584801,0.001448,0.025124,1073224.963035,0.000000,1784027.818359,1852580.809479,-1348429.639460,2096519.677726
56,0.584870,0.010545,0.005101,1020531.289911,0.000000,1784027.818359,1852580.809479,-96267.975410,2096519.677726
57,0.589401,0.001777,0.034054,1089035.015995,1640385.003100,1784027.818359,1852580.809479,151686.161210,2096519.677726
58,0.590751,-0.010717,-0.001481,1174400.830876,1641252.925892,1784027.818359,1852580.809479,-722439.703731,2096519.677726
59,0.591645,0.002915,0.002797,1018878.196686,0.000000,1784027.818359,1852580.809479,-260723.734959,2096519.677726
60,0.592717,-0.001670,0.038217,1117528.399636,0.000000,1784027.818359,1852580.809479,13487.984878,2096519.677726
61,0.596648,-0.000081,0.031849,1123842.814550,0.000000,1784027.818359,1852580.809479,146673.166939,2096519.677726
62,0.597557,-0.011206,0.008593,1245368.009252,0.000000,1784027.818359,1852580.809479,-683771.670240,2096519.677726
63,0.597773,0.015030,0.013202,1143536.772442,1645787.270849,1784027.818359,1852580.809479,-120976.260448,2096519.677726
64,0.598076,0.000102,0.031277,1127425.083224,0.000000,1784027.818359,1852580.809479,-396541.546900,2096519.677726
65,0.600050,-0.005682,0.017317,1179919.321009,0.000000,1784027.818359,1852580.809479,-1030183.697815,2096519.677726
66,0.600983,0.002871,0.016308,1104789.793932,0.000000,1784027.818359,1852580.809479,888096.210176,2096519.677726
67,0.601817,0.001136,0.023107,1128597.994997,1648413.460294,1784027.818359,1852580.809479,-360176.920382,2096519.677726
68,0.602491,0.009994,0.034882,1143781.784763,1648852.370859,1784027.818359,1852580.809479,-257048.022037,2096519.677726
69,0.603479,-0.006115,-0.015256,1034985.214421,0.000000,1784027.818359,1852580.809479,-425980.438929,2096519.677726
70,0.605302,-0.011428,0.016044,1290768.413023,0.000000,1784027.818359,1852580.809479,575871.506847,2096519.677726
71,0.606076,0.000592,0.017584,1135506.916307,0.000000,1784027.818359,1852580.809479,59030.948866,2096519.677726
72,0.609404,-0.018038,0.020761,1453710.291706,0.000000,1784027.818359,1852580.809479,-424643.096920,2096519.677726
73,0.610284,0.013981,0.040378,1201075.865187,0.000000,1784027.818359,1852580.809479,-37614.985008,2096519.677726
74,0.611467,0.018768,0.013263,1238183.888491,0.000000,1784027.818359,1852580.809479,-193512.361254,2096519.677726
75,0.611877,-0.019528,-0.002320,1444408.811275,0.000000,1784027.818359,1852580.809479,1316040.862384,2096519.677726
76,0.613774,0.008271,0.013153,1137643.463866,0.000000,1784027.818359,1852580.809479,53.011795,2096519.677726
77,0.617023,0.009210,0.030102,1183921.486730,0.000000,1784027.818359,1852580.809479,340703.063199,2096519.677726
78,0.618571,0.008740,0.024091,1180654.714474,0.000000,1784027.818359,1852580.809479,-579302.029595,2096519.677726
79,0.619944,0.000391,0.005208,1139993.824649,0.000000,1784027.818359,1852580.809479,-63431.686381,2096519.677726
80,0.621992,0.001175,0.013854,1173086.960306,1661683.183059,1784027.818359,1852580.809479,164594.061072,2096519.677726
81,0.622644,0.019067,0.019275,1291687.189786,0.000000,1784027.818359,1852580.809479,-1396909.248966,2096519.677726
82,0.623766,0.007206,0.030169,1196597.994553,0.000000,1784027.818359,1852580.809479,-429057.251480,2096519.677726
83,0.625044,0.016233,0.042591,1270330.926886,0.000000,1784027.818359,1852580.809479,256146.251472,2096519.677726
84,0.625147,-0.011988,-0.007161,1276663.880228,1663784.470410,1784027.818359,1852580.809479,14260.108776,2096519.677726
85,0.625164,-0.001292,0.017167,1208680.377143,0.000000,1784027.818359,1852580.809479,-347411.515150,2096519.677726
86,0.626169,-0.005968,0.012583,1253094.614429,0.000000,1784027.818359,1852580.809479,-277013.667763,2096519.677726
87,0.626717,-0.003559,-0.014439,1081436.141305,0.000000,1784027.818359,1852580.809479,455098.884121,2096519.677726
88,0.628514,0.002538,0.008043,1167138.392151,0.000000,1784027.818359,1852580.809479,-233115.259821,2096519.677726
89,0.630100,-0.001824,0.005508,1192171.952175,1667098.584756,1784027.818359,1852580.809479,392096.911188,2096519.677726
90,0.630713,0.007617,0.039360,1215811.511584,0.000000,1784027.818359,1852580.809479,134147.113916,2096519.677726
91,0.630965,0.003390,0.019754,1206272.227365,0.000000,1784027.818359,1852580.809479,424439.340840,2096519.677726
92,0.632674,0.014609,0.002531,1196690.451660,0.000000,1784027.818359,1852580.809479,540443.198253,2096519.677726
93,0.634865,-0.002412,0.020032,1253694.860790,0.000000,1784027.818359,1852580.809479,733331.409318,2096519.677726
