#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,83884.086214,83983.977588,0.000000,72444.271289,CPTY_A
1,2016-03-04,14,84628.871575,84687.724529,0.000000,99254.038432,CPTY_A
2,2016-03-18,14,80227.522939,80324.948297,0.000000,90406.022717,CPTY_A
3,2016-04-01,14,93983.106570,94051.665112,0.000000,108975.156244,CPTY_A
4,2016-04-15,14,72591.078603,72828.112359,0.000000,72890.312273,CPTY_A
5,2016-04-29,14,79939.739751,79945.073420,0.000000,97807.334240,CPTY_A
6,2016-05-13,14,74993.994752,75035.837055,0.000000,66644.502708,CPTY_A
7,2016-05-27,14,85795.751610,85796.444669,0.000000,85870.730647,CPTY_A
8,2016-06-10,14,96599.945793,96988.855132,0.000000,146375.837703,CPTY_A
9,2016-06-24,14,79984.262045,80062.552576,0.000000,83512.743466,CPTY_A
10,2016-07-08,14,93596.373975,93709.808625,0.000000,120122.689749,CPTY_A
11,2016-07-22,14,71528.369916,71547.995727,0.000000,63314.658578,CPTY_A
12,2016-08-05,14,80088.128136,80232.810963,0.000000,73212.826074,CPTY_A
13,2016-08-19,14,85771.106547,85857.699805,0.000000,112077.211829,CPTY_A
14,2016-09-02,14,78839.534992,79161.515838,0.000000,91071.193813,CPTY_A
15,2016-09-16,14,74137.041728,74329.132337,0.000000,80052.907174,CPTY_A
16,2016-09-30,14,78836.982577,78839.213769,0.000000,72624.615541,CPTY_A
17,2016-10-14,14,87275.908335,88039.133217,0.000000,92298.034700,CPTY_A
18,2016-10-28,17,81105.653420,81514.221049,0.000000,55901.218696,CPTY_A
19,2016-11-14,11,74807.404080,74808.342172,0.000000,106051.295179,CPTY_A
20,2016-11-25,14,91281.548655,91417.468543,0.000000,127713.433625,CPTY_A
21,2016-12-09,14,78368.458708,78374.801682,0.000000,84134.649175,CPTY_A
22,2016-12-23,14,93972.065482,93975.164261,0.000000,128417.934339,CPTY_A
23,2017-01-06,14,93488.225415,93854.761231,0.000000,143121.195417,CPTY_A
24,2017-01-20,14,76253.519110,76270.635668,0.000000,71894.418558,CPTY_A
25,2017-02-03,14,93724.842532,94310.807720,0.000000,107330.858912,CPTY_A
26,2017-02-17,14,75467.107973,75786.912688,0.000000,72966.249898,CPTY_A
27,2017-03-03,14,88906.836603,88969.139946,0.000000,90454.139115,CPTY_A
28,2017-03-17,14,86560.708198,86659.647267,0.000000,118764.273644,CPTY_A
29,2017-03-31,18,89381.480947,89387.906760,0.000000,82352.057170,CPTY_A
30,2017-04-18,10,78726.612441,78733.349288,0.000000,93446.798705,CPTY_A
31,2017-04-28,14,78122.777552,78125.086688,0.000000,92677.705642,CPTY_A
32,2017-05-12,14,78258.884074,80073.636791,0.000000,77375.965848,CPTY_A
33,2017-05-26,14,79655.398924,80544.477533,0.000000,69903.602575,CPTY_A
34,2017-06-09,14,84392.051202,84414.832446,0.000000,87339.940540,CPTY_A
35,2017-06-23,14,86828.898456,87063.873059,0.000000,108157.167435,CPTY_A
36,2017-07-07,14,78789.318267,78795.278292,0.000000,78468.790010,CPTY_A
37,2017-07-21,14,83590.080545,83689.340646,0.000000,91542.780795,CPTY_A
38,2017-08-04,14,109851.417495,110600.583912,0.000000,132548.455264,CPTY_A
39,2017-08-18,14,87813.502458,87813.599090,0.000000,102559.700236,CPTY_A
40,2017-09-01,14,99896.279843,99897.041673,0.000000,97097.061045,CPTY_A
41,2017-09-15,14,90615.357529,90644.307341,0.000000,84873.698941,CPTY_A
42,2017-09-29,14,70661.700025,70666.203754,0.000000,68902.478484,CPTY_A
43,2017-10-13,14,85353.225920,85382.025106,0.000000,128295.118513,CPTY_A
44,2017-10-27,17,86199.737232,86629.907896,0.000000,69962.125779,CPTY_A
45,2017-11-13,11,86599.522874,87014.287351,0.000000,84040.242156,CPTY_A
46,2017-11-24,14,88143.898915,89043.621442,0.000000,101143.633049,CPTY_A
47,2017-12-08,14,87017.390892,87154.633110,0.000000,124389.327235,CPTY_A
48,2017-12-22,14,95262.405725,95312.570868,0.000000,138389.953661,CPTY_A
49,2018-01-05,14,94355.477804,95084.557600,0.000000,76475.644430,CPTY_A
50,2018-01-19,14,103508.235574,103608.534645,0.000000,128342.330678,CPTY_A
51,2018-02-02,14,95047.400697,95157.710779,0.000000,154943.214077,CPTY_A
52,2018-02-16,14,83557.802939,83876.863356,0.000000,130464.535611,CPTY_A
53,2018-03-02,14,122834.087341,122916.028151,0.000000,186068.297238,CPTY_A
54,2018-03-16,18,79237.822395,79341.776939,0.000000,106566.051646,CPTY_A
55,2018-04-03,10,82444.372422,82899.765584,0.000000,95548.228725,CPTY_A
56,2018-04-13,14,92910.856738,93143.783562,0.000000,116592.273229,CPTY_A
57,2018-04-27,14,68782.567086,69306.124226,0.000000,50705.201276,CPTY_A
58,2018-05-11,14,74874.332933,75370.000876,0.000000,83708.299311,CPTY_A
59,2018-05-25,14,73164.126693,73228.224958,0.000000,91272.781618,CPTY_A
60,2018-06-08,14,87645.072760,87943.343403,0.000000,78907.267006,CPTY_A
61,2018-06-22,14,81318.690856,81633.201021,0.000000,99101.137182,CPTY_A
62,2018-07-06,14,77602.453836,77707.652184,0.000000,79761.581035,CPTY_A
63,2018-07-20,14,99087.546266,99204.365010,0.000000,128297.639522,CPTY_A
64,2018-08-03,14,83746.347285,83753.117891,0.000000,81377.409010,CPTY_A
65,2018-08-17,14,68219.594999,68325.520733,0.000000,71681.364905,CPTY_A
66,2018-08-31,14,105421.692236,105450.764240,0.000000,193155.380883,CPTY_A
67,2018-09-14,14,71180.301723,71280.691689,0.000000,64691.956537,CPTY_A
68,2018-09-28,14,87471.966784,87637.415998,0.000000,102470.545045,CPTY_A
69,2018-10-12,14,101371.692547,101699.291484,0.000000,195835.414095,CPTY_A
70,2018-10-26,14,87259.843551,87447.767801,0.000000,131939.523063,CPTY_A
71,2018-11-09,14,78085.998988,78524.509513,0.000000,95359.818716,CPTY_A
72,2018-11-23,14,85590.943054,85822.699870,0.000000,125869.830624,CPTY_A
73,2018-12-07,14,77131.201759,78024.208701,0.000000,99948.675428,CPTY_A
74,2018-12-21,14,93113.240387,93369.921503,0.000000,98653.231570,CPTY_A
75,2019-01-04,14,77378.803176,78589.870374,0.000000,76158.012872,CPTY_A
76,2019-01-18,14,77736.275779,77808.582212,0.000000,89996.945720,CPTY_A
77,2019-02-01,14,87263.777323,87623.821250,0.000000,126598.108297,CPTY_A
78,2019-02-15,14,112450.769114,112595.165030,0.000000,219647.191714,CPTY_A
79,2019-03-01,14,79835.313102,80001.964909,0.000000,101167.163719,CPTY_A
80,2019-03-15,14,94083.635164,94238.430165,0.000000,124716.070741,CPTY_A
81,2019-03-29,14,93499.645767,94389.908800,0.000000,192911.282065,CPTY_A
82,2019-04-12,14,108160.157251,108386.377655,0.000000,144275.122527,CPTY_A
83,2019-04-26,14,102875.864364,102995.058559,0.000000,181468.057760,CPTY_A
84,2019-05-10,14,75958.773008,76737.683542,0.000000,69306.010790,CPTY_A
85,2019-05-24,14,108420.731248,108839.782183,0.000000,101113.622506,CPTY_A
86,2019-06-07,14,102256.080682,102575.708042,0.000000,82326.472687,CPTY_A
87,2019-06-21,14,87272.839316,87474.352879,0.000000,78295.389686,CPTY_A
88,2019-07-05,14,115987.639085,116522.709140,0.000000,162541.878416,CPTY_A
89,2019-07-19,14,99124.438847,99158.514509,0.000000,114911.607555,CPTY_A
90,2019-08-02,14,86198.053600,86507.019634,0.000000,99193.136525,CPTY_A
91,2019-08-16,14,110061.940646,110414.693307,0.000000,242178.368767,CPTY_A
92,2019-08-30,14,98560.721007,98571.102107,0.000000,115172.734740,CPTY_A
93,2019-09-13,14,97547.135454,97559.425738,0.000000,128510.315249,CPTY_A
94,2019-09-27,14,85455.737085,85516.734201,0.000000,103739.365860,CPTY_A
