#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,1671451.000095,1563679.893123,0.000000,2048669.310679,CPTY_A,0.038251
1,2016-03-04,14,1561355.658234,1461712.163416,9841.519004,1831986.930000,CPTY_A,0.076503
2,2016-03-18,14,1597216.253097,1539524.562118,0.000000,1823610.605956,CPTY_A,0.114754
3,2016-04-01,14,1532880.262776,1436376.485251,0.000000,1451964.260699,CPTY_A,0.153005
4,2016-04-15,14,1753487.840216,1660508.056092,0.000000,1913701.001073,CPTY_A,0.191257
5,2016-04-29,14,1537463.957522,1459669.801317,0.000000,1564814.629071,CPTY_A,0.229508
6,2016-05-13,14,1440849.097661,1335946.045443,0.000000,1332154.835508,CPTY_A,0.267760
7,2016-05-27,14,1368453.617499,1316080.333991,63121.541367,1290429.330906,CPTY_A,0.306011
8,2016-06-10,14,1615548.106706,1544190.452242,0.000000,1393606.912284,CPTY_A,0.344262
9,2016-06-24,14,1450014.073715,1421166.999817,0.000000,1200427.444131,CPTY_A,0.382514
10,2016-07-08,14,1622823.532558,1548905.984974,0.000000,1662742.510067,CPTY_A,0.420765
11,2016-07-22,14,1553137.918765,1504453.415440,0.000000,1534756.298430,CPTY_A,0.459016
12,2016-08-05,14,1538526.993542,1440720.169411,0.000000,1839297.577587,CPTY_A,0.497268
13,2016-08-19,14,1461215.724650,1424838.833438,0.000000,1582903.526029,CPTY_A,0.535519
14,2016-09-02,14,1565025.189314,1363788.444668,-238279.909375,1809568.496908,CPTY_A,0.573770
15,2016-09-16,14,1696026.252342,1682300.421300,0.000000,1459190.719978,CPTY_A,0.612022
16,2016-09-30,14,1497721.385438,1466578.220736,0.000000,1411466.572489,CPTY_A,0.650273
17,2016-10-14,14,1614203.619131,1561141.513495,0.000000,1452730.725538,CPTY_A,0.688525
18,2016-10-28,17,1355035.678987,1296821.055887,0.000000,1208047.287418,CPTY_A,0.726776
19,2016-11-14,11,1546182.017197,1288763.577408,0.000000,1864554.851999,CPTY_A,0.773224
20,2016-11-25,14,1456577.448041,1426831.877171,65792.047031,1347482.522365,CPTY_A,0.803279
21,2016-12-09,14,1720679.134247,1651140.125930,0.000000,1716971.402544,CPTY_A,0.841530
22,2016-12-23,14,1156139.416952,1117104.700973,0.000000,950899.436045,CPTY_A,0.879781
23,2017-01-06,14,1573025.944640,1442644.310722,0.000000,1326907.356833,CPTY_A,0.918070
24,2017-01-20,14,1539903.147378,1419329.870576,0.000000,1743209.256567,CPTY_A,0.956426
25,2017-02-03,14,1393870.201653,1326714.662762,0.000000,1302948.750995,CPTY_A,0.994783
26,2017-02-17,14,1572872.307604,1464385.722580,0.000000,1347508.213874,CPTY_A,1.033139
27,2017-03-03,14,1568845.913772,1375228.405857,-220958.551250,2498300.959256,CPTY_A,1.071495
28,2017-03-17,14,1564404.400877,1511425.656500,0.000000,1654920.106834,CPTY_A,1.109851
29,2017-03-31,18,1475144.361582,1434883.471082,0.000000,1457988.507362,CPTY_A,1.148207
30,2017-04-18,10,1444551.879697,1319650.061898,0.000000,1309253.198424,CPTY_A,1.197522
31,2017-04-28,14,1654381.291163,1448936.290090,0.000000,2724638.789501,CPTY_A,1.224920
32,2017-05-12,14,1395544.450809,1308300.098544,0.000000,1168546.521837,CPTY_A,1.263276
33,2017-05-26,14,1636976.087297,1579649.047976,73901.555725,1692748.613851,CPTY_A,1.301632
34,2017-06-09,14,1718134.338357,1631761.251300,0.000000,1608793.228208,CPTY_A,1.339988
35,2017-06-23,14,1449060.211253,1346848.458692,0.000000,1419888.686366,CPTY_A,1.378344
36,2017-07-07,14,1515642.299884,1438956.797502,0.000000,2030054.636764,CPTY_A,1.416700
37,2017-07-21,14,1535020.543921,1464095.923204,0.000000,1520571.973218,CPTY_A,1.455057
38,2017-08-04,14,1480858.935331,1372013.532469,0.000000,1298239.957790,CPTY_A,1.493413
39,2017-08-18,14,1593534.896941,1505303.135480,0.000000,2357162.309049,CPTY_A,1.531769
40,2017-09-01,14,1513595.727148,1465071.360124,-223044.292031,1399131.368431,CPTY_A,1.570125
41,2017-09-15,14,1356028.999637,1274184.005252,0.000000,1675082.871347,CPTY_A,1.608481
42,2017-09-29,14,1465684.613598,1392324.730780,0.000000,1404172.350801,CPTY_A,1.646837
43,2017-10-13,14,1452878.401332,1374356.081904,0.000000,1217797.780512,CPTY_A,1.685194
44,2017-10-27,17,1597921.812187,1539169.865041,0.000000,1407741.604852,CPTY_A,1.723550
45,2017-11-13,11,1770614.784165,1550598.992352,0.000000,2414208.792236,CPTY_A,1.770125
46,2017-11-24,14,1468651.530195,1314911.240285,71220.414531,1899789.424436,CPTY_A,1.800262
47,2017-12-08,14,1501456.149426,1410879.185898,0.000000,1751980.849447,CPTY_A,1.838618
48,2017-12-22,14,1488200.352080,1408325.772866,0.000000,1163212.663745,CPTY_A,1.876974
49,2018-01-05,14,1732694.971755,1401498.455326,0.000000,1558977.971036,CPTY_A,1.915330
50,2018-01-19,14,1272909.487061,1226290.234871,0.000000,1294768.839005,CPTY_A,1.953687
51,2018-02-02,14,1427312.185440,1364413.589800,0.000000,1316526.478039,CPTY_A,1.992043
