#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.027284,102659.495364,102943.049897,95067.987537,95046.642439,127794.575519,118344.368143
1,-0.020322,102659.495364,102862.106674,95067.987537,95046.642439,-19153.629144,118344.368143
2,-0.016131,102659.495364,102813.384487,95067.987537,95046.642439,20414.714247,118344.368143
3,-0.015567,102659.495364,102806.826413,95067.987537,95046.642439,-157272.116557,118344.368143
4,-0.015048,102659.495364,102800.795971,95067.987537,95046.642439,-7298.728203,118344.368143
5,-0.011695,102659.495364,102761.816992,95067.987537,95046.642439,17830.810339,118344.368143
6,-0.011242,102659.495364,102756.551694,95067.987537,95046.642439,64387.851830,118344.368143
7,-0.010983,102659.495364,102753.537407,95067.987537,95046.642439,6810.796346,118344.368143
8,-0.010212,102659.495364,102744.581612,95067.987537,95046.642439,-104921.093587,118344.368143
9,-0.010068,102659.495364,102742.913151,95067.987537,95046.642439,-10781.021442,118344.368143
10,-0.009650,102659.495364,102738.046919,95067.987537,95046.642439,48006.797081,118344.368143
11,-0.009296,102659.495364,102733.933096,95067.987537,95046.642439,-44195.290403,118344.368143
12,-0.007999,102659.495364,102718.855867,95067.987537,95046.642439,15063.795166,118344.368143
13,-0.006051,102659.495364,102696.218276,95067.987537,95046.642439,64380.117831,118344.368143
14,-0.005364,102659.495364,102688.230512,95067.987537,95046.642439,-80012.659408,118344.368143
15,-0.004514,102659.495364,102678.356606,95067.987537,95046.642439,-3644.181483,118344.368143
16,-0.004056,102659.495364,102673.031143,95067.987537,95046.642439,-72904.037013,118344.368143
17,-0.002436,102659.495364,102654.205742,95067.987537,95046.642439,-16832.178747,118344.368143
18,-0.001153,102659.495364,102639.296505,95067.987537,95046.642439,20421.033764,118344.368143
19,-0.001131,102659.495364,102639.036447,95067.987537,95046.642439,-14460.756188,118344.368143
20,0.001652,102659.495364,102606.697521,95067.987537,95046.642439,-5981.594133,118344.368143
21,0.001961,102659.495364,102603.105681,95067.987537,95046.642439,62052.801346,118344.368143
22,0.002478,102659.495364,102597.106568,95067.987537,95046.642439,6201.502248,118344.368143
23,0.002484,102659.495364,102597.028941,95067.987537,95046.642439,24597.275703,118344.368143
24,0.002703,102659.495364,102594.483765,95067.987537,95046.642439,35796.098516,118344.368143
25,0.003141,102659.495364,102589.397540,95067.987537,95046.642439,-63627.586949,118344.368143
26,0.003242,102659.495364,102588.227466,95067.987537,95046.642439,-1486.451991,118344.368143
27,0.003282,102659.495364,102587.760981,95067.987537,95046.642439,-17778.666462,118344.368143
28,0.003908,102659.495364,102580.490475,95067.987537,95046.642439,33747.200177,118344.368143
29,0.004155,102659.495364,102577.611710,95067.987537,95046.642439,60423.121738,118344.368143
30,0.004285,102659.495364,102576.110607,95067.987537,95046.642439,17021.879119,118344.368143
31,0.004435,102659.495364,102574.367192,95067.987537,95046.642439,-15421.285447,118344.368143
32,0.006211,102659.495364,102553.724361,95067.987537,95046.642439,-32621.403874,118344.368143
33,0.009343,102659.495364,102517.342414,95067.987537,95046.642439,30209.373472,118344.368143
34,0.009736,102659.495364,102512.773038,95067.987537,95046.642439,70.810563,118344.368143
35,0.010471,102659.495364,102504.237473,95067.987537,95046.642439,-24133.112057,118344.368143
36,0.014849,102659.495364,102453.375130,95067.987537,95046.642439,8263.531073,118344.368143
37,0.015288,102659.495364,102448.271557,95067.987537,95046.642439,2492.622320,118344.368143
38,0.015393,102659.495364,102447.048088,95067.987537,95046.642439,-10855.498507,118344.368143
39,0.015827,102659.495364,102442.011809,95067.987537,95046.642439,-9020.658002,118344.368143
40,0.017518,102659.495364,102422.373403,95067.987537,95046.642439,-1658.132351,118344.368143
41,0.017922,102659.495364,102417.675240,95067.987537,95046.642439,-7338.260823,118344.368143
42,0.020408,102659.495364,102388.797928,95067.987537,95046.642439,745.942318,118344.368143
43,0.021799,102659.495364,102372.637611,95067.987537,95046.642439,-2980.686445,118344.368143
44,0.021978,102659.495364,102370.568234,95067.987537,95046.642439,10452.056795,118344.368143
45,0.022093,102659.495364,102369.223750,95067.987537,95046.642439,4528.855329,118344.368143
46,0.023902,102659.495364,102348.213590,95067.987537,95046.642439,1976.477242,118344.368143
47,0.024601,102659.495364,102340.095225,95067.987537,95046.642439,-5799.952171,118344.368143
48,0.027691,102659.495364,102304.212433,95067.987537,95046.642439,-60.337713,118344.368143
49,0.033900,102659.495364,102232.108886,95067.987537,95046.642439,-204.531949,118344.368143
