#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2016-02-05,0.000000,0.00,21368.17,0.00,21368.17,0.00,0.00
CPTY_A,2016-02-19,0.038251,22337.04,51097.18,1057838.38,0.00,22354.41,22354.41
CPTY_A,2016-03-04,0.076503,22451.39,79292.93,1954980.88,0.00,22486.32,22486.32
CPTY_A,2016-03-18,0.114754,85428.12,150970.15,2549030.50,0.00,85627.47,85627.47
CPTY_A,2016-04-01,0.153005,164662.83,109282.63,2608863.00,0.00,165175.16,165175.16
CPTY_A,2016-04-15,0.191257,173287.95,144027.28,3423982.00,0.00,173961.98,173961.98
CPTY_A,2016-04-29,0.229508,223098.84,245329.72,4216195.50,0.00,224140.13,224140.13
CPTY_A,2016-05-13,0.267760,519471.07,92638.06,4245969.00,0.00,522299.86,522299.86
CPTY_A,2016-05-27,0.306011,595119.01,244818.53,4574404.50,0.00,598822.58,598822.58
CPTY_A,2016-06-10,0.344262,484494.90,377661.56,4850464.50,0.00,487887.12,598822.58
CPTY_A,2016-06-24,0.382514,445239.68,388485.72,4954660.00,0.00,448703.25,598822.58
CPTY_A,2016-07-08,0.420765,443914.87,406964.19,4632600.50,0.00,447713.58,598822.58
CPTY_A,2016-07-22,0.459016,469686.12,393203.17,4750364.00,0.00,474070.69,598822.58
CPTY_A,2016-08-05,0.497268,472597.66,357159.68,4893731.00,0.00,477377.12,598822.58
CPTY_A,2016-08-19,0.535519,587270.05,485755.48,4997609.00,0.00,593666.01,598822.58
CPTY_A,2016-09-02,0.573770,496934.25,496141.31,4623092.50,0.00,502732.96,598822.58
CPTY_A,2016-09-16,0.612022,553437.29,542524.72,5621823.50,0.00,560326.00,598822.58
CPTY_A,2016-09-30,0.650273,653188.17,379592.45,6337410.50,0.00,661826.51,661826.51
CPTY_A,2016-10-14,0.688525,611145.77,438398.72,6264320.00,0.00,619703.63,661826.51
CPTY_A,2016-10-28,0.726776,545256.67,504534.22,6118414.50,0.00,553315.95,661826.51
CPTY_A,2016-11-14,0.773224,735342.14,474734.48,6932340.00,0.00,746905.81,746905.81
CPTY_A,2016-11-25,0.803279,766315.37,592635.63,7300881.50,0.00,778834.37,778834.37
CPTY_A,2016-12-09,0.841530,740720.71,604123.03,6794516.50,0.00,753398.04,778834.37
CPTY_A,2016-12-23,0.879781,642719.46,716790.70,7151187.00,0.00,654219.39,778834.37
CPTY_A,2017-01-06,0.918070,834355.59,775827.56,6720334.50,0.00,849933.57,849933.57
CPTY_A,2017-01-20,0.956426,536239.62,716513.77,5854509.00,0.00,546668.64,849933.57
CPTY_A,2017-02-03,0.994783,656108.48,799064.75,6816776.50,0.00,669379.23,849933.57
CPTY_A,2017-02-17,1.033139,754543.39,769479.33,6298335.50,0.00,770397.73,849933.57
CPTY_A,2017-03-03,1.071495,542634.62,862503.19,5434845.50,0.00,554466.55,849933.57
CPTY_A,2017-03-17,1.109851,761256.07,868748.98,6474840.50,0.00,778458.91,849933.57
CPTY_A,2017-03-31,1.148207,794056.24,785427.78,6268043.00,0.00,812630.77,849933.57
CPTY_A,2017-04-18,1.197522,820827.23,771809.27,5532848.00,0.00,840866.66,849933.57
CPTY_A,2017-04-28,1.224920,924124.63,897617.45,5633011.00,0.00,947210.91,947210.91
CPTY_A,2017-05-12,1.263276,805054.75,957360.85,6473807.50,0.00,825806.64,947210.91
CPTY_A,2017-05-26,1.301632,953078.26,926372.13,7050771.00,0.00,978400.69,978400.69
CPTY_A,2017-06-09,1.339988,920482.29,808060.34,6388108.50,0.00,945668.36,978400.69
CPTY_A,2017-06-23,1.378344,818241.94,979619.12,5702433.50,0.00,841279.66,978400.69
CPTY_A,2017-07-07,1.416700,972975.79,1186875.68,6217133.00,0.00,1001142.55,1001142.55
CPTY_A,2017-07-21,1.455057,898126.44,1054406.58,6086379.00,0.00,924839.99,1001142.55
CPTY_A,2017-08-04,1.493413,865948.93,1042992.97,5095512.50,0.00,892393.97,1001142.55
CPTY_A,2017-08-18,1.531769,963123.56,1087515.58,5927405.50,0.00,993300.43,1001142.55
