#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_2,2016-02-05,0.000000,0,21368,0,0,0,0,0
Swap_2,2016-02-19,0.038251,259719,272668,259719,272668,1057867,259920,259920
Swap_2,2016-03-04,0.076503,403757,372019,403757,372019,1955033,404382,404382
Swap_2,2016-03-18,0.114754,498643,483780,498643,483780,2549100,499802,499802
Swap_2,2016-04-01,0.153005,566681,550962,566681,550962,2608934,568437,568437
Swap_2,2016-04-15,0.191257,652499,629949,652499,629949,3424076,655028,655028
Swap_2,2016-04-29,0.229508,779661,742657,779661,742657,4216312,783289,783289
Swap_2,2016-05-13,0.267760,848798,817656,848798,817656,4246086,853408,853408
Swap_2,2016-05-27,0.306011,909510,882831,909510,882831,4574531,915159,915159
Swap_2,2016-06-10,0.344262,928037,931221,928037,931221,4850599,934523,934523
Swap_2,2016-06-24,0.382514,984386,963797,984386,963797,4954799,992033,992033
Swap_2,2016-07-08,0.420765,975761,977887,975761,977887,4632731,984103,992033
Swap_2,2016-07-22,0.459016,962943,957845,962943,957845,4750497,971927,992033
Swap_2,2016-08-05,0.497268,901776,916827,901776,916827,4893868,910894,992033
Swap_2,2016-08-19,0.535519,980781,993859,980781,993859,4997749,991450,992033
Swap_2,2016-09-02,0.573770,994574,994895,994574,994895,4623222,1006150,1006150
Swap_2,2016-09-16,0.612022,1150914,923386,1150914,923386,5621975,1165188,1165188
Swap_2,2016-09-30,0.650273,1305094,1053692,1305094,1053692,6337583,1322275,1322275
Swap_2,2016-10-14,0.688525,1246246,1016456,1246246,1016456,6264492,1263604,1322275
Swap_2,2016-10-28,0.726776,1225307,1018159,1225307,1018159,6118582,1243310,1322275
Swap_2,2016-11-14,0.773224,1213651,1055646,1213651,1055646,6932532,1232610,1322275
Swap_2,2016-11-25,0.803279,1295215,1108162,1295215,1108162,7301084,1316226,1322275
Swap_2,2016-12-09,0.841530,1302154,1164024,1302154,1164024,6794702,1324275,1324275
Swap_2,2016-12-23,0.879781,1387315,1266661,1387315,1266661,7151385,1411946,1411946
Swap_2,2017-01-06,0.918070,1349162,1267375,1349162,1267375,6720523,1374151,1411946
Swap_2,2017-01-20,0.956426,1246540,1221836,1246540,1221836,5854670,1270585,1411946
Swap_2,2017-02-03,0.994783,1322412,1301783,1322412,1301783,6816963,1348936,1411946
Swap_2,2017-02-17,1.033139,1313444,1321789,1313444,1321789,6298531,1340797,1411946
Swap_2,2017-03-03,1.071495,1354863,1328430,1354863,1328430,5434953,1384121,1411946
Swap_2,2017-03-17,1.109851,1510879,1235005,1510879,1235005,6474839,1544670,1544670
Swap_2,2017-03-31,1.148207,1535689,1259715,1535689,1259715,6268137,1571217,1571217
Swap_2,2017-04-18,1.197522,1600507,1276030,1600507,1276030,5533070,1639121,1639121
Swap_2,2017-04-28,1.224920,1583888,1282101,1583888,1282101,5633267,1622975,1639121
Swap_2,2017-05-12,1.263276,1673205,1336760,1673205,1336760,6473781,1715788,1715788
Swap_2,2017-05-26,1.301632,1642033,1349529,1642033,1349529,7050729,1685091,1715788
Swap_2,2017-06-09,1.339988,1634511,1390311,1634511,1390311,6388197,1678636,1715788
Swap_2,2017-06-23,1.378344,1708638,1470148,1708638,1470148,5702650,1756086,1756086
Swap_2,2017-07-07,1.416700,1780245,1522215,1780245,1522215,6217339,1831061,1831061
Swap_2,2017-07-21,1.455057,1701596,1463324,1701596,1463324,6086476,1751486,1831061
Swap_2,2017-08-04,1.493413,1668526,1432686,1668526,1432686,5095775,1718740,1831061
Swap_2,2017-08-18,1.531769,1694547,1487204,1694547,1487204,5927449,1746859,1831061
Swap_2,2017-09-01,1.570125,1717026,1510291,1717026,1510291,6677140,1771366,1831061
Swap_2,2017-09-15,1.608481,1876161,1504811,1876161,1504811,6377189,1936996,1936996
Swap_2,2017-09-29,1.646837,1905249,1525463,1905249,1525463,6749830,1968510,1968510
Swap_2,2017-10-13,1.685194,1931878,1521391,1931878,1521391,7564325,1997527,1997527
Swap_2,2017-10-27,1.723550,1993408,1581475,1993408,1581475,7751039,2062701,2062701
Swap_2,2017-11-13,1.770125,2057809,1630430,2057809,1630430,7687293,2131289,2131289
Swap_2,2017-11-24,1.800262,2139502,1678393,2139502,1678393,8143127,2217210,2217210
Swap_2,2017-12-08,1.838618,2121099,1754752,2121099,1754752,8176839,2199796,2217210
Swap_2,2017-12-22,1.876974,2086441,1685491,2086441,1685491,9315807,2165482,2217210
Swap_2,2018-01-05,1.915330,2004048,1619418,2004048,1619418,9301577,2081535,2217210
Swap_2,2018-01-19,1.953687,1942578,1609925,1942578,1609925,7758644,2019209,2217210
Swap_2,2018-02-02,1.992043,1951866,1620826,1951866,1620826,8166809,2030393,2217210
Swap_2,2018-02-16,2.030399,1972498,1660988,1972498,1660988,7396399,2053406,2217210
Swap_2,2018-03-02,2.068755,2012318,1728619,2012318,1728619,8031739,2096452,2217210
Swap_2,2018-03-16,2.107111,2130313,1630021,2130313,1630021,7569933,2221066,2221066
Swap_2,2018-04-03,2.156426,2187673,1701394,2187673,1701394,7855660,2283099,2283099
Swap_2,2018-04-13,2.183824,2167059,1685980,2167059,1685980,8157850,2262813,2283099
Swap_2,2018-04-27,2.222180,2194374,1727786,2194374,1727786,9246393,2293075,2293075
Swap_2,2018-05-11,2.260536,2284375,1780613,2284375,1780613,10461970,2388938,2388938
Swap_2,2018-05-25,2.298892,2319381,1830997,2319381,1830997,9305907,2427389,2427389
Swap_2,2018-06-08,2.337248,2217194,1838453,2217194,1838453,10153923,2322208,2427389
Swap_2,2018-06-22,2.375604,2270055,1855912,2270055,1855912,9914838,2379378,2427389
Swap_2,2018-07-06,2.413961,2290751,1898920,2290751,1898920,10069243,2402896,2427389
Swap_2,2018-07-20,2.452317,2271791,1865158,2271791,1865158,10874916,2384818,2427389
Swap_2,2018-08-03,2.490673,2261423,1864222,2261423,1864222,10170595,2375738,2427389
Swap_2,2018-08-17,2.529029,2171574,1837313,2171574,1837313,9416761,2283080,2427389
Swap_2,2018-08-31,2.567385,2246369,1884296,2246369,1884296,10073714,2363510,2427389
Swap_2,2018-09-14,2.605741,2452521,1879342,2452521,1879342,8869858,2582373,2582373
Swap_2,2018-09-28,2.644098,2467996,1871027,2467996,1871027,9166334,2600642,2600642
Swap_2,2018-10-12,2.682454,2551209,1921712,2551209,1921712,8604250,2690369,2690369
Swap_2,2018-10-26,2.720810,2593120,1951977,2593120,1951977,8602318,2736644,2736644
Swap_2,2018-11-09,2.759166,2475251,1856859,2475251,1856859,8621845,2614237,2736644
Swap_2,2018-11-23,2.797522,2454805,1848039,2454805,1848039,9660669,2594612,2736644
Swap_2,2018-12-07,2.835878,2419704,1903423,2419704,1903423,8555145,2559455,2736644
Swap_2,2018-12-21,2.874235,2435276,1900907,2435276,1900907,8980037,2577884,2736644
Swap_2,2019-01-04,2.912591,2569094,1979106,2569094,1979106,8666929,2721604,2736644
Swap_2,2019-01-18,2.950947,2612436,2014967,2612436,2014967,9464359,2769623,2769623
Swap_2,2019-02-01,2.989303,2616857,2035921,2616857,2035921,9854366,2776417,2776417
Swap_2,2019-02-15,3.027659,2524044,1988463,2524044,1988463,9360080,2679980,2776417
Swap_2,2019-03-01,3.066015,2671473,2109404,2671473,2109404,9692856,2838672,2838672
