#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
Swaption_1_19,Swaption,2036-03-03,20.073770,133798.900730,EUR,133798.900730,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_2_18,Swaption,2036-03-03,20.073770,174279.127114,EUR,174279.127114,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_3_17,Swaption,2036-03-03,20.073770,198252.129059,EUR,198252.129059,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_4_16,Swaption,2036-03-03,20.073770,212525.692384,EUR,212525.692384,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_5_15,Swaption,2036-03-03,20.073770,220041.214427,EUR,220041.214427,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_6_14,Swaption,2036-03-03,20.073770,222340.157185,EUR,222340.157185,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_7_13,Swaption,2036-03-03,20.073770,220483.739632,EUR,220483.739632,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_8_12,Swaption,2036-03-03,20.073770,215165.926887,EUR,215165.926887,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_9_11,Swaption,2036-03-03,20.073770,206825.942826,EUR,206825.942826,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_10_10,Swaption,2036-03-03,20.073770,196128.800680,EUR,196128.800680,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_11_9,Swaption,2036-03-03,20.073770,183238.229256,EUR,183238.229256,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_12_8,Swaption,2036-03-03,20.073770,168315.765870,EUR,168315.765870,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_13_7,Swaption,2036-03-03,20.073770,151712.585081,EUR,151712.585081,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_14_6,Swaption,2036-03-03,20.073770,133578.302168,EUR,133578.302168,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_15_5,Swaption,2036-03-03,20.073770,113946.418430,EUR,113946.418430,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_16_4,Swaption,2036-03-03,20.073770,93276.162966,EUR,93276.162966,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_17_3,Swaption,2036-03-03,20.073770,71420.708220,EUR,71420.708220,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_18_2,Swaption,2036-03-03,20.073770,48560.440461,EUR,48560.440461,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Swaption_19_1,Swaption,2036-03-03,20.073770,24790.990603,EUR,24790.990603,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
