#TradeId,ScenarioLabel,Base NPV,Scenario NPV,Sensitivity
BERMUDAN_SWAPTION,parallel_rates,-3125420.78,-2074378.95,1051041.83
BERMUDAN_SWAPTION,twist,-3125420.78,-3196514.87,-71094.09
BOND,parallel_rates,12902111.76,12614454.85,-287656.90
BOND,twist,12902111.76,12801562.04,-100549.71
Bond_Floating,parallel_rates,10765631.07,10511973.88,-253657.19
CAP_EUR,parallel_rates,-7157.67,-20124.10,-12966.44
CAP_USD,parallel_rates,-12662.32,-30082.72,-17420.40
CC_SWAP_EUR_USD,parallel_rates,-20857063.69,-19013025.55,1844038.15
CC_SWAP_EUR_USD_RESET,parallel_rates,-19562982.03,-17936693.64,1626288.39
CDS,parallel_rates,707.60,1634.80,927.20
CPI_Swap,parallel_rates,1016258.65,390990.29,-625268.37
EQ_CALL_LUFT,parallel_rates,1872.93,2043.39,170.46
EQ_CALL_SP5,parallel_rates,179760.31,187432.18,7671.87
EQ_FWD_LUFT,parallel_rates,399.11,694.24,295.13
EQ_FWD_SP5,parallel_rates,38240.19,24064.44,-14175.75
EQ_PUT_LUFT,parallel_rates,1473.82,1349.15,-124.67
EQ_PUT_SP5,parallel_rates,-218000.50,-211496.63,6503.87
EUROPEAN_SWAPTION,parallel_rates,-3076613.10,-2004257.63,1072355.47
EUROPEAN_SWAPTION,twist,-3076613.10,-3132345.21,-55732.11
FLOOR_EUR,parallel_rates,78572.27,31097.54,-47474.74
FLOOR_USD,parallel_rates,29788.24,13819.42,-15968.82
FXFWD_EURUSD_10Y,parallel_rates,179341.05,155096.52,-24244.53
FX_CALL_OPTION,parallel_rates,255066.32,316117.73,61051.41
FX_PUT_OPTION,parallel_rates,75725.28,161021.21,85295.93
SWAP_EUR,parallel_rates,-262631.05,-1915323.22,-1652692.17
YearOnYear_Swap,parallel_rates,590124.24,80804.88,-509319.36
