#TradeId,Factor 1,Factor 2,Base NPV,CrossGamma*Shift^2,ParCrossGamma*Shift^2
CAP_EUR,DISCOUNT/EUR/1/1Y,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,0.000001,N/A
CAP_EUR,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/1/1Y,-7215.869941,-0.000017,N/A
CAP_EUR,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,-0.000013,N/A
CAP_EUR,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,0.000076,N/A
CAP_EUR,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,-0.000346,N/A
CAP_EUR,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,-0.000373,N/A
CAP_EUR,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,0.001561,N/A
CAP_EUR,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,-0.000004,N/A
CAP_EUR,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,-0.003384,N/A
CAP_EUR,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,-0.001678,N/A
CAP_EUR,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,0.010691,N/A
CAP_EUR,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,-0.000012,N/A
CAP_EUR,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,-0.018510,N/A
CAP_EUR,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,-0.001241,N/A
CAP_EUR,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,0.040491,N/A
CAP_EUR,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,-0.000040,N/A
CAP_EUR,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,-0.055156,N/A
CAP_EUR,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,0.080104,N/A
CAP_EUR,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/7/15Y,-7215.869941,0.000442,N/A
CAP_EUR,DISCOUNT/EUR/7/15Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,-0.000050,N/A
CAP_EUR,DISCOUNT/EUR/7/15Y,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,0.000072,N/A
CAP_EUR,DISCOUNT/EUR/7/15Y,INDEX/EUR-EURIBOR-6M/7/15Y,-7215.869941,0.000001,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/0/6M,INDEX/EUR-EURIBOR-6M/1/1Y,-7215.869941,0.000005,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,INDEX/EUR-EURIBOR-6M/2/2Y,-7215.869941,0.004496,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,0.000121,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,INDEX/EUR-EURIBOR-6M/3/3Y,-7215.869941,0.070164,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,0.001175,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,INDEX/EUR-EURIBOR-6M/4/5Y,-7215.869941,0.273093,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,0.002455,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,INDEX/EUR-EURIBOR-6M/5/7Y,-7215.869941,1.185739,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,0.006249,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,INDEX/EUR-EURIBOR-6M/6/10Y,-7215.869941,2.152724,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,INDEX/EUR-EURIBOR-6M/7/15Y,-7215.869941,0.006860,N/A
CAP_EUR,INDEX/EUR-EURIBOR-6M/6/10Y,INDEX/EUR-EURIBOR-6M/7/15Y,-7215.869941,-0.009794,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,INDEX/EUR-EURIBOR-6M/0/6M,-21226633.935174,-0.441569,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,INDEX/EUR-EURIBOR-6M/1/1Y,-21226633.935174,0.663805,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,INDEX/EUR-EURIBOR-6M/2/2Y,-21226633.935174,0.447923,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/0/6M,-21226633.935174,-0.002423,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/1/1Y,-21226633.935174,-1.330726,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/2/2Y,-21226633.935174,1.774788,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,INDEX/EUR-EURIBOR-6M/3/3Y,-21226633.935174,1.338998,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/2/2Y,-21226633.935174,-4.019492,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/3/3Y,-21226633.935174,3.007973,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,INDEX/EUR-EURIBOR-6M/4/5Y,-21226633.935174,5.033537,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/3/3Y,-21226633.935174,-8.386406,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/4/5Y,-21226633.935174,5.616944,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,INDEX/EUR-EURIBOR-6M/5/7Y,-21226633.935174,11.708185,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/4/5Y,-21226633.935174,-19.423028,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/5/7Y,-21226633.935174,9.311572,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,INDEX/EUR-EURIBOR-6M/6/10Y,-21226633.935174,25.542089,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/4/5Y,-21226633.935174,-0.010185,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/5/7Y,-21226633.935174,-35.282461,N/A
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,INDEX/EUR-EURIBOR-6M/6/10Y,-21226633.935174,50.433006,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/0/6M,INDEX/EUR-EURIBOR-6M/1/1Y,-21226633.935174,0.441613,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/0/6M,INDEX/EUR-EURIBOR-6M/2/2Y,-21226633.935174,0.002423,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/1/1Y,INDEX/EUR-EURIBOR-6M/2/2Y,-21226633.935174,0.882118,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/2/2Y,INDEX/EUR-EURIBOR-6M/3/3Y,-21226633.935174,2.679673,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/3/3Y,INDEX/EUR-EURIBOR-6M/4/5Y,-21226633.935174,3.355742,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/4/5Y,INDEX/EUR-EURIBOR-6M/5/7Y,-21226633.935174,7.781067,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/4/5Y,INDEX/EUR-EURIBOR-6M/6/10Y,-21226633.935174,0.010185,N/A
CC_SWAP_EUR_USD,INDEX/EUR-EURIBOR-6M/5/7Y,INDEX/EUR-EURIBOR-6M/6/10Y,-21226633.935174,10.110330,N/A
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/0/6M,INDEX/EUR-EURIBOR-6M/0/6M,-19905885.289110,0.214127,N/A
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/0/6M,INDEX/EUR-EURIBOR-6M/1/1Y,-19905885.289110,-0.434211,N/A
CC_SWAP_EUR_USD_RESET,DISCOUNT/EUR/0/6M,INDEX/EUR-EURIBOR-6M/2/2Y,-19905885.289110,-0.002297,N/A
