#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
EquitySwap_2,2016-02-05,0.000000,7745368,0,0,0,7745368,7745368,7745368
EquitySwap_2,2016-05-06,0.248634,5644607,0,0,0,7324397,5641368,7745368
EquitySwap_2,2016-08-05,0.497268,5433184,62562,0,0,8354958,5426148,7745368
EquitySwap_2,2016-11-07,0.754098,5258761,287023,0,0,8331641,5246592,7745368
EquitySwap_2,2017-02-06,1.003002,5203868,175087,0,0,11206984,5187354,7745368
EquitySwap_2,2017-05-05,1.244098,5189710,143767,0,0,11547624,5168151,7745368
EquitySwap_2,2017-08-07,1.501632,4971435,357393,0,0,10808429,4946365,7745368
EquitySwap_2,2017-11-06,1.750947,4963791,722452,0,0,11279434,4934351,7745368
EquitySwap_2,2018-02-05,2.000262,4936633,711684,0,0,11258932,4902135,7745368
EquitySwap_2,2018-05-08,2.252317,4843687,904724,0,0,11391906,4806776,7745368
EquitySwap_2,2018-08-06,2.498892,4368901,771112,0,0,10688031,4333063,7745368
EquitySwap_2,2018-11-05,2.748207,4343529,799738,0,0,10786275,4305343,7745368
EquitySwap_2,2019-02-05,3.000262,4693999,663615,0,0,11183817,4649940,7745368
EquitySwap_2,2019-05-07,3.249577,4434102,489049,0,0,12005691,4391631,7745368
EquitySwap_2,2019-08-05,3.496152,4454736,660712,0,0,9980768,4411367,7745368
EquitySwap_2,2019-11-05,3.748207,4129510,684550,0,0,9292042,4088644,7745368
EquitySwap_2,2020-02-05,4.000000,4149259,669607,0,0,10851258,4107531,7745368
EquitySwap_2,2020-05-05,4.245902,4046039,860174,0,0,9700784,4006436,7745368
EquitySwap_2,2020-08-05,4.497268,3981171,906109,0,0,10810508,3943419,7745368
EquitySwap_2,2020-11-05,4.748634,3907367,1011862,0,0,10738359,3871508,7745368
EquitySwap_2,2021-02-05,5.000262,4027579,606328,0,0,8878918,3991849,7745368
EquitySwap_2,2021-05-05,5.244098,3862531,606711,0,0,8935557,3832594,7745368
EquitySwap_2,2021-08-05,5.496152,3583015,705485,0,0,9253409,3559582,7745368
EquitySwap_2,2021-11-05,5.748207,3147235,674613,0,0,8201156,3130466,7745368
EquitySwap_2,2022-02-07,6.005741,3092994,813688,0,0,8273598,3080349,7745368
EquitySwap_2,2022-05-05,6.244098,2961366,892287,0,0,8210617,2954599,7745368
EquitySwap_2,2022-08-05,6.496152,2802739,818151,0,0,7899880,2801757,7745368
EquitySwap_2,2022-11-07,6.753687,2566731,609913,0,0,7366641,2570916,7745368
EquitySwap_2,2023-02-06,7.003002,2498690,727729,0,0,6880448,2507565,7745368
EquitySwap_2,2023-05-05,7.244098,2345589,593519,0,0,6155602,2359576,7745368
EquitySwap_2,2023-08-07,7.501632,2225334,654199,0,0,4937873,2244412,7745368
EquitySwap_2,2023-11-06,7.750947,2029925,447181,0,0,4752457,2052469,7745368
EquitySwap_2,2024-02-05,8.000000,1807868,390614,0,0,4215223,1832538,7745368
EquitySwap_2,2024-05-07,8.251366,1606926,408994,0,0,3716196,1633771,7745368
EquitySwap_2,2024-08-05,8.497268,1399806,379882,0,0,3679851,1427448,7745368
EquitySwap_2,2024-11-05,8.748634,1172842,304882,0,0,3476606,1199660,7745368
EquitySwap_2,2025-02-05,9.000262,917533,272026,0,0,2707843,941384,7745368
EquitySwap_2,2025-05-06,9.246837,654978,213207,0,0,1846057,674348,7745368
EquitySwap_2,2025-08-05,9.496152,447632,161033,0,0,1204032,462513,7745368
EquitySwap_2,2025-11-05,9.748207,224506,83296,0,0,696425,232804,7745368
EquitySwap_2,2026-02-05,10.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2026-05-05,10.244098,0,0,0,0,0,0,7745368
EquitySwap_2,2026-08-05,10.496152,0,0,0,0,0,0,7745368
EquitySwap_2,2026-11-05,10.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2027-02-05,11.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2027-05-05,11.244098,0,0,0,0,0,0,7745368
EquitySwap_2,2027-08-05,11.496152,0,0,0,0,0,0,7745368
EquitySwap_2,2027-11-05,11.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2028-02-07,12.005464,0,0,0,0,0,0,7745368
EquitySwap_2,2028-05-05,12.245902,0,0,0,0,0,0,7745368
EquitySwap_2,2028-08-07,12.502732,0,0,0,0,0,0,7745368
EquitySwap_2,2028-11-06,12.751366,0,0,0,0,0,0,7745368
EquitySwap_2,2029-02-05,13.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2029-05-08,13.252317,0,0,0,0,0,0,7745368
EquitySwap_2,2029-08-06,13.498892,0,0,0,0,0,0,7745368
EquitySwap_2,2029-11-05,13.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2030-02-05,14.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2030-05-07,14.249577,0,0,0,0,0,0,7745368
EquitySwap_2,2030-08-05,14.496152,0,0,0,0,0,0,7745368
EquitySwap_2,2030-11-05,14.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2031-02-05,15.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2031-05-06,15.246837,0,0,0,0,0,0,7745368
EquitySwap_2,2031-08-05,15.496152,0,0,0,0,0,0,7745368
EquitySwap_2,2031-11-05,15.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2032-02-05,16.000000,0,0,0,0,0,0,7745368
EquitySwap_2,2032-05-05,16.245902,0,0,0,0,0,0,7745368
EquitySwap_2,2032-08-05,16.497268,0,0,0,0,0,0,7745368
EquitySwap_2,2032-11-05,16.748634,0,0,0,0,0,0,7745368
EquitySwap_2,2033-02-07,17.005741,0,0,0,0,0,0,7745368
EquitySwap_2,2033-05-05,17.244098,0,0,0,0,0,0,7745368
EquitySwap_2,2033-08-05,17.496152,0,0,0,0,0,0,7745368
EquitySwap_2,2033-11-07,17.753687,0,0,0,0,0,0,7745368
EquitySwap_2,2034-02-06,18.003002,0,0,0,0,0,0,7745368
EquitySwap_2,2034-05-05,18.244098,0,0,0,0,0,0,7745368
EquitySwap_2,2034-08-07,18.501632,0,0,0,0,0,0,7745368
EquitySwap_2,2034-11-06,18.750947,0,0,0,0,0,0,7745368
EquitySwap_2,2035-02-05,19.000262,0,0,0,0,0,0,7745368
EquitySwap_2,2035-05-08,19.252317,0,0,0,0,0,0,7745368
EquitySwap_2,2035-08-06,19.498892,0,0,0,0,0,0,7745368
EquitySwap_2,2035-11-05,19.748207,0,0,0,0,0,0,7745368
EquitySwap_2,2036-02-05,20.000000,0,0,0,0,0,0,7745368
EquitySwap_2,2036-05-06,20.248634,0,0,0,0,0,0,7745368
EquitySwap_2,2036-08-05,20.497268,0,0,0,0,0,0,7745368
EquitySwap_2,2036-11-05,20.748634,0,0,0,0,0,0,7745368
