#TradeId,Factor,Up/Down,Base NPV,Scenario NPV,Difference
EqCall_SP5,DiscountCurve/USD/0/6M,Up,179781.37,179781.57,0.20
EqCall_SP5,DiscountCurve/USD/2/2Y,Up,179781.37,179745.37,-36.00
EqCall_SP5,DiscountCurve/USD/0/6M,Down,179781.37,179781.18,-0.20
EqCall_SP5,DiscountCurve/USD/2/2Y,Down,179781.37,179817.38,36.01
EqCall_SP5,EquitySpot/SP5/0/spot,Up,179781.37,187382.98,7601.61
EqCall_SP5,EquitySpot/SP5/0/spot,Down,179781.37,172336.09,-7445.28
EqPut_SP5,DiscountCurve/USD/0/6M,Up,-218026.04,-218026.28,-0.24
EqPut_SP5,DiscountCurve/USD/2/2Y,Up,-218026.04,-217982.38,43.66
EqPut_SP5,DiscountCurve/USD/0/6M,Down,-218026.04,-218025.80,0.24
EqPut_SP5,DiscountCurve/USD/2/2Y,Down,-218026.04,-218069.71,-43.67
EqPut_SP5,EquitySpot/SP5/0/spot,Up,-218026.04,-211694.00,6332.05
EqPut_SP5,EquitySpot/SP5/0/spot,Down,-218026.04,-224514.41,-6488.37
EqFwd_SP5,DiscountCurve/USD/0/6M,Up,38244.67,38244.71,0.04
EqFwd_SP5,DiscountCurve/USD/2/2Y,Up,38244.67,38237.01,-7.66
EqFwd_SP5,DiscountCurve/USD/0/6M,Down,38244.67,38244.63,-0.04
EqFwd_SP5,DiscountCurve/USD/2/2Y,Down,38244.67,38252.33,7.66
EqFwd_SP5,EquitySpot/SP5/0/spot,Up,38244.67,24311.02,-13933.65
EqFwd_SP5,EquitySpot/SP5/0/spot,Down,38244.67,52178.32,13933.65
EquitySwap_1,DiscountCurve/USD/0/6M,Up,22138296.13,22138234.10,-62.03
EquitySwap_1,DiscountCurve/USD/1/1Y,Up,22138296.13,22138138.13,-158.00
EquitySwap_1,DiscountCurve/USD/2/2Y,Up,22138296.13,22137860.12,-436.01
EquitySwap_1,DiscountCurve/USD/3/3Y,Up,22138296.13,22137231.34,-1064.79
EquitySwap_1,DiscountCurve/USD/4/5Y,Up,22138296.13,22136316.44,-1979.69
EquitySwap_1,DiscountCurve/USD/5/7Y,Up,22138296.13,22134786.82,-3509.31
EquitySwap_1,DiscountCurve/USD/6/10Y,Up,22138296.13,22135167.21,-3128.92
EquitySwap_1,DiscountCurve/USD/0/6M,Down,22138296.13,22138358.16,62.03
EquitySwap_1,DiscountCurve/USD/1/1Y,Down,22138296.13,22138454.14,158.01
EquitySwap_1,DiscountCurve/USD/2/2Y,Down,22138296.13,22138732.20,436.07
EquitySwap_1,DiscountCurve/USD/3/3Y,Down,22138296.13,22139361.15,1065.02
EquitySwap_1,DiscountCurve/USD/4/5Y,Down,22138296.13,22140276.47,1980.34
EquitySwap_1,DiscountCurve/USD/5/7Y,Down,22138296.13,22141807.09,3510.96
EquitySwap_1,DiscountCurve/USD/6/10Y,Down,22138296.13,22141427.21,3131.08
EquitySwap_1,IndexCurve/USD-LIBOR-3M/0/6M,Up,22138296.13,22136140.56,-2155.57
EquitySwap_1,IndexCurve/USD-LIBOR-3M/1/1Y,Up,22138296.13,22138396.64,100.51
EquitySwap_1,IndexCurve/USD-LIBOR-3M/2/2Y,Up,22138296.13,22138584.59,288.46
EquitySwap_1,IndexCurve/USD-LIBOR-3M/3/3Y,Up,22138296.13,22139110.65,814.52
EquitySwap_1,IndexCurve/USD-LIBOR-3M/4/5Y,Up,22138296.13,22140078.14,1782.01
EquitySwap_1,IndexCurve/USD-LIBOR-3M/5/7Y,Up,22138296.13,22141777.63,3481.50
EquitySwap_1,IndexCurve/USD-LIBOR-3M/6/10Y,Up,22138296.13,22212577.37,74281.24
EquitySwap_1,IndexCurve/USD-LIBOR-3M/0/6M,Down,22138296.13,22140451.86,2155.73
EquitySwap_1,IndexCurve/USD-LIBOR-3M/1/1Y,Down,22138296.13,22138196.28,-99.85
EquitySwap_1,IndexCurve/USD-LIBOR-3M/2/2Y,Down,22138296.13,22138009.39,-286.73
EquitySwap_1,IndexCurve/USD-LIBOR-3M/3/3Y,Down,22138296.13,22137484.56,-811.57
EquitySwap_1,IndexCurve/USD-LIBOR-3M/4/5Y,Down,22138296.13,22136519.29,-1776.84
EquitySwap_1,IndexCurve/USD-LIBOR-3M/5/7Y,Down,22138296.13,22134822.51,-3473.62
EquitySwap_1,IndexCurve/USD-LIBOR-3M/6/10Y,Down,22138296.13,22064021.08,-74275.05
EquitySwap_1,EquitySpot/SP5/0/spot,Up,22138296.13,21344972.57,-793323.56
EquitySwap_1,EquitySpot/SP5/0/spot,Down,22138296.13,22931619.69,793323.56
EquitySwap_2,DiscountCurve/USD/0/6M,Up,7745975.18,7745923.37,-51.81
EquitySwap_2,DiscountCurve/USD/1/1Y,Up,7745975.18,7745928.35,-46.82
EquitySwap_2,DiscountCurve/USD/2/2Y,Up,7745975.18,7745845.30,-129.87
EquitySwap_2,DiscountCurve/USD/3/3Y,Up,7745975.18,7745658.31,-316.87
EquitySwap_2,DiscountCurve/USD/4/5Y,Up,7745975.18,7745392.19,-582.98
EquitySwap_2,DiscountCurve/USD/5/7Y,Up,7745975.18,7744992.61,-982.57
EquitySwap_2,DiscountCurve/USD/6/10Y,Up,7745975.18,7745175.39,-799.78
EquitySwap_2,DiscountCurve/USD/0/6M,Down,7745975.18,7746026.98,51.81
EquitySwap_2,DiscountCurve/USD/1/1Y,Down,7745975.18,7746022.00,46.83
EquitySwap_2,DiscountCurve/USD/2/2Y,Down,7745975.18,7746105.07,129.89
EquitySwap_2,DiscountCurve/USD/3/3Y,Down,7745975.18,7746292.11,316.94
EquitySwap_2,DiscountCurve/USD/4/5Y,Down,7745975.18,7746558.35,583.18
EquitySwap_2,DiscountCurve/USD/5/7Y,Down,7745975.18,7746958.21,983.03
EquitySwap_2,DiscountCurve/USD/6/10Y,Down,7745975.18,7746775.50,800.33
EquitySwap_2,IndexCurve/USD-LIBOR-3M/0/6M,Up,7745975.18,7743819.61,-2155.57
EquitySwap_2,IndexCurve/USD-LIBOR-3M/1/1Y,Up,7745975.18,7746075.68,100.51
EquitySwap_2,IndexCurve/USD-LIBOR-3M/2/2Y,Up,7745975.18,7746263.63,288.46
EquitySwap_2,IndexCurve/USD-LIBOR-3M/3/3Y,Up,7745975.18,7746789.70,814.52
EquitySwap_2,IndexCurve/USD-LIBOR-3M/4/5Y,Up,7745975.18,7747757.19,1782.01
EquitySwap_2,IndexCurve/USD-LIBOR-3M/5/7Y,Up,7745975.18,7749456.67,3481.50
EquitySwap_2,IndexCurve/USD-LIBOR-3M/6/10Y,Up,7745975.18,7820256.41,74281.24
EquitySwap_2,IndexCurve/USD-LIBOR-3M/0/6M,Down,7745975.18,7748130.91,2155.73
EquitySwap_2,IndexCurve/USD-LIBOR-3M/1/1Y,Down,7745975.18,7745875.32,-99.85
EquitySwap_2,IndexCurve/USD-LIBOR-3M/2/2Y,Down,7745975.18,7745688.44,-286.73
EquitySwap_2,IndexCurve/USD-LIBOR-3M/3/3Y,Down,7745975.18,7745163.61,-811.57
EquitySwap_2,IndexCurve/USD-LIBOR-3M/4/5Y,Down,7745975.18,7744198.34,-1776.84
EquitySwap_2,IndexCurve/USD-LIBOR-3M/5/7Y,Down,7745975.18,7742501.56,-3473.62
EquitySwap_2,IndexCurve/USD-LIBOR-3M/6/10Y,Down,7745975.18,7671700.12,-74275.05
EquitySwap_2,EquitySpot/SP5/0/spot,Up,7745975.18,6808728.41,-937246.77
EquitySwap_2,EquitySpot/SP5/0/spot,Down,7745975.18,8683221.95,937246.77
