#TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base NPV,Delta,Gamma
EqCall_SP5,false,DiscountCurve/USD/2/2Y,0.000000,,0.000000,EUR,179761.37,-36.00,0.01
EqCall_SP5,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,179761.37,7600.76,156.30
EqFwd_SP5,false,DiscountCurve/USD/2/2Y,0.000000,,0.000000,EUR,38240.41,-7.66,0.00
EqFwd_SP5,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,38240.41,-13932.10,0.00
EqPut_SP5,false,DiscountCurve/USD/2/2Y,0.000000,,0.000000,EUR,-218001.78,43.66,-0.01
EqPut_SP5,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,-218001.78,6331.34,-156.30
EquitySwap_1,false,DiscountCurve/USD/0/6M,0.000000,,0.000000,EUR,22136247.33,-86.29,0.00
EquitySwap_1,false,DiscountCurve/USD/1/1Y,0.000000,,0.000000,EUR,22136247.33,-158.00,0.01
EquitySwap_1,false,DiscountCurve/USD/2/2Y,0.000000,,0.000000,EUR,22136247.33,-435.97,0.06
EquitySwap_1,false,DiscountCurve/USD/3/3Y,0.000000,,0.000000,EUR,22136247.33,-1064.67,0.23
EquitySwap_1,false,DiscountCurve/USD/4/5Y,0.000000,,0.000000,EUR,22136247.33,-1979.46,0.65
EquitySwap_1,false,DiscountCurve/USD/5/7Y,0.000000,,0.000000,EUR,22136247.33,-3508.92,1.65
EquitySwap_1,false,DiscountCurve/USD/6/10Y,0.000000,,0.000000,EUR,22136247.33,-3128.57,2.16
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/0/6M,0.000000,,0.000000,EUR,22136247.33,-2155.54,0.17
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/1/1Y,0.000000,,0.000000,EUR,22136247.33,101.04,0.66
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/2/2Y,0.000000,,0.000000,EUR,22136247.33,289.08,1.72
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/3/3Y,0.000000,,0.000000,EUR,22136247.33,814.44,2.96
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/4/5Y,0.000000,,0.000000,EUR,22136247.33,1781.81,5.17
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/5/7Y,0.000000,,0.000000,EUR,22136247.33,3481.11,7.88
EquitySwap_1,false,IndexCurve/USD-LIBOR-3M/6/10Y,0.000000,,0.000000,EUR,22136247.33,74272.90,6.18
EquitySwap_1,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,22136247.33,-793315.13,0.00
EquitySwap_2,false,DiscountCurve/USD/0/6M,0.000000,,0.000000,EUR,7745367.72,-60.29,0.00
EquitySwap_2,false,DiscountCurve/USD/1/1Y,0.000000,,0.000000,EUR,7745367.72,-46.82,0.00
EquitySwap_2,false,DiscountCurve/USD/2/2Y,0.000000,,0.000000,EUR,7745367.72,-129.86,0.02
EquitySwap_2,false,DiscountCurve/USD/3/3Y,0.000000,,0.000000,EUR,7745367.72,-316.83,0.07
EquitySwap_2,false,DiscountCurve/USD/4/5Y,0.000000,,0.000000,EUR,7745367.72,-582.92,0.19
EquitySwap_2,false,DiscountCurve/USD/5/7Y,0.000000,,0.000000,EUR,7745367.72,-982.46,0.46
EquitySwap_2,false,DiscountCurve/USD/6/10Y,0.000000,,0.000000,EUR,7745367.72,-799.69,0.54
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/0/6M,0.000000,,0.000000,EUR,7745367.72,-2155.54,0.17
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/1/1Y,0.000000,,0.000000,EUR,7745367.72,101.04,0.66
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/2/2Y,0.000000,,0.000000,EUR,7745367.72,289.08,1.72
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/3/3Y,0.000000,,0.000000,EUR,7745367.72,814.44,2.96
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/4/5Y,0.000000,,0.000000,EUR,7745367.72,1781.81,5.17
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/5/7Y,0.000000,,0.000000,EUR,7745367.72,3481.11,7.88
EquitySwap_2,false,IndexCurve/USD-LIBOR-3M/6/10Y,0.000000,,0.000000,EUR,7745367.72,74272.90,6.18
EquitySwap_2,false,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,7745367.72,-937223.93,0.00
