#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
CPI_Swap_1,2016-02-05,0.000000,2669031,0,0,0,2669031,2669031,2669031
CPI_Swap_1,2016-05-06,0.248634,2667297,32083,0,0,4981790,2665767,2669031
CPI_Swap_1,2016-08-05,0.497268,2745820,53607,0,0,6908777,2742263,2742263
CPI_Swap_1,2016-11-07,0.754098,2700448,64395,0,0,6680609,2694199,2742263
CPI_Swap_1,2017-02-06,1.003002,2753793,118997,0,0,7468640,2745054,2745054
CPI_Swap_1,2017-05-05,1.244098,2851009,219889,0,0,8788051,2839165,2839165
CPI_Swap_1,2017-08-07,1.501632,2919214,384814,0,0,10978047,2904493,2904493
CPI_Swap_1,2017-11-06,1.750947,3158424,476891,0,0,10755615,3139692,3139692
CPI_Swap_1,2018-02-05,2.000262,3106909,509891,0,0,9957600,3085198,3139692
CPI_Swap_1,2018-05-08,2.252317,3073020,498063,0,0,9736989,3049602,3139692
CPI_Swap_1,2018-08-06,2.498892,3096062,545025,0,0,10124980,3070666,3139692
CPI_Swap_1,2018-11-05,2.748207,3444495,632436,0,0,12173609,3414213,3414213
CPI_Swap_1,2019-02-05,3.000262,3684465,746308,0,0,17401714,3649882,3649882
CPI_Swap_1,2019-05-07,3.249577,3986274,847174,0,0,16378436,3948093,3948093
CPI_Swap_1,2019-08-05,3.496152,3931245,884713,0,0,17440710,3892973,3948093
CPI_Swap_1,2019-11-05,3.748207,3864879,891946,0,0,19640724,3826632,3948093
CPI_Swap_1,2020-02-05,4.000000,3865100,799839,0,0,22297572,3826230,3948093
CPI_Swap_1,2020-05-05,4.245902,3898689,806138,0,0,21837600,3860528,3948093
CPI_Swap_1,2020-08-05,4.497268,3534190,842579,0,0,16655735,3500676,3948093
CPI_Swap_1,2020-11-05,4.748634,3582992,782427,0,0,17852100,3550111,3948093
CPI_Swap_1,2021-02-05,5.000262,3542474,812076,0,0,15151427,3511048,3948093
CPI_Swap_1,2021-05-05,5.244098,3492608,850050,0,0,15215615,3465538,3948093
CPI_Swap_1,2021-08-05,5.496152,3516782,896790,0,0,15953630,3493782,3948093
CPI_Swap_1,2021-11-05,5.748207,3521025,1075345,0,0,19074868,3502265,3948093
CPI_Swap_1,2022-02-07,6.005741,3697900,1130385,0,0,17484476,3682783,3948093
CPI_Swap_1,2022-05-05,6.244098,3758743,1165825,0,0,18101972,3750154,3948093
CPI_Swap_1,2022-08-05,6.496152,3822523,1191063,0,0,18326244,3821184,3948093
CPI_Swap_1,2022-11-07,6.753687,3873471,1251786,0,0,17095878,3879786,3948093
CPI_Swap_1,2023-02-06,7.003002,3710570,1331170,0,0,16718706,3723748,3948093
CPI_Swap_1,2023-05-05,7.244098,3624325,1394344,0,0,18246424,3645937,3948093
CPI_Swap_1,2023-08-07,7.501632,3419646,1351411,0,0,17683630,3448963,3948093
CPI_Swap_1,2023-11-06,7.750947,3468509,1465699,0,0,17104176,3507031,3948093
CPI_Swap_1,2024-02-05,8.000000,3583735,1474361,0,0,18223528,3632638,3948093
CPI_Swap_1,2024-05-07,8.251366,3362062,1455066,0,0,16059265,3418228,3948093
CPI_Swap_1,2024-08-05,8.497268,3366972,1440331,0,0,12866180,3433460,3948093
CPI_Swap_1,2024-11-05,8.748634,3381791,1443219,0,0,13227076,3459120,3948093
CPI_Swap_1,2025-02-05,9.000262,3519429,1372841,0,0,13609578,3610914,3948093
CPI_Swap_1,2025-05-06,9.246837,3509298,1315752,0,0,12737321,3613079,3948093
CPI_Swap_1,2025-08-05,9.496152,3614639,1330666,0,0,14469988,3734795,3948093
CPI_Swap_1,2025-11-05,9.748207,3790202,1261026,0,0,17238714,3930301,3948093
CPI_Swap_1,2026-02-05,10.000262,4013872,1256119,0,0,15440871,4177232,4177232
CPI_Swap_1,2026-05-05,10.244098,4206190,1243628,0,0,16537918,4392737,4392737
CPI_Swap_1,2026-08-05,10.496152,3975310,1220481,0,0,13708188,4166683,4392737
CPI_Swap_1,2026-11-05,10.748207,4104498,1325368,0,0,14139901,4317701,4392737
CPI_Swap_1,2027-02-05,11.000262,3959294,1390822,0,0,14931921,4180068,4392737
CPI_Swap_1,2027-05-05,11.244098,4044761,1400259,0,0,15890900,4285291,4392737
CPI_Swap_1,2027-08-05,11.496152,4082603,1365264,0,0,16045133,4341079,4392737
CPI_Swap_1,2027-11-05,11.748207,3978900,1324060,0,0,15219967,4246163,4392737
CPI_Swap_1,2028-02-07,12.005464,4104764,1370412,0,0,18888684,4396722,4396722
CPI_Swap_1,2028-05-05,12.245902,4175502,1380050,0,0,19011860,4489122,4489122
CPI_Swap_1,2028-08-07,12.502732,3983988,1427892,0,0,16228691,4300278,4489122
CPI_Swap_1,2028-11-06,12.751366,3954783,1538823,0,0,17222514,4285206,4489122
CPI_Swap_1,2029-02-05,13.000262,3950604,1479965,0,0,18277112,4297177,4489122
CPI_Swap_1,2029-05-08,13.252317,4041114,1600333,0,0,20142608,4412755,4489122
CPI_Swap_1,2029-08-06,13.498892,4155594,1521095,0,0,21276600,4555061,4555061
CPI_Swap_1,2029-11-05,13.748207,3974246,1563905,0,0,19772672,4373071,4555061
CPI_Swap_1,2030-02-05,14.000262,4084574,1536549,0,0,19753098,4511984,4555061
CPI_Swap_1,2030-05-07,14.249577,4158567,1518846,0,0,20668606,4611424,4611424
CPI_Swap_1,2030-08-05,14.496152,4166751,1558916,0,0,20056784,4638112,4638112
CPI_Swap_1,2030-11-05,14.748207,3970083,1620367,0,0,22731578,4436416,4638112
CPI_Swap_1,2031-02-05,15.000262,3969228,1706450,0,0,21494120,4452744,4638112
CPI_Swap_1,2031-05-06,15.246837,4032622,1844687,0,0,17242572,4539845,4638112
CPI_Swap_1,2031-08-05,15.496152,4130728,1761867,0,0,15529041,4666812,4666812
CPI_Swap_1,2031-11-05,15.748207,4241577,1632019,0,0,16434268,4809259,4809259
CPI_Swap_1,2032-02-05,16.000000,4426033,1484525,0,0,20316162,5036427,5036427
CPI_Swap_1,2032-05-05,16.245902,4134283,1400936,0,0,20484114,4720971,5036427
CPI_Swap_1,2032-08-05,16.497268,4161345,1363842,0,0,22245400,4768941,5036427
CPI_Swap_1,2032-11-05,16.748634,4157230,1414923,0,0,25659378,4781337,5036427
CPI_Swap_1,2033-02-07,17.005741,4104827,1419327,0,0,25512070,4738392,5036427
CPI_Swap_1,2033-05-05,17.244098,4005228,1395580,0,0,23021562,4639123,5036427
CPI_Swap_1,2033-08-05,17.496152,4203274,1442702,0,0,26436938,4885999,5036427
CPI_Swap_1,2033-11-07,17.753687,4378435,1420821,0,0,29365036,5108289,5108289
CPI_Swap_1,2034-02-06,18.003002,4497102,1404472,0,0,30621476,5265378,5265378
CPI_Swap_1,2034-05-05,18.244098,4715300,1428418,0,0,35129132,5539817,5539817
CPI_Swap_1,2034-08-07,18.501632,4720326,1487411,0,0,35128208,5566075,5566075
CPI_Swap_1,2034-11-06,18.750947,4672293,1441137,0,0,33618056,5529009,5566075
CPI_Swap_1,2035-02-05,19.000262,4465121,1499808,0,0,32996936,5302621,5566075
CPI_Swap_1,2035-05-08,19.252317,4641460,1426575,0,0,34304040,5531833,5566075
CPI_Swap_1,2035-08-06,19.498892,4731835,1418779,0,0,29562552,5659360,5659360
CPI_Swap_1,2035-11-05,19.748207,4608499,1415435,0,0,26952712,5531428,5659360
CPI_Swap_1,2036-02-05,20.000000,0,0,0,0,0,0,5659360
CPI_Swap_1,2036-05-06,20.248634,0,0,0,0,0,0,5659360
