#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
averageOIS1,2016-02-05,0.000000,5329520,0,0,0,5329520,5329520,5329520
averageOIS1,2016-03-07,0.084699,5357737,0,0,0,7422520,5356960,5356960
averageOIS1,2016-04-05,0.163934,5386170,8643,0,0,8237392,5384376,5384376
averageOIS1,2016-05-06,0.248634,5331670,0,0,0,8940826,5328610,5384376
averageOIS1,2016-06-06,0.333333,5279312,0,0,0,9102751,5275009,5384376
averageOIS1,2016-07-05,0.412568,5291787,18101,0,0,9080201,5285983,5384376
averageOIS1,2016-08-05,0.497268,5332961,0,0,0,9563911,5326055,5384376
averageOIS1,2016-09-06,0.584699,5256899,18960,0,0,10089383,5248309,5384376
averageOIS1,2016-10-05,0.663934,5217691,43786,0,0,9843836,5207814,5384376
averageOIS1,2016-11-07,0.754098,5277976,118395,0,0,10904153,5265763,5384376
averageOIS1,2016-12-05,0.830601,5052869,108473,0,0,8937559,5039722,5384376
averageOIS1,2017-01-05,0.915330,5095288,164651,0,0,10016220,5080519,5384376
averageOIS1,2017-02-06,1.003002,5115198,206738,0,0,11066999,5098965,5384376
averageOIS1,2017-03-06,1.079714,5039257,244763,0,0,10538692,5021731,5384376
averageOIS1,2017-04-05,1.161906,5031014,210421,0,0,9832390,5011815,5384376
averageOIS1,2017-05-05,1.244098,5092259,248434,0,0,10259057,5071104,5384376
averageOIS1,2017-06-06,1.331769,4954861,260166,0,0,10040867,4932746,5384376
averageOIS1,2017-07-05,1.411221,4982593,293479,0,0,10350030,4959004,5384376
averageOIS1,2017-08-07,1.501632,5036116,228434,0,0,10649783,5010720,5384376
averageOIS1,2017-09-05,1.581084,4813596,215180,0,0,10785033,4787963,5384376
averageOIS1,2017-10-05,1.663276,4779587,194996,0,0,10078954,4752735,5384376
averageOIS1,2017-11-06,1.750947,4776863,178490,0,0,10019856,4748532,5384376
averageOIS1,2017-12-05,1.830399,4631574,167249,0,0,9665031,4602569,5384376
averageOIS1,2018-01-05,1.915330,4660746,158448,0,0,10134599,4629867,5384376
averageOIS1,2018-02-05,2.000262,4816094,191312,0,0,11021288,4782438,5384376
averageOIS1,2018-03-05,2.076974,4470025,179986,0,0,9546883,4437814,5384376
averageOIS1,2018-04-05,2.161906,4484886,242957,0,0,10079216,4451668,5384376
averageOIS1,2018-05-08,2.252317,4506545,248731,0,0,10098251,4472203,5384376
averageOIS1,2018-06-05,2.329029,4081521,233826,0,0,10044644,4049678,5384376
averageOIS1,2018-07-05,2.411221,4011991,234161,0,0,10279520,3979912,5384376
averageOIS1,2018-08-06,2.498892,4003864,213281,0,0,10301688,3971021,5384376
averageOIS1,2018-09-05,2.581084,3589295,215762,0,0,9919841,3559156,5384376
averageOIS1,2018-10-05,2.663276,3555341,203882,0,0,9879050,3524797,5384376
averageOIS1,2018-11-05,2.748207,3571216,198378,0,0,10574238,3539820,5384376
averageOIS1,2018-12-05,2.830399,3157313,193111,0,0,9550813,3128943,5384376
averageOIS1,2019-01-07,2.920810,3131598,220558,0,0,9867233,3102791,5384376
averageOIS1,2019-02-05,3.000262,3171751,287755,0,0,8547633,3141980,5384376
averageOIS1,2019-03-05,3.076974,2827075,277427,0,0,7499245,2800308,5384376
averageOIS1,2019-04-05,3.161906,2826313,284910,0,0,7066113,2799400,5384376
averageOIS1,2019-05-07,3.249577,2931180,365336,0,0,7231246,2903105,5384376
averageOIS1,2019-06-05,3.329029,2637939,359954,0,0,6072760,2612538,5384376
averageOIS1,2019-07-05,3.411221,2702635,347612,0,0,6245042,2676470,5384376
averageOIS1,2019-08-05,3.496152,2703667,403748,0,0,6796590,2677346,5384376
averageOIS1,2019-09-05,3.581084,2372552,348235,0,0,5715277,2349326,5384376
averageOIS1,2019-10-07,3.668755,2362622,368862,0,0,5720161,2339361,5384376
averageOIS1,2019-11-05,3.748207,2350807,362538,0,0,5559421,2327543,5384376
averageOIS1,2019-12-05,3.830399,1948965,272830,0,0,4836079,1929576,5384376
averageOIS1,2020-01-06,3.918033,1938684,287807,0,0,4812761,1919289,5384376
averageOIS1,2020-02-05,4.000000,1939527,293075,0,0,4942519,1920022,5384376
averageOIS1,2020-03-05,4.079235,1562526,229421,0,0,4002154,1546915,5384376
averageOIS1,2020-04-06,4.166667,1577026,233406,0,0,3946091,1561437,5384376
averageOIS1,2020-05-05,4.245902,1611796,262270,0,0,4022616,1596019,5384376
averageOIS1,2020-06-05,4.330601,1220868,213602,0,0,2915543,1209044,5384376
averageOIS1,2020-07-06,4.415301,1225414,216920,0,0,3075684,1213672,5384376
averageOIS1,2020-08-05,4.497268,1232364,223347,0,0,2943551,1220678,5384376
averageOIS1,2020-09-08,4.590164,825889,158124,0,0,2074877,818151,5384376
averageOIS1,2020-10-05,4.663934,848663,164421,0,0,2140214,840787,5384376
averageOIS1,2020-11-05,4.748634,844973,166386,0,0,2302103,837219,5384376
averageOIS1,2020-12-07,4.836066,428739,79110,0,0,1182946,424850,5384376
averageOIS1,2021-01-05,4.915330,443886,77518,0,0,1262339,439902,5384376
averageOIS1,2021-02-05,5.000262,442341,76051,0,0,1232355,438417,5384376
averageOIS1,2021-03-05,5.076974,0,0,0,0,0,0,5384376
averageOIS1,2021-04-06,5.164646,0,0,0,0,0,0,5384376
averageOIS1,2021-05-05,5.244098,0,0,0,0,0,0,5384376
averageOIS1,2021-06-07,5.334509,0,0,0,0,0,0,5384376
averageOIS1,2021-07-06,5.413961,0,0,0,0,0,0,5384376
averageOIS1,2021-08-05,5.496152,0,0,0,0,0,0,5384376
averageOIS1,2021-09-07,5.586563,0,0,0,0,0,0,5384376
averageOIS1,2021-10-05,5.663276,0,0,0,0,0,0,5384376
averageOIS1,2021-11-05,5.748207,0,0,0,0,0,0,5384376
averageOIS1,2021-12-06,5.833139,0,0,0,0,0,0,5384376
averageOIS1,2022-01-05,5.915330,0,0,0,0,0,0,5384376
averageOIS1,2022-02-07,6.005741,0,0,0,0,0,0,5384376
averageOIS1,2022-03-07,6.082454,0,0,0,0,0,0,5384376
averageOIS1,2022-04-05,6.161906,0,0,0,0,0,0,5384376
averageOIS1,2022-05-05,6.244098,0,0,0,0,0,0,5384376
averageOIS1,2022-06-07,6.334509,0,0,0,0,0,0,5384376
averageOIS1,2022-07-05,6.411221,0,0,0,0,0,0,5384376
averageOIS1,2022-08-05,6.496152,0,0,0,0,0,0,5384376
averageOIS1,2022-09-06,6.583824,0,0,0,0,0,0,5384376
averageOIS1,2022-10-05,6.663276,0,0,0,0,0,0,5384376
averageOIS1,2022-11-07,6.753687,0,0,0,0,0,0,5384376
averageOIS1,2022-12-05,6.830399,0,0,0,0,0,0,5384376
averageOIS1,2023-01-05,6.915330,0,0,0,0,0,0,5384376
averageOIS1,2023-02-06,7.003002,0,0,0,0,0,0,5384376
averageOIS1,2023-03-06,7.079714,0,0,0,0,0,0,5384376
averageOIS1,2023-04-05,7.161906,0,0,0,0,0,0,5384376
averageOIS1,2023-05-05,7.244098,0,0,0,0,0,0,5384376
averageOIS1,2023-06-05,7.329029,0,0,0,0,0,0,5384376
averageOIS1,2023-07-05,7.411221,0,0,0,0,0,0,5384376
averageOIS1,2023-08-07,7.501632,0,0,0,0,0,0,5384376
averageOIS1,2023-09-05,7.581084,0,0,0,0,0,0,5384376
averageOIS1,2023-10-05,7.663276,0,0,0,0,0,0,5384376
averageOIS1,2023-11-06,7.750947,0,0,0,0,0,0,5384376
averageOIS1,2023-12-05,7.830399,0,0,0,0,0,0,5384376
averageOIS1,2024-01-05,7.915301,0,0,0,0,0,0,5384376
averageOIS1,2024-02-05,8.000000,0,0,0,0,0,0,5384376
averageOIS1,2024-03-05,8.079235,0,0,0,0,0,0,5384376
averageOIS1,2024-04-05,8.163934,0,0,0,0,0,0,5384376
averageOIS1,2024-05-07,8.251366,0,0,0,0,0,0,5384376
averageOIS1,2024-06-05,8.330601,0,0,0,0,0,0,5384376
averageOIS1,2024-07-05,8.412568,0,0,0,0,0,0,5384376
averageOIS1,2024-08-05,8.497268,0,0,0,0,0,0,5384376
averageOIS1,2024-09-05,8.581967,0,0,0,0,0,0,5384376
averageOIS1,2024-10-07,8.669399,0,0,0,0,0,0,5384376
averageOIS1,2024-11-05,8.748634,0,0,0,0,0,0,5384376
averageOIS1,2024-12-05,8.830601,0,0,0,0,0,0,5384376
averageOIS1,2025-01-06,8.918070,0,0,0,0,0,0,5384376
averageOIS1,2025-02-05,9.000262,0,0,0,0,0,0,5384376
averageOIS1,2025-03-05,9.076974,0,0,0,0,0,0,5384376
averageOIS1,2025-04-07,9.167385,0,0,0,0,0,0,5384376
averageOIS1,2025-05-06,9.246837,0,0,0,0,0,0,5384376
averageOIS1,2025-06-05,9.329029,0,0,0,0,0,0,5384376
averageOIS1,2025-07-07,9.416700,0,0,0,0,0,0,5384376
averageOIS1,2025-08-05,9.496152,0,0,0,0,0,0,5384376
averageOIS1,2025-09-05,9.581084,0,0,0,0,0,0,5384376
averageOIS1,2025-10-06,9.666015,0,0,0,0,0,0,5384376
averageOIS1,2025-11-05,9.748207,0,0,0,0,0,0,5384376
averageOIS1,2025-12-05,9.830399,0,0,0,0,0,0,5384376
averageOIS1,2026-01-05,9.915330,0,0,0,0,0,0,5384376
averageOIS1,2026-02-05,10.000262,0,0,0,0,0,0,5384376
averageOIS1,2026-03-05,10.076974,0,0,0,0,0,0,5384376
averageOIS1,2026-04-07,10.167385,0,0,0,0,0,0,5384376
averageOIS1,2026-05-05,10.244098,0,0,0,0,0,0,5384376
averageOIS1,2026-06-05,10.329029,0,0,0,0,0,0,5384376
averageOIS1,2026-07-06,10.413961,0,0,0,0,0,0,5384376
averageOIS1,2026-08-05,10.496152,0,0,0,0,0,0,5384376
averageOIS1,2026-09-08,10.589303,0,0,0,0,0,0,5384376
averageOIS1,2026-10-05,10.663276,0,0,0,0,0,0,5384376
averageOIS1,2026-11-05,10.748207,0,0,0,0,0,0,5384376
averageOIS1,2026-12-07,10.835878,0,0,0,0,0,0,5384376
averageOIS1,2027-01-05,10.915330,0,0,0,0,0,0,5384376
averageOIS1,2027-02-05,11.000262,0,0,0,0,0,0,5384376
averageOIS1,2027-03-05,11.076974,0,0,0,0,0,0,5384376
averageOIS1,2027-04-05,11.161906,0,0,0,0,0,0,5384376
averageOIS1,2027-05-05,11.244098,0,0,0,0,0,0,5384376
averageOIS1,2027-06-07,11.334509,0,0,0,0,0,0,5384376
averageOIS1,2027-07-06,11.413961,0,0,0,0,0,0,5384376
averageOIS1,2027-08-05,11.496152,0,0,0,0,0,0,5384376
averageOIS1,2027-09-07,11.586563,0,0,0,0,0,0,5384376
averageOIS1,2027-10-05,11.663276,0,0,0,0,0,0,5384376
averageOIS1,2027-11-05,11.748207,0,0,0,0,0,0,5384376
averageOIS1,2027-12-06,11.833139,0,0,0,0,0,0,5384376
averageOIS1,2028-01-05,11.915301,0,0,0,0,0,0,5384376
averageOIS1,2028-02-07,12.005464,0,0,0,0,0,0,5384376
averageOIS1,2028-03-06,12.081967,0,0,0,0,0,0,5384376
averageOIS1,2028-04-05,12.163934,0,0,0,0,0,0,5384376
averageOIS1,2028-05-05,12.245902,0,0,0,0,0,0,5384376
averageOIS1,2028-06-06,12.333333,0,0,0,0,0,0,5384376
averageOIS1,2028-07-05,12.412568,0,0,0,0,0,0,5384376
averageOIS1,2028-08-07,12.502732,0,0,0,0,0,0,5384376
averageOIS1,2028-09-05,12.581967,0,0,0,0,0,0,5384376
averageOIS1,2028-10-05,12.663934,0,0,0,0,0,0,5384376
averageOIS1,2028-11-06,12.751366,0,0,0,0,0,0,5384376
averageOIS1,2028-12-05,12.830601,0,0,0,0,0,0,5384376
averageOIS1,2029-01-05,12.915330,0,0,0,0,0,0,5384376
averageOIS1,2029-02-05,13.000262,0,0,0,0,0,0,5384376
averageOIS1,2029-03-05,13.076974,0,0,0,0,0,0,5384376
averageOIS1,2029-04-05,13.161906,0,0,0,0,0,0,5384376
averageOIS1,2029-05-08,13.252317,0,0,0,0,0,0,5384376
averageOIS1,2029-06-05,13.329029,0,0,0,0,0,0,5384376
averageOIS1,2029-07-05,13.411221,0,0,0,0,0,0,5384376
averageOIS1,2029-08-06,13.498892,0,0,0,0,0,0,5384376
averageOIS1,2029-09-05,13.581084,0,0,0,0,0,0,5384376
averageOIS1,2029-10-05,13.663276,0,0,0,0,0,0,5384376
averageOIS1,2029-11-05,13.748207,0,0,0,0,0,0,5384376
averageOIS1,2029-12-05,13.830399,0,0,0,0,0,0,5384376
averageOIS1,2030-01-07,13.920810,0,0,0,0,0,0,5384376
averageOIS1,2030-02-05,14.000262,0,0,0,0,0,0,5384376
averageOIS1,2030-03-05,14.076974,0,0,0,0,0,0,5384376
averageOIS1,2030-04-05,14.161906,0,0,0,0,0,0,5384376
averageOIS1,2030-05-07,14.249577,0,0,0,0,0,0,5384376
averageOIS1,2030-06-05,14.329029,0,0,0,0,0,0,5384376
averageOIS1,2030-07-05,14.411221,0,0,0,0,0,0,5384376
averageOIS1,2030-08-05,14.496152,0,0,0,0,0,0,5384376
averageOIS1,2030-09-05,14.581084,0,0,0,0,0,0,5384376
averageOIS1,2030-10-07,14.668755,0,0,0,0,0,0,5384376
averageOIS1,2030-11-05,14.748207,0,0,0,0,0,0,5384376
averageOIS1,2030-12-05,14.830399,0,0,0,0,0,0,5384376
averageOIS1,2031-01-06,14.918070,0,0,0,0,0,0,5384376
averageOIS1,2031-02-05,15.000262,0,0,0,0,0,0,5384376
averageOIS1,2031-03-05,15.076974,0,0,0,0,0,0,5384376
averageOIS1,2031-04-07,15.167385,0,0,0,0,0,0,5384376
averageOIS1,2031-05-06,15.246837,0,0,0,0,0,0,5384376
averageOIS1,2031-06-05,15.329029,0,0,0,0,0,0,5384376
averageOIS1,2031-07-07,15.416700,0,0,0,0,0,0,5384376
averageOIS1,2031-08-05,15.496152,0,0,0,0,0,0,5384376
averageOIS1,2031-09-05,15.581084,0,0,0,0,0,0,5384376
averageOIS1,2031-10-06,15.666015,0,0,0,0,0,0,5384376
averageOIS1,2031-11-05,15.748207,0,0,0,0,0,0,5384376
averageOIS1,2031-12-05,15.830399,0,0,0,0,0,0,5384376
averageOIS1,2032-01-05,15.915301,0,0,0,0,0,0,5384376
averageOIS1,2032-02-05,16.000000,0,0,0,0,0,0,5384376
averageOIS1,2032-03-05,16.079235,0,0,0,0,0,0,5384376
averageOIS1,2032-04-05,16.163934,0,0,0,0,0,0,5384376
averageOIS1,2032-05-05,16.245902,0,0,0,0,0,0,5384376
averageOIS1,2032-06-07,16.336066,0,0,0,0,0,0,5384376
averageOIS1,2032-07-06,16.415301,0,0,0,0,0,0,5384376
averageOIS1,2032-08-05,16.497268,0,0,0,0,0,0,5384376
averageOIS1,2032-09-07,16.587432,0,0,0,0,0,0,5384376
averageOIS1,2032-10-05,16.663934,0,0,0,0,0,0,5384376
averageOIS1,2032-11-05,16.748634,0,0,0,0,0,0,5384376
