#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FloorStrike,CapStrike,FloorVolatility,CapVolatility
FXFWD_EUR_USD_3M,FxForward,1,0,2016-05-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0005660688,1000566.0687770352,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_3M,FxForward,1,1,2016-05-05,Notional,-1135348.7418,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9979118652,-1132977.9806208094,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_6M,FxForward,1,0,2016-08-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0012967693,1001296.7692897097,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_6M,FxForward,1,1,2016-08-05,Notional,-1139000.1062,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9954392222,-1133805.3798471303,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_9M,FxForward,1,0,2016-11-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0022917506,1002291.7505757972,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_9M,FxForward,1,1,2016-11-05,Notional,-1143023.2742,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9930015200,-1135023.8486551768,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_12M,FxForward,1,0,2017-02-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0031751204,1003175.1203978838,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_USD_12M,FxForward,1,1,2017-02-05,Notional,-1147313.4581,USD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9901199303,-1135977.9210726661,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_GBP_3M,FxForward,1,0,2016-05-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0005660688,1000566.0687770352,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_GBP_3M,FxForward,1,1,2016-05-05,Notional,-813857.9833,GBP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9982056200,-812397.6127507115,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_GBP_6M,FxForward,1,0,2016-08-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0012967693,1001296.7692897097,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_GBP_6M,FxForward,1,1,2016-08-05,Notional,-815872.1106,GBP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.9964685466,-812990.8962635488,#N/A,#N/A,#N/A,#N/A
FXFWD_EUR_GBP_9M,FxForward,1,0,2016-11-05,Notional,1000000.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0022917506,1002291.7505757972,#N/A,#N/A,#N/A,#N/A
