#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
xccyBasisSwap_USD_3M_EUR_3M_2Y,Swap,2018-02-09,2.011221,-0.711616,USD,-0.711616,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_3Y,Swap,2019-02-11,3.016700,-1.196948,USD,-1.196948,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_4Y,Swap,2020-02-10,4.013661,-1.541835,USD,-1.541835,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_5Y,Swap,2021-02-09,5.011221,-1.988268,USD,-1.988268,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_7Y,Swap,2023-02-09,7.011221,-2.971721,USD,-2.971721,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_10Y,Swap,2026-02-09,10.011221,-4.469701,USD,-4.469701,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_15Y,Swap,2031-02-10,15.013961,-6.186379,USD,-6.186379,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_20Y,Swap,2036-02-11,20.016393,-8.206079,USD,-8.206079,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_30Y,Swap,2046-02-09,30.011221,-12.384217,USD,-12.384217,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_40Y,Swap,2056-02-09,40.010929,-17.448807,USD,-17.448807,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_EUR_3M_50Y,Swap,2066-02-09,50.011221,-22.600067,USD,-22.600067,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
FXFWD_USD_GBP_3M,FxForward,2016-05-09,0.256831,0.000000,GBP,0.000000,USD,718966.23,GBP,1002800.97,CPTY_A,CPTY_A
FXFWD_USD_GBP_6M,FxForward,2016-08-09,0.508197,0.000000,GBP,0.000000,USD,720980.36,GBP,1005610.23,CPTY_A,CPTY_A
FXFWD_USD_GBP_9M,FxForward,2016-11-09,0.759563,0.000000,GBP,0.000000,USD,723113.24,GBP,1008585.13,CPTY_A,CPTY_A
FXFWD_USD_GBP_1Y,FxForward,2017-02-09,1.011221,0.000000,GBP,0.000000,USD,725332.07,GBP,1011679.91,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_2Y,Swap,2018-02-09,2.011221,0.759644,USD,0.759644,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_3Y,Swap,2019-02-11,3.016700,1.262672,USD,1.262672,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_4Y,Swap,2020-02-10,4.013661,1.612928,USD,1.612928,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_5Y,Swap,2021-02-09,5.011221,2.057059,USD,2.057059,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_7Y,Swap,2023-02-09,7.011221,3.006662,USD,3.006662,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_10Y,Swap,2026-02-09,10.011221,4.390000,USD,4.390000,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_15Y,Swap,2031-02-10,15.013961,5.901508,USD,5.901508,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_20Y,Swap,2036-02-11,20.016393,7.560155,USD,7.560155,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_30Y,Swap,2046-02-09,30.011221,10.585400,USD,10.585400,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_40Y,Swap,2056-02-09,40.010929,13.677454,USD,13.677454,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_GBP_3M_50Y,Swap,2066-02-09,50.011221,16.199677,USD,16.199677,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
FXFWD_USD_CHF_3M,FxForward,2016-05-09,0.256831,0.000000,CHF,0.000000,USD,995481.09,CHF,1002022.56,CPTY_A,CPTY_A
FXFWD_USD_CHF_6M,FxForward,2016-08-09,0.508197,0.000000,CHF,0.000000,USD,997495.21,CHF,1004049.92,CPTY_A,CPTY_A
FXFWD_USD_CHF_9M,FxForward,2016-11-09,0.759563,0.000000,CHF,0.000000,USD,1000000.00,USD,1000000.00,CPTY_A,CPTY_A
FXFWD_USD_CHF_1Y,FxForward,2017-02-09,1.011221,0.000000,CHF,0.000000,USD,1000000.00,USD,1000000.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_2Y,Swap,2018-02-09,2.011221,0.555557,USD,0.555557,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_3Y,Swap,2019-02-11,3.016700,0.923441,USD,0.923441,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_4Y,Swap,2020-02-10,4.013661,1.179597,USD,1.179597,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_5Y,Swap,2021-02-09,5.011221,1.504406,USD,1.504406,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_7Y,Swap,2023-02-09,7.011221,2.198888,USD,2.198888,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_10Y,Swap,2026-02-09,10.011221,3.210577,USD,3.210577,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_15Y,Swap,2031-02-10,15.013961,4.316000,USD,4.316000,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_20Y,Swap,2036-02-11,20.016393,5.529033,USD,5.529033,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
xccyBasisSwap_USD_3M_CHF_3M_30Y,Swap,2046-02-09,30.011221,7.741511,USD,7.741511,USD,1132337.00,USD,1132337.00,CPTY_A,CPTY_A
