#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY,2020-10-05,0.000000,23760.07,0.00,23760.07,-23760.07,23760.07,23760.07
CPTY,2021-01-05,0.251396,1355058.52,1109056.62,5878537.69,0.00,1353393.41,1353393.41
CPTY,2021-04-06,0.500711,2006615.01,1773557.29,8905710.75,0.00,2001397.86,2001397.86
CPTY,2021-07-05,0.747286,1999658.05,1863748.59,8870033.63,0.00,1991765.17,2001397.86
CPTY,2021-10-05,0.999341,2665738.72,2713994.51,11465872.88,0.00,2651798.27,2651798.27
CPTY,2022-01-05,1.251396,2846708.75,2531948.88,11759792.75,0.00,2827136.82,2827136.82
CPTY,2022-04-05,1.497971,2683311.00,2320582.19,12315111.75,0.00,2660866.09,2827136.82
CPTY,2022-07-05,1.747286,3157151.53,2805310.82,11997532.63,0.00,3126030.17,3126030.17
CPTY,2022-10-05,1.999341,3324710.31,2960311.95,16088848.13,0.00,3286697.84,3286697.84
CPTY,2023-01-05,2.251396,3546952.77,3005862.31,13344497.56,0.00,3501777.49,3501777.49
CPTY,2023-04-05,2.497971,3676970.92,3210981.45,12365455.34,0.00,3625514.97,3625514.97
CPTY,2023-07-05,2.747286,3691674.26,3410672.70,12843992.25,0.00,3635323.78,3635323.78
CPTY,2023-10-05,2.999341,3705757.04,3628892.27,11856560.00,0.00,3644439.39,3644439.39
CPTY,2024-01-05,3.251366,3972898.92,3526614.18,13384102.13,0.00,3901972.74,3901972.74
CPTY,2024-04-05,3.500000,3812293.87,3409439.41,12007590.75,0.00,3739311.56,3901972.74
CPTY,2024-07-05,3.748634,3959275.04,3827551.47,12608779.25,0.00,3878372.51,3901972.74
CPTY,2024-10-07,4.005464,4092412.03,4030600.43,14549114.75,0.00,4003344.17,4003344.17
CPTY,2025-01-06,4.254136,3963735.06,3844076.74,12561416.75,0.00,3873132.23,4003344.17
CPTY,2025-04-07,4.503451,4123601.64,4001342.24,13400721.88,0.00,4024848.07,4024848.07
CPTY,2025-07-07,4.752766,4354023.00,4156758.74,14434482.00,0.00,4245008.75,4245008.75
CPTY,2025-10-06,5.002081,4383803.53,4282638.87,16184987.50,0.00,4269274.05,4269274.05
CPTY,2026-01-05,5.251396,4379832.91,3825283.78,14047337.63,0.00,4261758.05,4269274.05
CPTY,2026-04-07,5.503451,4616432.20,4033928.81,14587523.72,0.00,4488120.34,4488120.34
CPTY,2026-07-06,5.750026,4600376.51,4101780.98,15875391.75,0.00,4468752.53,4488120.34
CPTY,2026-10-05,5.999341,4672943.54,4270404.57,17577473.00,0.00,4535386.49,4535386.49
CPTY,2027-01-05,6.251396,4687102.92,4373399.80,15943228.00,0.00,4546226.57,4546226.57
CPTY,2027-04-05,6.497971,4947531.45,4792490.65,17144097.53,0.00,4795867.31,4795867.31
CPTY,2027-07-05,6.747286,5038247.56,4753229.27,17691448.38,0.00,4880756.39,4880756.39
