#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
CdsOption_1_19,CreditDefaultSwapOption,2016-06-01,0.319672,55101.581684,EUR,55101.581684,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_2_18,CreditDefaultSwapOption,2016-09-01,0.571038,68304.617618,EUR,68304.617618,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_3_17,CreditDefaultSwapOption,2016-12-01,0.819672,76116.164111,EUR,76116.164111,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_4_16,CreditDefaultSwapOption,2017-03-01,1.066015,80173.535734,EUR,80173.535734,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_5_15,CreditDefaultSwapOption,2017-06-01,1.318070,81131.610261,EUR,81131.610261,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_6_14,CreditDefaultSwapOption,2017-09-01,1.570125,80658.937784,EUR,80658.937784,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_7_13,CreditDefaultSwapOption,2017-12-01,1.819440,79026.456678,EUR,79026.456678,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_8_12,CreditDefaultSwapOption,2018-03-01,2.066015,76225.716192,EUR,76225.716192,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_9_11,CreditDefaultSwapOption,2018-06-01,2.318070,72202.066207,EUR,72202.066207,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_10_10,CreditDefaultSwapOption,2018-09-01,2.570125,67517.631118,EUR,67517.631118,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_11_9,CreditDefaultSwapOption,2018-12-01,2.819440,62337.357593,EUR,62337.357593,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_12_8,CreditDefaultSwapOption,2019-03-01,3.066015,56659.738187,EUR,56659.738187,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_13_7,CreditDefaultSwapOption,2019-06-01,3.318070,50431.921790,EUR,50431.921790,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_14_6,CreditDefaultSwapOption,2019-09-01,3.570125,43808.417317,EUR,43808.417317,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_15_5,CreditDefaultSwapOption,2019-12-01,3.819440,36952.953057,EUR,36952.953057,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_16_4,CreditDefaultSwapOption,2020-03-01,4.068306,29888.527557,EUR,29888.527557,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_17_3,CreditDefaultSwapOption,2020-06-01,4.319672,22511.407506,EUR,22511.407506,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_18_2,CreditDefaultSwapOption,2020-09-01,4.571038,14843.858897,EUR,14843.858897,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CdsOption_19_1,CreditDefaultSwapOption,2020-12-01,4.819672,7418.873527,EUR,7418.873527,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
