#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
CDS,2016-02-05,0.000000,0,6721,0,0,0,0,0
CDS,2016-03-07,0.084699,26461,36171,26461,36171,116013,26461,26461
CDS,2016-04-05,0.163934,40842,37608,40842,37608,167374,40843,40843
CDS,2016-05-06,0.248634,43876,48558,43876,48558,187116,43879,43879
CDS,2016-06-06,0.333333,45044,55448,45044,55448,182248,45048,45048
CDS,2016-07-05,0.412568,57051,55971,57051,55971,213292,57056,57056
CDS,2016-08-05,0.497268,56951,60898,56951,60898,211621,56958,57056
CDS,2016-09-06,0.584699,60445,67647,60445,67647,222115,60449,60449
CDS,2016-10-05,0.663934,74790,68668,74790,68668,247086,74791,74791
CDS,2016-11-07,0.754098,73035,70228,73035,70228,273273,73032,74791
CDS,2016-12-05,0.830601,79810,79880,79810,79880,256708,79802,79802
CDS,2017-01-05,0.915330,93687,81487,93687,81487,319625,93672,93672
CDS,2017-02-06,1.003002,85291,76697,85291,76697,293319,85273,93672
CDS,2017-03-06,1.079714,82587,77635,82587,77635,310135,82564,93672
CDS,2017-04-05,1.161906,87968,73848,87968,73848,315289,87939,93672
CDS,2017-05-05,1.244098,89776,79154,89776,79154,284704,89741,93672
CDS,2017-06-06,1.331769,88175,80142,88175,80142,315319,88135,93672
CDS,2017-07-05,1.411221,93210,74039,93210,74039,336612,93163,93672
CDS,2017-08-07,1.501632,94114,82147,94114,82147,367182,94061,94061
CDS,2017-09-05,1.581084,93460,86910,93460,86910,329588,93401,94061
CDS,2017-10-05,1.663276,97012,77460,97012,77460,344092,96946,96946
CDS,2017-11-06,1.750947,91021,78831,91021,78831,319744,90953,96946
CDS,2017-12-05,1.830399,89542,80919,89542,80919,303855,89470,96946
CDS,2018-01-05,1.915330,91006,73994,91006,73994,337085,90928,96946
CDS,2018-02-05,2.000262,88839,78568,88839,78568,315105,88757,96946
CDS,2018-03-05,2.076974,86611,81441,86611,81441,283429,86533,96946
CDS,2018-04-05,2.161906,89399,76458,89399,76458,283682,89322,96946
CDS,2018-05-08,2.252317,87830,81630,87830,81630,288450,87758,96946
CDS,2018-06-05,2.329029,88594,86298,88594,86298,287910,88525,96946
CDS,2018-07-05,2.411221,94989,81644,94989,81644,302771,94919,96946
CDS,2018-08-06,2.498892,83055,75355,83055,75355,295369,82996,96946
CDS,2018-09-05,2.581084,76553,72299,76553,72299,261146,76502,96946
CDS,2018-10-05,2.663276,76372,62938,76372,62938,227278,76324,96946
CDS,2018-11-05,2.748207,70405,62371,70405,62371,230703,70364,96946
CDS,2018-12-05,2.830399,64343,62692,64343,62692,246198,64307,96946
CDS,2019-01-07,2.920810,67395,57780,67395,57780,243274,67360,96946
CDS,2019-02-05,3.000262,63374,57932,63374,57932,269381,63344,96946
CDS,2019-03-05,3.076974,59636,57828,59636,57828,244093,59619,96946
CDS,2019-04-05,3.161906,64825,53436,64825,53436,253887,64822,96946
CDS,2019-05-07,3.249577,62074,55893,62074,55893,236787,62088,96946
CDS,2019-06-05,3.329029,59686,59782,59686,59782,230707,59713,96946
CDS,2019-07-05,3.411221,63120,54520,63120,54520,245467,63165,96946
CDS,2019-08-05,3.496152,56406,53984,56406,53984,221508,56461,96946
CDS,2019-09-05,3.581084,49262,52148,49262,52148,202167,49322,96946
CDS,2019-10-07,3.668755,50570,43615,50570,43615,189532,50645,96946
CDS,2019-11-05,3.748207,44123,41915,44123,41915,169458,44199,96946
CDS,2019-12-05,3.830399,40803,44220,40803,44220,166866,40883,96946
CDS,2020-01-06,3.918033,43815,39652,43815,39652,165230,43913,96946
CDS,2020-02-05,4.000000,40482,41226,40482,41226,150091,40582,96946
CDS,2020-03-05,4.079235,36477,42568,36477,42568,138005,36581,96946
CDS,2020-04-06,4.166667,38290,35067,38290,35067,146723,38416,96946
CDS,2020-05-05,4.245902,30982,31783,30982,31783,131399,31097,96946
CDS,2020-06-05,4.330601,23084,28885,23084,28885,102840,23180,96946
CDS,2020-07-06,4.415301,25216,22066,25216,22066,106313,25331,96946
CDS,2020-08-05,4.497268,19836,21714,19836,21714,96441,19935,96946
CDS,2020-09-08,4.590164,14680,22548,14680,22548,70707,14760,96946
CDS,2020-10-05,4.663934,16458,15422,16458,15422,69385,16554,96946
CDS,2020-11-05,4.748634,10804,14759,10804,14759,44704,10872,96946
CDS,2020-12-07,4.836066,5842,15352,5842,15352,28803,5881,96946
CDS,2021-01-05,4.915330,6618,7223,6618,7223,26348,6665,96946
CDS,2021-02-05,5.000262,1703,7668,1703,7668,9501,1715,96946
