#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
trade_01,2020-10-05,0.000000,0,0,0,0,0,0,0
trade_01,2021-01-05,0.251396,433422,384029,0,0,1725898,432889,432889
trade_01,2021-04-06,0.500711,692084,623913,0,0,2718694,690285,690285
trade_01,2021-07-05,0.747286,935772,897384,0,0,4178027,932078,932078
trade_01,2021-10-05,0.999341,1105825,1061182,0,0,4482649,1100042,1100042
trade_01,2022-01-05,1.251396,1396519,1370779,0,0,6168019,1386917,1386917
trade_01,2022-04-05,1.497971,1410781,1408305,0,0,5334933,1398980,1398980
trade_01,2022-07-05,1.747286,1671018,1664861,0,0,6435168,1654546,1654546
trade_01,2022-10-05,1.999341,1711038,1601107,0,0,6028597,1691475,1691475
trade_01,2023-01-05,2.251396,1796461,1763982,0,0,7077334,1773580,1773580
trade_01,2023-04-05,2.497971,1794281,1778789,0,0,5853266,1769172,1773580
trade_01,2023-07-05,2.747286,1774362,1887191,0,0,6182194,1747277,1773580
trade_01,2023-10-05,2.999341,1706386,1856931,0,0,6923543,1678151,1773580
trade_01,2024-01-05,3.251366,1785094,1862745,0,0,6878464,1753225,1773580
trade_01,2024-04-05,3.500000,1827978,1979408,0,0,7105806,1792984,1792984
trade_01,2024-07-05,3.748634,1919150,2214669,0,0,7689881,1879935,1879935
trade_01,2024-10-07,4.005464,2206514,2498162,0,0,9481700,2158492,2158492
trade_01,2025-01-06,4.254136,2027410,2370762,0,0,7709999,1981067,2158492
trade_01,2025-04-07,4.503451,2156054,2498757,0,0,9666465,2104420,2158492
trade_01,2025-07-07,4.752766,2138952,2405930,0,0,9560559,2085398,2158492
trade_01,2025-10-06,5.002081,2220673,2494352,0,0,9862055,2162656,2162656
trade_01,2026-01-05,5.251396,2372989,2459263,0,0,9911485,2309016,2309016
trade_01,2026-04-07,5.503451,2430039,2524771,0,0,10974352,2362497,2362497
trade_01,2026-07-06,5.750026,2465959,2539831,0,0,10145870,2395404,2395404
trade_01,2026-10-05,5.999341,2485915,2552660,0,0,11091795,2412737,2412737
trade_01,2027-01-05,6.251396,2642718,2777350,0,0,9988290,2563288,2563288
trade_01,2027-04-05,6.497971,2828268,2905503,0,0,11749435,2741569,2741569
trade_01,2027-07-05,6.747286,2775688,2821881,0,0,11675516,2688923,2741569
trade_01,2027-10-05,6.999341,2768602,2740171,0,0,11334580,2680366,2741569
trade_01,2028-01-05,7.251366,2805451,2816686,0,0,12232803,2715048,2741569
trade_01,2028-04-05,7.500000,2733577,2751069,0,0,11462934,2644557,2741569
trade_01,2028-07-05,7.748634,2670740,2644451,0,0,14114034,2582854,2741569
trade_01,2028-10-05,8.000000,2609240,2676591,0,0,13367182,2522478,2741569
trade_01,2029-01-05,8.251396,2664204,2850048,0,0,12103051,2575382,2741569
trade_01,2029-04-05,8.497971,2667987,2832625,0,0,12892484,2578849,2741569
trade_01,2029-07-05,8.747286,2750674,3084263,0,0,13288223,2658576,2741569
trade_01,2029-10-05,8.999341,2708648,3138959,0,0,12763841,2617762,2741569
trade_01,2030-01-07,9.256876,2901296,3221806,0,0,13669603,2804545,2804545
trade_01,2030-04-05,9.497971,2798118,3123644,0,0,13422902,2705382,2804545
trade_01,2030-07-05,9.747286,2823165,3028354,0,0,13465385,2730198,2804545
trade_01,2030-10-07,10.004821,2823785,3046240,0,0,11793327,2731417,2804545
trade_01,2031-01-06,10.254136,2797028,3131175,0,0,11128454,2706822,2804545
trade_01,2031-04-07,10.503451,2685908,3043004,0,0,11988551,2600529,2804545
trade_01,2031-07-07,10.752766,2684200,3017384,0,0,10486175,2600118,2804545
trade_01,2031-10-06,11.002081,2762701,2992114,0,0,9462968,2677441,2804545
trade_01,2032-01-05,11.251366,2744641,2942743,0,0,11662030,2661670,2804545
trade_01,2032-04-05,11.500000,2801653,2879356,0,0,12398779,2718738,2804545
trade_01,2032-07-05,11.748634,2746533,2896760,0,0,11915182,2666995,2804545
trade_01,2032-10-05,12.000000,2729873,2900455,0,0,11625564,2652573,2804545
trade_01,2033-01-05,12.251396,2773678,2983675,0,0,11540003,2697315,2804545
trade_01,2033-04-05,12.497971,2842914,2942862,0,0,12398267,2766842,2804545
trade_01,2033-07-05,12.747286,2879038,2891489,0,0,12156896,2804252,2804545
trade_01,2033-10-05,12.999341,2858356,2970002,0,0,11804868,2786370,2804545
trade_01,2034-01-05,13.251396,2947204,3066932,0,0,12064060,2875315,2875315
trade_01,2034-04-05,13.497971,2838378,3030369,0,0,11806389,2771345,2875315
trade_01,2034-07-05,13.747286,2830742,3072437,0,0,11719543,2766111,2875315
trade_01,2034-10-05,13.999341,2894469,3111573,0,0,11397874,2830682,2875315
trade_01,2035-01-05,14.251396,2983103,3150927,0,0,12759192,2919733,2919733
trade_01,2035-04-05,14.497971,3023465,3105250,0,0,12833661,2961590,2961590
trade_01,2035-07-05,14.747286,3004101,3102606,0,0,12505483,2944989,2961590
trade_01,2035-10-05,14.999341,2998542,3228301,0,0,13761866,2941927,2961590
trade_01,2036-01-07,15.256831,2974942,3339021,0,0,12957797,2920421,2961590
trade_01,2036-04-07,15.505464,2817822,3208974,0,0,11304949,2767662,2961590
trade_01,2036-07-07,15.754098,2757856,3140361,0,0,13581776,2710213,2961590
trade_01,2036-10-06,16.002732,2791845,3032317,0,0,12354416,2745084,2961590
trade_01,2037-01-05,16.251396,2845872,2864264,0,0,12935655,2799704,2961590
trade_01,2037-04-07,16.503451,2979896,2828668,0,0,12449767,2933139,2961590
trade_01,2037-07-06,16.750026,3049186,2825815,0,0,12765396,3002931,3002931
trade_01,2037-10-05,16.999341,3011681,2704604,0,0,11994933,2967583,3002931
