#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
CCSwap,2016-02-05,0.000000,0,1066150,0,0,0,0,0
CCSwap,2016-05-05,0.245902,504,1265336,0,0,0,503,503
CCSwap,2016-08-05,0.497268,5928,1278490,0,0,0,5920,5920
CCSwap,2016-11-07,0.754098,13569,1293096,0,0,0,13538,13538
CCSwap,2017-02-06,1.003002,34427,1324734,0,0,193539,34318,34318
CCSwap,2017-05-05,1.244098,31038,1512887,0,0,107509,30909,34318
CCSwap,2017-08-07,1.501632,50562,1544197,0,0,398939,50307,50307
CCSwap,2017-11-06,1.750947,66913,1570149,0,0,495255,66517,66517
CCSwap,2018-02-05,2.000262,84079,1596406,0,0,646231,83492,83492
CCSwap,2018-05-07,2.249577,75119,1786492,0,0,549176,74547,83492
CCSwap,2018-08-06,2.498892,89264,1808890,0,0,656610,88531,88531
CCSwap,2018-11-05,2.748207,100149,1827797,0,0,786986,99269,99269
CCSwap,2019-02-05,3.000262,111218,1851114,0,0,869625,110174,110174
CCSwap,2019-05-06,3.246837,93042,2020640,0,0,554631,92151,110174
CCSwap,2019-08-05,3.496152,102681,2028126,0,0,743028,101681,110174
CCSwap,2019-11-05,3.748207,122800,2047822,0,0,870183,121585,121585
CCSwap,2020-02-05,4.000000,133145,2062450,0,0,981576,131806,131806
CCSwap,2020-05-05,4.245902,118457,2225436,0,0,927097,117298,131806
CCSwap,2020-08-05,4.497268,135080,2231361,0,0,1193049,133799,133799
CCSwap,2020-11-05,4.748634,141241,2233325,0,0,1089724,139945,139945
CCSwap,2021-02-05,5.000262,157711,2245834,0,0,1194518,156312,156312
CCSwap,2021-05-05,5.244098,142230,2396551,0,0,1073237,141128,156312
CCSwap,2021-08-05,5.496152,155166,2395437,0,0,1171626,154152,156312
CCSwap,2021-11-05,5.748207,155723,2387278,0,0,1274304,154893,156312
CCSwap,2022-02-07,6.005741,166950,2390105,0,0,1251000,166267,166267
CCSwap,2022-05-05,6.244098,146852,2529716,0,0,1159345,146516,166267
CCSwap,2022-08-05,6.496152,149950,2514664,0,0,1159129,149897,166267
CCSwap,2022-11-07,6.753687,164677,2510482,0,0,1060815,164946,166267
CCSwap,2023-02-06,7.003002,177666,2510812,0,0,1415419,178297,178297
CCSwap,2023-05-05,7.244098,152199,2627677,0,0,1068705,153106,178297
CCSwap,2023-08-07,7.501632,172309,2613860,0,0,1169540,173786,178297
CCSwap,2023-11-06,7.750947,182187,2593439,0,0,1103835,184211,184211
CCSwap,2024-02-05,8.000000,192752,2571985,0,0,1232274,195382,195382
CCSwap,2024-05-06,8.248634,180135,2697208,0,0,1163201,183138,195382
CCSwap,2024-08-05,8.497268,195573,2682518,0,0,1319311,199435,199435
CCSwap,2024-11-05,8.748634,205855,2667689,0,0,1476564,210563,210563
CCSwap,2025-02-05,9.000262,220773,2659542,0,0,1554189,226512,226512
CCSwap,2025-05-05,9.244098,198583,2764460,0,0,1416423,204447,226512
CCSwap,2025-08-05,9.496152,214591,2743296,0,0,1684786,221724,226512
CCSwap,2025-11-05,9.748207,227182,2715131,0,0,1662436,235579,235579
CCSwap,2026-02-05,10.000262,246453,2692412,0,0,1786096,256483,256483
CCSwap,2026-05-05,10.244098,230255,2794463,0,0,1585844,240467,256483
CCSwap,2026-08-05,10.496152,240909,2770461,0,0,1600317,252507,256483
CCSwap,2026-11-05,10.748207,250092,2742647,0,0,1828272,263083,263083
CCSwap,2027-02-05,11.000262,263585,2718906,0,0,1912289,278283,278283
CCSwap,2027-05-05,11.244098,243534,2812965,0,0,1705647,258016,278283
CCSwap,2027-08-05,11.496152,259427,2792266,0,0,1880548,275852,278283
CCSwap,2027-11-05,11.748207,272170,2767052,0,0,1907847,290452,290452
CCSwap,2028-02-07,12.005464,289948,2749804,0,0,2097594,310571,310571
CCSwap,2028-05-05,12.245902,268108,2836981,0,0,1797519,288245,310571
CCSwap,2028-08-07,12.502732,285719,2814579,0,0,2062672,308403,310571
CCSwap,2028-11-06,12.751366,297244,2783328,0,0,2235570,322079,322079
CCSwap,2029-02-05,13.000262,313418,2757946,0,0,2406709,340913,340913
CCSwap,2029-05-07,13.249577,285075,2837289,0,0,2208678,311278,340913
CCSwap,2029-08-06,13.498892,295418,2811840,0,0,2153977,323816,340913
CCSwap,2029-11-05,13.748207,306711,2786725,0,0,2270724,337490,340913
CCSwap,2030-02-05,14.000262,320496,2765390,0,0,2423953,354033,354033
CCSwap,2030-05-06,14.246837,300320,2843919,0,0,2251772,333011,354033
CCSwap,2030-08-05,14.496152,323108,2820041,0,0,2297730,359659,359659
CCSwap,2030-11-05,14.748207,334900,2800684,0,0,2516763,374238,374238
CCSwap,2031-02-05,15.000262,353413,2774631,0,0,2490405,396464,396464
CCSwap,2031-05-05,15.244098,333294,2856336,0,0,2407065,375201,396464
CCSwap,2031-08-05,15.496152,338752,2836849,0,0,2412909,382715,396464
CCSwap,2031-11-05,15.748207,355432,2819389,0,0,2517575,403002,403002
CCSwap,2032-02-05,16.000000,357869,2791238,0,0,2535164,407223,407223
CCSwap,2032-05-05,16.245902,333111,2866329,0,0,2575661,380382,407223
CCSwap,2032-08-05,16.497268,343484,2845306,0,0,2647699,393636,407223
CCSwap,2032-11-05,16.748634,352914,2821493,0,0,2567699,405895,407223
CCSwap,2033-02-07,17.005741,368885,2804029,0,0,2588395,425821,425821
CCSwap,2033-05-05,17.244098,346387,2877768,0,0,2420308,401209,425821
CCSwap,2033-08-05,17.496152,352036,2854386,0,0,2566848,409217,425821
CCSwap,2033-11-07,17.753687,361639,2835687,0,0,2756564,421922,425821
CCSwap,2034-02-06,18.003002,370339,2812538,0,0,2900247,433607,433607
CCSwap,2034-05-05,18.244098,352878,2890385,0,0,2607076,414582,433607
CCSwap,2034-08-07,18.501632,364036,2871453,0,0,2485155,429261,433607
CCSwap,2034-11-06,18.750947,381061,2856330,0,0,2811266,450932,450932
CCSwap,2035-02-05,19.000262,395058,2836842,0,0,2774331,469157,469157
CCSwap,2035-05-07,19.249577,368119,2902450,0,0,2589229,438719,469157
CCSwap,2035-08-06,19.498892,380346,2883937,0,0,2579117,454900,469157
CCSwap,2035-11-05,19.748207,388953,2863644,0,0,2593484,466848,469157
CCSwap,2036-02-05,20.000000,401624,2843016,0,0,2793549,483787,483787
CCSwap,2036-05-05,20.245902,0,0,0,0,0,0,483787
CCSwap,2036-08-05,20.497268,0,0,0,0,0,0,483787
CCSwap,2036-11-05,20.748634,0,0,0,0,0,0,483787
CCSwap,2037-02-05,21.000262,0,0,0,0,0,0,483787
CCSwap,2037-05-05,21.244098,0,0,0,0,0,0,483787
CCSwap,2037-08-05,21.496152,0,0,0,0,0,0,483787
CCSwap,2037-11-05,21.748207,0,0,0,0,0,0,483787
CCSwap,2038-02-05,22.000262,0,0,0,0,0,0,483787
CCSwap,2038-05-05,22.244098,0,0,0,0,0,0,483787
CCSwap,2038-08-05,22.496152,0,0,0,0,0,0,483787
CCSwap,2038-11-05,22.748207,0,0,0,0,0,0,483787
CCSwap,2039-02-07,23.005741,0,0,0,0,0,0,483787
