#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,28266088.02,0.00,-28266088.02,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,842038.54,29108125.67,6914850.37,0.00,846296.33,846296.33,846296.33,846296.33
CPTY_A,2016-08-05,0.497268,880469.32,28878714.87,3052730.17,0.00,889373.66,889373.66,867834.99,867834.99
CPTY_A,2016-11-07,0.754098,489416.17,28608440.96,1981536.42,0.00,496922.16,889373.66,741509.61,875170.62
CPTY_A,2017-02-06,1.003002,1375797.16,28372470.36,6874634.76,0.00,1403854.14,1403854.14,905876.01,1006367.91
CPTY_A,2017-05-05,1.244098,1309631.55,28055850.37,2913288.09,0.00,1342869.50,1403854.14,990561.75,1083397.47
CPTY_A,2017-08-07,1.501632,1679868.88,27345170.47,9604707.51,0.00,1731456.44,1731456.44,1117627.35,1194541.48
CPTY_A,2017-11-06,1.750947,1480975.40,27266886.17,5422381.97,0.00,1534095.56,1731456.44,1176927.72,1270992.11
CPTY_A,2018-02-05,2.000262,1601006.41,26018033.98,6707813.64,0.00,1666691.63,1731456.44,1237972.49,1328384.94
CPTY_A,2018-05-08,2.252317,1824776.32,26002382.14,9280282.26,0.00,1909273.24,1909273.24,1313097.17,1393391.64
CPTY_A,2018-08-06,2.498892,2083015.24,25244246.32,17728195.14,0.00,2190285.17,2190285.17,1399652.70,1472024.20
CPTY_A,2018-11-05,2.748207,2733586.56,26020689.10,17403812.66,0.00,2888781.53,2888781.53,1534745.22,1600551.24
CPTY_A,2019-02-05,3.000262,2407241.91,24692624.92,10594204.38,0.00,2556814.02,2888781.53,1620610.17,1708776.67
CPTY_A,2019-05-07,3.249577,2331002.37,24388602.34,11272025.13,0.00,2488260.30,2888781.53,1687178.30,1799309.37
CPTY_A,2019-08-05,3.496152,2739854.03,23888600.44,17772152.78,0.00,2939208.06,2939208.06,1775480.99,1879703.72
CPTY_A,2019-11-05,3.748207,2321166.33,23594189.00,11843820.45,0.00,2502688.22,2939208.06,1824383.32,1950951.96
CPTY_A,2020-02-05,4.000000,2541697.96,22904084.27,14902854.92,0.00,2754368.28,2939208.06,1882924.20,2013160.90
CPTY_A,2020-05-05,4.245902,2975218.52,23124916.48,15182973.33,0.00,3240161.74,3240161.74,1961528.69,2084222.72
CPTY_A,2020-08-05,4.497268,2718527.20,22072893.27,21985672.46,0.00,2975630.65,3240161.74,2018209.96,2148831.71
CPTY_A,2020-11-05,4.748634,2758192.21,22236874.08,16344434.38,0.00,3034362.00,3240161.74,2071999.37,2206600.62
CPTY_A,2021-02-05,5.000262,3112496.22,21810419.66,19177422.56,0.00,3441511.44,3441511.44,2140917.31,2268745.02
CPTY_A,2021-05-05,5.244098,3109954.65,21608232.32,18686388.38,0.00,3455574.84,3455574.84,2202045.14,2323929.23
CPTY_A,2021-08-05,5.496152,3402625.06,21221442.53,20138344.34,0.00,3799949.86,3799949.86,2275325.41,2391619.87
CPTY_A,2021-11-05,5.748207,3160146.30,21103767.60,19473358.14,0.00,3547059.55,3799949.86,2331090.05,2453374.14
CPTY_A,2022-02-07,6.005741,3406509.74,20678826.80,26777995.19,0.00,3843405.60,3843405.60,2395940.17,2512980.55
CPTY_A,2022-05-05,6.244098,3278399.47,20359168.01,24005369.64,0.00,3716606.19,3843405.60,2446354.00,2563766.91
CPTY_A,2022-08-05,6.496152,3891352.18,20383916.50,30200045.85,0.00,4433867.74,4433867.74,2523470.78,2636328.00
CPTY_A,2022-11-07,6.753687,3429014.41,20043774.96,19230219.89,0.00,3927324.63,4433867.74,2577003.09,2704872.50
CPTY_A,2023-02-06,7.003002,3731876.18,19727696.44,25317953.97,0.00,4295644.69,4433867.74,2638188.75,2766426.75
CPTY_A,2023-05-05,7.244098,4028613.59,19840055.92,26777225.15,0.00,4659708.15,4659708.15,2705468.35,2829438.38
CPTY_A,2023-08-07,7.501632,4116020.96,19363297.36,24274327.18,0.00,4785485.17,4785485.17,2776876.22,2896590.31
CPTY_A,2023-11-06,7.750947,4019329.96,19391984.58,27530158.31,0.00,4696514.77,4785485.17,2838622.85,2957348.04
CPTY_A,2024-02-05,8.000000,4253956.91,19048440.54,25559451.51,0.00,4995612.61,4995612.61,2905773.46,3020802.54
CPTY_A,2024-05-07,8.251366,4167539.87,18788387.07,27036291.83,0.00,4918954.90,4995612.61,2967102.17,3080962.32
CPTY_A,2024-08-05,8.497268,4392433.29,18474109.88,26652376.68,0.00,5210121.88,5210121.88,3032012.71,3142577.87
CPTY_A,2024-11-05,8.748634,4357197.10,18564065.74,27070913.87,0.00,5194542.63,5210121.88,3094146.61,3201982.63
CPTY_A,2025-02-05,9.000262,4238437.93,17907000.43,26309690.43,0.00,5078592.14,5210121.88,3149627.47,3258125.92
CPTY_A,2025-05-06,9.246837,4519695.11,18020848.68,25694669.86,0.00,5442475.03,5442475.03,3210768.34,3316373.58
CPTY_A,2025-08-05,9.496152,4619802.69,17644431.50,24857777.43,0.00,5590934.80,5590934.80,3273258.00,3376090.65
CPTY_A,2025-11-05,9.748207,4542617.95,17690056.72,24216565.39,0.00,5525413.64,5590934.80,3331490.93,3433358.83
CPTY_A,2026-02-05,10.000262,1202366.99,611243.91,3918779.08,0.00,1469918.34,5590934.80,3284570.33,3487740.14
CPTY_A,2026-05-05,10.244098,1091490.03,556332.61,3946703.31,0.00,1340916.71,5590934.80,3238306.42,3537801.53
CPTY_A,2026-08-05,10.496152,1051909.82,555788.17,3781437.88,0.00,1298847.20,5590934.80,3191732.21,3587105.51
CPTY_A,2026-11-05,10.748207,944128.21,574205.65,3625257.91,0.00,1171677.39,5590934.80,3144360.17,3634097.05
CPTY_A,2027-02-05,11.000262,928665.55,596769.22,3483894.30,0.00,1158334.34,5590934.80,3098853.32,3678935.10
CPTY_A,2027-05-05,11.244098,993402.77,504972.80,3532747.43,0.00,1245161.90,5590934.80,3058654.81,3720398.07
CPTY_A,2027-08-05,11.496152,971578.20,520511.90,3363067.02,0.00,1223984.01,5590934.80,3018429.38,3761409.85
CPTY_A,2027-11-05,11.748207,869976.46,545036.63,3552269.05,0.00,1101546.92,5590934.80,2977303.16,3800661.84
CPTY_A,2028-02-07,12.005464,853259.12,565650.00,3408739.94,0.00,1085979.77,5590934.80,2936775.22,3839024.44
CPTY_A,2028-05-05,12.245902,917622.45,478586.17,3520562.27,0.00,1173563.96,5590934.80,2902156.17,3873421.61
CPTY_A,2028-08-07,12.502732,889312.49,488524.80,3340787.67,0.00,1143253.08,5590934.80,2866024.86,3908702.69
CPTY_A,2028-11-06,12.751366,791031.25,517070.45,2947012.45,0.00,1022010.17,5590934.80,2830069.14,3941503.87
CPTY_A,2029-02-05,13.000262,770117.06,533971.24,2918312.54,0.00,999981.39,5590934.80,2795031.28,3973082.97
CPTY_A,2029-05-08,13.252317,846948.09,464256.05,2942806.51,0.00,1105323.61,5590934.80,2762893.59,4003853.99
CPTY_A,2029-08-06,13.498892,819481.96,474976.32,2786884.35,0.00,1074785.41,5590934.80,2732058.03,4032844.15
CPTY_A,2029-11-05,13.748207,704622.66,484936.84,2502503.85,0.00,928779.37,5590934.80,2699356.71,4061099.14
CPTY_A,2030-02-05,14.000262,661298.46,477722.01,2381606.65,0.00,876094.49,5590934.80,2666531.47,4088641.66
CPTY_A,2030-05-07,14.249577,716615.55,387773.21,2386158.10,0.00,954142.54,5590934.80,2636570.98,4114926.25
CPTY_A,2030-08-05,14.496152,683764.75,391887.94,2402977.54,0.00,914920.70,5590934.80,2607286.20,4140032.72
CPTY_A,2030-11-05,14.748207,581338.31,410548.67,2164564.56,0.00,781813.51,5590934.80,2576087.89,4164829.42
CPTY_A,2031-02-05,15.000262,552023.15,416840.57,2106098.19,0.00,746154.90,5590934.80,2545338.87,4188792.78
CPTY_A,2031-05-06,15.246837,610506.13,335749.42,2137482.35,0.00,829299.60,5590934.80,2517586.69,4211468.54
CPTY_A,2031-08-05,15.496152,575726.00,337317.27,2066635.22,0.00,785978.89,5590934.80,2489727.14,4233662.55
CPTY_A,2031-11-05,15.748207,465183.67,345029.21,1704928.58,0.00,638288.47,5590934.80,2460094.30,4255386.10
CPTY_A,2032-02-05,16.000000,435818.99,350982.89,1800788.03,0.00,601030.06,5590934.80,2430838.12,4276403.70
CPTY_A,2032-05-05,16.245902,474901.22,258152.75,1674726.41,0.00,658177.53,5590934.80,2404006.73,4296300.74
CPTY_A,2032-08-05,16.497268,447653.16,266608.53,1641324.91,0.00,623560.97,5590934.80,2376878.37,4316026.86
CPTY_A,2032-11-05,16.748634,339347.89,274088.56,1302321.27,0.00,475094.40,5590934.80,2348336.10,4335160.88
CPTY_A,2033-02-07,17.005741,307891.82,277195.26,1222599.25,0.00,433289.51,5590934.80,2319382.76,4354146.76
CPTY_A,2033-05-05,17.244098,354171.67,193220.18,1248873.14,0.00,500808.77,5590934.80,2294245.56,4371242.24
CPTY_A,2033-08-05,17.496152,324994.32,198498.92,1126629.86,0.00,461882.36,5590934.80,2267847.99,4388813.49
CPTY_A,2033-11-07,17.753687,221103.90,207211.07,864413.36,0.00,315861.93,5590934.80,2239532.56,4406251.41
CPTY_A,2034-02-06,18.003002,196278.52,215640.66,879391.98,0.00,281804.07,5590934.80,2212420.90,4422657.53
CPTY_A,2034-05-05,18.244098,236774.20,130148.13,867602.84,0.00,341594.46,5590934.80,2187697.92,4438096.33
CPTY_A,2034-08-07,18.501632,207073.66,133555.77,792773.14,0.00,300293.94,5590934.80,2161426.12,4454143.31
CPTY_A,2034-11-06,18.750947,112618.85,148716.85,515534.91,0.00,164136.97,5590934.80,2134869.90,4469258.24
CPTY_A,2035-02-05,19.000262,90000.70,158167.98,453970.22,0.00,131830.17,5590934.80,2108586.68,4483976.50
CPTY_A,2035-05-08,19.252317,119119.74,64802.29,434065.97,0.00,175367.93,5590934.80,2083276.63,4498469.00
CPTY_A,2035-08-06,19.498892,93179.47,71135.03,376769.29,0.00,137859.40,5590934.80,2058675.65,4512283.90
CPTY_A,2035-11-05,19.748207,12125.29,99812.63,107428.06,0.00,18029.43,5590934.80,2032913.12,4525901.53
CPTY_A,2036-02-05,20.000000,3065.54,122603.77,43236.87,0.00,4581.36,5590934.80,2007377.15,4539309.92
CPTY_A,2036-05-06,20.248634,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,5590934.80,0.00,0.00
