#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BermSwp,2016-02-05,0.000000,54312,0,0,0,54312,54312,54312,54312.18,54312.18
BermSwp,2016-05-06,0.248634,55213,900,0,0,102325,55492,55492,55491.80,55491.80
BermSwp,2016-08-05,0.497268,55746,1434,0,0,138934,56310,56310,55900.69,55900.69
BermSwp,2016-11-07,0.754098,55004,692,0,0,152783,55848,56310,55882.58,56039.95
BermSwp,2017-02-06,1.003002,54548,236,0,0,135820,55660,56310,55827.43,56106.86
BermSwp,2017-05-05,1.244098,54312,0,0,0,113707,55691,56310,55800.92,56146.15
BermSwp,2017-08-07,1.501632,54312,0,0,0,111058,55980,56310,55831.64,56174.18
BermSwp,2017-11-06,1.750947,54312,0,0,0,104670,56260,56310,55892.67,56193.46
BermSwp,2018-02-05,2.000262,54312,0,0,0,111902,56540,56540,55973.41,56236.71
BermSwp,2018-05-08,2.252317,54680,368,0,0,113308,57212,57212,56112.05,56345.88
BermSwp,2018-08-06,2.498892,54312,0,0,0,131887,57109,57212,56210.43,56431.37
BermSwp,2018-11-05,2.748207,54461,149,0,0,117293,57553,57553,56332.21,56533.10
BermSwp,2019-02-05,3.000262,54482,169,0,0,109326,57867,57867,56461.13,56645.15
BermSwp,2019-05-07,3.249577,54312,0,0,0,107372,57976,57976,56577.37,56747.27
BermSwp,2019-08-05,3.496152,54412,100,0,0,103733,58371,58371,56703.91,56861.82
BermSwp,2019-11-05,3.748207,54745,433,0,0,95623,59027,59027,56860.11,57007.40
BermSwp,2020-02-05,4.000000,54351,39,0,0,104666,58899,59027,56988.45,57134.51
BermSwp,2020-05-05,4.245902,54354,42,0,0,118455,59195,59195,57116.21,57253.82
BermSwp,2020-08-05,4.497268,54542,230,0,0,116832,59701,59701,57260.66,57390.57
BermSwp,2020-11-05,4.748634,54377,64,0,0,125088,59821,59821,57396.19,57519.23
BermSwp,2021-02-05,5.000262,54312,0,0,0,127169,60053,60053,57529.91,57646.76
BermSwp,2021-05-05,5.244098,54312,0,0,0,126697,60348,60348,57660.95,57772.36
BermSwp,2021-08-05,5.496152,54827,514,0,0,141315,61229,61229,57824.56,57930.87
BermSwp,2021-11-05,5.748207,54658,346,0,0,141211,61350,61350,57979.14,58080.79
BermSwp,2022-02-07,6.005741,54619,307,0,0,142522,61624,61624,58135.43,58232.71
BermSwp,2022-05-05,6.244098,54830,518,0,0,146454,62159,62159,58289.02,58382.59
BermSwp,2022-08-05,6.496152,54634,322,0,0,146473,62251,62251,58442.74,58532.68
BermSwp,2022-11-07,6.753687,54415,103,0,0,146307,62323,62323,58590.71,58677.22
BermSwp,2023-02-06,7.003002,54434,122,0,0,156653,62657,62657,58735.49,58818.92
BermSwp,2023-05-05,7.244098,54616,304,0,0,152374,63172,63172,58883.14,58963.79
BermSwp,2023-08-07,7.501632,54458,146,0,0,163007,63315,63315,59035.29,59113.18
BermSwp,2023-11-06,7.750947,54571,258,0,0,157261,63765,63765,59187.42,59262.80
BermSwp,2024-02-05,8.000000,54421,109,0,0,160520,63909,63909,59334.42,59407.45
BermSwp,2024-05-07,8.251366,54553,241,0,0,155252,64389,64389,59488.40,59559.21
BermSwp,2024-08-05,8.497268,54717,404,0,0,164183,64902,64902,59645.08,59713.84
BermSwp,2024-11-05,8.748634,54555,242,0,0,158334,65039,65039,59800.05,59866.83
BermSwp,2025-02-05,9.000262,54367,55,0,0,161594,65144,65144,59949.46,60014.38
BermSwp,2025-05-06,9.246837,54550,238,0,0,167108,65687,65687,60102.47,60165.65
BermSwp,2025-08-05,9.496152,54644,332,0,0,171000,66131,66131,60260.74,60322.27
BermSwp,2025-11-05,9.748207,54646,334,0,0,178116,66469,66469,60421.26,60481.20
BermSwp,2026-02-05,10.000262,54871,559,0,0,172045,67081,67081,60589.13,60647.55
BermSwp,2026-05-05,10.244098,54975,663,0,0,179344,67538,67538,60754.54,60811.57
BermSwp,2026-08-05,10.496152,56023,1711,0,0,175823,69174,69174,60956.73,61012.39
BermSwp,2026-11-05,10.748207,50338,1310,0,0,170510,62470,69174,60992.22,61203.80
BermSwp,2027-02-05,11.000262,50584,1557,0,0,172187,63094,69174,61040.38,61386.43
BermSwp,2027-05-05,11.244098,51905,1393,0,0,170665,65060,69174,61127.55,61555.31
BermSwp,2027-08-05,11.496152,52663,2151,0,0,171888,66345,69174,61241.93,61722.36
BermSwp,2027-11-05,11.748207,46507,3017,0,0,150482,58886,69174,61191.38,61882.24
BermSwp,2028-02-07,12.005464,46935,3445,0,0,151429,59736,69174,61160.19,62038.50
BermSwp,2028-05-05,12.245902,47857,2510,0,0,152628,61205,69174,61161.06,62178.60
BermSwp,2028-08-07,12.502732,48095,2748,0,0,153233,61828,69174,61174.77,62322.31
BermSwp,2028-11-06,12.751366,42104,4517,0,0,129124,54399,69174,61042.64,62455.91
BermSwp,2029-02-05,13.000262,41941,4354,0,0,130273,54460,69174,60916.61,62584.54
BermSwp,2029-05-08,13.252317,43215,3684,0,0,128912,56399,69174,60830.69,62709.87
BermSwp,2029-08-06,13.498892,44065,4533,0,0,126616,57793,69174,60775.19,62827.96
BermSwp,2029-11-05,13.748207,35957,4203,0,0,107556,47396,69174,60532.58,62943.04
BermSwp,2030-02-05,14.000262,35508,3753,0,0,113637,47041,69174,60289.68,63055.23
BermSwp,2030-05-07,14.249577,37089,3018,0,0,116004,49382,69174,60098.83,63162.29
BermSwp,2030-08-05,14.496152,37040,2969,0,0,122542,49562,69174,59919.60,63264.55
BermSwp,2030-11-05,14.748207,30534,4112,0,0,99110,41064,69174,59597.35,63365.55
BermSwp,2031-02-05,15.000262,30622,4200,0,0,101012,41391,69174,59291.42,63463.16
BermSwp,2031-05-06,15.246837,31120,2826,0,0,108056,42273,69174,59016.19,63555.52
BermSwp,2031-08-05,15.496152,30530,2237,0,0,115465,41680,69174,58737.27,63645.92
BermSwp,2031-11-05,15.748207,23369,2775,0,0,97771,32065,69174,58310.37,63734.40
BermSwp,2032-02-05,16.000000,23182,2588,0,0,94486,31970,69174,57895.86,63820.01
BermSwp,2032-05-05,16.245902,23698,1441,0,0,93862,32843,69174,57516.65,63901.06
BermSwp,2032-08-05,16.497268,23939,1682,0,0,89909,33345,69174,57148.36,63981.40
BermSwp,2032-11-05,16.748634,17258,2459,0,0,72416,24161,69174,56653.28,64059.34
BermSwp,2033-02-07,17.005741,17057,2258,0,0,72985,24004,69174,56159.66,64136.67
BermSwp,2033-05-05,17.244098,17721,1064,0,0,70115,25058,69174,55729.76,64206.30
BermSwp,2033-08-05,17.496152,17860,1203,0,0,70576,25383,69174,55292.58,64277.87
BermSwp,2033-11-07,17.753687,11286,2070,0,0,47551,16123,69174,54724.39,64348.90
BermSwp,2034-02-06,18.003002,11305,2089,0,0,53043,16231,69174,54191.31,64415.73
BermSwp,2034-05-05,18.244098,11914,862,0,0,47448,17188,69174,53702.32,64478.61
BermSwp,2034-08-07,18.501632,12030,978,0,0,46958,17446,69174,53197.64,64543.97
BermSwp,2034-11-06,18.750947,5848,2089,0,0,26130,8523,69174,52603.64,64605.54
BermSwp,2035-02-05,19.000262,5854,2095,0,0,27482,8575,69174,52025.90,64665.49
BermSwp,2035-05-08,19.252317,5985,565,0,0,22627,8811,69174,51460.13,64724.52
BermSwp,2035-08-06,19.498892,6041,621,0,0,22239,8938,69174,50922.41,64780.79
BermSwp,2035-11-05,19.748207,664,2544,0,0,4757,987,69174,50291.99,64836.26
BermSwp,2036-02-05,20.000000,689,2569,0,0,4842,1030,69174,49671.79,64890.87
BermSwp,2036-05-06,20.248634,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2036-08-05,20.497268,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2036-11-05,20.748634,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2037-02-05,21.000262,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2037-05-05,21.244098,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2037-08-05,21.496152,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2037-11-05,21.748207,0,0,0,0,0,0,69174,0.00,0.00
BermSwp,2038-02-05,22.000262,0,0,0,0,0,0,69174,0.00,0.00
