#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-05-06,14,3655312.688060,6564978.958495,0.000000,1312410.749229,CPTY_A,0.248634
1,2016-08-05,14,3355230.105062,5648810.303339,0.000000,670629.189883,CPTY_A,0.497268
2,2016-11-07,14,3219755.520471,4889423.752996,0.000000,2213979.714779,CPTY_A,0.754098
3,2017-02-06,15,3600213.036954,5382902.378432,0.000000,4982357.659400,CPTY_A,1.003002
4,2017-05-05,14,3261642.112966,5118824.125027,0.000000,4705175.753466,CPTY_A,1.244098
5,2017-08-07,14,3458523.865143,5106430.145686,0.000000,4583216.069260,CPTY_A,1.501632
6,2017-11-06,14,3273759.008490,4988597.413732,0.000000,4609988.751162,CPTY_A,1.750947
7,2018-02-05,15,2932829.489645,3039204.479477,0.000000,2494710.389889,CPTY_A,2.000262
8,2018-05-08,14,3455870.355603,3397272.818179,0.000000,3572806.106340,CPTY_A,2.252317
9,2018-08-06,14,3737853.083523,3657648.858396,0.000000,4096764.793866,CPTY_A,2.498892
10,2018-11-05,14,3190677.414292,3026201.882805,0.000000,3323930.845675,CPTY_A,2.748207
11,2019-02-05,14,4085043.219957,3911991.767472,0.000000,3759916.591489,CPTY_A,3.000262
12,2019-05-07,14,3849263.831329,3627642.127518,0.000000,4550700.247104,CPTY_A,3.249577
13,2019-08-05,14,3584519.006796,3471086.347693,0.000000,3661492.255505,CPTY_A,3.496152
14,2019-11-05,14,3757090.165379,3593406.094402,0.000000,5401758.730907,CPTY_A,3.748207
15,2020-02-05,14,2523891.388991,2438614.376317,0.000000,3645338.663548,CPTY_A,4.000000
16,2020-05-05,14,4045057.639798,3406234.663673,0.000000,3518547.666526,CPTY_A,4.245902
17,2020-08-05,14,2945446.136856,2814785.895443,0.000000,2563068.441492,CPTY_A,4.497268
18,2020-11-05,14,3328444.789397,3149936.781994,0.000000,3456827.816376,CPTY_A,4.748634
19,2021-02-05,14,2735108.213797,2654545.250780,0.000000,3079191.031614,CPTY_A,5.000262
20,2021-05-05,14,3282152.867449,3070158.109011,0.000000,3816781.654373,CPTY_A,5.244098
21,2021-08-05,14,3482502.083220,3181808.556504,0.000000,3791306.190981,CPTY_A,5.496152
22,2021-11-05,14,2831184.086027,2788068.595956,0.000000,2603028.346226,CPTY_A,5.748207
23,2022-02-07,15,2947506.696598,2822785.826005,0.000000,3746355.522447,CPTY_A,6.005741
24,2022-05-05,14,3703031.973561,3284139.385594,0.000000,5301802.191199,CPTY_A,6.244098
25,2022-08-05,14,3385709.770838,3138992.348121,0.000000,2176931.428191,CPTY_A,6.496152
26,2022-11-07,14,2962485.078238,2816351.203676,0.000000,2487549.460752,CPTY_A,6.753687
27,2023-02-06,15,3036100.778175,2718230.085052,0.000000,3762714.394472,CPTY_A,7.003002
28,2023-05-05,14,3331702.916917,2973270.899374,0.000000,3777778.357066,CPTY_A,7.244098
29,2023-08-07,14,3048005.915120,2844451.986084,0.000000,3363827.074987,CPTY_A,7.501632
30,2023-11-06,14,3162056.917181,2950937.021253,0.000000,3546440.999761,CPTY_A,7.750947
31,2024-02-05,15,3328448.758807,3062056.757746,0.000000,3982516.738544,CPTY_A,8.000000
32,2024-05-07,14,2925064.961525,2759051.236900,0.000000,3243539.687278,CPTY_A,8.251366
33,2024-08-05,14,2825667.014122,2778582.086922,0.000000,2145020.394275,CPTY_A,8.497268
34,2024-11-05,14,3250514.932866,2967513.341935,0.000000,2803534.863958,CPTY_A,8.748634
35,2025-02-05,14,3040671.739232,2741884.123699,0.000000,3753586.081661,CPTY_A,9.000262
36,2025-05-06,14,2988666.287226,2722970.903653,0.000000,3450087.296006,CPTY_A,9.246837
37,2025-08-05,14,3384038.391530,3029500.910499,0.000000,3848936.385753,CPTY_A,9.496152
38,2025-11-05,14,3192663.479649,2936815.836337,0.000000,2210613.794082,CPTY_A,9.748207
39,2026-02-05,14,240554.897818,228739.035045,0.000000,239969.901030,CPTY_A,10.000262
40,2026-05-05,14,206360.462220,203218.723220,0.000000,193387.443475,CPTY_A,10.244098
41,2026-08-05,14,200637.185076,200485.701746,0.000000,226540.923348,CPTY_A,10.496152
42,2026-11-05,14,220419.409584,214796.646410,0.000000,185038.464781,CPTY_A,10.748207
43,2027-02-05,14,210883.855930,205894.652714,0.000000,269232.451147,CPTY_A,11.000262
44,2027-05-05,14,198363.421621,194647.953618,0.000000,194311.888874,CPTY_A,11.244098
45,2027-08-05,14,200557.652772,191403.398225,0.000000,196283.381030,CPTY_A,11.496152
46,2027-11-05,14,177078.501112,167187.371732,0.000000,191806.416207,CPTY_A,11.748207
47,2028-02-07,15,131477.179531,133347.449678,0.000000,142537.058460,CPTY_A,12.005464
48,2028-05-05,14,140052.204562,138525.822794,0.000000,100709.352877,CPTY_A,12.245902
49,2028-08-07,14,129771.024082,126404.821074,0.000000,125437.324853,CPTY_A,12.502732
50,2028-11-06,14,152281.906040,148331.147885,0.000000,171136.107688,CPTY_A,12.751366
51,2029-02-05,15,138653.910107,138581.420675,0.000000,127152.540978,CPTY_A,13.000262
52,2029-05-08,14,127752.430613,126088.327036,0.000000,130966.043945,CPTY_A,13.252317
53,2029-08-06,14,141989.706564,128139.226897,0.000000,126133.385633,CPTY_A,13.498892
54,2029-11-05,14,113672.449727,111559.071033,0.000000,92681.220404,CPTY_A,13.748207
55,2030-02-05,14,118699.062654,118757.087907,0.000000,112499.202067,CPTY_A,14.000262
56,2030-05-07,14,132169.584361,130265.009535,0.000000,127867.713606,CPTY_A,14.249577
57,2030-08-05,14,103843.631388,104223.380736,0.000000,108293.081708,CPTY_A,14.496152
58,2030-11-05,14,98299.744576,99376.000574,0.000000,100823.650655,CPTY_A,14.748207
59,2031-02-05,14,108046.000240,96015.490734,0.000000,122423.935122,CPTY_A,15.000262
60,2031-05-06,14,92511.961976,89870.898835,0.000000,79424.588208,CPTY_A,15.246837
61,2031-08-05,14,89729.398321,85954.430715,0.000000,93114.661093,CPTY_A,15.496152
62,2031-11-05,14,89976.484413,89541.534101,0.000000,65843.331984,CPTY_A,15.748207
63,2032-02-05,14,111512.748290,110842.542282,0.000000,118402.304935,CPTY_A,16.000000
64,2032-05-05,14,73855.861749,73605.475287,0.000000,72127.260733,CPTY_A,16.245902
65,2032-08-05,14,73127.866070,72731.628577,0.000000,85524.977371,CPTY_A,16.497268
66,2032-11-05,14,53672.866496,53363.893893,0.000000,52614.570360,CPTY_A,16.748634
67,2033-02-07,15,67743.646683,66957.241978,0.000000,73548.305825,CPTY_A,17.005741
68,2033-05-05,14,55715.662804,55227.220680,0.000000,62523.757409,CPTY_A,17.244098
69,2033-08-05,14,58974.131689,59004.290244,0.000000,62119.175835,CPTY_A,17.496152
70,2033-11-07,14,46127.052092,45082.598585,0.000000,40304.032476,CPTY_A,17.753687
71,2034-02-06,15,49270.663290,48935.179743,0.000000,70808.066716,CPTY_A,18.003002
72,2034-05-05,14,33744.434932,33083.796756,0.000000,28598.139358,CPTY_A,18.244098
73,2034-08-07,14,34402.496402,33961.438231,0.000000,30141.890836,CPTY_A,18.501632
74,2034-11-06,14,25280.398428,25223.380770,0.000000,21073.447849,CPTY_A,18.750947
75,2035-02-05,15,26177.878105,25977.587491,0.000000,26690.152919,CPTY_A,19.000262
76,2035-05-08,14,23610.715176,23319.232585,0.000000,31232.043998,CPTY_A,19.252317
77,2035-08-06,14,16873.470762,16924.989705,0.000000,16371.155045,CPTY_A,19.498892
78,2035-11-05,14,9548.297850,9404.340484,0.000000,9155.832433,CPTY_A,19.748207
79,2036-02-05,14,6866.101022,6867.649118,0.000000,5450.115550,CPTY_A,20.000000
80,2036-05-06,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,20.248634
81,2036-08-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A,20.497268
