#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
CPTY_A,2016-02-05,0.000000,0.00,36557658.86,0.00,-36557658.86,0.00,0.00,0.00,0.00
CPTY_A,2016-05-06,0.248634,0.00,36370673.57,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-08-05,0.497268,0.00,35936864.44,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2016-11-07,0.754098,0.00,35939225.65,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-02-06,1.003002,0.00,34613114.99,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-05-05,1.244098,0.00,34534827.39,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-08-07,1.501632,0.00,33141524.37,0.00,0.00,0.00,0.00,0.00,0.00
CPTY_A,2017-11-06,1.750947,68837.92,33332679.77,0.00,0.00,71307.02,71307.02,10153.31,10153.31
CPTY_A,2018-02-05,2.000262,44388.81,31874578.48,0.00,0.00,46209.97,71307.02,14647.46,17775.59
CPTY_A,2018-05-08,2.252317,108311.64,31918127.76,0.00,0.00,113327.05,113327.05,25690.61,28468.67
CPTY_A,2018-08-06,2.498892,105813.16,31030795.63,0.00,0.00,111262.27,113327.05,34134.29,36841.97
CPTY_A,2018-11-05,2.748207,0.00,31101088.18,0.00,0.00,0.00,113327.05,31037.66,43780.63
CPTY_A,2019-02-05,3.000262,0.00,30204688.12,0.00,0.00,0.00,113327.05,28430.15,49623.29
CPTY_A,2019-05-07,3.249577,13688.31,30207031.27,0.00,0.00,14611.77,113327.05,27369.98,54510.79
CPTY_A,2019-08-05,3.496152,32022.12,29413276.36,0.00,0.00,34352.07,113327.05,27862.41,58658.96
CPTY_A,2019-11-05,3.748207,44233.60,29476054.13,0.00,0.00,47692.79,113327.05,29195.94,62335.21
CPTY_A,2020-02-05,4.000000,27219.24,28218250.08,0.00,0.00,29496.74,113327.05,29214.87,65545.06
CPTY_A,2020-05-05,4.245902,129621.73,28331397.66,0.00,0.00,141164.54,141164.54,35698.44,69924.57
CPTY_A,2020-08-05,4.497268,107322.88,27957951.56,0.00,0.00,117472.89,141164.54,40269.07,73906.39
CPTY_A,2020-11-05,4.748634,224653.38,28377386.67,0.00,0.00,247147.27,247147.27,51220.04,83076.79
CPTY_A,2021-02-05,5.000262,375541.18,27545496.78,3583374.55,0.00,415238.83,415238.83,69538.56,99792.18
CPTY_A,2021-05-05,5.244098,656396.24,27556873.58,6981226.84,0.00,729343.86,729343.86,100217.62,129064.54
CPTY_A,2021-08-05,5.496152,754886.14,27089012.23,4599546.45,0.00,843034.26,843034.26,134283.36,161807.35
CPTY_A,2021-11-05,5.748207,930194.46,27481454.34,5505558.63,0.00,1044083.04,1044083.04,174177.43,200494.51
CPTY_A,2022-02-07,6.005741,897448.37,26846452.74,3350338.56,0.00,1012549.02,1044083.04,210127.93,236668.72
CPTY_A,2022-05-05,6.244098,1126329.05,26699275.79,5374453.41,0.00,1276879.64,1276879.64,250849.08,276376.73
CPTY_A,2022-08-05,6.496152,1082880.27,26174624.16,5313158.36,0.00,1233850.77,1276879.64,288990.16,315196.87
CPTY_A,2022-11-07,6.753687,1501957.52,26248454.78,11152940.74,0.00,1720224.55,1720224.55,343566.56,368773.94
CPTY_A,2023-02-06,7.003002,1571792.62,25686289.85,11110296.04,0.00,1809240.79,1809240.79,395746.28,420056.25
CPTY_A,2023-05-05,7.244098,1469658.57,25218428.06,11559396.68,0.00,1699885.05,1809240.79,439150.24,466290.67
CPTY_A,2023-08-07,7.501632,1387892.31,24502675.74,11236498.17,0.00,1613630.77,1809240.79,479470.66,512394.73
CPTY_A,2023-11-06,7.750947,1321709.01,24468022.82,3774331.84,0.00,1544393.21,1809240.79,513724.70,554108.76
CPTY_A,2024-02-05,8.000000,1449259.84,24092307.05,8491372.75,0.00,1701930.90,1809240.79,550715.50,593183.07
CPTY_A,2024-05-07,8.251366,1429010.99,24064322.06,11664323.46,0.00,1686664.27,1809240.79,585320.56,630228.54
CPTY_A,2024-08-05,8.497268,1375610.50,23643387.58,10030423.29,0.00,1631692.03,1809240.79,615601.41,664347.87
CPTY_A,2024-11-05,8.748634,1469312.95,23921102.17,8935241.71,0.00,1751678.56,1809240.79,648243.22,697242.98
CPTY_A,2025-02-05,9.000262,1631532.39,23398352.75,14380998.96,0.00,1954938.99,1954938.99,684775.65,732405.47
CPTY_A,2025-05-06,9.246837,2034402.51,23492627.14,14593555.09,0.00,2449763.66,2449763.66,731840.66,778200.40
CPTY_A,2025-08-05,9.496152,2194447.83,22931398.45,15426869.31,0.00,2655744.31,2655744.31,782351.45,827494.04
CPTY_A,2025-11-05,9.748207,2374290.19,23040477.34,20094066.59,0.00,2887968.03,2887968.03,836795.39,880770.75
CPTY_A,2026-02-05,10.000262,1048526.79,480245.07,2983214.97,0.00,1281845.54,2887968.03,848012.80,931361.79
CPTY_A,2026-05-05,10.244098,906589.49,482256.27,2725587.16,0.00,1113762.81,2887968.03,854338.32,977934.00
CPTY_A,2026-08-05,10.496152,902012.76,493617.72,2714893.41,0.00,1113761.58,2887968.03,860568.12,1023801.60
CPTY_A,2026-11-05,10.748207,794299.77,500660.55,2657460.21,0.00,985738.03,2887968.03,863503.46,1067517.92
CPTY_A,2027-02-05,11.000262,810794.75,544711.66,2732331.18,0.00,1011312.84,2887968.03,866890.30,1109230.85
CPTY_A,2027-05-05,11.244098,847801.66,454732.36,2868968.01,0.00,1062660.95,2887968.03,871135.71,1147803.93
CPTY_A,2027-08-05,11.496152,847925.34,469737.02,2696169.64,0.00,1068207.43,2887968.03,875456.54,1185957.28
CPTY_A,2027-11-05,11.748207,730824.50,481039.20,2662431.34,0.00,925355.48,2887968.03,876527.10,1222473.48
CPTY_A,2028-02-07,12.005464,731036.45,506170.72,2712678.13,0.00,930421.69,2887968.03,877681.98,1258162.28
CPTY_A,2028-05-05,12.245902,806883.90,407991.16,2740480.27,0.00,1031938.42,2887968.03,880710.66,1290162.04
CPTY_A,2028-08-07,12.502732,773141.37,419327.28,2533528.90,0.00,993909.63,2887968.03,883035.99,1322984.10
CPTY_A,2028-11-06,12.751366,679410.80,451694.40,2546048.50,0.00,877796.87,2887968.03,882933.83,1353499.11
CPTY_A,2029-02-05,13.000262,667420.24,470021.78,2356294.84,0.00,866631.65,2887968.03,882621.72,1382877.21
CPTY_A,2029-05-08,13.252317,737737.55,398433.93,2577798.54,0.00,962796.59,2887968.03,884146.62,1411503.55
CPTY_A,2029-08-06,13.498892,719076.58,410887.75,2399201.82,0.00,943099.49,2887968.03,885223.48,1438473.15
CPTY_A,2029-11-05,13.748207,604608.32,427835.86,1986696.05,0.00,796948.17,2887968.03,883622.66,1464758.83
CPTY_A,2030-02-05,14.000262,583175.96,435988.13,2080131.87,0.00,772597.06,2887968.03,881623.80,1490381.68
CPTY_A,2030-05-07,14.249577,628002.67,357316.13,2119606.08,0.00,836158.34,2887968.03,880828.32,1514834.29
CPTY_A,2030-08-05,14.496152,621177.75,370860.13,2123912.36,0.00,831175.30,2887968.03,879983.74,1538190.90
CPTY_A,2030-11-05,14.748207,539978.21,394955.18,1924579.74,0.00,726190.33,2887968.03,877355.33,1561259.32
CPTY_A,2031-02-05,15.000262,518882.05,411300.06,1868059.93,0.00,701358.96,2887968.03,874398.00,1583552.48
CPTY_A,2031-05-06,15.246837,585956.14,330601.38,2007769.13,0.00,795951.38,2887968.03,873129.34,1604647.79
CPTY_A,2031-08-05,15.496152,543645.01,330609.00,1913075.23,0.00,742182.05,2887968.03,871022.55,1625294.92
CPTY_A,2031-11-05,15.748207,438443.35,339119.02,1655522.15,0.00,601597.51,2887968.03,866710.32,1645504.38
CPTY_A,2032-02-05,16.000000,407568.54,336008.64,1519648.68,0.00,562070.38,2887968.03,861916.19,1665057.09
CPTY_A,2032-05-05,16.245902,436494.25,246145.42,1512820.14,0.00,604948.34,2887968.03,858026.66,1683567.35
CPTY_A,2032-08-05,16.497268,421294.80,251596.97,1563026.53,0.00,586844.94,2887968.03,853894.71,1701918.60
CPTY_A,2032-11-05,16.748634,321285.86,260045.02,1290503.77,0.00,449807.18,2887968.03,847830.10,1719719.02
CPTY_A,2033-02-07,17.005741,286913.34,265177.08,1149698.36,0.00,403766.96,2887968.03,841116.37,1737381.62
CPTY_A,2033-05-05,17.244098,327559.33,185095.45,1084369.83,0.00,463178.16,2887968.03,835892.33,1753285.57
CPTY_A,2033-08-05,17.496152,301079.88,184947.00,1068592.28,0.00,427895.13,2887968.03,830014.60,1769632.15
CPTY_A,2033-11-07,17.753687,199984.10,195145.63,813656.05,0.00,285690.86,2887968.03,822118.66,1785854.68
CPTY_A,2034-02-06,18.003002,182279.05,202977.54,773586.43,0.00,261704.52,2887968.03,814357.75,1801117.33
CPTY_A,2034-05-05,18.244098,218591.87,124706.88,719242.85,0.00,315362.78,2887968.03,807763.53,1815480.07
CPTY_A,2034-08-07,18.501632,197483.65,132511.95,728649.64,0.00,286386.71,2887968.03,800506.20,1830408.61
CPTY_A,2034-11-06,18.750947,104468.90,143737.24,447498.21,0.00,152258.78,2887968.03,791887.02,1844470.06
CPTY_A,2035-02-05,19.000262,84583.40,151030.28,389121.62,0.00,123895.09,2887968.03,783121.85,1858162.49
CPTY_A,2035-05-08,19.252317,111212.25,62872.56,397352.87,0.00,163726.53,2887968.03,775012.62,1871644.89
CPTY_A,2035-08-06,19.498892,86635.52,68196.09,368348.42,0.00,128177.60,2887968.03,766833.00,1884496.91
CPTY_A,2035-11-05,19.748207,10995.50,95204.84,92059.09,0.00,16349.50,2887968.03,757358.37,1897165.43
CPTY_A,2036-02-05,20.000000,3129.11,114643.60,44181.41,0.00,4676.36,2887968.03,747882.38,1909639.28
CPTY_A,2036-05-06,20.248634,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2036-08-05,20.497268,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2036-11-05,20.748634,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2037-02-05,21.000262,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2037-05-05,21.244098,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2037-08-05,21.496152,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2037-11-05,21.748207,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
CPTY_A,2038-02-05,22.000262,0.00,0.00,0.00,0.00,0.00,2887968.03,0.00,0.00
