#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
BermSwp,2016-02-05,0.000000,52965,0,0,0,52965,52965,52965
BermSwp,2016-05-06,0.248634,52966,0,0,0,68621,53233,53233
BermSwp,2016-08-05,0.497268,52976,0,0,0,76088,53512,53512
BermSwp,2016-11-07,0.754098,52999,0,0,0,82267,53812,53812
BermSwp,2017-02-06,1.003002,52982,0,0,0,88069,54062,54062
BermSwp,2017-05-05,1.244098,52987,0,0,0,95384,54332,54332
BermSwp,2017-08-07,1.501632,53001,0,0,0,100984,54628,54628
BermSwp,2017-11-06,1.750947,53027,0,0,0,103762,54929,54929
BermSwp,2018-02-05,2.000262,52951,0,0,0,104801,55123,55123
BermSwp,2018-05-08,2.252317,52878,0,0,0,108984,55327,55327
BermSwp,2018-08-06,2.498892,52865,0,0,0,112283,55588,55588
BermSwp,2018-11-05,2.748207,52875,0,0,0,116091,55877,55877
BermSwp,2019-02-05,3.000262,52926,0,0,0,117154,56215,56215
BermSwp,2019-05-07,3.249577,52997,0,0,0,123471,56572,56572
BermSwp,2019-08-05,3.496152,52898,0,0,0,125489,56747,56747
BermSwp,2019-11-05,3.748207,52866,0,0,0,128416,57001,57001
BermSwp,2020-02-05,4.000000,52869,0,0,0,132314,57293,57293
BermSwp,2020-05-05,4.245902,52824,0,0,0,136000,57528,57528
BermSwp,2020-08-05,4.497268,52897,0,0,0,139101,57900,57900
BermSwp,2020-11-05,4.748634,52855,0,0,0,140572,58147,58147
BermSwp,2021-02-05,5.000262,52773,0,0,0,145223,58351,58351
BermSwp,2021-05-05,5.244098,52836,0,0,0,149449,58708,58708
BermSwp,2021-08-05,5.496152,52967,0,0,0,151928,59152,59152
BermSwp,2021-11-05,5.748207,53024,0,0,0,154709,59516,59516
BermSwp,2022-02-07,6.005741,53055,0,0,0,157248,59860,59860
BermSwp,2022-05-05,6.244098,53047,0,0,0,159663,60137,60137
BermSwp,2022-08-05,6.496152,53031,0,0,0,165697,60424,60424
BermSwp,2022-11-07,6.753687,53115,0,0,0,167422,60834,60834
BermSwp,2023-02-06,7.003002,53037,0,0,0,171002,61049,61049
BermSwp,2023-05-05,7.244098,53031,0,0,0,171726,61339,61339
BermSwp,2023-08-07,7.501632,52882,0,0,0,173811,61484,61484
BermSwp,2023-11-06,7.750947,52725,0,0,0,177926,61608,61608
BermSwp,2024-02-05,8.000000,52625,0,0,0,178761,61799,61799
BermSwp,2024-05-07,8.251366,52874,0,0,0,182195,62408,62408
BermSwp,2024-08-05,8.497268,52950,0,0,0,188039,62808,62808
BermSwp,2024-11-05,8.748634,53161,0,0,0,190939,63378,63378
BermSwp,2025-02-05,9.000262,53084,0,0,0,192774,63607,63607
BermSwp,2025-05-06,9.246837,52919,0,0,0,196573,63723,63723
BermSwp,2025-08-05,9.496152,52923,0,0,0,198094,64049,64049
BermSwp,2025-11-05,9.748207,52881,0,0,0,204126,64322,64322
BermSwp,2026-02-05,10.000262,53110,0,0,0,210242,64928,64928
BermSwp,2026-05-05,10.244098,53373,0,0,0,214790,65570,65570
BermSwp,2026-08-05,10.496152,52966,0,0,0,215960,65400,65570
BermSwp,2026-11-05,10.748207,47860,34,0,0,194009,59395,65570
BermSwp,2027-02-05,11.000262,47747,92,0,0,196730,59555,65570
BermSwp,2027-05-05,11.244098,48075,81,0,0,195909,60259,65570
BermSwp,2027-08-05,11.496152,48086,123,0,0,198171,60578,65570
BermSwp,2027-11-05,11.748207,42467,260,0,0,178155,53771,65570
BermSwp,2028-02-07,12.005464,42406,365,0,0,179279,53973,65570
BermSwp,2028-05-05,12.245902,42969,292,0,0,177249,54954,65570
BermSwp,2028-08-07,12.502732,43098,402,0,0,178953,55404,65570
BermSwp,2028-11-06,12.751366,37245,647,0,0,158791,48121,65570
BermSwp,2029-02-05,13.000262,37414,749,0,0,160567,48581,65570
BermSwp,2029-05-08,13.252317,38118,575,0,0,159413,49747,65570
BermSwp,2029-08-06,13.498892,38154,681,0,0,160228,50040,65570
BermSwp,2029-11-05,13.748207,32175,1007,0,0,135854,42411,65570
BermSwp,2030-02-05,14.000262,32188,1120,0,0,138506,42643,65570
BermSwp,2030-05-07,14.249577,32975,791,0,0,137334,43905,65570
BermSwp,2030-08-05,14.496152,32940,889,0,0,138495,44075,65570
BermSwp,2030-11-05,14.748207,27098,1288,0,0,118635,36442,65570
BermSwp,2031-02-05,15.000262,27218,1413,0,0,119852,36790,65570
BermSwp,2031-05-06,15.246837,27859,976,0,0,118224,37843,65570
BermSwp,2031-08-05,15.496152,27833,1111,0,0,119715,37998,65570
BermSwp,2031-11-05,15.748207,22072,1521,0,0,98631,30286,65570
BermSwp,2032-02-05,16.000000,22172,1595,0,0,98538,30577,65570
BermSwp,2032-05-05,16.245902,22576,1029,0,0,95392,31289,65570
BermSwp,2032-08-05,16.497268,22670,1134,0,0,95663,31578,65570
BermSwp,2032-11-05,16.748634,16642,1655,0,0,75333,23299,65570
BermSwp,2033-02-07,17.005741,16648,1763,0,0,75329,23428,65570
BermSwp,2033-05-05,17.244098,17108,1018,0,0,71739,24192,65570
BermSwp,2033-08-05,17.496152,17313,1100,0,0,72572,24606,65570
BermSwp,2033-11-07,17.753687,11321,1742,0,0,52494,16173,65570
BermSwp,2034-02-06,18.003002,11372,1822,0,0,52523,16327,65570
BermSwp,2034-05-05,18.244098,11590,857,0,0,47623,16721,65570
BermSwp,2034-08-07,18.501632,11626,914,0,0,47477,16860,65570
BermSwp,2034-11-06,18.750947,5834,1746,0,0,28613,8502,65570
BermSwp,2035-02-05,19.000262,5888,1803,0,0,29198,8624,65570
BermSwp,2035-05-08,19.252317,5878,538,0,0,24342,8654,65570
BermSwp,2035-08-06,19.498892,5861,573,0,0,24219,8671,65570
BermSwp,2035-11-05,19.748207,688,2169,0,0,5119,1023,65570
BermSwp,2036-02-05,20.000000,672,2191,0,0,5098,1004,65570
BermSwp,2036-05-06,20.248634,0,0,0,0,0,0,65570
BermSwp,2036-08-05,20.497268,0,0,0,0,0,0,65570
BermSwp,2036-11-05,20.748634,0,0,0,0,0,0,65570
BermSwp,2037-02-05,21.000262,0,0,0,0,0,0,65570
BermSwp,2037-05-05,21.244098,0,0,0,0,0,0,65570
BermSwp,2037-08-05,21.496152,0,0,0,0,0,0,65570
BermSwp,2037-11-05,21.748207,0,0,0,0,0,0,65570
BermSwp,2038-02-05,22.000262,0,0,0,0,0,0,65570
