#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
Composite,2016-02-05,0.000000,52712,0,0,0,52712,52712,52712,52711.71,52711.71
Composite,2016-05-06,0.248634,173611,107399,0,0,712689,174489,174489,174489.33,174489.33
Composite,2016-08-05,0.497268,321981,225805,0,0,1138547,325237,325237,249863.05,249863.05
Composite,2016-11-07,0.754098,310577,300111,0,0,1422466,315340,325237,272163.32,275533.81
Composite,2017-02-06,1.003002,336824,329887,0,0,1452993,343693,343693,289913.92,292448.00
Composite,2017-05-05,1.244098,399464,296310,0,0,1777634,409602,409602,313108.47,315151.46
Composite,2017-08-07,1.501632,452789,327885,0,0,2170959,466694,466694,339448.86,341141.47
Composite,2017-11-06,1.750947,433912,421203,0,0,1631601,449475,466694,355115.38,359018.75
Composite,2018-02-05,2.000262,476829,441642,0,0,2059703,496392,496392,372724.33,376141.18
Composite,2018-05-08,2.252317,508206,384439,0,0,2277765,531739,531739,390519.47,393553.94
Composite,2018-08-06,2.498892,505079,393528,0,0,2157189,531090,531739,404390.09,407189.15
Composite,2018-11-05,2.748207,436924,442055,0,0,2058336,461730,531739,409591.91,418488.17
Composite,2019-02-05,3.000262,454269,460563,0,0,1817640,482495,531739,415716.56,428002.44
Composite,2019-05-07,3.249577,531870,453201,0,0,2060272,567752,567752,427381.07,438724.35
Composite,2019-08-05,3.496152,574961,508822,0,0,2532993,616796,616796,440740.04,451283.30
Composite,2019-11-05,3.748207,543427,565659,0,0,2773728,585925,616796,450503.23,462413.47
Composite,2020-02-05,4.000000,602996,630347,0,0,2574967,653450,653450,463278.35,474438.87
Composite,2020-05-05,4.245902,653505,585969,0,0,2747994,711700,711700,477665.71,488179.87
Composite,2020-08-05,4.497268,672335,597951,0,0,3012141,735921,735921,492100.37,502026.86
Composite,2020-11-05,4.748634,579888,611716,0,0,2539042,637950,735921,499820.86,514407.88
Composite,2021-02-05,5.000262,577351,625315,0,0,2403657,638382,735921,506793.65,525555.06
Composite,2021-05-05,5.244098,646761,591203,0,0,2501008,718638,735921,516643.81,535336.46
Composite,2021-08-05,5.496152,557144,537331,0,0,2101803,622201,735921,521484.71,544535.29
Composite,2021-11-05,5.748207,517047,582512,0,0,2027450,580352,735921,524065.99,552927.40
