#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap,2016-02-05,0.000000,382901,0,0,0,382901,382901,382901
Swap,2016-05-06,0.248634,409919,23586,0,0,1044081,409684,409684
Swap,2016-08-05,0.497268,450425,58064,0,0,1323609,449842,449842
Swap,2016-11-07,0.754098,483814,89062,0,0,1663466,482695,482695
Swap,2017-02-06,1.003002,524465,125009,0,0,1851514,522801,522801
Swap,2017-05-05,1.244098,548452,150433,0,0,1971175,546173,546173
Swap,2017-08-07,1.501632,572828,176642,0,0,2162391,569939,569939
Swap,2017-11-06,1.750947,594037,201637,0,0,2292085,590514,590514
Swap,2018-02-05,2.000262,610664,225746,0,0,2341206,606397,606397
Swap,2018-05-08,2.252317,628665,245318,0,0,2522558,623874,623874
Swap,2018-08-06,2.498892,650198,268408,0,0,2755343,644865,644865
Swap,2018-11-05,2.748207,674209,289434,0,0,2887325,668282,668282
Swap,2019-02-05,3.000262,696944,312851,0,0,2898539,690403,690403
Swap,2019-05-07,3.249577,718694,327573,0,0,3165649,711810,711810
Swap,2019-08-05,3.496152,743426,349121,0,0,3236290,736188,736188
Swap,2019-11-05,3.748207,751899,363719,0,0,3222524,744459,744459
Swap,2020-02-05,4.000000,752066,374200,0,0,3372542,744503,744503
Swap,2020-05-05,4.245902,758421,387833,0,0,3296547,750997,750997
Swap,2020-08-05,4.497268,780525,405541,0,0,3587292,773124,773124
Swap,2020-11-05,4.748634,794810,419423,0,0,3843227,787516,787516
Swap,2021-02-05,5.000262,813190,436337,0,0,4028197,805976,805976
Swap,2021-05-05,5.244098,822026,450638,0,0,3938912,815655,815655
Swap,2021-08-05,5.496152,824522,458740,0,0,3983424,819130,819130
Swap,2021-11-05,5.748207,835277,468620,0,0,4269761,830827,830827
Swap,2022-02-07,6.005741,842718,478015,0,0,4299800,839273,839273
Swap,2022-05-05,6.244098,852926,489004,0,0,4296933,850977,850977
Swap,2022-08-05,6.496152,857157,498330,0,0,4313166,856856,856856
Swap,2022-11-07,6.753687,861688,508376,0,0,4188599,863093,863093
Swap,2023-02-06,7.003002,878248,521744,0,0,4169307,881367,881367
Swap,2023-05-05,7.244098,884326,533113,0,0,4268964,889599,889599
Swap,2023-08-07,7.501632,902497,550787,0,0,4157789,910234,910234
Swap,2023-11-06,7.750947,910068,565338,0,0,4162941,920175,920175
Swap,2024-02-05,8.000000,918005,579540,0,0,4757294,930531,930531
Swap,2024-05-07,8.251366,927266,590386,0,0,4823873,942757,942757
Swap,2024-08-05,8.497268,945569,600742,0,0,4912854,964241,964241
Swap,2024-11-05,8.748634,971749,621252,0,0,5229603,993969,993969
Swap,2025-02-05,9.000262,988413,639192,0,0,5272599,1014106,1014106
Swap,2025-05-06,9.246837,983631,648286,0,0,5272747,1012720,1014106
Swap,2025-08-05,9.496152,1000436,662212,0,0,5141137,1033692,1033692
Swap,2025-11-05,9.748207,1012893,678647,0,0,5467789,1050333,1050333
Swap,2026-02-05,10.000262,1032094,692205,0,0,5535217,1074099,1074099
Swap,2026-05-05,10.244098,1041477,705708,0,0,5582598,1087667,1087667
Swap,2026-08-05,10.496152,1051661,673721,0,0,5339435,1102289,1102289
Swap,2026-11-05,10.748207,1068341,646269,0,0,5604798,1123835,1123835
Swap,2027-02-05,11.000262,1067979,607254,0,0,5378740,1127531,1127531
Swap,2027-05-05,11.244098,977402,660868,0,0,5373637,1035525,1127531
Swap,2027-08-05,11.496152,991701,627513,0,0,5532344,1054487,1127531
Swap,2027-11-05,11.748207,986238,590443,0,0,5209106,1052484,1127531
Swap,2028-02-07,12.005464,989675,559431,0,0,5377187,1060068,1127531
Swap,2028-05-05,12.245902,882855,610590,0,0,4951885,949166,1127531
Swap,2028-08-07,12.502732,890789,576892,0,0,4930320,961508,1127531
Swap,2028-11-06,12.751366,897615,538984,0,0,4654053,972611,1127531
Swap,2029-02-05,13.000262,903056,503120,0,0,5057678,982278,1127531
Swap,2029-05-08,13.252317,801251,555004,0,0,4492569,874938,1127531
Swap,2029-08-06,13.498892,811158,519384,0,0,4162128,889133,1127531
Swap,2029-11-05,13.748207,805802,480900,0,0,4359948,886666,1127531
Swap,2030-02-05,14.000262,831091,444667,0,0,4403664,918056,1127531
Swap,2030-05-07,14.249577,722247,489131,0,0,4059690,800898,1127531
Swap,2030-08-05,14.496152,712049,448458,0,0,4000188,792599,1127531
