#upperBucketBound,pdf,cdf
-20000000.000000,0.00000000,0.00000000
-19900000.000000,0.00000000,0.00000000
-19800000.000000,0.00000000,0.00000000
-19700000.000000,0.00000000,0.00000000
-19600000.000000,0.00000000,0.00000000
-19500000.000000,0.00000000,0.00000000
-19400000.000000,0.00000000,0.00000000
-19300000.000000,0.00000000,0.00000000
-19200000.000000,0.00000000,0.00000000
-19100000.000000,0.00000000,0.00000000
-19000000.000000,0.00000000,0.00000000
-18900000.000000,0.00000000,0.00000000
-18800000.000000,0.00000000,0.00000000
-18700000.000000,0.00000000,0.00000000
-18600000.000000,0.00000000,0.00000000
-18500000.000000,0.00000000,0.00000000
-18400000.000000,0.00000000,0.00000000
-18300000.000000,0.00000000,0.00000000
-18200000.000000,0.00000000,0.00000000
-18100000.000000,0.00000000,0.00000000
-18000000.000000,0.00000000,0.00000000
-17900000.000000,0.00000000,0.00000000
-17800000.000000,0.00000000,0.00000000
-17700000.000000,0.00000000,0.00000000
-17600000.000000,0.00000000,0.00000000
-17500000.000000,0.00000000,0.00000000
-17400000.000000,0.00000000,0.00000000
-17300000.000000,0.00000000,0.00000000
-17200000.000000,0.00000000,0.00000000
-17100000.000000,0.00000000,0.00000000
-17000000.000000,0.00000000,0.00000000
-16900000.000000,0.00000000,0.00000000
-16800000.000000,0.00000000,0.00000000
-16700000.000000,0.00000000,0.00000000
-16600000.000000,0.00000000,0.00000000
-16500000.000000,0.00000000,0.00000000
-16400000.000000,0.00000000,0.00000000
-16300000.000000,0.00000000,0.00000000
-16200000.000000,0.00000000,0.00000000
-16100000.000000,0.00000000,0.00000000
-16000000.000000,0.00000000,0.00000000
-15900000.000000,0.00000000,0.00000000
-15800000.000000,0.00000000,0.00000000
-15700000.000000,0.00000000,0.00000000
-15600000.000000,0.00000000,0.00000000
-15500000.000000,0.00000000,0.00000000
-15400000.000000,0.00000000,0.00000000
-15300000.000000,0.00001000,0.00001000
-15200000.000000,0.00000000,0.00001000
-15100000.000000,0.00000000,0.00001000
-15000000.000000,0.00000100,0.00001100
-14900000.000000,0.00000000,0.00001100
-14800000.000000,0.00000000,0.00001100
-14700000.000000,0.00000550,0.00001650
-14600000.000000,0.00000000,0.00001650
-14500000.000000,0.00000150,0.00001800
-14400000.000000,0.00001000,0.00002800
-14300000.000000,0.00000050,0.00002850
-14200000.000000,0.00000400,0.00003250
-14100000.000000,0.00000800,0.00004050
-14000000.000000,0.00000600,0.00004650
-13900000.000000,0.00000250,0.00004900
-13800000.000000,0.00000050,0.00004950
-13700000.000000,0.00003450,0.00008400
-13600000.000000,0.00000800,0.00009200
-13500000.000000,0.00000000,0.00009200
-13400000.000000,0.00001850,0.00011050
-13300000.000000,0.00002100,0.00013150
-13200000.000000,0.00003550,0.00016700
-13100000.000000,0.00002900,0.00019600
-13000000.000000,0.00001600,0.00021200
-12900000.000000,0.00002400,0.00023600
-12800000.000000,0.00004200,0.00027800
-12700000.000000,0.00004250,0.00032050
-12600000.000000,0.00004300,0.00036350
-12500000.000000,0.00006200,0.00042550
-12400000.000000,0.00001950,0.00044500
-12300000.000000,0.00007550,0.00052050
-12200000.000000,0.00018000,0.00070050
-12100000.000000,0.00005000,0.00075050
-12000000.000000,0.00006800,0.00081850
-11900000.000000,0.00010850,0.00092700
-11800000.000000,0.00011700,0.00104400
-11700000.000000,0.00012200,0.00116600
-11600000.000000,0.00010550,0.00127150
-11500000.000000,0.00009150,0.00136300
-11400000.000000,0.00008600,0.00144900
-11300000.000000,0.00006100,0.00151000
-11200000.000000,0.00027050,0.00178050
-11100000.000000,0.00015850,0.00193900
-11000000.000000,0.00018000,0.00211900
-10900000.000000,0.00021200,0.00233100
-10800000.000000,0.00014750,0.00247850
-10700000.000000,0.00018800,0.00266650
-10600000.000000,0.00015900,0.00282550
-10500000.000000,0.00016250,0.00298800
-10400000.000000,0.00031150,0.00329950
-10300000.000000,0.00024700,0.00354650
-10200000.000000,0.00027350,0.00382000
-10100000.000000,0.00020800,0.00402800
-10000000.000000,0.00026250,0.00429050
-9900000.000000,0.00045450,0.00474500
-9800000.000000,0.00024600,0.00499100
-9700000.000000,0.00021950,0.00521050
-9600000.000000,0.00042050,0.00563100
-9500000.000000,0.00033600,0.00596700
-9400000.000000,0.00036850,0.00633550
-9300000.000000,0.00044250,0.00677800
-9200000.000000,0.00023000,0.00700800
-9100000.000000,0.00031150,0.00731950
-9000000.000000,0.00031550,0.00763500
-8900000.000000,0.00037850,0.00801350
-8800000.000000,0.00023900,0.00825250
-8700000.000000,0.00033900,0.00859150
-8600000.000000,0.00025200,0.00884350
-8500000.000000,0.00034550,0.00918900
-8400000.000000,0.00036450,0.00955350
