#upperBucketBound,pdf,cdf
-20000000.000000,0.00437941,0.00437941
-19900000.000000,0.00008082,0.00446023
-19800000.000000,0.00012087,0.00458110
-19700000.000000,0.00011963,0.00470073
-19600000.000000,0.00010287,0.00480360
-19500000.000000,0.00013407,0.00493767
-19400000.000000,0.00011894,0.00505661
-19300000.000000,0.00011604,0.00517265
-19200000.000000,0.00010779,0.00528044
-19100000.000000,0.00011217,0.00539261
-19000000.000000,0.00014693,0.00553954
-18900000.000000,0.00011454,0.00565407
-18800000.000000,0.00014135,0.00579543
-18700000.000000,0.00013939,0.00593482
-18600000.000000,0.00011792,0.00605273
-18500000.000000,0.00012618,0.00617892
-18400000.000000,0.00014895,0.00632787
-18300000.000000,0.00014517,0.00647303
-18200000.000000,0.00012505,0.00659809
-18100000.000000,0.00012993,0.00672802
-18000000.000000,0.00012005,0.00684806
-17900000.000000,0.00015601,0.00700407
-17800000.000000,0.00016642,0.00717049
-17700000.000000,0.00015960,0.00733009
-17600000.000000,0.00014079,0.00747088
-17500000.000000,0.00017418,0.00764506
-17400000.000000,0.00014312,0.00778818
-17300000.000000,0.00014619,0.00793437
-17200000.000000,0.00015370,0.00808807
-17100000.000000,0.00019483,0.00828290
-17000000.000000,0.00017946,0.00846236
-16900000.000000,0.00017486,0.00863723
-16800000.000000,0.00017759,0.00881482
-16700000.000000,0.00019259,0.00900741
-16600000.000000,0.00019341,0.00920082
-16500000.000000,0.00020179,0.00940261
-16400000.000000,0.00017467,0.00957728
-16300000.000000,0.00021799,0.00979527
-16200000.000000,0.00021622,0.01001149
-16100000.000000,0.00022601,0.01023750
-16000000.000000,0.00018867,0.01042617
-15900000.000000,0.00019838,0.01062455
-15800000.000000,0.00018978,0.01081434
-15700000.000000,0.00022846,0.01104280
-15600000.000000,0.00027338,0.01131617
-15500000.000000,0.00023568,0.01155185
-15400000.000000,0.00021999,0.01177183
-15300000.000000,0.00024121,0.01201305
-15200000.000000,0.00023560,0.01224865
-15100000.000000,0.00026580,0.01251445
-15000000.000000,0.00023907,0.01275352
-14900000.000000,0.00025683,0.01301035
-14800000.000000,0.00030050,0.01331085
-14700000.000000,0.00024071,0.01355157
-14600000.000000,0.00028054,0.01383211
-14500000.000000,0.00027839,0.01411050
-14400000.000000,0.00031029,0.01442079
-14300000.000000,0.00032130,0.01474209
-14200000.000000,0.00029992,0.01504200
-14100000.000000,0.00028916,0.01533117
-14000000.000000,0.00030334,0.01563450
-13900000.000000,0.00031641,0.01595091
-13800000.000000,0.00036742,0.01631832
-13700000.000000,0.00033224,0.01665056
-13600000.000000,0.00032201,0.01697257
-13500000.000000,0.00040660,0.01737917
-13400000.000000,0.00047042,0.01784960
-13300000.000000,0.00045276,0.01830236
-13200000.000000,0.00032096,0.01862332
-13100000.000000,0.00048210,0.01910542
-13000000.000000,0.00046985,0.01957528
-12900000.000000,0.00043378,0.02000906
-12800000.000000,0.00052931,0.02053836
-12700000.000000,0.00042225,0.02096062
-12600000.000000,0.00054700,0.02150762
-12500000.000000,0.00041892,0.02192654
-12400000.000000,0.00063131,0.02255785
-12300000.000000,0.00056937,0.02312722
-12200000.000000,0.00062730,0.02375452
-12100000.000000,0.00062085,0.02437537
-12000000.000000,0.00059388,0.02496925
-11900000.000000,0.00069882,0.02566807
-11800000.000000,0.00068048,0.02634856
-11700000.000000,0.00068117,0.02702972
-11600000.000000,0.00076079,0.02779051
-11500000.000000,0.00082652,0.02861703
-11400000.000000,0.00090471,0.02952174
-11300000.000000,0.00068595,0.03020770
-11200000.000000,0.00112384,0.03133153
-11100000.000000,0.00097790,0.03230944
-11000000.000000,0.00105872,0.03336815
-10900000.000000,0.00109939,0.03446755
-10800000.000000,0.00120666,0.03567421
-10700000.000000,0.00120400,0.03687821
-10600000.000000,0.00114140,0.03801961
-10500000.000000,0.00112764,0.03914725
-10400000.000000,0.00138597,0.04053322
-10300000.000000,0.00137217,0.04190538
-10200000.000000,0.00161934,0.04352472
-10100000.000000,0.00145189,0.04497662
-10000000.000000,0.00173028,0.04670690
-9900000.000000,0.00181184,0.04851874
-9800000.000000,0.00179710,0.05031584
-9700000.000000,0.00174853,0.05206437
-9600000.000000,0.00177481,0.05383918
-9500000.000000,0.00202798,0.05586716
-9400000.000000,0.00236630,0.05823346
-9300000.000000,0.00235731,0.06059077
-9200000.000000,0.00234773,0.06293850
-9100000.000000,0.00249081,0.06542931
-9000000.000000,0.00244955,0.06787886
-8900000.000000,0.00247129,0.07035015
-8800000.000000,0.00294423,0.07329438
-8700000.000000,0.00307976,0.07637414
-8600000.000000,0.00362692,0.08000107
-8500000.000000,0.00273970,0.08274077
-8400000.000000,0.00324883,0.08598960
-8300000.000000,0.00347356,0.08946316
-8200000.000000,0.00305372,0.09251688
-8100000.000000,0.00344192,0.09595880
-8000000.000000,0.00382626,0.09978506
-7900000.000000,0.00386211,0.10364716
-7800000.000000,0.00404330,0.10769047
-7700000.000000,0.00394727,0.11163774
-7600000.000000,0.00383805,0.11547579
-7500000.000000,0.00443925,0.11991504
-7400000.000000,0.00464146,0.12455650
-7300000.000000,0.00512312,0.12967962
-7200000.000000,0.00405996,0.13373958
-7100000.000000,0.00440422,0.13814380
-7000000.000000,0.00430702,0.14245082
-6900000.000000,0.00425111,0.14670193
-6800000.000000,0.00500067,0.15170260
-6700000.000000,0.00428358,0.15598618
-6600000.000000,0.00440181,0.16038799
-6500000.000000,0.00467923,0.16506722
-6400000.000000,0.00418515,0.16925237
-6300000.000000,0.00439375,0.17364612
-6200000.000000,0.00447045,0.17811657
-6100000.000000,0.00452756,0.18264414
-6000000.000000,0.00432495,0.18696909
-5900000.000000,0.00405998,0.19102907
-5800000.000000,0.00416618,0.19519524
-5700000.000000,0.00381866,0.19901390
-5600000.000000,0.00388036,0.20289426
-5500000.000000,0.00379622,0.20669048
-5400000.000000,0.00372069,0.21041117
-5300000.000000,0.00333229,0.21374346
-5200000.000000,0.00329224,0.21703570
-5100000.000000,0.00305068,0.22008638
-5000000.000000,0.00289021,0.22297659
-4900000.000000,0.00285637,0.22583296
-4800000.000000,0.00235522,0.22818818
-4700000.000000,0.00267418,0.23086236
-4600000.000000,0.00236166,0.23322402
-4500000.000000,0.00227999,0.23550401
-4400000.000000,0.00227908,0.23778309
-4300000.000000,0.00218459,0.23996768
-4200000.000000,0.00210349,0.24207117
-4100000.000000,0.00220961,0.24428078
-4000000.000000,0.00215878,0.24643957
-3900000.000000,0.00223367,0.24867323
-3800000.000000,0.00231697,0.25099020
-3700000.000000,0.00231527,0.25330548
-3600000.000000,0.00270060,0.25600608
-3500000.000000,0.00285094,0.25885702
-3400000.000000,0.00312860,0.26198562
-3300000.000000,0.00317582,0.26516144
-3200000.000000,0.00353121,0.26869265
-3100000.000000,0.00338165,0.27207430
-3000000.000000,0.00361864,0.27569294
-2900000.000000,0.00384047,0.27953340
-2800000.000000,0.00366708,0.28320048
-2700000.000000,0.00394035,0.28714083
-2600000.000000,0.00405132,0.29119215
-2500000.000000,0.00377250,0.29496466
-2400000.000000,0.00394067,0.29890532
-2300000.000000,0.00376913,0.30267445
-2200000.000000,0.00402687,0.30670133
-2100000.000000,0.00478271,0.31148403
-2000000.000000,0.00468422,0.31616826
-1900000.000000,0.00536738,0.32153564
-1800000.000000,0.00679210,0.32832774
-1700000.000000,0.00839204,0.33671978
-1600000.000000,0.01061322,0.34733300
-1500000.000000,0.01379833,0.36113133
-1400000.000000,0.01774044,0.37887177
-1300000.000000,0.02136070,0.40023247
-1200000.000000,0.01969478,0.41992725
-1100000.000000,0.01689625,0.43682350
-1000000.000000,0.01607443,0.45289793
-900000.000000,0.00809869,0.46099663
-800000.000000,0.00558798,0.46658460
-700000.000000,0.00473016,0.47131476
-600000.000000,0.00362501,0.47493977
-500000.000000,0.00467669,0.47961646
-400000.000000,0.00304339,0.48265986
-300000.000000,0.00081973,0.48347959
-200000.000000,0.00046912,0.48394870
-100000.000000,0.00187322,0.48582192
0.000000,0.00302334,0.48884526
100000.000000,0.25512446,0.74396972
200000.000000,0.00151444,0.74548415
300000.000000,0.00074584,0.74622999
400000.000000,0.00152187,0.74775187
500000.000000,0.01370345,0.76145532
600000.000000,0.02754960,0.78900491
700000.000000,0.01993353,0.80893845
800000.000000,0.01078028,0.81971872
900000.000000,0.00804713,0.82776585
1000000.000000,0.00643883,0.83420468
1100000.000000,0.00684819,0.84105287
1200000.000000,0.00659241,0.84764528
1300000.000000,0.00629861,0.85394388
1400000.000000,0.00725440,0.86119828
1500000.000000,0.00712936,0.86832765
1600000.000000,0.00740402,0.87573167
1700000.000000,0.00716149,0.88289315
1800000.000000,0.00756657,0.89045973
1900000.000000,0.00710598,0.89756571
2000000.000000,0.00765586,0.90522156
2100000.000000,0.00710294,0.91232450
2200000.000000,0.00731530,0.91963981
2300000.000000,0.00706605,0.92670586
2400000.000000,0.00614902,0.93285488
2500000.000000,0.00564804,0.93850292
2600000.000000,0.00521097,0.94371389
2700000.000000,0.00459582,0.94830970
2800000.000000,0.00435058,0.95266028
2900000.000000,0.00382101,0.95648130
3000000.000000,0.00323462,0.95971591
3100000.000000,0.00317394,0.96288986
3200000.000000,0.00255328,0.96544313
3300000.000000,0.00248472,0.96792786
3400000.000000,0.00207493,0.97000279
3500000.000000,0.00206349,0.97206628
3600000.000000,0.00196726,0.97403355
3700000.000000,0.00177256,0.97580611
3800000.000000,0.00152054,0.97732665
3900000.000000,0.00149670,0.97882335
4000000.000000,0.00140212,0.98022547
4100000.000000,0.00119238,0.98141785
4200000.000000,0.00113616,0.98255401
4300000.000000,0.00112784,0.98368185
4400000.000000,0.00118500,0.98486684
4500000.000000,0.00100095,0.98586780
4600000.000000,0.00093118,0.98679897
4700000.000000,0.00089083,0.98768980
4800000.000000,0.00082338,0.98851318
4900000.000000,0.00078524,0.98929842
5000000.000000,0.00071264,0.99001107
5100000.000000,0.00073563,0.99074669
5200000.000000,0.00064040,0.99138709
5300000.000000,0.00060030,0.99198739
5400000.000000,0.00056819,0.99255557
5500000.000000,0.00049191,0.99304749
5600000.000000,0.00050999,0.99355747
5700000.000000,0.00048511,0.99404258
5800000.000000,0.00048717,0.99452975
5900000.000000,0.00039250,0.99492225
6000000.000000,0.00039748,0.99531974
6100000.000000,0.00033929,0.99565903
6200000.000000,0.00032190,0.99598094
6300000.000000,0.00032105,0.99630199
6400000.000000,0.00027202,0.99657400
6500000.000000,0.00028572,0.99685972
6600000.000000,0.00024862,0.99710834
6700000.000000,0.00020709,0.99731542
6800000.000000,0.00021408,0.99752950
6900000.000000,0.00018975,0.99771925
7000000.000000,0.00019178,0.99791103
7100000.000000,0.00016264,0.99807367
7200000.000000,0.00017375,0.99824742
7300000.000000,0.00012325,0.99837067
7400000.000000,0.00014767,0.99851834
7500000.000000,0.00011325,0.99863160
7600000.000000,0.00010762,0.99873922
7700000.000000,0.00010266,0.99884188
7800000.000000,0.00010121,0.99894309
7900000.000000,0.00009228,0.99903537
8000000.000000,0.00008226,0.99911763
8100000.000000,0.00007148,0.99918911
8200000.000000,0.00007309,0.99926220
8300000.000000,0.00005957,0.99932177
8400000.000000,0.00004951,0.99937129
8500000.000000,0.00004905,0.99942033
8600000.000000,0.00004943,0.99946976
8700000.000000,0.00004487,0.99951462
8800000.000000,0.00004091,0.99955553
8900000.000000,0.00004375,0.99959928
9000000.000000,0.00003589,0.99963518
9100000.000000,0.00003020,0.99966537
9200000.000000,0.00003052,0.99969590
9300000.000000,0.00002060,0.99971650
9400000.000000,0.00002713,0.99974363
9500000.000000,0.00002250,0.99976613
9600000.000000,0.00001611,0.99978224
9700000.000000,0.00001892,0.99980117
9800000.000000,0.00002025,0.99982142
9900000.000000,0.00001431,0.99983573
10000000.000000,0.00001515,0.99985088
