#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_B,2016-02-05,0.000000,63836.52,0.00,63836.52,-63836.52,63836.52,63836.52
CPTY_B,2016-05-06,0.248634,68626.32,0.00,130529.70,0.00,68973.33,68973.33
CPTY_B,2016-08-05,0.497268,74906.73,0.00,159197.43,0.00,75664.27,75664.27
CPTY_B,2016-11-07,0.754098,73371.03,0.00,183593.90,0.00,74496.29,75664.27
CPTY_B,2017-02-06,1.003002,76666.36,0.00,155753.64,0.00,78229.83,78229.83
CPTY_B,2017-05-05,1.244098,76252.87,0.00,198133.70,0.00,78188.14,78229.83
CPTY_B,2017-08-07,1.501632,73622.85,0.00,184706.88,0.00,75883.75,78229.83
CPTY_B,2017-11-06,1.750947,73850.49,0.00,195778.85,0.00,76499.38,78229.83
CPTY_B,2018-02-05,2.000262,75977.00,0.00,261863.62,0.00,79094.14,79094.14
CPTY_B,2018-05-08,2.252317,79994.64,0.00,238899.61,0.00,83698.82,83698.82
CPTY_B,2018-08-06,2.498892,75009.58,0.00,224392.58,0.00,78872.38,83698.82
CPTY_B,2018-11-05,2.748207,80181.16,233.60,227042.56,0.00,84733.31,84733.31
CPTY_B,2019-02-05,3.000262,78183.17,313.61,230512.54,0.00,83041.02,84733.31
CPTY_B,2019-05-07,3.249577,80430.78,139.38,227958.07,0.00,85856.93,85856.93
CPTY_B,2019-08-05,3.496152,77765.24,133.49,225473.33,0.00,83423.50,85856.93
CPTY_B,2019-11-05,3.748207,80077.56,160.47,254153.23,0.00,86339.85,86339.85
CPTY_B,2020-02-05,4.000000,81794.81,420.57,260922.64,0.00,88638.79,88638.79
CPTY_B,2020-05-05,4.245902,84790.09,0.00,326202.54,0.00,92340.65,92340.65
CPTY_B,2020-08-05,4.497268,80152.53,275.17,312688.24,0.00,87732.92,92340.65
CPTY_B,2020-11-05,4.748634,84161.45,315.33,276994.57,0.00,92588.29,92588.29
CPTY_B,2021-02-05,5.000262,81556.00,151.15,312369.10,0.00,90177.10,92588.29
CPTY_B,2021-05-05,5.244098,82783.38,729.80,330384.08,0.00,91983.39,92588.29
CPTY_B,2021-08-05,5.496152,88725.36,673.15,381141.79,0.00,99085.82,99085.82
CPTY_B,2021-11-05,5.748207,91809.51,1156.56,387989.99,0.00,103050.22,103050.22
