#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
LPISwp,2016-02-05,0.000000,63837,0,0,0,63837,63837,63837
LPISwp,2016-05-06,0.248634,92774,0,0,0,125429,93243,93243
LPISwp,2016-08-05,0.497268,93646,0,0,0,169227,94593,94593
LPISwp,2016-11-07,0.754098,92542,0,0,0,173751,93961,94593
LPISwp,2017-02-06,1.003002,92577,0,0,0,178424,94465,94593
LPISwp,2017-05-05,1.244098,92441,0,0,0,189815,94787,94787
LPISwp,2017-08-07,1.501632,91078,0,0,0,174820,93875,94787
LPISwp,2017-11-06,1.750947,90168,0,0,0,200632,93402,94787
LPISwp,2018-02-05,2.000262,90707,0,0,0,238349,94429,94787
LPISwp,2018-05-08,2.252317,93427,0,0,0,248626,97753,97753
LPISwp,2018-08-06,2.498892,93416,0,0,0,245082,98226,98226
LPISwp,2018-11-05,2.748207,93342,187,0,0,220736,98641,98641
LPISwp,2019-02-05,3.000262,93894,328,0,0,215071,99728,99728
LPISwp,2019-05-07,3.249577,91116,488,0,0,232178,97263,99728
LPISwp,2019-08-05,3.496152,90567,517,0,0,228869,97157,99728
LPISwp,2019-11-05,3.748207,92578,529,0,0,245410,99818,99818
LPISwp,2020-02-05,4.000000,94715,447,0,0,262305,102640,102640
LPISwp,2020-05-05,4.245902,94959,466,0,0,325603,103415,103415
LPISwp,2020-08-05,4.497268,94450,270,0,0,297890,103382,103415
LPISwp,2020-11-05,4.748634,94101,509,0,0,273707,103523,103523
LPISwp,2021-02-05,5.000262,94274,763,0,0,322377,104239,104239
LPISwp,2021-05-05,5.244098,96759,742,0,0,331542,107513,107513
LPISwp,2021-08-05,5.496152,100607,991,0,0,376304,112355,112355
LPISwp,2021-11-05,5.748207,101700,1088,0,0,402834,114152,114152
LPISwp,2022-02-07,6.005741,100661,939,0,0,334328,113571,114152
LPISwp,2022-05-05,6.244098,101911,1047,0,0,360745,115533,115533
LPISwp,2022-08-05,6.496152,100607,1131,0,0,373308,114633,115533
LPISwp,2022-11-07,6.753687,98589,1025,0,0,391298,112916,115533
