#Date,EPE,ENE
2016-02-05,0.0000,108.2754
2016-02-19,0.0000,108.2754
2016-03-04,6464.7793,6573.0547
2016-03-18,9245.8065,9354.0820
2016-04-01,11003.9904,11112.2658
2016-04-15,12484.4883,12592.7637
2016-04-29,14022.8046,14131.0800
2016-05-13,15274.9891,15383.2645
2016-05-27,16500.3003,16608.5758
2016-06-10,17506.5532,17614.8286
2016-06-24,18376.3257,18484.6011
2016-07-08,19247.4442,19355.7196
2016-07-22,20109.6820,20217.9574
2016-08-05,21386.3618,21494.6372
2016-08-19,21937.6091,22045.8845
2016-09-02,28252.2304,18294.2292
2016-09-16,29106.6318,19148.6306
2016-09-30,29642.1766,19684.1754
2016-10-14,30347.5632,20389.5619
2016-10-28,31425.0552,21467.0539
2016-11-14,32116.9729,22158.9717
2016-11-25,32994.9383,23036.9371
2016-12-09,33378.2681,23420.2668
2016-12-23,33767.6236,23809.6224
2017-01-06,34217.0945,24259.0933
2017-01-20,34801.6701,24843.6688
2017-02-03,35131.2826,25173.2814
2017-02-17,35729.9167,25771.9155
2017-03-03,31074.7599,31066.9656
2017-03-17,31642.2285,31634.4343
2017-03-31,32197.4780,32189.6837
2017-04-18,32639.7200,32631.9257
2017-04-28,33270.6413,33262.8470
2017-05-12,33660.9485,33653.1542
2017-05-26,34148.3570,34140.5627
2017-06-09,34640.1610,34632.3667
2017-06-23,35127.5225,35119.7282
2017-07-07,35649.9393,35642.1451
2017-07-21,35981.0089,35973.2147
2017-08-04,36303.4728,36295.6785
2017-08-18,36445.5693,36437.7751
2017-09-01,37019.6168,37011.8226
2017-09-15,41732.9823,32085.3175
2017-09-29,42205.6103,32557.9455
2017-10-13,42731.4390,33083.7741
2017-10-27,43107.3946,33459.7297
2017-11-13,43565.5952,33917.9304
2017-11-24,44042.8142,34395.1493
2017-12-08,44361.5256,34713.8607
2017-12-22,44797.3900,35149.7251
2018-01-05,45216.9849,35569.3200
2018-01-19,45645.5028,35997.8379
2018-02-02,45851.7411,36204.0762
2018-02-16,46286.2714,36638.6066
2018-03-02,41057.5289,41198.7091
2018-03-16,41135.8702,41277.0504
2018-04-03,41517.9998,41659.1800
2018-04-13,41959.4063,42100.5866
2018-04-27,42196.8079,42337.9882
2018-05-11,42596.7569,42737.9371
2018-05-25,42905.4902,43046.6704
2018-06-08,43313.4803,43454.6605
2018-06-22,43532.2462,43673.4264
2018-07-06,43896.8101,44037.9903
2018-07-20,44153.6381,44294.8183
2018-08-03,44485.5984,44626.7787
2018-08-17,44828.4013,44969.5815
2018-08-31,45130.1286,45271.3088
2018-09-14,49067.5672,39578.9649
2018-09-28,49377.1337,39888.5314
2018-10-12,49624.0841,40135.4818
2018-10-26,49945.8382,40457.2360
2018-11-09,50214.1212,40725.5190
2018-11-23,50488.7865,41000.1843
2018-12-07,50763.5777,41274.9754
2018-12-21,51050.6907,41562.0884
2019-01-04,51319.9020,41831.2997
2019-01-18,51562.7852,42074.1830
2019-02-01,51850.9585,42362.3563
2019-02-15,52164.6123,42676.0101
2019-03-01,52401.0714,42912.4691
2019-03-15,46678.2761,46818.3679
2019-03-29,47012.5422,47152.6340
2019-04-12,47246.3137,47386.4055
2019-04-26,47545.2575,47685.3493
2019-05-10,47758.5677,47898.6595
2019-05-24,47958.2870,48098.3788
2019-06-07,48198.7964,48338.8882
2019-06-21,48486.8370,48626.9288
2019-07-05,48845.1805,48985.2723
2019-07-19,49092.3416,49232.4334
2019-08-02,49349.7941,49489.8859
2019-08-16,49655.6577,49795.7495
2019-08-30,49870.0115,50010.1033
2019-09-13,53266.9716,44017.5593
2019-09-27,53449.0886,44199.6762
2019-10-11,53706.4388,44457.0265
2019-10-25,53925.1989,44675.7866
2019-11-08,54211.0049,44961.5926
2019-11-22,54490.3107,45240.8983
2019-12-06,54677.4170,45428.0046
2019-12-20,54877.3061,45627.8938
2020-01-03,55094.2147,45844.8023
2020-01-17,55332.1462,46082.7338
2020-01-31,55468.8644,46219.4520
2020-02-14,55708.5594,46459.1470
2020-02-28,56052.6077,46803.1953
2020-03-13,50051.8100,50170.4910
2020-03-27,50313.2948,50431.9758
2020-04-14,50557.0206,50675.7017
2020-04-24,50892.5315,51011.2125
2020-05-11,51036.9341,51155.6151
2020-05-22,51389.4355,51508.1166
2020-06-05,51526.2956,51644.9766
2020-06-19,51713.1402,51831.8212
2020-07-06,51905.1437,52023.8247
2020-07-17,52152.5149,52271.1960
2020-07-31,52394.8966,52513.5777
2020-08-14,52560.7556,52679.4366
2020-08-28,52767.0960,52885.7771
2020-09-11,55678.3696,46718.6755
2020-09-25,55873.6053,46913.9112
2020-10-09,56111.0052,47151.3111
2020-10-23,56244.8953,47285.2012
2020-11-06,56419.5132,47459.8191
2020-11-20,56582.9198,47623.2257
2020-12-04,56796.5647,47836.8706
2020-12-18,57044.3674,48084.6734
2021-01-04,57197.0059,48237.3118
2021-01-15,57419.1439,48459.4499
2021-01-29,57523.2744,48563.5803
2021-02-12,57685.4769,48725.7828
2021-02-26,57868.0201,48908.3261
