#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,DiscountCurve/EUR/3/6M,Up,1139242.24,0.000001,#N/A,1139242.25,0.00
CVA,DiscountCurve/EUR/4/1Y,Up,1139242.24,0.000001,#N/A,1139242.24,0.00
CVA,DiscountCurve/EUR/5/2Y,Up,1139242.24,0.000001,#N/A,1139242.23,-0.01
CVA,DiscountCurve/EUR/6/3Y,Up,1139242.24,0.000001,#N/A,1139242.19,-0.05
CVA,DiscountCurve/EUR/7/5Y,Up,1139242.24,0.000001,#N/A,1139241.76,-0.48
CVA,DiscountCurve/EUR/8/10Y,Up,1139242.24,0.000001,#N/A,1139239.61,-2.64
CVA,DiscountCurve/EUR/9/15Y,Up,1139242.24,0.000001,#N/A,1139236.10,-6.14
CVA,DiscountCurve/EUR/10/20Y,Up,1139242.24,0.000001,#N/A,1139235.34,-6.91
CVA,DiscountCurve/EUR/11/30Y,Up,1139242.24,0.000001,#N/A,1139242.20,-0.04
CVA,IndexCurve/EUR-EONIA/4/1Y,Up,1139242.24,0.000001,#N/A,1139242.25,0.00
CVA,IndexCurve/EUR-EONIA/5/2Y,Up,1139242.24,0.000001,#N/A,1139242.25,0.01
CVA,IndexCurve/EUR-EONIA/6/3Y,Up,1139242.24,0.000001,#N/A,1139242.26,0.02
CVA,IndexCurve/EUR-EONIA/7/5Y,Up,1139242.24,0.000001,#N/A,1139242.33,0.08
CVA,IndexCurve/EUR-EONIA/8/10Y,Up,1139242.24,0.000001,#N/A,1139242.48,0.23
CVA,IndexCurve/EUR-EONIA/9/15Y,Up,1139242.24,0.000001,#N/A,1139242.58,0.33
CVA,IndexCurve/EUR-EONIA/10/20Y,Up,1139242.24,0.000001,#N/A,1139240.76,-1.48
CVA,IndexCurve/EUR-EONIA/11/30Y,Up,1139242.24,0.000001,#N/A,1139242.24,0.00
CVA,IndexCurve/EUR-EURIBOR-3M/9/15Y,Up,1139242.24,0.000001,#N/A,1139242.26,0.01
CVA,IndexCurve/EUR-EURIBOR-3M/10/20Y,Up,1139242.24,0.000001,#N/A,1139242.23,-0.02
CVA,IndexCurve/EUR-EURIBOR-6M/0/2W,Up,1139242.24,0.000001,#N/A,1139242.25,0.00
CVA,IndexCurve/EUR-EURIBOR-6M/1/1M,Up,1139242.24,0.000001,#N/A,1139242.28,0.03
CVA,IndexCurve/EUR-EURIBOR-6M/3/6M,Up,1139242.24,0.000001,#N/A,1139242.44,0.19
CVA,IndexCurve/EUR-EURIBOR-6M/4/1Y,Up,1139242.24,0.000001,#N/A,1139242.88,0.63
CVA,IndexCurve/EUR-EURIBOR-6M/5/2Y,Up,1139242.24,0.000001,#N/A,1139243.77,1.53
CVA,IndexCurve/EUR-EURIBOR-6M/6/3Y,Up,1139242.24,0.000001,#N/A,1139245.53,3.28
CVA,IndexCurve/EUR-EURIBOR-6M/7/5Y,Up,1139242.24,0.000001,#N/A,1139252.69,10.45
CVA,IndexCurve/EUR-EURIBOR-6M/8/10Y,Up,1139242.24,0.000001,#N/A,1139265.84,23.60
CVA,IndexCurve/EUR-EURIBOR-6M/9/15Y,Up,1139242.24,0.000001,#N/A,1139267.01,24.77
CVA,IndexCurve/EUR-EURIBOR-6M/10/20Y,Up,1139242.24,0.000001,#N/A,1139055.37,-186.87
CVA,IndexCurve/EUR-EURIBOR-6M/11/30Y,Up,1139242.24,0.000001,#N/A,1139239.55,-2.69
CVA,SwaptionVolatility/EUR/8/1Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.46,2.22
CVA,SwaptionVolatility/EUR/9/1Y/20Y/ATM,Up,1139242.24,0.000001,#N/A,1139251.13,8.88
CVA,SwaptionVolatility/EUR/19/2Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139248.05,5.80
CVA,SwaptionVolatility/EUR/20/2Y/20Y/ATM,Up,1139242.24,0.000001,#N/A,1139250.95,8.70
CVA,SwaptionVolatility/EUR/30/3Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139251.07,8.83
CVA,SwaptionVolatility/EUR/31/3Y/20Y/ATM,Up,1139242.24,0.000001,#N/A,1139248.13,5.88
CVA,SwaptionVolatility/EUR/41/4Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139254.67,12.43
CVA,SwaptionVolatility/EUR/42/4Y/20Y/ATM,Up,1139242.24,0.000001,#N/A,1139245.35,3.11
CVA,SwaptionVolatility/EUR/51/5Y/12Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.89,2.65
CVA,SwaptionVolatility/EUR/52/5Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139264.34,22.10
CVA,SwaptionVolatility/EUR/61/7Y/10Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.71,2.46
CVA,SwaptionVolatility/EUR/62/7Y/12Y/ATM,Up,1139242.24,0.000001,#N/A,1139268.68,26.44
CVA,SwaptionVolatility/EUR/63/7Y/15Y/ATM,Up,1139242.24,0.000001,#N/A,1139253.42,11.18
CVA,SwaptionVolatility/EUR/71/10Y/7Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.29,2.05
CVA,SwaptionVolatility/EUR/72/10Y/10Y/ATM,Up,1139242.24,0.000001,#N/A,1139264.14,21.90
CVA,SwaptionVolatility/EUR/73/10Y/12Y/ATM,Up,1139242.24,0.000001,#N/A,1139251.96,9.72
CVA,SwaptionVolatility/EUR/81/12Y/5Y/ATM,Up,1139242.24,0.000001,#N/A,1139243.94,1.70
CVA,SwaptionVolatility/EUR/82/12Y/7Y/ATM,Up,1139242.24,0.000001,#N/A,1139260.09,17.85
CVA,SwaptionVolatility/EUR/83/12Y/10Y/ATM,Up,1139242.24,0.000001,#N/A,1139250.25,8.00
CVA,SwaptionVolatility/EUR/88/15Y/1Y/ATM,Up,1139242.24,0.000001,#N/A,1139242.71,0.46
CVA,SwaptionVolatility/EUR/89/15Y/2Y/ATM,Up,1139242.24,0.000001,#N/A,1139243.40,1.15
CVA,SwaptionVolatility/EUR/90/15Y/3Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.58,2.34
CVA,SwaptionVolatility/EUR/91/15Y/4Y/ATM,Up,1139242.24,0.000001,#N/A,1139247.77,5.52
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,1139242.24,0.000001,#N/A,1139252.85,10.61
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,1139242.24,0.000001,#N/A,1139248.75,6.51
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,1139242.24,0.000001,#N/A,1139244.09,1.85
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,1139242.24,0.000001,#N/A,1139243.98,1.74
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,1139242.24,0.000001,#N/A,1139243.81,1.57
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,1139242.24,0.000001,#N/A,1139243.62,1.38
CVA,SurvivalProbability/BANK/0/2W,Up,1139242.24,0.000001,#N/A,1139242.22,-0.03
CVA,SurvivalProbability/BANK/1/1M,Up,1139242.24,0.000001,#N/A,1139242.20,-0.04
CVA,SurvivalProbability/BANK/2/3M,Up,1139242.24,0.000001,#N/A,1139242.08,-0.16
CVA,SurvivalProbability/BANK/3/6M,Up,1139242.24,0.000001,#N/A,1139241.62,-0.62
CVA,SurvivalProbability/BANK/4/1Y,Up,1139242.24,0.000001,#N/A,1139241.52,-0.72
CVA,SurvivalProbability/BANK/5/2Y,Up,1139242.24,0.000001,#N/A,1139240.70,-1.54
CVA,SurvivalProbability/BANK/6/3Y,Up,1139242.24,0.000001,#N/A,1139240.46,-1.78
CVA,SurvivalProbability/BANK/7/5Y,Up,1139242.24,0.000001,#N/A,1139241.64,-0.61
CVA,SurvivalProbability/BANK/8/10Y,Up,1139242.24,0.000001,#N/A,1139253.09,10.84
CVA,SurvivalProbability/BANK/9/15Y,Up,1139242.24,0.000001,#N/A,1139269.12,26.88
CVA,SurvivalProbability/BANK/10/20Y,Up,1139242.24,0.000001,#N/A,1139268.14,25.89
CVA,SurvivalProbability/BANK/11/30Y,Up,1139242.24,0.000001,#N/A,1139242.38,0.14
